Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiothrix longissima,Thalassionema nitzschioides var. nitzschioides,Thalassionema nitzschioides,Thalassionema hirosakiensis,Stephanopyxis turris,Stephanopyxis spp.,Rouxia californica,Rhizosolenia styliformis,Rhizosolenia barboi,Rhabdonema japonicum,Paralia sulcata,Mediaria splendida,Hyalodiscus sp.,Grammatophora spp.,Denticulopsis praedimorpha,Denticulopsis lauta,Denticulopsis hustedtii,Coscinodiscus marginatus,Coscinodiscus elegans,Chaetoceros spp.,Aulacoseira granulata,Actinoptychus senarius,Actinocyclus ingens,Synedra jouseana var.,Synedra jouseana,Stephanogonia hanzawae,Rhizosolenia miocenica,Paralia clavigera,Goniothecium tenue,Diploneis nitescens,Denticulopsis praehyalina,Coscinodiscus symbolophorus,Cocconeis scutellum,Cocconeis pellucida,Rhaphoneis amphiceros,Plagiogramma staurophorum,Diploneis smithii,Denticulopsis hyalina,Actinocyclus ingens  var. nodus,Navicula lyra,Denticulopsis katayamae,Rhizosolenia hebetata,Odontella aurita,Diploneis fusca,Denticulopsis praekatayamae ,Coscinodiscus stellaris,Coscinodiscus oculus-iridis,Cocconeis placentula var. euglypta,Azpeitia endoi,Asteromphalus darwinii,Actinocyclus octonarius,Actinocyclus curvatulus,Thalassionema schraderi,Triceratium condecorum,Thalassiosira temperei,Pseudopodosira elegans,Porosira glacialis,Nitzschia sp. 1,Amphora sp.,Nitzschia rolandii,Thalassiosira antiqua,Hemidiscus cuneiformis,Cocconeis costata,Achnanthes groenlandica,Trochosira spinosa,Thalassiosira singularis,Nitzschia grunowii,Crucidenticula punctata,Asteromphalus robustus,Thalassiosira marujamica,Thalassiosira jacksonii,Neodenticula kamtschatica,Diploneis bombus,Cosmiodiscus insignis,Cocconeis pseudomarginatus,Cocconeis californica,Amphiprora sp.,Rhizosolenia setigera,Thalassiosira zabellinae,Thalassiosira gravida,Melosira albicans,Diploneis interrupta,Delphineis surirella,Delphineis angustata,Cymatosira debyi,Thalassiosira convexa,Pinnularia spp.,Thalassiosira trifulta,Thalassiosira nidulus,Actinocyclus ochotensis,Thalassiosira oestrupii,Nitzschia reinholdii,Nitzschia cylindrica,Coscinodiscus subtilis,Thalassiosira plicata,Bacillaria paradoxa,Thalassiothrix frauenfeldii,Achnanthes lanceolata,Thalassiosira eccentrica,Neodenticula koizumii,Actinocyclus oculatus,Thalassiosira manifesta,Coscinodiscus marginatus (girdles),Coscinodiscus radiatus,Chaetoceros spores,Thalassiosira leptopus,Thalassiosira pacifica,Rossiella tatsunokuchiensis,Denticulopsis dimorpha,Delphineis ischaboensis,Rouxia sp.,Thalassiosira lineata,Cyclotella striata,Cymatotheca weissflogii,Navicula directa,Melosira westii,Cyclotella styroleum,Coscinodiscus obscurus,Nitzschia punctata,Fragilaria construens,Azpeitia nodulifer,Diploneis oculata,Actinocyclus sp.,Thalassiosira sp. g,Neodenticula seminae,Thalassiosira nordenskioeldii,Nitzschia extincta,Cyclotella kutzingiana,Rhaphoneis elegans,Coscinodiscus vetustissimus,Trachyneis aspera,Rhizosolenia bergonii,Rhizosolenia curvirostris,Nitzschia sicula,Thalassionema bacillaris,Stephanodiscus astraea,Eunotia spp.,Diploneis ovalis,Pseudoeunotia doliolus,Calloneis bacillum,Bacterosira fragilis,Thalassiosira lacustris,Navicula spp.,Diploneis suborbicularis,Roperia tesselata,Rhizosolenia imbricata,Rhizosolenia alata,Nitzschia marina,Nitzschia braarudii,Navicula pygmaea,Diploneis weissflogi,Azpeitia tabularis,Asteromphalus flabellatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  3,H, 7,  14.00,     24.5400,Koizumi  ,Diatoms                                      ,               ,                  ,1                        ,                                              ,7                          ,                           ,10                  ,                  ,                  ,2                       ,3                  ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,11                      ,1                    ,69              ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,1                          ,                                  ,              ,                      ,1                      ,2                      ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,14                       ,1               ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,1               ,                     ,               ,5                     ,1                    ,                       ,1                      ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,r8                   ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,1                 ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,4                   ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,13                       ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  4,H, 4, 102.00,     30.4200,Koizumi  ,Diatoms                                      ,               ,                  ,4                        ,8                                             ,31                         ,                           ,24                  ,4                 ,                  ,                        ,                   ,                    ,49             ,                  ,               ,                  ,                          ,                   ,                       ,4                       ,                     ,226             ,1                    ,2                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,5                      ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,r1                       ,13              ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,20                  ,                    ,                ,                     ,               ,2                     ,                     ,1                      ,4                      ,                    ,                    ,                      ,                     ,                   ,1                          ,                     ,2                       ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,10                  ,                             ,                  ,                      ,                  ,                           ,2                ,                     ,8                        ,                ,4                       ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  5,H, 2,  74.00,     36.6400,Koizumi  ,Diatoms                                      ,               ,                  ,                         ,                                              ,3                          ,                           ,2                   ,                  ,                  ,                        ,                   ,                    ,3              ,                  ,               ,1                 ,                          ,                   ,                       ,                        ,                     ,12              ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,1          ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,3               ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,1                     ,1           ,1               ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  5,H, 6,  81.00,     42.7100,Koizumi  ,Diatoms                                      ,               ,                  ,                         ,                                              ,1                          ,                           ,1                   ,                  ,r1                ,                        ,                   ,                    ,               ,                  ,               ,                  ,                          ,                   ,                       ,1                       ,                     ,5               ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,r1                       ,                ,                     ,                          ,                     ,              ,                     ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,                    ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,                ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  6,H, 4,  13.00,     48.5300,Koizumi  ,Diatoms                                      ,               ,                  ,2                        ,1                                             ,72                         ,                           ,14                  ,1                 ,                  ,                        ,                   ,                    ,27             ,                  ,               ,                  ,                          ,                   ,                       ,4                       ,                     ,242             ,                     ,21                    ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,1                  ,                   ,1                    ,                         ,                 ,                     ,                               ,             ,                       ,1                    ,                ,               ,                            ,                       ,                           ,10                                ,              ,                      ,8                      ,                       ,                       ,                      ,                      ,                      ,2                 ,               ,           ,                  ,r1                   ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,12              ,                     ,                          ,                     ,              ,3                    ,                        ,                     ,                 ,                    ,4                   ,                    ,                ,                     ,               ,1                     ,                     ,                       ,2                      ,                    ,                    ,                      ,                     ,1                  ,1                          ,                     ,2                       ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,4                 ,                       ,                ,               ,3                   ,                      ,                  ,                     ,                  ,                 ,                ,                   ,7                   ,                             ,                  ,1                     ,                  ,                           ,1                ,                     ,                         ,                ,1                       ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  7,H, 5, 102.00,     60.4200,Koizumi  ,Diatoms                                      ,               ,                  ,3                        ,3                                             ,96                         ,                           ,13                  ,4                 ,                  ,1                       ,                   ,                    ,16             ,                  ,               ,                  ,                          ,                   ,                       ,2                       ,                     ,185             ,                     ,7                     ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,1                        ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,1                          ,                                  ,              ,                      ,2                      ,1                      ,                       ,                      ,                      ,1                     ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,r1                       ,11              ,                     ,                          ,                     ,              ,3                    ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,1                     ,                     ,                       ,5                      ,1                   ,                    ,                      ,                     ,                   ,3                          ,                     ,1                       ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,1                     ,                           ,                      ,                       ,          ,1                    ,10                ,                       ,1               ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,4                   ,                             ,                  ,1                     ,                  ,                           ,1                ,                     ,                         ,1               ,3                       ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,R. curvirostris   ,              ,127, 797,B,  8,H, 3,  74.00,     66.6400,Koizumi  ,Diatoms                                      ,               ,                  ,2                        ,                                              ,3                          ,                           ,1                   ,                  ,                  ,1                       ,1                  ,                    ,1              ,                  ,               ,                  ,                          ,                   ,                       ,1                       ,                     ,8               ,                     ,                      ,                   ,                     ,                ,                      ,                      ,                 ,                  ,                   ,                         ,                           ,                   ,                   ,                     ,                         ,                 ,                     ,                               ,             ,                       ,                     ,                ,               ,                            ,                       ,                           ,                                  ,              ,                      ,                       ,                       ,                       ,                      ,                      ,                      ,                  ,               ,           ,                  ,                     ,                      ,                 ,                       ,                  ,                        ,                  ,                       ,                      ,                        ,                       ,                         ,                ,                     ,                          ,                     ,              ,1                    ,                        ,                     ,                 ,                    ,                    ,                    ,                ,                     ,               ,                      ,                     ,                       ,                       ,1                   ,                    ,                      ,                     ,                   ,                           ,                     ,                        ,                     ,                     ,                       ,                                  ,                      ,                  ,                      ,                      ,                           ,                      ,                       ,          ,                     ,                  ,                       ,                ,               ,                    ,                      ,                  ,                     ,                  ,                 ,                ,                   ,                    ,                             ,                  ,                      ,                  ,                           ,                 ,                     ,                         ,1               ,                        ,                      ,            ,                ,                      ,                  ,                    ,                       ,             ,                        ,                 ,                      ,                  ,                ,                   ,                ,                    ,                  ,                         ,from ODP Legs 127&128 SR Chapter 15 Table 1 p 252-258
