Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zeaglobigerina connecta	Zeaglobigerina woodi	Tenuitella minutissima	Zeaglobigerina druryi	Neogloboquadrina continuosa	Globigerinoides trilobus	Globigerinoides sicanus	Globigerinoides ruber	Globigerinoides quadrilobatus	Fohsella peripheroronda	Tenuitellinata juvenilis	Neogloboquadrina nympha	Globorotaloides suteri	Globoquadrina dehiscens	Praeorbulina glomerosa	Orbulina suturalis	Globorotalia conica	Subbotina angiporoides	Globorotalia sp. cf. juanai	Globoconella conoidea	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Globorotalia puncticulata	Orbulina universa	Neogloboquadrina pachyderma (dextral)	Globorotalia tosaensis	Globorotalia inflata	Globorotalia crassaformis	Globorotalia crassula	Globigerina falconensis	Globorotalia truncatulinoides	Globorotalia sp. cf. tosaensis	Globigerinella siphonifera	Neogloboquadrina dutertrei	Zeaglobigerina rubescens	Globorotalia scitula	Globigerinella obesa	Globorotalia ungulata	Globorotalia tumida	Globigerinoides tenellus	Globorotalia hirsuta	Comment
  IR	Pleistocene      	Holocene         	                  	Pt1b          	182	1131	A	  5	H	CC	  14.00	     40.4900	Li       	Planktonic Foraminifers                      	C              	G                 	                       	                    	                      	                     	                           	P                       	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	P                      	P                    	                         	P                	P                                    	                      	F                   	                         	                     	P                      	P                            	                              	P                         	P                         	                        	                    	P                   	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1b          	182	1131	A	  6	H	CC	  15.00	     51.1900	Li       	Planktonic Foraminifers                      	F              	M                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	F                    	                         	P                	P                                    	                      	F                   	                         	                     	F                      	P                            	                              	                          	                          	                        	                    	P                   	                     	                   	                        	                    	abundant relict shell debris (dark grey)

  IR	                 	Pleistocene      	                  	Pt1b          	182	1131	A	  7	H	CC	   0.00	     59.6800	Li       	Planktonic Foraminifers                      	C              	M                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	P                      	P                    	                         	P                	P                                    	                      	F                   	                         	                     	F                      	P                            	                              	                          	                          	                        	                    	P                   	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1b          	182	1131	A	  8	X	CC	  15.00	     66.8700	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	                         	P                	P                                    	                      	F                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	P                   	                     	                   	P                       	                    	       

  IR	                 	                 	                  	              	182	1131	A	  9	X	CC	  18.00	     74.0300	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	P                    	                         	                 	P                                    	                      	F                   	                         	                     	P                      	                             	                              	                          	                          	                        	P                   	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 10	X	CC	  15.00	     84.2500	Li       	Planktonic Foraminifers                      	T              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	P                                    	                      	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	cemented lumps, frosted forams, sponge spicules

  IR	                 	Pleistocene      	                  	Pt1b          	182	1131	A	 11	X	CC	  17.00	     93.9800	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	F                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	                     	                         	                 	P                                    	                      	A                   	P                        	                     	P                      	P                            	                              	P                         	                          	                        	                    	                    	P                    	P                  	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 12	X	CC	  14.00	    103.5800	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	cemented lumps, frosted forams, sponge spicules, ostrocodes

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 13	X	CC	  17.00	    112.2900	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	A                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	P                    	                         	                 	P                                    	                      	A                   	                         	                     	                       	P                            	                              	                          	                          	P                       	                    	                    	P                    	                   	                        	                    	cemented lumps, frosted forams

  IR	                 	Pleistocene      	                  	              	182	1131	A	 14	X	CC	   9.00	    122.4100	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	                             	                              	                          	                          	P                       	                    	                    	P                    	                   	                        	                    	semilithified

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 15	X	CC	  19.00	    131.1700	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	P                                    	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	semilithified

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 16	X	CC	  16.00	    140.9600	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	P                                    	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	semilithified

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 17	X	CC	  16.00	    149.7300	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	P                	P                                    	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	P                    	                   	                        	                    	semilithified

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 18	X	CC	  19.00	    156.8900	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	P                                    	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 19	X	CC	  26.00	    168.2900	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	                         	                 	P                                    	                      	P                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 20	X	CC	  18.00	    177.1700	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	              	182	1131	A	 21	X	CC	  26.00	    186.3000	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 22	X	CC	  13.00	    194.6000	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	              	182	1131	A	 23	X	CC	  13.00	    204.4000	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	F                	                                     	                      	F                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 24	X	CC	  23.00	    215.5800	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	              	182	1131	A	 25	X	CC	  17.00	    221.4500	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	P                      	P                    	                         	                 	P                                    	                      	P                   	                         	                     	F                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 26	X	CC	  16.00	    232.9800	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	                         	                 	                                     	                      	P                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	              	182	1131	A	 27	X	CC	  15.00	    240.3700	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	                         	                 	                                     	                      	P                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 28	X	CC	  12.00	    250.6600	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	                         	                 	                                     	                      	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 29	X	CC	   0.00	    252.5000	Li       	Planktonic Foraminifers                      	T              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 31	X	CC	  30.00	    280.5600	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	                         	                 	P                                    	                      	A                   	P                        	                     	F                      	P                            	                              	                          	P                         	                        	P                   	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 32	X	CC	   0.00	    285.4700	Li       	Planktonic Foraminifers                      	T              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 33	X	CC	  17.00	    298.7700	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	P                	                                     	                      	F                   	                         	                     	F                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 34	X	CC	  38.00	    309.8500	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	P                                    	                      	F                   	                         	P                    	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 35	X	CC	  32.00	    314.1500	Li       	Planktonic Foraminifers                      	T              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 36	X	CC	  18.00	    324.5500	Li       	Planktonic Foraminifers                      	C              	M                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	P                      	P                    	                         	                 	P                                    	                      	A                   	                         	R                    	P                      	P                            	                              	                          	                          	                        	                    	P                   	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 37	X	CC	  27.00	    333.3400	Li       	Planktonic Foraminifers                      	F              	M                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	A                   	                         	P                    	P                      	P                            	                              	                          	                          	                        	P                   	                    	                     	                   	                        	                    	reworked mayeri?

  IR	                 	                 	                  	              	182	1131	A	 38	X	CC	  20.00	    347.8600	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	F                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	P                    	P                        	                 	                                     	                      	F                   	P                        	R                    	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 39	X	CC	  41.00	    351.1700	Li       	Planktonic Foraminifers                      	T              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	              	182	1131	A	 40	X	CC	  22.00	    362.2000	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	F                        	P                	P                                    	                      	P                   	                         	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 41	X	CC	  31.00	    374.1400	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	P                        	                 	                                     	                      	F                   	P                        	                     	P                      	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 42	X	CC	  32.00	    383.6300	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	P                	P                                    	                      	P                   	                         	                     	                       	P                            	                              	P                         	                          	                        	                    	                    	                     	                   	                        	                    	bad preservation, coated with carbonate

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 43	X	CC	  27.00	    390.6700	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	P                      	                     	                         	                 	P                                    	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	P                       	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 44	X	CC	  18.00	    396.0800	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	P                        	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 45	X	CC	  17.00	    414.7300	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	P                       	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	P                        	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 46	X	CC	  20.00	    415.3000	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	P                        	                     	P                      	P                            	                              	                          	                          	P                       	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 48	X	CC	  34.00	    438.5200	Li       	Planktonic Foraminifers                      	T              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	P                            	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	very bad preservation

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 50	X	CC	  42.00	    463.5200	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	P                   	                         	                     	                       	P                            	P                             	                          	P                         	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 51	X	CC	  35.00	    468.5400	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	P                     	P                   	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Pleistocene      	                  	Pt1           	182	1131	A	 52	X	CC	  27.00	    473.3600	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	P                	                                     	                      	P                   	P                        	                     	                       	P                            	                              	P                         	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 53	X	CC	  29.00	    489.8100	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	P                	                                     	                      	P                   	                         	                     	P                      	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	                 	                  	              	182	1131	A	 54	X	CC	  35.00	    500.4700	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	                       	                     	P                        	P                	                                     	                      	F                   	P                        	P                    	F                      	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	cf. pliozea, cf conomiozea of Hornibrook et al.

  IR	                 	                 	                  	              	182	1131	A	 55	X	CC	  30.00	    506.4100	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	P                      	                     	P                        	                 	                                     	                      	P                   	                         	                     	P                      	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	Pliocene         	Pleistocene      	                  	Pt1a          	182	1131	A	 56	X	CC	  28.00	    512.5000	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	                        	                       	P                    	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	P                        	P                	P                                    	P                     	P                   	F                        	                     	P                      	P                            	P                             	                          	                          	                        	                    	                    	                     	                   	                        	                    	sinistral crassaformis

  IR	Pliocene         	Pleistocene      	                  	              	182	1131	A	 57	X	CC	  47.00	    522.0100	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	P                    	F                        	                 	P                                    	                      	                    	F                        	P                    	P                      	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	cf sphericomiozea from crassaformis forms

  IR	Pliocene         	Pleistocene      	                  	              	182	1131	A	 58	X	 1	  89.00	    531.4900	Li       	Planktonic Foraminifers                      	F              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	P                      	                       	                     	                         	P                	P                                    	P                     	P                   	P                        	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	Miocene          	Pliocene         	                  	              	182	1131	A	 58	X	CC	   0.00	    532.0400	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	                      	                     	                           	                        	                       	                     	                             	                       	                        	                       	                      	P                      	                      	                  	                   	                      	                           	                     	                       	                       	P                    	P                        	                 	                                     	                      	                    	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	strongly overgrowth

  IR	Late Miocene     	Middle Miocene   	                  	              	182	1131	A	 59	X	CC	  19.00	    540.3900	Li       	Planktonic Foraminifers                      	C              	P                 	                       	                    	                      	                     	                           	F                       	                       	                     	                             	                       	                        	                       	                      	                       	                      	                  	                   	F                     	P                          	P                    	P                      	F                      	P                    	                         	                 	                                     	                      	                    	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	many reworked from oligocene

  IR	                 	Middle Miocene   	                  	              	182	1131	A	 62	X	CC	   0.00	    568.8000	Li       	Planktonic Foraminifers                      	C              	P                 	                       	F                   	                      	                     	                           	F                       	                       	                     	                             	                       	                        	                       	                      	                       	P                     	P                 	P                  	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	                    	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Middle Miocene   	                  	              	182	1131	A	 63	X	CC	   0.00	    578.4000	Li       	Planktonic Foraminifers                      	R              	P                 	                       	                    	P                     	                     	                           	                        	                       	                     	                             	P                      	P                       	P                      	P                     	P                      	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	                    	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	       

  IR	                 	Middle Miocene   	                  	              	182	1131	A	 64	X	CC	   0.00	    588.0000	Li       	Planktonic Foraminifers                      	F              	P                 	                       	P                   	                      	P                    	P                          	P                       	P                      	P                    	P                            	P                      	                        	                       	                      	                       	                      	                  	                   	                      	                           	                     	                       	                       	                     	                         	                 	                                     	                      	                    	                         	                     	                       	                             	                              	                          	                          	                        	                    	                    	                     	                   	                        	                    	cf birnageae

