Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hedbergella planispira,Hedbergella delrioensis,Globigerinelloides bentonensis,Favusella washitensis,Heterohelix moremani,Heterohelix reussi,Globigerinelloides caseyi,Whiteinella baltica,Heterohelix globulosa,Hastigerinoides watersi,Hedbergella amabilis,Costellagerina libyca,Whiteinella inornata,Dicarinella imbricata,Hastigerinoides subdigitata,Clavihedbergella simplex,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana esnehensis,Globotruncana arca,Globotruncana aegyptiaca,Contusotruncana fornicata,Archaeoglobigerina cretacea,Rugotruncana subcircumnodifer,Rugoglobigerina rugosa,Pseudoguembelina costulata,Globigerinelloides prairiehillensis,Laeviheterohelix glabrans,Globotruncana linneiana,Archaeoglobigerina blowi,Globotruncana ventricosa,Rugoglobigerina pennyi,Gansserina gansseri,Contusotruncana plummerae,Subbotina velascoensis,Subbotina triloculinoides,Subbotina triangularis,Morozovella velascoensis,Morozovella occlusa,Morozovella apanthesma,Morozovella aequa,Morozovella acuta,Globanomalina pseudomenardii,Chiloguembelina wilcoxensis,Acarinina mckannai,Acarinina nitida,Acarinina soldadoensis,Acarinina coalingensis,Subbotina patagonica,Morozovella subbotinae,Morozovella edgari,Globanomalina planoconica,Pseudohastigerina micra,Planorotalites pseudoscitulus,Acarinina esnaensis,Turborotalia pseudomayeri,Morozovella gracilis,Acarinina wilcoxensis,Subbotina frontosa,Muricoglobigerina senni,Morozovella spinulosa,Morozovella aragonensis,Igorina broedermanni,Acarinina rohri,Acarinina bullbrooki,Turborotalia pomeroli,Globigerinatheka tropicalis,Globigerinatheka mexicana,Acarinina praetopilensis,Turborotalia cerroazulensis,Turborotalia pseudoampliapertura,Turborotalia increbescens,Subbotina linaperta,Subbotina gortanii,Hantkenina alabamensis,Globorotaloides suteri,Globigerina yeguaensis,Globigerina pseudovenezuelana,Catapsydrax unicavus,Catapsydrax dissimilis,Turborotalia ampliapertura,Globigerina euapertura,Dentoglobigerina galavisi,Chiloguembelina cubensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  3,R,CC,  21.00,     55.3800,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,P                 ,P                      ,P                    ,P                      ,P                   ,P              ,P                   ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  4,R,CC,  16.00,     66.3200,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,P                          ,                  ,P               ,P                     ,                      ,                    ,P                     ,                  ,                         ,P                      ,                             ,P                  ,P                        ,P                   ,P                    ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  5,R,CC,  12.00,     73.9000,forams   ,Planktonic Foraminifers                      ,B              ,                  ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,+                  ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  6,R,CC,  10.00,     80.0700,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,P                        ,P                     ,                        ,P                  ,                      ,P                ,P                ,                            ,                           ,                  ,P               ,P                     ,                      ,                    ,                      ,                  ,                         ,P                      ,P                            ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  7,R, 1,  29.00,     88.5900,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,P                     ,                         ,                      ,P                       ,                   ,                      ,P                ,P                ,                            ,                           ,                  ,                ,P                     ,P                     ,P                   ,P                     ,P                 ,P                        ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  7,R,CC,  21.00,     91.5100,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,P                     ,P                        ,P                     ,P                       ,P                  ,P                     ,P                ,P                ,                            ,                           ,                  ,                ,P                     ,P                     ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  8,R,CC,  21.00,    106.5400,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,P                     ,P                        ,P                     ,                        ,P                  ,P                     ,P                ,P                ,P                           ,                           ,                  ,P               ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B,  9,R,CC,  30.00,    117.5100,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,P                     ,                         ,P                     ,P                       ,P                  ,P                     ,P                ,P                ,P                           ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 10,R,CC,  10.00,    127.0900,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,P                     ,                         ,P                     ,P                       ,                   ,                      ,P                ,P                ,P                           ,                           ,P                 ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 11,R,CC,   5.00,    135.9400,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,P                     ,P                        ,P                     ,P                       ,P                  ,P                     ,P                ,P                ,P                           ,P                          ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 12,R,CC,  17.00,    145.9800,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,P                      ,                           ,                        ,                  ,P                       ,                         ,                           ,                             ,P                     ,                          ,P                                  ,P                        ,P                      ,                        ,                        ,P                     ,P                  ,P                        ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 13,R,CC,   0.00,    154.4300,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,R                      ,                           ,                        ,                  ,P                       ,P                        ,                           ,                             ,P                     ,P                         ,                                   ,P                        ,P                      ,                        ,P                       ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 14,R, 1, 111.00,    156.6100,forams   ,Planktonic Foraminifers                      ,F              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,P                       ,                         ,                           ,                             ,P                     ,                          ,                                   ,P                        ,P                      ,P                       ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 15,R, 1,   0.00,    165.1000,forams   ,Planktonic Foraminifers                      ,C              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,P                 ,P                       ,P                        ,P                          ,P                            ,P                     ,P                         ,P                                  ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 16,R,CC,   4.00,    170.1400,forams   ,Planktonic Foraminifers                      ,R              ,P                 ,                      ,                       ,                              ,                     ,                    ,                  ,                         ,                   ,                     ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,P                      ,P                          ,P                       ,P                 ,P                       ,P                        ,P                          ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 19,R,CC,  14.00,    186.6600,forams   ,Planktonic Foraminifers                      ,F              ,M                 ,                      ,                       ,                              ,                     ,P                   ,                  ,                         ,                   ,P                    ,                       ,P                   ,                     ,P                   ,                     ,P                          ,P                       ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 20,R,CC,   8.00,    190.1000,forams   ,Planktonic Foraminifers                      ,F              ,G                 ,                      ,                       ,                              ,                     ,                    ,P                 ,                         ,P                  ,P                    ,                       ,                    ,                     ,P                   ,P                    ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,207,1257,B, 21,R,CC,  18.00,    196.0200,forams   ,Planktonic Foraminifers                      ,R              ,M                 ,P                     ,P                      ,                              ,                     ,                    ,                  ,                         ,P                  ,P                    ,                       ,                    ,                     ,                    ,                     ,                           ,                        ,                       ,                           ,                        ,                  ,                        ,                         ,                           ,                             ,                      ,                          ,                                   ,                         ,                       ,                        ,                        ,                      ,                   ,                         ,                      ,                         ,                      ,                        ,                   ,                      ,                 ,                 ,                            ,                           ,                  ,                ,                      ,                      ,                    ,                      ,                  ,                         ,                       ,                             ,                   ,                         ,                    ,                     ,                  ,                       ,                     ,                       ,                    ,               ,                    ,                     ,                           ,                         ,                        ,                           ,                                ,                         ,                   ,                  ,                      ,                      ,                      ,                             ,                    ,                      ,                          ,                      ,                         ,                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
