Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra umbilica,Neococcolithes minutus,Discoaster saipanensis,Discoaster barbadiensis,Dictyococcites bisectus,Cribrocentrum reticulatum,Chiasmolithus grandis,Markalius inversus,Coccolithus eopelagicus,Chiasmolithus consuetus,Neococcolithes dubius,Ericsonia formosa,Chiasmolithus oamaruensis,Chiasmolithus gigas,Sphenolithus radians,Sphenolithus pseudoradians,Zygrhablithus bijugatus,Isthmolithus recurvus,Pemma papillatum,Discoaster sublodoensis,Comment
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  7,H,CC,  10.00,     61.1700,Watkins  ,Nannofossils                                 ,A              ,G                 ,                         ,                      ,+                     ,+                      ,+                      ,+                        ,                     ,                  ,                       ,                       ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,+                    ,+               ,r                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15b         ,171,1053,B,  9,H,CC,  38.00,     80.3800,Mita     ,Nannofossils                                 ,A              ,G                 ,C                        ,                      ,R                     ,R                      ,R                      ,                         ,                     ,                  ,                       ,                       ,                     ,R                ,R                        ,                   ,                    ,R                         ,R                      ,R                    ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 10,H,CC,  13.00,     87.6200,Mita     ,Nannofossils                                 ,A              ,G                 ,R                        ,                      ,R                     ,R                      ,R                      ,F                        ,                     ,                  ,R                      ,                       ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 11,H,CC,  26.00,     99.3500,Mita     ,Nannofossils                                 ,A              ,G                 ,R                        ,                      ,R                     ,R                      ,R                      ,F                        ,                     ,                  ,R                      ,                       ,                     ,R                ,                         ,                   ,R                   ,R                         ,R                      ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 12,H,CC,  10.00,    107.8600,Mita     ,Nannofossils                                 ,A              ,G                 ,R                        ,                      ,R                     ,R                      ,R                      ,R                        ,                     ,                  ,R                      ,                       ,                     ,R                ,                         ,                   ,                    ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 13,H,CC,   0.00,    117.7900,Mita     ,Nannofossils                                 ,A              ,G                 ,R                        ,                      ,R                     ,R                      ,R                      ,R                        ,                     ,                  ,R                      ,                       ,                     ,R                ,                         ,                   ,                    ,R                         ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 14,H,CC,  27.00,    127.6400,Mita     ,Nannofossils                                 ,A              ,G                 ,R                        ,                      ,R                     ,R                      ,F                      ,R                        ,                     ,                  ,R                      ,                       ,                     ,R                ,                         ,                   ,                    ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 15,X,CC,  40.00,    135.2000,Mita     ,Nannofossils                                 ,A              ,G                 ,R                        ,                      ,R                     ,R                      ,F                      ,R                        ,                     ,                  ,R                      ,                       ,                     ,R                ,R                        ,                   ,R                   ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,CP15a         ,171,1053,B, 17,X,CC,  28.00,    150.9600,Mita     ,Nannofossils                                 ,A              ,G                 ,F                        ,                      ,R                     ,R                      ,R                      ,R                        ,                     ,                  ,C                      ,                       ,R                    ,R                ,R                        ,R                  ,                    ,                          ,                       ,                     ,                ,                       ,just two  C.grandis  catch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1053,B, 18,X,CC,  15.00,    154.9900,Mita     ,Nannofossils                                 ,A              ,G                 ,F                        ,                      ,R                     ,R                      ,R                      ,F                        ,R                    ,R                 ,F                      ,R                      ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1053,B, 19,X,CC,  33.00,    168.7700,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,                      ,+                     ,+                      ,+                      ,+                        ,+                    ,                  ,                       ,                       ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1053,B, 20,X,CC,  35.00,    182.0900,Watkins  ,Nannofossils                                 ,A              ,G                 ,+                        ,+                     ,+                     ,+                      ,+                      ,+                        ,+                    ,                  ,                       ,                       ,                     ,                 ,                         ,                   ,                    ,                          ,                       ,                     ,                ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
