Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Stylatractus universus,Stichocorys wolffii,Spongaster tetras,Pterocanium prismatium,Lamprocyrtis neoheteroporos,Lamprocyrtis heteroporos,Anthocyrtidium jenghisi,Amphirhopalum ypsilon,Theocalyptra davisiana,Anthocyrtidium angulare,Pterocorys minythorax,Theocorythium trachelium trachelium,Lamprocyrtis nigriniae,Collosphaera tuberosa,Comment
  SR,                 ,                 ,A. ypsilon        ,              ,138, 854,B,  1,H, 5,  40.00,      6.4000,Moore    ,Radiolarians                                 ,C              ,M                 ,-                    ,R                     ,                   ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                     ,-                      ,R                    ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 854,B,  1,H, 5, 110.00,      7.1000,Moore    ,Radiolarians                                 ,C/A            ,G                 ,F                    ,R                     ,                   ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                     ,R                      ,R                    ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 854,B,  1,H, 6,  40.00,      7.9000,Moore    ,Radiolarians                                 ,F              ,M                 ,F                    ,R                     ,                   ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                     ,R                      ,-                    ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 854,B,  1,H,CC,  16.00,      8.3500,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                   ,R                ,                      ,R                          ,                        ,                       ,R                    ,R                     ,R                      ,R                    ,R                                  ,R                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 854,B,  2,H, 1,  40.00,      8.8000,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                   ,R                ,                      ,R                          ,-                       ,                       ,R                    ,R                     ,                       ,-                    ,-                                  ,-                     ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 854,B,  2,H, 1, 110.00,      9.5000,Moore    ,Radiolarians                                 ,A              ,M                 ,F                    ,R                     ,                   ,R                ,-                     ,R                          ,R                       ,                       ,R                    ,R                     ,R                      ,-                    ,-                                  ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. angulare       ,              ,138, 854,B,  2,H, 2,  40.00,     10.2500,Moore    ,Radiolarians                                 ,F              ,G                 ,F                    ,R                     ,                   ,R                ,-                     ,R                          ,R                       ,                       ,R                    ,R                     ,R                      ,-                    ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 854,B,  2,H, 2, 110.00,     10.9500,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,                   ,R                ,R                     ,R                          ,-                       ,                       ,R                    ,R                     ,-                      ,-                    ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 854,B,  2,H, 3, 110.00,     12.4500,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                   ,R                ,R                     ,-                          ,-                       ,-                      ,R                    ,R                     ,-                      ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 854,B,  2,H, 4, 110.00,     13.9500,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                   ,R                ,R                     ,-                          ,R                       ,R                      ,R                    ,R                     ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 854,B,  2,H, 5,  40.00,     14.7500,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,                   ,R                ,R                     ,-                          ,-                       ,R                      ,R                    ,R                     ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,P prismat.(RN12)SWSR,              ,138, 854,B,  2,H, 5, 110.00,     15.4500,Moore    ,Radiolarians                                 ,C/A            ,M                 ,F                    ,R                     ,-                  ,R                ,R                     ,R                          ,-                       ,R                      ,R                    ,R                     ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 854,B,  2,H, 6,  40.00,     16.2500,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,R                  ,R                ,R                     ,R                          ,-                       ,R                      ,R                    ,-                     ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 854,B,  2,H, 6, 110.00,     16.9500,Moore    ,Radiolarians                                 ,C              ,M                 ,F                    ,R                     ,C                  ,R                ,-                     ,R                          ,R                       ,R                      ,R                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 854,B,  2,H, 7,  36.00,     17.7100,Moore    ,Radiolarians                                 ,F              ,P                 ,R                    ,-                     ,R                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. jenghisi M95   ,              ,138, 854,B,  2,H,CC,  17.00,     17.9300,Moore    ,Radiolarians                                 ,F              ,P                 ,R                    ,-                     ,R                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 854,B,  3,H, 1, 110.00,     19.0000,Moore    ,Radiolarians                                 ,B              ,                  ,-                    ,-                     ,-                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 854,B,  3,H, 2, 110.00,     20.5000,Moore    ,Radiolarians                                 ,B              ,                  ,-                    ,-                     ,-                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 854,B,  3,H, 3, 110.00,     22.0000,Moore    ,Radiolarians                                 ,B              ,                  ,-                    ,-                     ,-                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 854,B,  3,H,CC,  23.00,     27.9200,Moore    ,Radiolarians                                 ,B              ,                  ,-                    ,-                     ,-                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,138, 854,B,  4,H,CC,  26.00,     37.3600,Moore    ,Radiolarians                                 ,B              ,                  ,-                    ,-                     ,-                  ,-                ,-                     ,-                          ,-                       ,-                      ,-                    ,                      ,                       ,                     ,                                   ,                      ,                     ,from ODP Leg 138 SR Chapter 11 Fig 11 p 228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
