Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra hesslandii,Cyclicargolithus floridanus,Reticulofenestra spp.,Coronocyclus nitescens,Thoracosphaera spp.,Reticulofenestra minutula,Pyrocyclus spp.,Coccolithus pelagicus,Sphenolithus sp. cf S. abies,Reticulofenestra samodurovii,Reticulofenestra perplexa,Reticulofenestra daviesii,Helicosphaera carteri,Dictyococcites bisectus,Cyclicargolithus abisectus,Chiasmolithus sp.,Reticulofenestra producta,Sphenolithus abies,Reticulofenestra pseudoumbilicus,Reticulofenestra gelida,Minylitha convallis,Discoaster sp. cf. D. variabilis,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Gephyrocapsa sp.,Gephyrocapsa caribbeanica,Comment
  IR,                 ,                 ,                  ,              ,188,1165,B, 20,X, 5, 117.00,    163.3700,paleo    ,Nannofossils                                 ,A              ,P                 ,                           ,                           ,C                    ,                      ,                   ,F                        ,               ,R                    ,                            ,                            ,C                        ,                         ,                     ,                       ,                          ,                 ,A                        ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Dominant R. producta; small Reticulofenestra
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Miocene   ,CN11              ,CN5b          ,188,1165,B, 24,X,CC,  40.00,    199.1500,paleo    ,Nannofossils                                 ,A              ,M                 ,R                          ,                           ,F                    ,                      ,                   ,F                        ,               ,R                    ,                            ,                            ,A                        ,                         ,                     ,                       ,                          ,                 ,C                        ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Very abundant - Light green -nearly monospecific;  Dark green has few R. perplexa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 26,X,CC,   0.00,    213.9000,paleo    ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,C                    ,                      ,                   ,F                        ,               ,                     ,                            ,                            ,A                        ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 27,X,CC,  14.00,    231.6900,paleo    ,Nannofossils                                 ,F              ,M                 ,                           ,                           ,                     ,                      ,                   ,                         ,               ,                     ,                            ,                            ,F                        ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 58,X, 1, 100.00,    512.0000,paleo    ,Nannofossils                                 ,A              ,M                 ,A                          ,                           ,C                    ,                      ,                   ,C                        ,               ,R                    ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,CN5a              ,CN3           ,188,1165,B, 58,X, 1, 113.00,    512.1300,paleo    ,Nannofossils                                 ,C              ,M                 ,C                          ,F                          ,C                    ,                      ,                   ,R                        ,               ,F                    ,                            ,                            ,                         ,                         ,                     ,                       ,R                         ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,C. abisectus ~10 um: lower Miocene;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 58,X, 2,  34.50,    512.8450,paleo    ,Nannofossils                                 ,A              ,M                 ,A                          ,F                          ,A                    ,                      ,                   ,C                        ,               ,C                    ,R                           ,R                           ,R                        ,R                        ,R                    ,R                      ,R                         ,R                ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Good C. floridanus; Very abundant small Reticulofenestra spp.; Rare reworked Paleogene
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 59,X, 1,  35.00,    521.0500,paleo    ,Nannofossils                                 ,A              ,M                 ,A                          ,R                          ,A                    ,                      ,                   ,F                        ,               ,F                    ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Questionable C. leptoporus (FO 17.7-18.0 Ma)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 59,X, 2,   8.00,    522.2800,paleo    ,Nannofossils                                 ,F              ,M                 ,F                          ,                           ,F                    ,                      ,                   ,F                        ,               ,R                    ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Miocene   ,Early Miocene    ,CN5a              ,CN3           ,188,1165,B, 59,X,CC,   0.00,    527.9200,paleo    ,Nannofossils                                 ,R              ,M                 ,R                          ,                           ,R                    ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 60,X,CC,  18.00,    534.6000,paleo    ,Nannofossils                                 ,R              ,M                 ,R                          ,                           ,R                    ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 62,X, 3,  54.00,    553.1400,paleo    ,Nannofossils                                 ,R              ,G                 ,                           ,                           ,R                    ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Single nanno - may be contaminant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 63,X,CC,  24.00,    559.4400,paleo    ,Nannofossils                                 ,R              ,M                 ,R                          ,R                          ,R                    ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 64,X, 1,  50.00,    569.3000,paleo    ,Nannofossils                                 ,F              ,G                 ,R                          ,                           ,R                    ,                      ,R                  ,R                        ,R              ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 64,X,CC,   0.00,    572.0800,paleo    ,Nannofossils                                 ,R              ,M                 ,                           ,                           ,R                    ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Non-descript medium-sized Reticulofenestra spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 65,X,CC,   0.00,    579.1700,paleo    ,Nannofossils                                 ,R              ,M                 ,                           ,                           ,R                    ,R                     ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Questionable C. nitescens
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 66,X,CC,  37.00,    597.6900,paleo    ,Nannofossils                                 ,R              ,M                 ,                           ,                           ,R                    ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,Non-descript medium-sized Reticulofenestra spp.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 74,X, 1,  26.00,    655.6600,paleo    ,Nannofossils                                 ,R              ,M                 ,R                          ,R                          ,                     ,                      ,                   ,                         ,               ,                     ,                            ,                            ,                         ,                         ,                     ,                       ,                          ,                 ,                         ,                  ,                                ,                       ,                   ,                                ,                      ,                        ,                ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
