Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Trochammina sp.,Stilostomella spp.,Nodosaria spp.,Virgulina sp.,Stilostomella abyssorum,Sphaeroidina bulloides,Reophax dentaliniformis,Pullenia sp.,Pullenia bulloides,Pleurostomella alternans,Oridorsalis umbonatus,Laticarinina pauperata,Gyroidinoides laevigatus,Globocassidulina subglobosa,Cibicidoides subhaidingeri,Cibicidoides robertsonianus,Pullenia subcarinata,Epistominella vitrea,Quinqueloculina seminulum,Pyrulina spp.,Pyrgo spp.,Pullenia osloensis,Pullenia multilobata,Oolina spp.,Lagena spp.,Hanzawaia mantaensis,Globocassidulina sp.,Fissurina spp.,Eponides cf. weddellensis,Eggerella bradyi,Cibicidoides mundulus,Bathysiphon spp.,Anomalinoides ammophila,Ammosphaeroidina sphaeroidiniformis,Pullenia salisburyi,Psammosphaera fusca,Hanzawaia ammophila,Dentalina spp.,Cancris nuttalli,Cyclammina incisa,Melonis pompilioides,Lenticulina spp.,Karreriella bradyi,Gyroidina sp.,Gyroidina soldanii,Guttulina sp.,Globocassidulina crassa,Epistominella exigua,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 13,H,CC,  15.00,    116.0200,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,R                ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 14,H,CC,  34.00,    124.5100,paleo    ,Benthic Foraminifers                         ,               ,                  ,R              ,                  ,              ,             ,                       ,                      ,C                      ,C           ,C                 ,                        ,A                    ,C                     ,                        ,C                          ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,C               ,                     ,R               ,                       ,                                   ,C                  ,                   ,                   ,              ,                ,                 ,R                   ,C               ,C                 ,R            ,C                 ,R            ,R                      ,C                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 17,H,CC,   0.00,    147.5100,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,R                ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 18,H,CC,   0.00,    147.8000,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,R                ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 19,X,CC,  10.00,    151.0000,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,R                ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 20,X, 5,  70.00,    162.9000,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,R                 ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,R                  ,R                  ,R                  ,R             ,R               ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 24,X,CC,  40.00,    199.1500,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,C             ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,C                     ,                        ,                           ,C                         ,                           ,                    ,A                   ,C                        ,C            ,C         ,C                 ,C                   ,C          ,C          ,C                   ,C                   ,C             ,C                        ,C               ,C                    ,C               ,C                      ,C                                  ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 26,X,CC,   0.00,    213.9000,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,C                   ,C                   ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 58,X, 1, 134.00,    512.3400,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,C                 ,C             ,             ,C                      ,C                     ,C                      ,C           ,C                 ,C                       ,C                    ,C                     ,C                       ,C                          ,A                         ,C                          ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 58,X, 1, 134.00,    512.3400,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,C                 ,F             ,F            ,C                      ,C                     ,F                      ,C           ,C                 ,F                       ,C                    ,C                     ,C                       ,F                          ,A                         ,F                          ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 62,X,CC,   0.00,    553.8000,paleo    ,Benthic Foraminifers                         ,               ,                  ,               ,R                 ,R             ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 74,X,CC,   0.00,    658.8300,paleo    ,Benthic Foraminifers                         ,               ,                  ,R              ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,188,1165,B, 74,X,CC,  30.00,    659.1300,paleo    ,Benthic Foraminifers                         ,               ,                  ,R              ,                  ,              ,             ,                       ,                      ,                       ,            ,                  ,                        ,                     ,                      ,                        ,                           ,                          ,                           ,                    ,                    ,                         ,             ,          ,                  ,                    ,           ,           ,                    ,                    ,              ,                         ,                ,                     ,                ,                       ,                                   ,                   ,                   ,                   ,              ,                ,                 ,                    ,                ,                  ,             ,                  ,             ,                       ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
