Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Velicucullus sp.,Stylotrochus nitidus,Stylosphaera spinulosa,Stylosphaera minor,Stylosphaera coronata,Stylatractus sp.,Spongomelissa cucumella,Spongodiscus cruciferus,Siphocampe pachyderma,Siphocampe imbricata,Periphaena heliasteriscus,Lychnocanoma tripodium,Lophophaenoma radians,Lophocyrtis jacchia,Lophocyrtis dumitricai,Hexalonche sp.,Dictyoprora amphora,Cornutella sp.,Clathrocyclas aurelia,Cenosphaera oceanica,Axoprunum sp.,Axoprunum pierinae,Artobotrys auriculaleporis,Anthocyrtella mespilus,Amphymenium splendiarmatum,Amphicraspedum prolixum,Stylodictya targaeformis,Spongodiscus rhabdostylus,Spongodiscus americanus,Siphocampe(?) quadrata,Lychnocanoma bellum,Lychnocanoma babylonis,Lithapium sp.,Eurystomoskevos petrushevskayaae,Ceratocyrtis sp.,Carposphaera subbotinae,Lychnocanoma sp.,Periphaena decora,Lychnocanoma amphitrite,Amphipternis clava,Tripilidium clavipes,Stylodictya tainemplekta,Rhabdolithis pipa,Pterocorys (all generic taxa),Artobotrys biaurita,Heliostylus sp.,Dorcadospyris argisca,Dictyophimus pocillum,Anthocyrtella spatiosa,Stylodictya hastata,Botryostrobus joides,Botryopera sp.,Pseudodictyophimus galeatus,Dictyophimus(?) callosus,Calocyclas semipolita,Dictyophimus(?) archipilium,Lophocyrtis longiventer,Thyrsocyrtis bromia,Mitrocalpis sp.,Lithomelissa haeckeli,Eucyrtidium sp. aff. Eucyrtidium montiparum,Clathrocyclas universa nova,Astrophacus inca,Amphisphaera sp.,Actinomma kerguelenensis,Theocorys sp.,Lithomelissa ehrenbergi,Ceratocyrtis histricosa,Botryostrobus kerguelensis,Spongomelissa sp.,Pteropilium contiguum,Prunopyle trypopyrena,Prunopyle frakesi,Lithomelissa robusta,Botryostrobus rednosus,Rhizosphaera antarctica,Prunopyle polyacantha,Prunopyle hayesi,Lithomelissa sphaerocephalis,Lithelius aff. Lithelius formanae,Calocyclas asperum,Perichlamydium praetextum,Cymaetron sinolampas,Cycladophora cabrilloensis subhumerus,Eucyrtidium antiquum,Lithomelissa dupliphysa,Cycladophora conica,Ceratocyrtis mashae,Prunopyle monikae,Archipilium sp.,Theocyrtis diabloensis,Eucyrtidium (?) mariae,Ceratocyrtis stigi,Artophormis sp.,Stylosphaera hispida,Stylodictya ocellata,Lithomelissa cheni,Lithomelissa challengerae,Dictyoprora physothorax,Antarctissa sp.,Eucyrtidium teuscheri,Cycladophora campanula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 2,  53.00,     25.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,                      ,                  ,                     ,                ,                       ,                       ,                     ,R                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,T                         ,                      ,R                         ,                       ,R                       ,                         ,                       ,                      ,                   ,                      ,             ,R                               ,                ,                       ,                ,                 ,T                      ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,T                    ,                      ,T                  ,                    ,              ,                           ,R                       ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,A               ,                        ,             ,T                      ,R                      ,                          ,                 ,                     ,R                    ,R                ,R                   ,R                     ,                       ,R                    ,R               ,F                           ,                                 ,A                 ,                         ,R                   ,                                     ,R                   ,T                      ,T                  ,R                  ,                 ,               ,T                     ,R                     ,T                 ,T              ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 3,  53.00,     26.5300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                ,                    ,                      ,                  ,T                    ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,R                         ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,R                               ,                ,                       ,                ,F                ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,R                    ,                      ,                   ,                    ,              ,                           ,R                       ,                     ,                           ,                       ,                   ,               ,                     ,T                                          ,                           ,                ,A               ,                        ,             ,                       ,T                      ,                          ,R                ,                     ,R                    ,R                ,                    ,                      ,                       ,R                    ,R               ,R                           ,                                 ,A                 ,                         ,T                   ,                                     ,R                   ,                       ,T                  ,                   ,T                ,T              ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 4,  53.00,     28.0300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                ,                    ,                      ,T                 ,                     ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,R                         ,                       ,T                       ,                         ,                       ,                      ,                   ,                      ,             ,R                               ,                ,                       ,                ,F                ,                       ,                  ,                    ,T                       ,                 ,                             ,                   ,               ,                     ,R                    ,                      ,                   ,                    ,              ,                           ,R                       ,                     ,                           ,                       ,                   ,               ,                     ,R                                          ,                           ,                ,A               ,                        ,             ,                       ,                       ,                          ,R                ,                     ,T                    ,R                ,                    ,                      ,                       ,                     ,R               ,R                           ,                                 ,A                 ,                         ,T                   ,                                     ,R                   ,T                      ,T                  ,T                  ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 5,  53.00,     29.5300,Caulet   ,Radiolarians                                 ,C              ,P                 ,                ,                    ,                      ,                  ,T                    ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,                                ,                ,                       ,                ,R                ,                       ,                  ,T                   ,                        ,                 ,                             ,                   ,               ,                     ,R                    ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,A               ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,T                ,                    ,                      ,                       ,                     ,T               ,R                           ,                                 ,R                 ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 6,  53.00,     31.0300,Caulet   ,Radiolarians                                 ,C              ,P                 ,                ,                    ,                      ,T                 ,T                    ,                ,                       ,                       ,                     ,T                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,F                               ,                ,                       ,                ,                 ,                       ,                  ,                    ,T                       ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,                                           ,                           ,                ,A               ,                        ,             ,                       ,T                      ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,R               ,R                           ,                                 ,R                 ,                         ,                    ,                                     ,T                   ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Oligocene  ,                 ,                  ,              ,119, 738,B,  4,H, 7,  53.00,     32.5300,Caulet   ,Radiolarians                                 ,C              ,P                 ,                ,                    ,                      ,T                 ,                     ,                ,                       ,                       ,                     ,R                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,                    ,             ,                  ,                          ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,                                ,                ,                       ,                ,                 ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,                       ,                   ,               ,                     ,T                                          ,                           ,                ,A               ,                        ,             ,                       ,T                      ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,T               ,                            ,                                 ,R                 ,                         ,                    ,T                                    ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,119, 738,B,  5,H, 1,  53.00,     33.0300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                ,                    ,                      ,T                 ,T                    ,                ,                       ,                       ,                     ,C                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,F                   ,             ,                  ,                          ,                      ,R                         ,                       ,R                       ,                         ,                       ,                      ,                   ,                      ,             ,F                               ,                ,                       ,                ,C                ,                       ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,T                    ,                      ,                   ,                    ,              ,                           ,T                       ,R                    ,                           ,                       ,                   ,               ,T                    ,T                                          ,                           ,T               ,C               ,R                       ,             ,                       ,                       ,                          ,                 ,                     ,T                    ,T                ,                    ,                      ,T                      ,T                    ,T               ,R                           ,T                                ,R                 ,?                        ,T                   ,R                                    ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,119, 738,B,  5,H, 2,  53.00,     34.5300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                ,                    ,                      ,R                 ,R                    ,                ,                       ,                       ,                     ,R                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,R                         ,                       ,R                       ,                         ,                       ,                      ,                   ,                      ,             ,R                               ,                ,                       ,                ,C                ,T                      ,                  ,                    ,R                       ,                 ,                             ,                   ,               ,                     ,R                    ,                      ,                   ,T                   ,              ,                           ,                        ,R                    ,                           ,                       ,                   ,               ,T                    ,F                                          ,                           ,T               ,C               ,R                       ,T            ,R                      ,R                      ,                          ,F                ,                     ,                     ,R                ,                    ,                      ,T                      ,T                    ,T               ,R                           ,T                                ,R                 ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,119, 738,B,  5,H, 3,  53.00,     36.0300,Caulet   ,Radiolarians                                 ,C              ,G                 ,                ,                    ,                      ,A                 ,C                    ,                ,                       ,                       ,                     ,C                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,T             ,                     ,R                   ,             ,                  ,                          ,                      ,R                         ,                       ,T                       ,                         ,                       ,                      ,                   ,                      ,             ,F                               ,                ,                       ,                ,C                ,A                      ,                  ,R                   ,R                       ,                 ,                             ,                   ,               ,                     ,T                    ,                      ,T                  ,R                   ,T             ,                           ,                        ,R                    ,T                          ,                       ,                   ,T              ,R                    ,R                                          ,R                          ,C               ,                ,R                       ,T            ,R                      ,T                      ,T                         ,F                ,R                    ,?                    ,?                ,?                   ,R                     ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,119, 738,B,  5,H, 4,  53.00,     37.5300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                ,                    ,                      ,A                 ,C                    ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,T                   ,             ,                  ,                          ,                      ,R                         ,                       ,T                       ,                         ,                       ,                      ,T                  ,                      ,             ,R                               ,                ,                       ,                ,A                ,A                      ,                  ,T                   ,T                       ,                 ,                             ,                   ,               ,                     ,F                    ,                      ,                   ,R                   ,              ,                           ,R                       ,C                    ,                           ,                       ,                   ,T              ,R                    ,R                                          ,C                          ,C               ,R               ,T                       ,T            ,R                      ,T                      ,T                         ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Eocene      ,                 ,                  ,              ,119, 738,B,  5,H, 5,  53.00,     39.0300,Caulet   ,Radiolarians                                 ,C              ,M                 ,                ,                    ,                      ,A                 ,                     ,                ,                       ,                       ,                     ,R                   ,                         ,                      ,                     ,                   ,                      ,              ,                   ,              ,                     ,R                   ,             ,                  ,                          ,                      ,R                         ,                       ,                        ,                         ,                       ,                      ,T                  ,                      ,             ,R                               ,                ,                       ,                ,A                ,A                      ,                  ,                    ,T                       ,                 ,                             ,                   ,               ,                     ,T                    ,                      ,                   ,                    ,T             ,                           ,                        ,C                    ,R                          ,                       ,R                  ,T              ,T                    ,R                                          ,C                          ,C               ,R               ,R                       ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 11,H, 4,  53.00,     90.0300,Caulet   ,Radiolarians                                 ,R              ,P                 ,                ,                    ,                      ,                  ,A                    ,                ,                       ,                       ,                     ,                    ,                         ,                      ,                     ,                   ,A                     ,              ,                   ,              ,                     ,                    ,             ,                  ,                          ,                      ,                          ,                       ,                        ,                         ,                       ,                      ,                   ,                      ,             ,                                ,                ,                       ,                ,                 ,A                      ,                  ,                    ,                        ,                 ,                             ,                   ,               ,                     ,                     ,                      ,                   ,                    ,              ,                           ,                        ,                     ,                           ,A                      ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Eocene    ,                 ,                  ,              ,119, 738,B, 17,X, 1,  52.00,    137.7200,Caulet   ,Radiolarians                                 ,A              ,G                 ,                ,                    ,                      ,                  ,A                    ,C               ,T                      ,T                      ,T                    ,R                   ,R                        ,                      ,                     ,                   ,C                     ,R             ,                   ,              ,                     ,A                   ,F            ,                  ,A                         ,                      ,R                         ,                       ,T                       ,                         ,                       ,                      ,                   ,                      ,             ,R                               ,                ,                       ,T               ,C                ,C                      ,                  ,R                   ,                        ,                 ,R                            ,R                  ,F              ,C                    ,                     ,A                     ,                   ,F                   ,              ,R                          ,R                       ,R                    ,T                          ,                       ,                   ,               ,                     ,                                           ,                           ,                ,                ,                        ,             ,                       ,                       ,                          ,                 ,                     ,                     ,                 ,                    ,                      ,                       ,                     ,                ,                            ,                                 ,                  ,                         ,                    ,                                     ,                    ,                       ,                   ,                   ,                 ,               ,                      ,                      ,                  ,               ,                    ,                    ,                  ,                         ,                       ,               ,                     ,                      ,from 119 SR Chapter 28 Table 3 pages 520-521.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
