Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis pompilioides,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides wuellerstorfi,Cibicidoides mundulus,Alabaminella weddellensis,Sphaeroidina bulloides,Schackoinella sp.,Ehrenbergina sp.,Cibicides  bradyi,Cassidulina spp.,Bolivina pacifica,Pyrgo sp.,Pullenia quinqueloba,Pyrgo murrhina,Laticarinina pauperata,Gyroidinoides neosoldanii,Gyroidina regularis,Discorbinella bertheloti,Astrononion echolsi,Cibicidoides kullenbergi,Miliolid taxa (thin-walled),Gyroidina orbicularis,Bulimina sp. A,Bolivina spp.,Abditodentrix pseudothalmanni,Anomalinoides globulosus,Stainforthia fusiformis,Planulina sp.,Uvigerina hispida,Bulimina alazanensis,Pullenia bulloides,Uvigerina peregrina,Pseudoparrella sp.,Cibicidoides sp.,Cibicidoides robertsonianus,Chilostomella oolina,Cibicides lobatulus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  1,H, 5,  60.00,      6.5600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,5                 ,2              ,7                       ,1                 ,1           ,5                 ,                  ,5                    ,                  ,46                    ,              ,             ,                    ,3                 ,15               ,8                         ,3                 ,              ,15                         ,2                  ,25                  ,5                         ,                     ,67                       ,                      ,                 ,                ,                 ,                ,                 ,         ,11                  ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,4             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 239; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  1,H, 6,  30.00,      7.7500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,20                ,2              ,7                       ,                  ,            ,9                 ,                  ,19                   ,3                 ,24                    ,3             ,5            ,                    ,1                 ,14               ,11                        ,                  ,              ,17                         ,1                  ,12                  ,3                         ,4                    ,68                       ,                      ,                 ,                ,                 ,                ,                 ,1        ,18                  ,2             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,2                    ,3             ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 10; total count = 261; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 1,  60.00,      9.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,12                ,               ,6                       ,2                 ,            ,13                ,                  ,11                   ,6                 ,11                    ,2             ,             ,                    ,                  ,3                ,6                         ,1                 ,              ,7                          ,                   ,10                  ,5                         ,                     ,86                       ,                      ,                 ,                ,                 ,2               ,                 ,1        ,8                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 203; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 2,  60.00,     10.5900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,5                 ,               ,3                       ,3                 ,            ,9                 ,                  ,3                    ,5                 ,39                    ,              ,5            ,                    ,3                 ,6                ,3                         ,1                 ,              ,10                         ,                   ,37                  ,5                         ,4                    ,55                       ,                      ,1                ,                ,                 ,0               ,                 ,         ,5                   ,1             ,                      ,1                        ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,1                  ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 213; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 3,  60.00,     12.0800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,1              ,10                      ,                  ,            ,14                ,                  ,5                    ,7                 ,21                    ,              ,3            ,                    ,                  ,14               ,5                         ,                  ,              ,5                          ,                   ,35                  ,3                         ,3                    ,40                       ,                      ,                 ,                ,                 ,1               ,                 ,2        ,9                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,1            ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 206; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 4,  60.00,     13.5700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,6                 ,2              ,3                       ,                  ,1           ,3                 ,                  ,7                    ,1                 ,82                    ,              ,2            ,1                   ,1                 ,1                ,3                         ,                  ,              ,17                         ,                   ,23                  ,1                         ,1                    ,21                       ,                      ,                 ,                ,                 ,                ,                 ,         ,4                   ,              ,                      ,2                        ,                   ,                        ,                   ,                        ,                           ,                     ,2             ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,1                  ,                  ,                ,                           ,                    ,                   ,other taxa = 9; total count = 196; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 5,  60.00,     15.0600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,8                 ,1              ,3                       ,                  ,1           ,1                 ,                  ,2                    ,3                 ,63                    ,              ,             ,                    ,                  ,8                ,6                         ,                  ,              ,7                          ,                   ,45                  ,                          ,                     ,35                       ,                      ,2                ,                ,                 ,                ,                 ,1        ,4                   ,              ,                      ,1                        ,                   ,                        ,                   ,                        ,                           ,1                    ,2             ,             ,                             ,                        ,                       ,             ,                 ,                    ,1                 ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count = 199; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 6,  60.00,     16.5500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,1              ,3                       ,                  ,            ,9                 ,                  ,3                    ,5                 ,55                    ,              ,4            ,                    ,1                 ,3                ,4                         ,                  ,              ,4                          ,2                  ,52                  ,                          ,7                    ,19                       ,                      ,                 ,                ,                 ,4               ,2                ,2        ,14                  ,0             ,                      ,4                        ,                   ,                        ,                   ,                        ,                           ,2                    ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,1                   ,                   ,other taxa = 7; total count = 220; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  2,H, 7,  30.00,     17.7400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,5                 ,6              ,4                       ,1                 ,2           ,6                 ,                  ,16                   ,6                 ,15                    ,              ,5            ,2                   ,                  ,5                ,1                         ,1                 ,              ,4                          ,                   ,19                  ,2                         ,9                    ,63                       ,                      ,                 ,                ,                 ,                ,                 ,         ,17                  ,              ,                      ,1                        ,                   ,                        ,                   ,                        ,2                          ,                     ,              ,             ,                             ,                        ,3                      ,             ,2                ,                    ,1                 ,1                  ,                  ,4               ,                           ,                    ,                   ,other taxa = 11; total count = 214; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 1,  60.00,     18.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,7              ,3                       ,                  ,            ,1                 ,                  ,18                   ,5                 ,29                    ,              ,2            ,                    ,1                 ,9                ,9                         ,                  ,              ,13                         ,4                  ,15                  ,3                         ,3                    ,35                       ,2                     ,                 ,                ,                 ,4               ,                 ,2        ,8                   ,              ,                      ,2                        ,                   ,                        ,                   ,                        ,                           ,2                    ,2             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,0                 ,1               ,                           ,                    ,                   ,other taxa = 11; total count = 202; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 2,  60.00,     20.0900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,11                ,4              ,2                       ,1                 ,2           ,13                ,                  ,4                    ,6                 ,68                    ,1             ,5            ,1                   ,                  ,12               ,4                         ,2                 ,              ,16                         ,7                  ,14                  ,4                         ,9                    ,33                       ,                      ,18               ,                ,                 ,1               ,                 ,         ,10                  ,1             ,                      ,1                        ,3                  ,                        ,                   ,                        ,                           ,                     ,6             ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 374; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 3,  60.00,     21.5800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,1              ,1                       ,                  ,3           ,9                 ,                  ,2                    ,7                 ,47                    ,              ,2            ,1                   ,2                 ,2                ,4                         ,                  ,              ,5                          ,4                  ,30                  ,                          ,6                    ,21                       ,                      ,                 ,                ,                 ,1               ,                 ,         ,9                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,1             ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,26                ,                ,                           ,                    ,                   ,other taxa = 6; total count =208 ; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 4,  60.00,     23.0700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,4                 ,2              ,2                       ,                  ,4           ,6                 ,                  ,4                    ,                  ,99                    ,              ,1            ,                    ,                  ,1                ,5                         ,3                 ,1             ,                           ,3                  ,74                  ,2                         ,30                   ,34                       ,                      ,1                ,                ,                 ,                ,                 ,         ,8                   ,              ,                      ,                         ,0                  ,                        ,                   ,                        ,                           ,0                    ,              ,             ,                             ,                        ,6                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 5; total count = 296; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 5,  60.00,     24.5600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,4              ,3                       ,                  ,2           ,5                 ,                  ,8                    ,                  ,79                    ,              ,1            ,2                   ,                  ,1                ,                          ,                  ,              ,2                          ,2                  ,19                  ,4                         ,10                   ,29                       ,                      ,                 ,                ,                 ,                ,                 ,         ,13                  ,              ,                      ,4                        ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,1                 ,1                  ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 208; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 6,  60.00,     26.0500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3             ,10                ,2              ,2                       ,                  ,2           ,6                 ,                  ,20                   ,3                 ,44                    ,              ,1            ,1                   ,2                 ,3                ,                          ,                  ,              ,2                          ,2                  ,29                  ,7                         ,3                    ,44                       ,                      ,                 ,                ,                 ,                ,1                ,1        ,11                  ,              ,                      ,1                        ,                   ,                        ,                   ,                        ,                           ,                     ,              ,9            ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 218; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  3,H, 7,  30.00,     27.2400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,7                 ,2              ,1                       ,                  ,1           ,                  ,                  ,4                    ,                  ,93                    ,              ,             ,                    ,                  ,                 ,2                         ,                  ,              ,12                         ,1                  ,47                  ,                          ,4                    ,19                       ,                      ,                 ,                ,                 ,                ,                 ,1        ,2                   ,              ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,1                    ,              ,             ,                             ,                        ,2                      ,             ,3                ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 1; total count = 203; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 1,  60.00,     28.1000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,1              ,1                       ,                  ,2           ,7                 ,                  ,9                    ,6                 ,67                    ,              ,1            ,                    ,                  ,4                ,4                         ,2                 ,              ,12                         ,2                  ,40                  ,1                         ,1                    ,34                       ,1                     ,3                ,                ,                 ,                ,                 ,1        ,9                   ,1             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,1                    ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa =3 ; total count = 246; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 2,  60.00,     29.5900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,4                 ,3              ,3                       ,1                 ,2           ,8                 ,                  ,8                    ,7                 ,31                    ,              ,1            ,1                   ,4                 ,3                ,5                         ,                  ,              ,20                         ,2                  ,4                   ,                          ,13                   ,53                       ,                      ,                 ,                ,3                ,                ,                 ,         ,7                   ,              ,                      ,                         ,                   ,                        ,                   ,3                       ,                           ,                     ,5             ,1            ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 11; total count = 204; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 3,  60.00,     31.0800,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,12                ,4              ,                        ,1                 ,2           ,10                ,                  ,15                   ,4                 ,1                     ,              ,4            ,5                   ,                  ,2                ,6                         ,5                 ,              ,14                         ,2                  ,27                  ,4                         ,2                    ,65                       ,                      ,                 ,                ,                 ,                ,1                ,2        ,5                   ,1             ,                      ,1                        ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 13; total count = 209; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 4,  60.00,     32.5700,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,5                 ,7              ,3                       ,                  ,3           ,5                 ,                  ,9                    ,                  ,28                    ,              ,1            ,2                   ,                  ,10               ,3                         ,                  ,              ,16                         ,6                  ,35                  ,3                         ,4                    ,57                       ,                      ,                 ,                ,                 ,2               ,                 ,         ,7                   ,1             ,                      ,                         ,                   ,                        ,                   ,6                       ,                           ,                     ,4             ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 6; total count = 223; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 5,  60.00,     34.0600,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,3             ,13                ,3              ,                        ,                  ,2           ,7                 ,                  ,13                   ,7                 ,30                    ,3             ,5            ,                    ,                  ,5                ,                          ,                  ,1             ,19                         ,2                  ,36                  ,6                         ,13                   ,27                       ,                      ,2                ,                ,                 ,                ,                 ,         ,4                   ,1             ,1                     ,1                        ,1                  ,1                       ,2                  ,2                       ,                           ,                     ,              ,             ,                             ,                        ,                       ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 3; total count = 232; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 6,  60.00,     35.5500,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,1             ,5                 ,2              ,1                       ,                  ,2           ,3                 ,                  ,16                   ,5                 ,5                     ,1             ,2            ,                    ,                  ,2                ,10                        ,3                 ,              ,23                         ,2                  ,43                  ,4                         ,1                    ,81                       ,                      ,                 ,                ,                 ,2               ,1                ,1        ,5                   ,              ,                      ,1                        ,                   ,                        ,2                  ,2                       ,                           ,                     ,3             ,             ,                             ,                        ,3                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 8; total count = 240; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  4,H, 7,  30.00,     36.7400,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,               ,2                       ,                  ,            ,9                 ,                  ,5                    ,7                 ,1                     ,              ,3            ,                    ,5                 ,17               ,19                        ,4                 ,              ,35                         ,1                  ,25                  ,1                         ,                     ,50                       ,                      ,1                ,                ,1                ,1               ,                 ,1        ,5                   ,1             ,                      ,1                        ,                   ,                        ,2                  ,3                       ,                           ,                     ,5             ,             ,                             ,1                       ,                       ,             ,                 ,                    ,                  ,1                  ,2                 ,                ,                           ,                    ,                   ,other taxa = 9; total count = 238; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 1,  60.00,     37.6000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,9                 ,2              ,                        ,                  ,7           ,5                 ,                  ,12                   ,4                 ,11                    ,              ,2            ,                    ,                  ,3                ,2                         ,1                 ,              ,18                         ,2                  ,27                  ,3                         ,5                    ,63                       ,                      ,2                ,                ,                 ,1               ,                 ,         ,5                   ,              ,                      ,                         ,                   ,1                       ,                   ,7                       ,                           ,                     ,              ,             ,                             ,                        ,1                      ,             ,                 ,                    ,                  ,2                  ,                  ,                ,                           ,                    ,                   ,other taxa = 7; total count = 203; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,154, 928,A,  5,H, 2,  60.00,     39.0900,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,2             ,13                ,2              ,4                       ,3                 ,5           ,8                 ,                  ,32                   ,                  ,7                     ,              ,4            ,1                   ,                  ,6                ,6                         ,11                ,              ,43                         ,2                  ,21                  ,5                         ,27                   ,70                       ,1                     ,                 ,                ,                 ,2               ,                 ,1        ,13                  ,3             ,                      ,                         ,                   ,                        ,                   ,                        ,                           ,                     ,              ,             ,                             ,                        ,2                      ,             ,                 ,                    ,                  ,                   ,                  ,                ,                           ,                    ,                   ,other taxa = 4; total count = 298; from Leg 154SR Ch 27 Table 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
