Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Discoaster surculus	Discoaster pentaradiatus	Discoaster brouweri	Pseudoemiliania lacunosa	Helicosphaera sellii	Helicosphaera carteri	Discoaster triradiatus	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Helicosphaera inversa	Braarudosphaera bigelowii	Gephyrocapsa spp. (small)	Gephyrocapsa sp. medium	Scyphosphaera spp.	Gephyrocapsa spp. (large)	Gephyrocapsa oceanica	Syracosphaera spp.	Pontosphaera spp.	Emiliania huxleyi	Ceratolithus telesmus	Gephyrocapsa omega	Helicosphaera wallichii	Gephyrocapsa sp.3 medium	Reticulofenestra asanoi	Florisphaera profunda	Comment
  IR	                 	                 	                  	              	172	1054	A	  2	H	CC	  12.00	     17.8300	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	                        	                    	                     	                      	                     	                      	                      	                      	+                    	                         	                         	                       	                  	                         	A                    	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 0.085 > 0.26 (?)many diatom frags. - C. pelagicus xx(C) / reworked?  E. huxleyi is not clear

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 1	  20.00	     17.7000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	+                    	+                     	                      	                      	                     	                         	+                        	+                      	+                 	                         	                     	+                 	+                	-                	+                    	+                 	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 1	  70.00	     18.2000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	+                    	+                     	                      	                      	                     	                         	+                        	D                      	                  	                         	                     	+                 	                 	-                	+                    	+                 	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 1	 130.00	     18.8000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	-                       	                    	                     	                      	+                    	+                     	                      	                      	                     	                         	+                        	+                      	+                 	                         	                     	+                 	+                	-                	+                    	+                 	+                      	                        	                       	+                    	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 2	  20.00	     19.2000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	R                       	                    	                     	                      	+                    	+                     	                      	                      	                     	                         	A                        	A                      	+                 	                         	                     	+                 	+                	-                	+                    	A                 	+                      	F                       	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 2	  70.00	     19.7000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	R                       	                    	                     	                      	+                    	+                     	                      	                      	                     	                         	A                        	A                      	+                 	                         	                     	+                 	+                	-                	+                    	+                 	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 3	  70.00	     21.2000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	F                       	                    	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	A                      	+                 	                         	                     	+                 	+                	-                	+                    	+                 	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 4	  20.00	     22.2000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	C                       	                    	+                    	                      	+                    	+                     	                      	+                     	                     	                         	+                        	+                      	+                 	                         	                     	+                 	+                	-                	+                    	+                 	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 4	  90.00	     22.9000	Raffi    	Nannofossils                                 	R              	M                 	                   	                        	                   	R                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	R                        	R                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  3	H	 6	  20.00	     25.2000	Raffi    	Nannofossils                                 	F              	M                 	                   	                        	                   	C                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	C                        	F                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	  3	H	CC	  21.00	     27.4100	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	C                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 0.46 < 0.96 - diatoms - some reworking - betweem stages 12-25

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 1	  50.00	     27.5000	Raffi    	Nannofossils                                 	R              	M                 	                   	                        	                   	-                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	R                        	R                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 1	  68.00	     27.6800	Raffi    	Nannofossils                                 	R              	M                 	                   	                        	                   	F                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	F                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 2	  50.00	     29.0000	Raffi    	Nannofossils                                 	R              	M                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	D                        	R                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 2	  70.00	     29.2000	Raffi    	Nannofossils                                 	R              	P                 	                   	                        	                   	F                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	R                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 3	  50.00	     30.5000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	D                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 3	  66.00	     30.6600	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	C                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	+                      	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	Pleistocene      	                  	              	172	1054	A	  4	H	 4	  50.00	     32.0000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	+                      	                     	Nannofossil assemplage is diluted by inorganic prticles

  IR	                 	                 	                  	              	172	1054	A	  4	H	CC	  20.00	     37.0300	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	A                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 0.46 < 0.96 - diatoms (C)- B. bigelowi frags.

  IR	                 	                 	                  	              	172	1054	A	  5	H	CC	  14.00	     45.6400	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	1                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 0.46 < 0.96 (?)- diatoms (C)

  IR	                 	                 	                  	              	172	1054	A	  6	H	CC	  26.00	     56.1000	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 0.46 < 0.96 (?) - diatoms (C) - few reworked frags and inorganic material

  IR	                 	Pleistocene      	                  	              	172	1054	A	  7	H	 3	  47.00	     58.9700	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	A                       	                    	                     	                      	+                    	+                     	                      	+                     	                     	                         	A                        	-                      	                  	-                        	                     	                  	                 	                 	+                    	-                 	                       	-                       	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	  7	H	CC	  25.00	     59.3500	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	A                       	                    	                     	                      	                     	                      	                      	                      	                     	                         	A                        	-                      	                  	1                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 0.96 < 1.24 - diatoms (A) and other siliceous stuff - between isot. stages 25-37 - lg Geph / reworked

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 1	  48.00	     59.8800	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	                    	                     	                      	+                    	+                     	                      	+                     	                     	                         	A                        	-                      	                  	C                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 1	 120.00	     60.6000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	-                   	F                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	C                      	                  	F                        	                     	                  	                 	                 	                     	                  	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 2	  48.00	     61.3800	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	                        	-                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	C                      	                  	F                        	                     	                  	                 	                 	                     	                  	+                      	                        	                       	                     	Presence of few reworked forms

  IR	                 	                 	                  	              	172	1054	A	  8	H	 2	 120.00	     62.1000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	-                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	C                        	C                      	                  	C                        	                     	                  	                 	                 	                     	                  	+                      	                        	                       	                     	Early- Middle Miocene reworking

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 3	  48.00	     62.8800	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	-                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	                         	C                      	                  	F                        	                     	                  	                 	                 	                     	                  	+                      	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 3	 120.00	     63.6000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	                        	-                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	C                      	                  	C                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 4	  48.00	     64.3800	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	R                   	+                    	                      	C                    	+                     	                      	+                     	                     	                         	C                        	R                      	+                 	A                        	                     	+                 	                 	                 	+                    	+                 	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	 4	 120.00	     65.1000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	+                       	-                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	+                      	                  	C                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	  8	H	CC	  14.00	     65.7100	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	+                       	-                   	                     	                      	                     	                      	                      	                      	                     	                         	                         	                       	                  	C                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.24 < 1.58 - between stages 25 - 37

  IR	                 	Pleistocene      	                  	              	172	1054	A	  9	H	 1	  67.00	     66.4700	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	                        	C                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	                       	                  	C                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	  9	H	CC	  13.00	     74.4000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	F                       	C                   	                     	                      	                     	                      	                      	                      	                     	                         	                         	A                      	                  	F                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.24 < 1.58 - C. pelagicus (A) - Diatoms - some reworking

  IR	                 	Pleistocene      	                  	              	172	1054	A	 10	H	 7	  45.00	     84.7500	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	                       	                  	C                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 10	H	CC	  30.00	     85.5000	Raffi    	Nannofossils                                 	C              	G                 	                   	                        	                   	C                       	F                   	                     	                      	                     	                      	                      	                      	                     	                         	                         	A                      	                  	A                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.25 < 1.58 - Diatoms and other siliceous stuff - Chiasmolithus

  IR	                 	Pleistocene      	                  	              	172	1054	A	 11	X	 1	  69.00	     85.4900	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	+                       	+                   	+                    	                      	+                    	+                     	-                     	                      	                     	                         	+                        	+                      	+                 	+                        	                     	+                 	+                	-                	+                    	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 11	X	 2	  69.00	     86.9900	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	                     	                      	+                    	+                     	-                     	                      	                     	+                        	A                        	+                      	+                 	C                        	                     	+                 	+                	-                	+                    	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 11	X	 3	  69.00	     88.4900	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	D                      	                  	-                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 11	X	 4	  69.00	     89.9900	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	                    	+                    	                      	+                    	+                     	                      	+                     	                     	+                        	A                        	A                      	                  	+                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 11	X	 5	  69.00	     91.4900	Raffi    	Nannofossils                                 	               	                  	                   	                        	                   	A                       	+                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	A                      	                  	-                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 11	X	 6	  69.00	     92.9900	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	A                      	                  	-                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 11	X	CC	  29.00	     94.6500	Raffi    	Nannofossils                                 	A              	VG                	                   	                        	                   	C                       	C                   	                     	                      	                     	                      	                      	                      	                     	                         	                         	                       	                  	                         	A                    	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.58< 1.67- Diatoms and other siliceous stuff abundant

  IR	                 	                 	                  	              	172	1054	A	 12	H	CC	  45.00	    102.9500	Raffi    	Nannofossils                                 	A              	VG                	                   	                        	                   	A                       	A                   	                     	                      	                     	                      	-                     	                      	                     	                         	                         	A                      	                  	-                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.58< 1.67- Diatoms and other siliceous stuff abundant

  IR	                 	Pleistocene      	                  	              	172	1054	A	 13	X	 6	 120.00	    111.7000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	                     	                      	                     	                      	                      	                      	                     	                         	A                        	A                      	                  	-                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 13	X	CC	  24.00	    112.2400	Raffi    	Nannofossils                                 	F              	M                 	                   	                        	                   	C                       	F                   	                     	                      	                     	                      	-                     	                      	                     	                         	                         	+                      	                  	                         	+                    	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.58< 1.69- siliceous stuff

  IR	                 	Pleistocene      	                  	              	172	1054	A	 14	X	 1	  37.00	    113.0700	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	                      	+                     	                     	                         	A                        	R                      	                  	-                        	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 14	X	 1	  70.00	    113.4000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	+                     	+                     	                     	                         	A                        	R                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 14	X	 2	  37.00	    114.5700	Raffi    	Nannofossils                                 	               	                  	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	                      	+                     	                     	F                        	A                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 14	X	 2	  70.00	    114.9000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	A                   	+                    	                      	+                    	+                     	+                     	+                     	                     	                         	A                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Pleistocene      	                  	              	172	1054	A	 14	X	 4	  70.00	    117.9000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	                   	A                       	C                   	+                    	                      	+                    	+                     	+                     	+                     	                     	                         	A                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 14	X	CC	  18.00	    122.2000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	-                  	A                       	A                   	                     	                      	                     	                      	F                     	                      	                     	                         	                         	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.69< 1.95- siliceous stuff

  IR	                 	Pleistocene      	                  	              	172	1054	A	 16	X	 6	 109.00	    140.4900	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	-                  	A                       	+                   	+                    	-                     	+                    	+                     	F                     	+                     	                     	                         	+                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 16	X	CC	  30.00	    141.5200	Raffi    	Nannofossils                                 	               	                  	                   	                        	                   	A                       	A                   	                     	                      	                     	C                     	R                     	                      	                     	R                        	                         	                       	F                 	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.69< 1.95/.97 - no discoasters

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 18	X	 1	  40.00	    151.6000	Raffi    	Nannofossils                                 	A              	G                 	                   	-                       	F                  	A                       	C                   	+                    	R                     	+                    	+                     	+                     	+                     	                     	                         	+                        	-                      	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 18	X	 3	  40.00	    154.6000	Raffi    	Nannofossils                                 	A              	G                 	-                  	-                       	-                  	A                       	C                   	+                    	-                     	C                    	+                     	+                     	+                     	                     	                         	C                        	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 18	X	 4	  40.00	    156.1000	Raffi    	Nannofossils                                 	A              	G                 	-                  	-                       	-                  	                        	C                   	+                    	-                     	+                    	+                     	+                     	+                     	                     	                         	+                        	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 18	X	CC	  43.00	    159.9000	Raffi    	Nannofossils                                 	A              	G                 	                   	                        	1                  	A                       	C                   	                     	                      	                     	                      	                      	                      	                     	R                        	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.69< 1.95/.97 - no discoasters - many diatoms/mod preservation

  IR	                 	                 	                  	              	172	1054	A	 19	X	CC	  15.00	    166.0200	Raffi    	Nannofossils                                 	               	                  	R1                 	                        	C                  	                        	                    	                     	R1                    	                     	                      	                      	                      	                     	R                        	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.95< 2.52

  IR	                 	                 	                  	              	172	1054	A	 20	X	CC	  33.00	    177.9500	Raffi    	Nannofossils                                 	               	                  	R                  	1                       	F                  	                        	                    	                     	                      	                     	                      	                      	                      	                     	R                        	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.95< 2.52

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 21	X	 6	  40.00	    186.9200	Raffi    	Nannofossils                                 	A              	G                 	-                  	-                       	C                  	A                       	C                   	+                    	-                     	+                    	+                     	+                     	+                     	                     	                         	+                        	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 21	X	 6	 118.00	    187.7000	Raffi    	Nannofossils                                 	A              	G                 	-                  	-                       	F                  	A                       	A                   	+                    	-                     	+                    	+                     	C                     	+                     	                     	                         	+                        	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 21	X	 7	  40.00	    188.4200	Raffi    	Nannofossils                                 	A              	G                 	-                  	-                       	F                  	+                       	+                   	+                    	-                     	+                    	+                     	+                     	+                     	                     	                         	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 21	X	 7	 124.00	    189.2600	Raffi    	Nannofossils                                 	A              	G                 	-                  	-                       	C                  	C                       	+                   	+                    	-                     	+                    	+                     	F                     	+                     	+                    	+                        	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 21	X	CC	  31.00	    189.6900	Raffi    	Nannofossils                                 	               	                  	                   	-                       	A                  	                        	                    	                     	                      	                     	                      	                      	                      	                     	                         	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 1.95< 2.52

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 22	X	 1	  20.00	    190.0000	Raffi    	Nannofossils                                 	A              	G                 	-                  	F                       	C                  	C                       	+                   	+                    	-                     	+                    	+                     	F                     	+                     	                     	                         	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 22	X	 2	 125.50	    192.5550	Raffi    	Nannofossils                                 	A              	G                 	-                  	C                       	-                  	C                       	+                   	+                    	-                     	+                    	+                     	+                     	+                     	                     	                         	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	Late Pliocene    	                  	              	172	1054	A	 22	X	 5	 125.50	    197.0550	Raffi    	Nannofossils                                 	A              	G                 	-                  	F                       	R                  	+                       	+                   	+                    	-                     	+                    	+                     	F                     	+                     	                     	                         	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	       

  IR	                 	                 	                  	              	172	1054	A	 22	X	CC	  31.00	    198.7300	Raffi    	Nannofossils                                 	C              	M                 	R                  	F                       	C                  	                        	                    	                     	                      	                     	                      	                      	                      	                     	                         	                         	                       	                  	                         	                     	                  	                 	                 	                     	                  	                       	                        	                       	                     	> 2.52 < 2.83



