Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria laevigata	Uvigerina senticosa	Uvigerina peregrina	Uvigerina auberiana	Stilostomella spp.	Pyrgo spp.	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Nodosaria spp.	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Lagena spp.	Hoeglundina elegans	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Gavelinopsis translucens	Fontbotia wuellerstorfi	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cibicidoides kullenbergi	Chilostomella oolina	Cassidulina crassa	Cassidulina carinata	Bulimina marginata	Bulimina gr. costata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Fursenkoina sp.	Cibicidoides wuellerstorfi	Caudammina crassa	Comment
  IR	                 	                 	                  	              	172	1054	A	  4	H	CC	  20.00	     37.0300	Poli     	Benthic Foraminifers                         	A              	VG                	T                     	                   	-                  	T                  	C                 	          	                  	T                    	A                     	T                   	              	           	-                   	-                 	           	-                  	                  	C                          	T                    	T                       	                       	-                   	              	-               	-                       	R                   	                  	T                   	R                 	-                   	                    	                 	                        	                       	                       	F             	               	T                         	F                	       

  IR	                 	                 	                  	              	172	1054	A	  5	H	CC	  14.00	     45.6400	Poli     	Benthic Foraminifers                         	A              	VG                	-                     	                   	-                  	T                  	T                 	          	                  	T                    	A                     	T                   	              	           	-                   	-                 	           	-                  	                  	R                          	-                    	T                       	                       	-                   	              	-               	-                       	T                   	                  	R                   	T                 	T                   	                    	                 	                        	                       	                       	R             	               	T                         	F                	       

  IR	                 	                 	                  	              	172	1054	A	  6	H	CC	  26.00	     56.1000	Poli     	Benthic Foraminifers                         	A              	VG                	-                     	                   	-                  	T                  	T                 	          	                  	T                    	A                     	T                   	              	           	-                   	-                 	           	-                  	                  	R                          	-                    	T                       	T                      	-                   	              	-               	-                       	T                   	F                 	R                   	T                 	T                   	                    	                 	                        	                       	                       	R             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	  7	H	CC	  25.00	     59.3500	Poli     	Benthic Foraminifers                         	A              	G                 	R                     	-                  	-                  	T                  	T                 	-         	-                 	-                    	A                     	R                   	-             	           	-                   	-                 	-          	-                  	-                 	T                          	-                    	-                       	R                      	-                   	-             	-               	-                       	-                   	-                 	T                   	T                 	-                   	                    	                 	-                       	                       	-                      	T             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	  8	H	CC	  14.00	     65.7100	Poli     	Benthic Foraminifers                         	C              	M                 	-                     	F                  	-                  	-                  	C                 	-         	-                 	-                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	-                 	-                          	C                    	-                       	-                      	-                   	-             	-               	-                       	C                   	-                 	-                   	F                 	-                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	  9	H	CC	  13.00	     74.4000	Poli     	Benthic Foraminifers                         	C              	M                 	T                     	-                  	R                  	-                  	C                 	F         	-                 	-                    	-                     	T                   	F             	-          	T                   	-                 	-          	-                  	-                 	-                          	-                    	-                       	R                      	-                   	-             	-               	-                       	T                   	-                 	-                   	C                 	-                   	-                   	-                	-                       	-                      	T                      	-             	A              	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 10	H	CC	  30.00	     85.5000	Poli     	Benthic Foraminifers                         	F              	G                 	-                     	-                  	-                  	-                  	-                 	F         	-                 	T                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	-                 	-                          	-                    	-                       	C                      	-                   	-             	R               	-                       	-                   	-                 	-                   	-                 	T                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 11	X	CC	  29.00	     94.6500	Poli     	Benthic Foraminifers                         	C              	G                 	-                     	-                  	-                  	-                  	C                 	-         	-                 	-                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	-                 	-                          	C                    	-                       	-                      	-                   	-             	-               	-                       	A                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 12	H	CC	  45.00	    102.9500	Poli     	Benthic Foraminifers                         	C              	M                 	-                     	-                  	-                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	C             	-          	-                   	-                 	-          	C                  	-                 	-                          	C                    	-                       	R                      	-                   	-             	-               	-                       	A                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 13	X	CC	  24.00	    112.2400	Poli     	Benthic Foraminifers                         	T              	P                 	-                     	+                  	-                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	+             	-          	-                   	-                 	-          	-                  	+                 	-                          	+                    	-                       	+                      	-                   	+             	-               	-                       	+                   	-                 	-                   	+                 	-                   	-                   	-                	-                       	-                      	-                      	+             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 14	X	CC	  18.00	    122.2000	Poli     	Benthic Foraminifers                         	T              	M                 	-                     	+                  	-                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	+             	-          	-                   	-                 	-          	+                  	-                 	-                          	+                    	-                       	+                      	-                   	+             	-               	-                       	+                   	-                 	-                   	+                 	-                   	-                   	-                	-                       	-                      	-                      	+             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 16	X	CC	  30.00	    141.5200	Poli     	Benthic Foraminifers                         	F              	M                 	T                     	T                  	-                  	-                  	C                 	F         	-                 	-                    	-                     	-                   	F             	-          	-                   	-                 	-          	-                  	F                 	-                          	-                    	-                       	F                      	-                   	-             	-               	-                       	C                   	-                 	-                   	-                 	-                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 18	X	CC	  43.00	    159.9000	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	-                  	-                  	-                  	C                 	-         	-                 	-                    	-                     	-                   	T             	-          	-                   	-                 	-          	-                  	-                 	-                          	A                    	-                       	-                      	-                   	-             	-               	-                       	-                   	-                 	-                   	-                 	F                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 19	X	CC	  15.00	    166.0200	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	T                  	-                  	-                  	R                 	-         	-                 	-                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	F                 	-                          	-                    	-                       	-                      	-                   	-             	-               	F                       	-                   	-                 	-                   	R                 	R                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 20	X	CC	  33.00	    177.9500	Poli     	Benthic Foraminifers                         	F              	M                 	-                     	A                  	-                  	-                  	-                 	-         	-                 	-                    	-                     	-                   	-             	-          	-                   	-                 	-          	-                  	F                 	-                          	-                    	-                       	F                      	-                   	-             	-               	-                       	-                   	-                 	-                   	F                 	-                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 21	X	CC	  31.00	    189.6900	Poli     	Benthic Foraminifers                         	R              	G                 	-                     	+                  	-                  	-                  	-                 	+         	+                 	-                    	-                     	-                   	+             	-          	-                   	-                 	-          	+                  	-                 	-                          	-                    	-                       	+                      	-                   	-             	+               	-                       	-                   	-                 	-                   	+                 	+                   	-                   	-                	-                       	-                      	-                      	-             	               	                          	                 	       

  IR	                 	                 	                  	              	172	1054	A	 22	X	CC	  31.00	    198.7300	Poli     	Benthic Foraminifers                         	C              	M                 	-                     	C                  	-                  	-                  	-                 	R         	-                 	-                    	-                     	-                   	F             	-          	-                   	-                 	-          	C                  	-                 	-                          	-                    	-                       	F                      	-                   	-             	R               	-                       	-                   	-                 	-                   	-                 	T                   	-                   	R                	-                       	-                      	-                      	-             	               	                          	                 	       

