Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thyrsocyrtis rhizodon,Theocotyle venezuelensis,Spongatractus pachystylus,Podocyrtis sinuosa,Lithocyclia ocellus,Eusyringium lagena,Eusyringium fistuligerum,Dictyoprora mongolfieri,Calocyclas hispida,Thyrsocyrtis triacantha,Tristylospyris triceros,Podocyrtis  ampla,Podocyrtis diamesa,Theocorys acroria,Podocyrtis mitra,Thyrsocyrtis lochites,Sethochytris triconiscus,Podocyrtis trachodes,Podocyrtis papalis,Podocyrtis chalara,Cryptocarpium ornatum,Lophocyrtis jacchia,Podocyrtis goetheana,Lithocyclia aristotelis group,Cryptocarpium azyx,Dictyoprora armadillo,Calocyclas bandyca,Centrobotrys petrushevskayae,Thyrsocyrtis  tetracantha,Thyrsocyrtis bromia,Calocyclas turris,Theocyrtis tuberosa,Lychnocanoma amphitrite,Artophormis barbadensis,Lithocyclia angusta,Artophormis gracilis,Lithocyclia crux,Theocyrtis annosa,Lychnodictyum audax,Didymocyrtis prismatica,Dorcadospyris circulus,Dorcadospyris ateuchus,Dorcadospyris papilio,Lychnocanoma elongata,Dorcadospyris forcipata,Eucyrtidium diaphanes,Carpocanopsis cingulata,Siphostichartus corona,Cyrtocapsella tetrapera,Cyrtocapsella cornuta,Carpocanopsis favosa,Stichocorys delmontensis,Didymocyrtis violina,Stichocorys wolffii,Carpocanopsis bramlettei,Calocycletta virginis,Dorcadospyris dentata,Calocycletta costata,Calocycletta caepa,Liriospyris stauropora,Didymocyrtis tubaria,Didymocyrtis mammifera,Dorcadospyris alata,Lithopera neotera,Didymocyrtis laticonus,Carpocanopsis cristata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,C. costata (RN4)  ,C. costata (RN4),199,1219,A,  3,H,CC,  12.00,     25.3100,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,+                    ,+                      ,+                    ,+                      ,                      ,                       ,+                    ,                    ,+                       ,+                   ,+                  ,+                       ,+                    ,+                    ,+                   ,                  ,+                     ,+                   ,+                     ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,S. wolffii (RN3)  ,S. wolffii (RN3),199,1219,A,  4,H, 1,  90.00,     25.9000,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,+                      ,                      ,+                     ,                     ,                     ,                       ,+                    ,                       ,+                     ,                       ,+                    ,                    ,                        ,                    ,+                  ,                        ,+                    ,+                    ,-                   ,-                 ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,S. wolffii (RN3)  ,S. wolffii (RN3),199,1219,A,  4,H, 5,  46.00,     31.4600,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,+                      ,                      ,                      ,                     ,                     ,                       ,+                    ,                       ,+                     ,+                      ,+                    ,                    ,                        ,                    ,+                  ,+                       ,+                    ,+                    ,-                   ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,S. delmontense (RN2),S.delmontense RN2,199,1219,A,  4,H, 6,  46.00,     32.9600,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,+                      ,                      ,+                     ,                     ,+                    ,                       ,+                    ,                       ,+                     ,+                      ,+                    ,                    ,+                       ,                    ,-                  ,+                       ,+                    ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,S. delmontense (RN2),S.delmontense RN2,199,1219,A,  4,H,CC,  18.00,     34.8400,nannos   ,Radiolarians                                 ,C              ,M                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,+                      ,                      ,                      ,                     ,+                    ,+                      ,+                    ,+                      ,                      ,+                      ,+                    ,+                   ,+                       ,+                   ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,S. delmontense (RN2),S.delmontense RN2,199,1219,A,  5,H, 4,  45.00,     39.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,                 ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,+                       ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,C. tetrapera (RN1),C. tetrapera(RN1),199,1219,A,  5,H, 5,  45.00,     40.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,+                ,                   ,+                      ,                      ,+                     ,                     ,+                    ,                       ,+                    ,                       ,+                     ,+                      ,+                    ,+                   ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,C. tetrapera (RN1),C. tetrapera(RN1),199,1219,A,  5,H,CC,  14.00,     44.4300,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,+                ,                   ,+                      ,                      ,                      ,                     ,+                    ,+                      ,+                    ,                       ,                      ,+                      ,+                    ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,C. tetrapera (RN1),C. tetrapera(RN1),199,1219,A,  6,H, 1,  45.00,     44.4500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,+                  ,+                      ,                      ,                      ,                     ,+                    ,+                      ,+                    ,                       ,                      ,+                      ,+                    ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,L. elongata (RP22),L. elongata(RP22),199,1219,A,  6,H, 2,  45.00,     45.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,+                ,                   ,+                      ,                      ,                      ,                     ,+                    ,+                      ,+                    ,                       ,+                     ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,L. elongata (RP22),L. elongata(RP22),199,1219,A,  6,H,CC,  18.00,     53.9000,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,+                      ,+                     ,+                     ,                     ,+                    ,                       ,-                    ,-                      ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,L. elongata (RP22),L. elongata(RP22),199,1219,A,  7,H,CC,  24.00,     62.9400,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,+                      ,                      ,+                     ,+                    ,+                    ,+                      ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,D. ateuchus (RP21),D. ateuchus(RP21),199,1219,A,  8,H, 1,  43.00,     63.4300,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,                       ,                      ,+                     ,+                    ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,D. ateuchus (RP21),D. ateuchus(RP21),199,1219,A,  8,H,CC,  20.00,     73.0500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,+                      ,                      ,+                     ,                     ,-                    ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,D. ateuchus (RP21),D. ateuchus(RP21),199,1219,A,  9,H,CC,  10.00,     82.3500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,                       ,+                     ,+                     ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,D. ateuchus (RP21),D. ateuchus(RP21),199,1219,A, 10,H,CC,  27.00,     91.5700,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,                       ,+                     ,+                     ,+                    ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,D. ateuchus (RP21),D. ateuchus(RP21),199,1219,A, 11,H,CC,  11.00,    101.1300,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,+                  ,                       ,                      ,+                     ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,D. ateuchus (RP21),D. ateuchus(RP21),199,1219,A, 12,H, 6,  45.00,    108.9500,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,-                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,+                   ,                ,+                ,                   ,+                      ,+                     ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 12,H, 7,  45.00,    110.4500,nannos   ,Radiolarians                                 ,C              ,M                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,                       ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,                            ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,-                ,                   ,                       ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 12,H,CC,  24.00,    111.0800,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,+                  ,                    ,+               ,-                ,                   ,+                      ,+                     ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 13,H, 3,  45.00,    113.5100,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,                   ,                       ,                       ,                   ,                    ,                ,-                ,                   ,+                      ,+                     ,-                     ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Oligocene  ,Early Oligocene  ,RP20              ,RP20          ,199,1219,A, 13,H,CC,   7.00,    120.0800,nannos   ,Radiolarians                                 ,C              ,G                 ,                     ,                        ,                         ,                  ,                   ,                  ,                        ,                       ,                  ,                       ,+                      ,                 ,                  ,                 ,                ,                     ,                        ,                    ,                  ,                  ,                     ,                   ,                    ,                             ,                  ,                     ,                  ,+                           ,                         ,                   ,                 ,-                  ,                       ,                       ,+                  ,+                   ,                ,-                ,+                  ,+                      ,                      ,                      ,                     ,                     ,                       ,                     ,                       ,                      ,                       ,                     ,                    ,                        ,                    ,                   ,                        ,                     ,                     ,                    ,                  ,                      ,                    ,                      ,                   ,                 ,                      ,                      ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
