Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stichocorys delmontensis,Siphostichartus corona,Lychnocanoma elongata,Lamprocyclas margatensis,Dorcadospyris sp. cf. D. dentata,Didymocyrtis violina,Carpocanium kinugasense,Calocycletta costata,Botryostrobus miralestensis,Botryostrobus bramlettei,Astrophacus sp.,Didymocyrtis laticonus,Anthocyrtidium ophirense,Saturnalis circularis,Dorcadospyris alata,Theocorys spongoconus,Eucyrtidium calvertense,Siphonosphaera spinosa,Peripyramis circumtexta,Dictyocoryne profunda,Theocyrtis sp. A,Stylotrochus sol,Stylacontarium acquilonium,Otosphaera sp.,Otosphaera auriculata,Diartus petterssoni,Spongocore cylindrica,Pterocanium orcinum,Didymocyrtis penultima,Didymocyrtis antepenultima,Pterocanium trilobum,Cornutella profunda,Cornutella bimarginata,Stichocorys peregrina,Stichocorys sp. B,Spongaster tetras tetras,Eucyrtidium hexasticum,Clathrocyclas bicornis,Eucyrtidium punctatum,Pterocanium korotnevi,Cyrtolagena aglaolampa,Archipilium quasimacropum,Lamprocyclas maritalis maritalis,Eucyrtidium matuyamai,Lamprocyclas junonis,Dictyophimus crisiae,Botryostrobus auritus group,Amphirhopalum ypsilon,Hexacontium arachnoidale,Dictyocoryne truncatum,Spongodiscus gigas,Cyrtocapsella cornuta,Theocorythium trachelium trachelium,Eucyrtidium hexagonatum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A,  6,H,CC,   5.00,     57.6300,Wang     ,Radiolarians                                 ,F              ,P                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,F                      ,                     ,                ,                ,F                         ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,F                  ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,F                               ,F                    ,                    ,                    ,R                          ,F                    ,                        ,F                     ,                  ,R                    ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A,  7,H,CC,   5.00,     67.1500,Wang     ,Radiolarians                                 ,C              ,M                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,F                     ,                       ,F                    ,                ,                ,C                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,F                               ,F                    ,F                   ,                    ,F                          ,F                    ,                        ,                      ,R                 ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A,  8,H,CC,   2.00,     76.6600,Wang     ,Radiolarians                                 ,F              ,M                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,R                     ,                       ,                     ,                ,                ,C                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,F                  ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,F                               ,                     ,                    ,                    ,                           ,F                    ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A,  9,H,CC,   5.00,     86.0300,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,                       ,C                    ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,F                  ,                      ,                     ,                 ,F                       ,                      ,R                     ,R                    ,                     ,                      ,                         ,F                               ,F                    ,                    ,                    ,F                          ,F                    ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 10,X,CC,   5.00,     88.1000,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,R                       ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,R                    ,                   ,                     ,                       ,                      ,F                      ,F                    ,                ,                ,                          ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,F                   ,                   ,F                     ,R                    ,                 ,F                       ,                      ,                      ,                     ,                     ,                      ,R                        ,F                               ,F                    ,                    ,F                   ,                           ,R                    ,R                       ,F                     ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 11,X,CC,   5.00,     99.6400,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,F                       ,                     ,                   ,                     ,                       ,                      ,F                      ,C                    ,                ,                ,F                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,                   ,C                     ,R                    ,                 ,                        ,                      ,F                     ,F                    ,                     ,                      ,                         ,F                               ,C                    ,                    ,                    ,F                          ,R                    ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 12,X,CC,   5.00,    110.1000,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,R                    ,                   ,                     ,                       ,F                     ,                       ,F                    ,                ,                ,F                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,                   ,F                     ,R                    ,                 ,                        ,                      ,F                     ,                     ,                     ,                      ,                         ,F                               ,F                    ,F                   ,F                   ,F                          ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 13,X,CC,   1.00,    120.0100,Wang     ,Radiolarians                                 ,C              ,M                 ,                        ,                      ,                     ,R                       ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,C                      ,F                    ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,R                    ,                 ,                        ,                      ,                      ,F                    ,                     ,                      ,                         ,R                               ,F                    ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 14,X,CC,   6.00,    130.7300,Wang     ,Radiolarians                                 ,C              ,M                 ,F                       ,                      ,                     ,R                       ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,F                      ,F                    ,                ,                ,                          ,              ,                     ,                   ,R                    ,                   ,                      ,                          ,                    ,                   ,                      ,F                    ,                 ,                        ,                      ,                      ,R                    ,                     ,                      ,                         ,R                               ,F                    ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 15,X,CC,   6.00,    139.0800,Wang     ,Radiolarians                                 ,F              ,M                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,                       ,                     ,                ,                ,R                         ,              ,                     ,                   ,R                    ,                   ,                      ,                          ,                    ,R                  ,                      ,R                    ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 16,X,CC,   3.00,    148.1300,Wang     ,Radiolarians                                 ,C              ,M                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,R                    ,                   ,                     ,                       ,F                     ,                       ,F                    ,                ,                ,                          ,              ,                     ,                   ,C                    ,                   ,                      ,                          ,                    ,                   ,F                     ,F                    ,                 ,                        ,F                     ,                      ,                     ,F                    ,R                     ,R                        ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 17,X,CC,   7.00,    161.3400,Wang     ,Radiolarians                                 ,F              ,P                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,                       ,F                    ,                ,                ,F                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,                   ,                      ,F                    ,                 ,                        ,                      ,                      ,R                    ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 18,X,CC,   5.00,    165.7300,Wang     ,Radiolarians                                 ,F              ,P                 ,F                       ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,                      ,                       ,F                    ,                ,                ,F                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,                   ,                      ,F                    ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 19,X,CC,   5.00,    178.0000,Wang     ,Radiolarians                                 ,C              ,P                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,F                      ,                      ,                       ,                     ,                ,                ,F                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 20,X,CC,   5.00,    183.2100,Wang     ,Radiolarians                                 ,A              ,G                 ,F                       ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,F                       ,                     ,                   ,                     ,                       ,                      ,                       ,                     ,                ,                ,F                         ,              ,                     ,                   ,F                    ,                   ,                      ,                          ,                    ,R                  ,                      ,F                    ,F                ,F                       ,F                     ,F                     ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,S. peregrina(SWSR85),              ,125, 782,A, 21,X,CC,   5.00,    199.0900,Wang     ,Radiolarians                                 ,C              ,M                 ,                        ,                      ,                     ,                        ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,F                      ,F                     ,                       ,F                    ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,F                    ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. antepenultima RN7,D. penultima (RN8),125, 782,A, 22,X,CC,   5.00,    203.0100,Wang     ,Radiolarians                                 ,C              ,M                 ,                        ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,               ,                      ,                        ,                     ,                   ,                     ,                       ,R                     ,                       ,F                    ,                ,                ,F                         ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,F                    ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,D. antepenultima RN7,D. penultima (RN8),125, 782,A, 23,X,CC,   5.00,    221.0400,Wang     ,Radiolarians                                 ,A              ,G                 ,F                       ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,R              ,R                     ,                        ,                     ,                   ,                     ,F                      ,F                     ,F                      ,F                    ,                ,                ,                          ,              ,                     ,                   ,F                    ,                   ,F                     ,                          ,F                   ,R                  ,F                     ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,125, 782,A, 24,X, 2, 112.00,    223.6200,Wang     ,Radiolarians                                 ,A              ,G                 ,F                       ,                      ,                     ,C                       ,                                ,                    ,                       ,                    ,                           ,                        ,F              ,C                     ,F                       ,F                    ,                   ,                     ,                       ,F                     ,F                      ,F                    ,                ,                ,                          ,              ,F                    ,                   ,F                    ,                   ,C                     ,F                         ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. petterssoni (RN6),              ,125, 782,A, 25,X,CC,   9.00,    239.8900,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,F              ,F                     ,F                       ,                     ,                   ,                     ,                       ,                      ,                       ,                     ,                ,                ,F                         ,              ,                     ,F                  ,F                    ,R                  ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 782,A, 27,X,CC,   5.00,    253.7300,Wang     ,Radiolarians                                 ,               ,G                 ,                        ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,F              ,C                     ,                        ,F                    ,                   ,F                    ,F                      ,F                     ,                       ,F                    ,F               ,R               ,F                         ,R             ,C                    ,F                  ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 782,A, 28,X,CC,   8.00,    268.8400,Wang     ,Radiolarians                                 ,C              ,P                 ,                        ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,F              ,C                     ,F                       ,F                    ,F                  ,F                    ,                       ,                      ,F                      ,F                    ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 782,A, 30,X,CC,   5.00,    281.5000,Wang     ,Radiolarians                                 ,F              ,P                 ,                        ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,F              ,F                     ,F                       ,                     ,                   ,                     ,                       ,F                     ,                       ,                     ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 782,A, 31,X,CC,   5.00,    292.8400,Wang     ,Radiolarians                                 ,A              ,G                 ,                        ,                      ,                     ,F                       ,                                ,                    ,C                      ,                    ,                           ,                        ,               ,F                     ,F                       ,                     ,                   ,F                    ,F                      ,                      ,                       ,                     ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 782,A, 32,X,CC,   5.00,    302.5800,Wang     ,Radiolarians                                 ,F              ,M                 ,                        ,                      ,                     ,F                       ,                                ,                    ,F                      ,                    ,                           ,                        ,F              ,F                     ,                        ,R                    ,R                  ,                     ,                       ,                      ,                       ,                     ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,D. alata (RN5)    ,              ,125, 782,A, 33,X,CC,   5.00,    313.0100,Wang     ,Radiolarians                                 ,F              ,M                 ,                        ,                      ,                     ,F                       ,                                ,                    ,                       ,                    ,                           ,                        ,               ,F                     ,F                       ,                     ,                   ,                     ,                       ,                      ,                       ,                     ,                ,                ,                          ,              ,                     ,                   ,                     ,                   ,                      ,                          ,                    ,                   ,                      ,                     ,                 ,                        ,                      ,                      ,                     ,                     ,                      ,                         ,                                ,                     ,                    ,                    ,                           ,                     ,                        ,                      ,                  ,                     ,                                   ,                       ,from 125SR. Chapter 6. Table 1. pages 96 - 98.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
