Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Naviculopsis navicula,Naviculopsis biapiculata,Distephanus speculum minutus,Distephanus speculum hemisphaericus &  boliviensis (hemisphaericoid),Distephanus slavnicii,Distephanus crux scutulatus,Distephanus crux parvus,Distephanus crux,Distephanus boliviensis & speculum (bolivienoid)-(w/ >4aw.),Distephanus boliviensis & speculum (bolivienoid),Distephanus &  speculum (bolivienoid)-(w/ 3aw.),Distephanus &  speculum (bolivienoid)-(w/ 2aw.),Dictyocha longa,Dictyocha fibula,Corbisema triacantha,Bachmannocena triangula,Bachmannocena diodon nodosa (w/ 1 sp.),Septamesocena apiculata apiculata,Parathranium bispinum,Naviculopsis lata,Haplohermesinum hovassei,Foliactiniscus atlanticus,Falsebrioid Falsebrioid,Falsebria sp.,Falsebria ambigua,Ebriopsoid skeletons,Corbisema flexuosa,Ammodochium pyramidale,Ammodochioid skeletons,Actiniscus sp.,Actiniscus flosculus,Septamesocena apiculata f. curvata,Parathranium curvipes,Parathranium cf. clathratum,Parathranium cf. californicum,Naviculopsis lacrima,Hermesinoid skeletons,Hermesinella schulzii,Hermesinella primitiva,Hermesinella fenestrata,Hermesinella conata,Ditripodium cf. amphora,Distephanus speculum haliomma f. haliomma,Distephanus crux stradneri,Cannopilus hemisphaericus f. hemisphaericus,Distephanus stradneri,Dictyocha aspera,Bachmannocena apiculata curvata,Bachmannocena apiculata,Macrora stella,Distephanus crux longispinus,Distephanus crux darwinii,Distephanus aculeatus f. aculeatus,Dictyocha messaensis aspinosa,Corbisema species diversae,Naviculopsis quadrata,Naviculopsis iberica ,Mesocena elliptica,Haplohermesinum narbonensis,Foliactiniscus folia,Distephanus paraspeculum f. paraspeculum,Dictyocha varia,Dictyocha species diversae (asperoid),Dictyocha pulchella var. inflata,Naviculopsis species diversae,Distephanus speculum haliomma formae diversae,Distephanus speculum haliomma f. speculum,Distephanus paraspeculum f. hexagonalis,Naviculopsis navicula obtusarca,Naviculopsis navicula navicula,Falsebria cf. arborea,Bachmannocena quadrangula,Ebria inornata,Distephanus quinquangellus,Craniopsis sp.,Corbisema sp. 1,Caryocha ernestinae,Hermesinum obliquum,Foliactiniscus pulvinus,Actiniscus tetrasterias,Caryocha depressa,Dictyocha clinata,Distephanus bachmanni,Hermesinum adriaticum,Distephanus aff. fibula hexacantha,Distephanus quinquangellus (w/ 3ap.),Distephanus longispinus,Distephanus crux ssp. 3,Corbisema cf. trigonus,Caryocha cf. latifenestrata,Canopilus hemisphaericus f. heptagonus,Distephanus pseudofibula,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 3aw. & 7brs.),Distephanus (aberrant forms),Foliactiniscus mirabilis,Ditripodium amphora,Ditripodium latum,Cannopilus schulzii,Canopilus ernestinae,Distephanus boliviensis &  speculum (bolivienoid)-(w/ 7brs.),Actiniscus pentasterias,Distephanus crux ssp. 2,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  3,X, 5,  66.00,    206.2600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,5.0%                   ,46.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,                                 ,6.0%                 ,                 ,1.0%                    ,14.0%                    ,9.0%                   ,3.0%         ,                 ,                    ,                  ,6.0%                  ,2.0%                  ,25.0%         ,2.0%                ,T                                 ,                     ,15.0%                      ,3.0%                         ,                    ,1.0%                 ,1.0%                 ,                      ,                       ,4.0%               ,                       ,32.0%                                    ,1.0%                      ,13.0%                                      ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,T                                            ,2.0%                                     ,                                       ,                               ,                              ,2.0%                 ,                         ,              ,                          ,              ,               ,                   ,2.0%               ,                       ,                       ,                 ,                 ,                     ,2.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,1.0%               ,                 ,                   ,1.0%                ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  3,X, 5, 125.00,    206.8500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,21                          ,33                                                                  ,1                    ,8                          ,58                     ,104             ,4                                                          ,14                                              ,17                                             ,5                                              ,               ,1               ,1                   ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,2                    ,                ,4                              ,3                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,1                         ,              ,               ,3                  ,                   ,                       ,                       ,8                ,                 ,1                    ,                     ,                                  ,1                                   ,2                      ,                       ,                      ,1                          ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 293; Unidentifiabale fragments = 21; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  4,X, 2,  66.00,    211.3600,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,T                      ,54.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,1.0%                             ,10.0%                ,                 ,6.0%                    ,15.0%                    ,5.0%                   ,2.0%         ,                 ,3.0%                ,                  ,5.0%                  ,5.0%                  ,18.0%         ,T                   ,T                                 ,                     ,17.0%                      ,6.0%                         ,                    ,T                    ,1.0%                 ,                      ,                       ,T                  ,                       ,30.0%                                    ,T                         ,12.0%                                      ,                     ,                ,                               ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,2.0%                 ,                         ,              ,                          ,              ,               ,                   ,2.0%               ,                       ,                       ,                 ,                 ,                     ,1.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,T                ,T                  ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  4,X, 2, 124.00,    211.9400,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,14                          ,                                                                    ,4                    ,21                         ,51                     ,96              ,27                                                         ,20                                              ,28                                             ,13                                             ,               ,1               ,                    ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,10                   ,                ,3                              ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,1                ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,2                           ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 291; Unidentifiabale fragments = 9; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  4,X, 5,  62.00,    215.8200,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,5.0%                   ,50.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,T                   ,                       ,                                      ,                                 ,10.0%                ,                 ,7.0%                    ,17.0%                    ,8.0%                   ,             ,                 ,1.0%                ,                  ,4.0%                  ,4.0%                  ,25.0%         ,3.0%                ,T                                 ,T                    ,7.0%                       ,3.0%                         ,                    ,1.0%                 ,+                    ,                      ,T                      ,T                  ,T                      ,26.0%                                    ,                          ,6.0%                                       ,                     ,                ,                               ,                       ,              ,3.0%                        ,                         ,T                                 ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,2.0%                                     ,                                       ,                               ,                              ,2.0%                 ,                         ,              ,                          ,              ,               ,                   ,3.0%               ,                       ,                       ,                 ,                 ,                     ,2.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,                        ,                                                                   ,                            ,T                       ,T                  ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  4,X, 5, 115.00,    216.3500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,15                          ,17                                                                  ,2                    ,15                         ,97                     ,81              ,14                                                         ,19                                              ,27                                             ,9                                              ,               ,                ,2                   ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,2                    ,                ,9                              ,1                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,1                         ,              ,               ,1                  ,                   ,                       ,                       ,                 ,                 ,                     ,                     ,                                  ,                                    ,                       ,1                      ,                      ,                           ,                                      ,                        ,1                                                                  ,1                           ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 315; Unidentifiabale fragments = 11; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  5,X, 2,  47.00,    220.8700,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,7.0%                   ,53.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,T                   ,                       ,                                      ,1.0%                             ,10.0%                ,                 ,1.0%                    ,17.0%                    ,8.0%                   ,1.0%         ,                 ,                    ,                  ,10.0%                 ,2.0%                  ,31.0%         ,2.0%                ,3.0%                              ,                     ,3.0%                       ,3.0%                         ,                    ,1.0%                 ,                     ,                      ,1.0%                   ,2.0%               ,                       ,24.0%                                    ,                          ,7.0%                                       ,                     ,                ,                               ,                       ,              ,4.0%                        ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,T                            ,+                                            ,T                                        ,                                       ,                               ,                              ,5.0%                 ,                         ,              ,                          ,              ,               ,                   ,1.0%               ,                       ,                       ,                 ,T                ,                     ,1.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,1.0%                                  ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  5,X, 2, 125.00,    221.6500,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,20                          ,12                                                                  ,6                    ,13                         ,90                     ,101             ,9                                                          ,20                                              ,21                                             ,11                                             ,               ,1               ,1                   ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,1                              ,                       ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,                          ,              ,               ,                   ,                   ,                       ,                       ,2                ,                 ,                     ,                     ,                                  ,                                    ,                       ,                       ,                      ,                           ,                                      ,2                       ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 310; Unidentifiabale fragments = 1; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,lower C. triacantha,H. adriaticum ,104, 642,D,  5,X, 5,  60.00,    225.5000,Locker   ,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,                            ,                                                                    ,                     ,                           ,12.0%                  ,47.0%           ,                                                           ,                                                ,                                               ,                                               ,               ,                ,                    ,                       ,                                      ,1.0%                             ,26.0%                ,                 ,4.0%                    ,10.0%                    ,6.0%                   ,             ,T                ,T                   ,                  ,2.0%                  ,6.0%                  ,24.0%         ,T                   ,1.0%                              ,+                    ,                           ,7.0%                         ,                    ,2.0%                 ,T                    ,                      ,cf                     ,2.0%               ,+                      ,26.0%                                    ,1.0%                      ,23.0%                                      ,                     ,                ,                               ,                       ,              ,2.0%                        ,T                        ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,1.0%                                     ,                                       ,                               ,                              ,3.0%                 ,                         ,              ,                          ,              ,               ,                   ,2.0%               ,                       ,                       ,                 ,                 ,                     ,2.0%                 ,                                  ,                                    ,                       ,                       ,                      ,                           ,T                                     ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,from ODP 104 SR Chaper 30  Tables 1 & 2 p 550-553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Miocene    ,                 ,D. sp. hemis(Cies),              ,104, 642,D,  5,X, 5, 126.00,    226.1600,Ciesielski,Silicoflagellates/Ebridians/Actiniscidians   ,               ,                  ,                     ,                        ,36                          ,11                                                                  ,3                    ,10                         ,92                     ,70              ,6                                                          ,15                                              ,25                                             ,12                                             ,               ,                ,                    ,                       ,                                      ,                                 ,                     ,                 ,                        ,                         ,                       ,             ,                 ,                    ,                  ,                      ,                      ,              ,                    ,                                  ,                     ,                           ,                             ,                    ,                     ,                     ,                      ,                       ,                   ,                       ,                                         ,                          ,                                           ,                     ,                ,2                              ,1                      ,              ,                            ,                         ,                                  ,                             ,                          ,                     ,                     ,                  ,                           ,                    ,                                        ,               ,                                     ,                                ,                             ,                                             ,                                         ,                                       ,                               ,                              ,                     ,                         ,              ,1                         ,              ,               ,3                  ,                   ,                       ,                       ,3                ,                 ,                     ,                     ,                                  ,1                                   ,1                      ,1                      ,r1                    ,2                          ,                                      ,                        ,                                                                   ,                            ,                        ,                   ,                 ,                   ,                    ,                                                            ,                       ,                       ,Total whole specimens = 296; Unidentifiabale fragments = 12; from ODP Leg 104 Sr Chapter 28 Table 1 p 504-507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
