Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Triquetrorhabdulus carinatus,Sphenolithus moriformis,Sphenolithus distentus,Sphenolithus dissimilis,Sphenolithus compactus,Sphenolithus ciperoensis,Reticulofenestra pseudoumbilica,Reticulofenestra minutula,Reticulofenestra haqii,Reticulofenestra gelida,Helicosphaera recta,Ericsonia obruta,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Coccolithus eopelagicus,Calcidiscus macintyrei,Discoaster spp.,Coronocyclus nitescens,Reticulofenestra minuta,Discoaster variabilis,Sphenolithus delphix,Discoaster druggii,Calcidiscus premacintyrei,Calcidiscus leptoporus,Triquetrorhabdulus milowii,Triquetrorhabdulus rugosus,Sphenolithus abies,Hayaster perplexus,Pontosphaera spp.,Tetralithoides symeonidesii,Sphenolithus heteromorphus,Discoaster exilis,Sphenolithus belemnos,Sphenolithus conicus,Cyclolithella annula,Helicosphaera granulata,Coccolithus streckerii,Dictyococcites productus,Scyphosphaera spp.,Discoaster brouweri,Discoaster braarudii,Discoaster kugleri,Discoaster challengeri,Helicosphaera carteri,Discoaster surculus,Discoaster prepentaradiatus,Discoaster pansus,Discoaster bellus,Discoaster pseudovariabilis,Discoaster hamatus,Discoaster calcaris,Catinaster coalitus,Discoaster bollii,Discoaster triradiatus,Catinaster calyculus,Discoaster neohamatus,Discoaster asymmetricus,Discoaster pentaradiatus,Discoaster neorectus,Discoaster berggrenii,Discoaster quinqueramus,Discoaster loeblichii,Discoaster blackstockae,Pseudoemiliania lacunosa,Discoaster quadramus,Amaurolithus primus,Reticulofenestra asanoi,Ceratolithus rugosus,Helicosphaera sellii,Discoaster tristellifer,Discoaster decorus,Umbilicosphaera sibogae,Helicosphaera wallichii,Helicosphaera neogranulata,Discoaster tamalis,Ceratolithus cristatus,Syracosphaera pulchra,Coccolithus crassipons,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN13              ,NN15          ,130, 804,C,  5,H,CC,  26.00,     44.8200,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,12                             ,15                       ,4                     ,15                     ,                   ,                ,                     ,                     ,                           ,                     ,                        ,                       ,2                     ,1              ,                      ,113                    ,1                    ,                    ,                  ,                         ,17                    ,                          ,?                         ,10                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,1                   ,                       ,                      ,                        ,                  ,3                  ,                    ,                  ,?                     ,T                    ,?                  ,                           ,?                ,                 ,                           ,                  ,                   ,                   ,                 ,?                     ,                    ,                     ,                       ,3                       ,                    ,                     ,                       ,                     ,1                      ,                        ,                    ,                   ,1                      ,T                   ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN11              ,              ,130, 804,C,  6,H, 3,  90.00,     48.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,10                             ,43                       ,39                    ,22                     ,                   ,                ,                     ,                     ,                           ,7                    ,                        ,                       ,3                     ,               ,                      ,38                     ,T                    ,                    ,                  ,1                        ,12                    ,                          ,T                         ,11                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,T                   ,                       ,                      ,2                       ,                  ,6                  ,                    ,                  ,1                     ,1                    ,3                  ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,?                     ,                    ,                     ,?                      ,                        ,?                   ,?                    ,T                      ,                     ,                       ,?                       ,T                   ,?                  ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 1.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN11              ,              ,130, 804,C,  6,H,CC,  17.00,     54.3400,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,9                              ,10                       ,10                    ,16                     ,                   ,                ,                     ,                     ,                           ,7                    ,                        ,                       ,5                     ,               ,                      ,71                     ,1                    ,                    ,                  ,3                        ,25                    ,                          ,T                         ,37                ,                  ,T                ,                           ,                          ,                 ,                     ,                    ,1                   ,?                      ,                      ,3                       ,T                 ,T                  ,                    ,                  ,T                     ,1                    ,1                  ,                           ,                 ,                 ,                           ,                  ,                   ,                   ,                 ,T                     ,                    ,                     ,?                      ,                        ,T                   ,T                    ,T                      ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN11              ,              ,130, 804,C,  7,H, 4,  90.00,     59.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,4                              ,37                       ,65                    ,1                      ,                   ,                ,                     ,                     ,                           ,T                    ,?                       ,                       ,1                     ,               ,                      ,12                     ,T                    ,                    ,                  ,4                        ,16                    ,                          ,1                         ,58                ,T                 ,T                ,T                          ,                          ,                 ,                     ,                    ,1                   ,T                      ,                      ,                        ,T                 ,T                  ,                    ,                  ,?                     ,T                    ,T                  ,                           ,?                ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,                     ,                       ,T                       ,T                   ,T                    ,T                      ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN11              ,              ,130, 804,C,  7,H,CC,  17.00,     63.7600,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,T                      ,                      ,                       ,                      ,                        ,2                              ,33                       ,26                    ,                       ,                   ,                ,                     ,                     ,                           ,3                    ,?                       ,                       ,1                     ,               ,?                     ,84                     ,T                    ,                    ,                  ,T                        ,12                    ,                          ,T                         ,35                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,3                   ,T                      ,?                     ,1                       ,                  ,T                  ,                    ,                  ,T                     ,T                    ,T                  ,                           ,T                ,                 ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,T                    ,?                      ,T                       ,                    ,T                    ,T                      ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN11              ,              ,130, 804,C,  8,H, 3,  90.00,     67.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,T                      ,                      ,                       ,                      ,                        ,                               ,28                       ,36                    ,                       ,                   ,                ,                     ,                     ,                           ,11                   ,T                       ,                       ,1                     ,               ,                      ,72                     ,1                    ,                    ,                  ,1                        ,17                    ,                          ,1                         ,24                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,T                   ,T                      ,                      ,1                       ,1                 ,2                  ,                    ,                  ,                      ,1                    ,T                  ,                           ,T                ,                 ,                           ,                  ,                   ,                   ,                 ,?                     ,                    ,1                    ,                       ,                        ,T                   ,T                    ,2                      ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C,  8,H,CC,  16.00,     73.0600,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,                      ,                        ,                               ,21                       ,20                    ,                       ,                   ,                ,                     ,?                    ,                           ,6                    ,T                       ,                       ,T                     ,               ,                      ,32                     ,T                    ,                    ,                  ,3                        ,26                    ,                          ,1                         ,81                ,T                 ,                 ,T                          ,                          ,                 ,                     ,                    ,5                   ,T                      ,T                     ,1                       ,1                 ,T                  ,                    ,                  ,?                     ,2                    ,                   ,                           ,T                ,?                ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,?                    ,                       ,T                       ,?                   ,?                    ,?                      ,T                    ,T                      ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C,  9,H, 3,  90.00,     76.7000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,                      ,                        ,                               ,4                        ,2                     ,                       ,                   ,                ,                     ,                     ,                           ,6                    ,?                       ,                       ,4                     ,1              ,                      ,41                     ,3                    ,                    ,                  ,5                        ,26                    ,                          ,T                         ,103               ,?                 ,                 ,T                          ,                          ,                 ,                     ,                    ,1                   ,T                      ,                      ,1                       ,?                 ,1                  ,                    ,                  ,T                     ,T                    ,T                  ,                           ,1                ,?                ,                           ,                  ,?                  ,                   ,                 ,?                     ,                    ,T                    ,?                      ,T                       ,                    ,?                    ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C,  9,H,CC,  13.00,     80.9100,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,                      ,                        ,                               ,1                        ,1                     ,                       ,                   ,                ,                     ,                     ,                           ,11                   ,1                       ,                       ,2                     ,               ,                      ,46                     ,T                    ,                    ,                  ,12                       ,36                    ,                          ,1                         ,76                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,3                   ,3                      ,                      ,2                       ,T                 ,3                  ,                    ,                  ,?                     ,1                    ,T                  ,                           ,T                ,?                ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,T                    ,?                      ,T                       ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 10,H, 3,  90.00,     86.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,2                      ,                      ,                       ,                      ,                        ,T                              ,                         ,3                     ,                       ,                   ,5               ,                     ,                     ,                           ,5                    ,                        ,                       ,1                     ,               ,1                     ,49                     ,T                    ,                    ,                  ,9                        ,22                    ,                          ,1                         ,92                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,4                   ,3                      ,                      ,                        ,1                 ,1                  ,                    ,                  ,                      ,T                    ,                   ,                           ,T                ,1                ,                           ,                  ,?                  ,                   ,                 ,                      ,                    ,T                    ,                       ,?                       ,?                   ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 10,H,CC,  15.00,     90.2500,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,                      ,                        ,                               ,                         ,                      ,                       ,                   ,                ,                     ,                     ,                           ,34                   ,2                       ,                       ,11                    ,2              ,                      ,3                      ,6                    ,                    ,                  ,5                        ,48                    ,                          ,2                         ,60                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,4                   ,2                      ,?                     ,                        ,?                 ,13                 ,                    ,                  ,T                     ,1                    ,?                  ,                           ,?                ,1                ,                           ,                  ,                   ,                   ,                 ,1                     ,                    ,2                    ,?                      ,T                       ,2                   ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 11,H, 3,  90.00,     95.7000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,1                      ,                      ,                       ,6                     ,                        ,11                             ,2                        ,5                     ,75                     ,                   ,                ,                     ,?                    ,                           ,16                   ,T                       ,                       ,1                     ,2              ,?                     ,                       ,4                    ,                    ,                  ,1                        ,8                     ,                          ,2                         ,48                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,5                   ,1                      ,                      ,                        ,                  ,6                  ,1                   ,                  ,1                     ,T                    ,T                  ,T                          ,?                ,1                ,                           ,                  ,T                  ,                   ,                 ,?                     ,                    ,1                    ,?                      ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 2.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 11,H,CC,  15.00,    100.6800,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,T                      ,                      ,                       ,3                     ,                        ,16                             ,4                        ,5                     ,81                     ,                   ,                ,                     ,                     ,                           ,14                   ,7                       ,                       ,9                     ,1              ,                      ,1                      ,4                    ,                    ,                  ,2                        ,21                    ,                          ,2                         ,22                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,T                   ,1                      ,                      ,                        ,T                 ,4                  ,                    ,                  ,T                     ,1                    ,?                  ,1                          ,?                ,T                ,                           ,T                 ,1                  ,                   ,                 ,T                     ,T                   ,T                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 12,H, 3,  90.00,    105.2000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,                      ,                        ,33                             ,2                        ,12                    ,91                     ,                   ,                ,?                    ,                     ,                           ,19                   ,3                       ,                       ,7                     ,3              ,                      ,                       ,4                    ,                    ,                  ,1                        ,9                     ,                          ,3                         ,2                 ,                  ,                 ,                           ,                          ,2                ,                     ,                    ,T                   ,1                      ,                      ,                        ,T                 ,1                  ,?                   ,                  ,2                     ,1                    ,2                  ,?                          ,?                ,1                ,                           ,T                 ,?                  ,T                  ,                 ,?                     ,                    ,1                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 12,H,CC,  21.00,    111.0400,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,                       ,                      ,                       ,2                     ,                        ,16                             ,3                        ,3                     ,110                    ,                   ,                ,?                    ,                     ,                           ,11                   ,1                       ,                       ,8                     ,2              ,1                     ,                       ,7                    ,                    ,                  ,2                        ,20                    ,                          ,4                         ,5                 ,                  ,                 ,                           ,                          ,?                ,                     ,                    ,T                   ,1                      ,?                     ,                        ,T                 ,1                  ,                    ,                  ,2                     ,                     ,                   ,?                          ,                 ,1                ,                           ,T                 ,T                  ,T                  ,                 ,?                     ,T                   ,T                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN10              ,              ,130, 804,C, 13,H, 3,  90.00,    114.7000,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,5                      ,                      ,                       ,T                     ,                        ,44                             ,4                        ,6                     ,47                     ,                   ,                ,                     ,                     ,                           ,21                   ,?                       ,                       ,16                    ,4              ,                      ,                       ,2                    ,                    ,                  ,1                        ,12                    ,                          ,4                         ,31                ,                  ,                 ,                           ,                          ,                 ,                     ,                    ,T                   ,                       ,?                     ,                        ,                  ,?                  ,1                   ,                  ,T                     ,                     ,                   ,1                          ,                 ,1                ,                           ,                  ,                   ,                   ,                 ,                      ,                    ,T                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN9               ,              ,130, 804,C, 13,H,CC,  23.00,    120.2700,Takayama ,Nannofossils                                 ,               ,                  ,                       ,                            ,4                      ,                      ,                       ,6                     ,                        ,13                             ,1                        ,1                     ,101                    ,                   ,                ,                     ,                     ,                           ,13                   ,1                       ,                       ,5                     ,1              ,                      ,                       ,1                    ,                    ,                  ,T                        ,15                    ,                          ,2                         ,12                ,2                 ,                 ,                           ,                          ,1                ,                     ,                    ,1                   ,T                      ,?                     ,                        ,1                 ,4                  ,                    ,                  ,2                     ,1                    ,                   ,?                          ,?                ,1                ,                           ,5                 ,T                  ,                   ,                 ,                      ,T                   ,2                    ,                       ,                        ,                    ,                     ,                       ,                     ,                       ,                        ,                    ,                   ,                       ,                    ,                    ,                       ,                  ,                       ,                       ,                          ,                  ,                      ,                     ,                      ,Miscellaneous taxa = 4.from 130SR.Chapter 11.Table 17.page 214-216.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
