Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera spp.	Syracosphaera spp.	Sphenolithus neoabies	Sphenolithus moriformis	Sphenolithus compactus	Sphenolithus abies	Scyphosphaera sp. (fragment)	Reticulofenestra spp. (small - medium)	Reticulofenestra pseudoumbilica	Pontosphaera sp.	Helicosphaera kamptneri	Gephyrocapsa spp. (small)	Discoaster variabilis	Discoaster surculus	Discoaster stellulus	Discoaster spp. (fragments)	Discoaster spp. (6 rays)	Discoaster spp. (5 rays)	Discoaster pentaradiatus	Discoaster pansus	Discoaster ono	Discoaster brouweri	Dictyococcites productus	Cycloperfolithus carlae	Cyclolithus annulus	Coccolithus pataecus	Calcidiscus leptoporus	Thoracosphaera saxea	Scyphosphaera pulcherrima	Rhabdosphaera stylifera	Helicosphaera spp.	Helicosphaera sellii	Emiliania ovata	Discoaster quadramus	Discoaster moorei	Discoaster extensus	Discoaster challengeri	Discoaster asymmetricus	Discoaster archipelagoensis	Coccolithus pelagicus	Ceratolithus cristatus	Calcidiscus macintyrei	Amaurolithus delicatus	Pseudoemiliania lacunosa	Oolithotus fragilis	Discoaster triradiatus	Discoaster blackstockae	Cyclicargolithus floridanus	Ceratolithus rugosus	Thoracosphaera spp.	Scapholithus fossilis	Discoaster tamalis	Discoaster sp. A	Coccolithus spp.	Ceratolithus spp.	Rhabdosphaera clavigera	Discoaster quinqueramus	Discoaster intercalaris	Thoracosphaera heimii	Helicosphaera pavimentum	Helicosphaera hyalina	Ceratolithus telesmus	Discoaster surculus (3-rays)	Hayaster perplexus	Discoaster tamalis (grainy)	Discoaster surculus (grainy)	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Discoaster asymmetricus (grainy)	Pontosphaera japonica	Holodiscolithus spp.	Discoaster spp. (fragments & grainy)	Discoaster pentaradiatus (grainy)	Calcidiscus macintyrei (grainy)	Thoracosphaera saxea (fragments)	Pontosphaera indooceanica	Helicosphaera inversa	Emiliania huxleyi	Comment

  SR	Pleistocene      	                 	CN14a             	              	135	 834	A	  4	H	 2	  42.00	     28.5200	Styzen   	Nannofossils                                 	               	                  	C                   	A                 	                     	                       	                      	                  	                            	                                      	                               	R               	F                      	X                        	                     	                   	                    	                           	                        	                        	                        	                 	              	                   	                        	                       	R                  	R                   	F                     	                    	                         	M                      	                  	                    	M              	                    	                 	                   	                      	                       	                           	                     	                      	                      	                      	M                       	C                  	                      	                       	                           	                    	                   	R                    	                  	                	                	                 	F                      	                       	                       	                     	S                       	R                    	                     	                            	R                 	                           	                            	C                        	M                    	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN13b             	              	135	 834	A	  4	H	 5	  60.00	     33.2000	Styzen   	Nannofossils                                 	               	                  	A                   	A                 	                     	                       	                      	                  	F                           	                                      	                               	S               	A                      	X                        	                     	                   	                    	                           	                        	                        	                        	                 	              	                   	                        	                       	F                  	                    	A                     	S                   	R                        	V                      	                  	M                   	W              	                    	                 	                   	                      	                       	                           	                     	R                     	L                     	                      	W                       	C                  	                      	                       	                           	S                   	L                  	R                    	                  	                	                	                 	M                      	                       	                       	S                    	                        	F                    	                     	                            	S                 	                           	                            	R                        	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12c             	              	135	 834	A	  4	H	 6	 120.00	     35.3000	Styzen   	Nannofossils                                 	               	                  	V                   	V                 	                     	                       	                      	                  	S                           	                                      	R                              	M               	A                      	X                        	                     	                   	                    	S                          	                        	                        	F                       	                 	              	L                  	                        	                       	C                  	                    	A                     	S                   	S                        	X                      	                  	F                   	W              	                    	                 	                   	                      	S                      	                           	R                    	                      	C                     	                      	A                       	L                  	C                     	                       	                           	F                   	L                  	F                    	                  	                	                	                 	C                      	                       	                       	F                    	                        	F                    	R                    	                            	M                 	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12c             	              	135	 834	A	  5	H	 2	 125.00	     38.8500	Styzen   	Nannofossils                                 	               	                  	W                   	V                 	                     	                       	                      	                  	R                           	                                      	                               	F               	A                      	X                        	                     	                   	S                   	L                          	R                       	                        	F                       	                 	              	V                  	                        	                       	                   	F                   	A                     	                    	                         	X                      	                  	S                   	X              	                    	                 	                   	                      	R                      	                           	R                    	S                     	L                     	                      	X                       	F                  	S                     	R                      	                           	                    	F                  	R                    	                  	R               	                	                 	C                      	                       	R                      	R                    	R                       	M                    	S                    	                            	                  	R                          	R                           	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  5	H	 3	 144.00	     40.5400	Styzen   	Nannofossils                                 	               	                  	V                   	V                 	                     	                       	                      	                  	                            	S                                     	                               	F               	V                      	X                        	S                    	L                  	R                   	V                          	                        	                        	V                       	                 	R             	W                  	                        	S                      	F                  	F                   	A                     	S                   	R                        	W                      	                  	S                   	X              	                    	                 	                   	                      	L                      	                           	M                    	F                     	A                     	                      	W                       	L                  	R                     	S                      	                           	R                   	F                  	F                    	F                 	                	                	                 	L                      	                       	                       	                     	                        	                     	                     	                            	S                 	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  5	H	CC	  21.00	     45.9400	Styzen   	Nannofossils                                 	               	                  	A                   	A                 	                     	                       	                      	                  	R                           	                                      	                               	R               	L                      	X                        	                     	M                  	R                   	A                          	R                       	                        	A                       	                 	R             	C                  	                        	                       	M                  	S                   	L                     	R                   	                         	V                      	                  	                    	W              	R                   	                 	                   	                      	S                      	                           	R                    	S                     	M                     	                      	W                       	                   	R                     	                       	                           	                    	S                  	R                    	R                 	                	                	                 	R                      	                       	                       	R                    	S                       	R                    	                     	R                           	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  6	H	 3	  10.00	     48.7000	Styzen   	Nannofossils                                 	               	                  	V                   	W                 	                     	                       	                      	                  	R                           	                                      	                               	R               	L                      	X                        	                     	L                  	R                   	V                          	S                       	                        	V                       	                 	R             	A                  	                        	F                      	L                  	F                   	A                     	                    	S                        	L                      	                  	R                   	X              	S                   	                 	                   	                      	S                      	R                          	S                    	F                     	C                     	                      	X                       	                   	R                     	R                      	                           	R                   	F                  	R                    	R                 	F               	                	                 	F                      	                       	F                      	S                    	R                       	R                    	R                    	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  7	H	 5	  73.00	     61.8300	Styzen   	Nannofossils                                 	               	                  	R                   	                  	                     	                       	                      	                  	                            	L                                     	                               	                	                       	A                        	                     	S                  	                    	L                          	F                       	F                       	C                       	                 	              	F                  	                        	M                      	                   	F                   	L                     	                    	                         	R                      	                  	                    	A              	                    	                 	                   	                      	R                      	                           	                     	                      	S                     	                      	L                       	                   	                      	R                      	                           	                    	                   	                     	S                 	                	                	                 	                       	                       	R                      	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  8	H	 2	 100.00	     67.1000	Styzen   	Nannofossils                                 	               	                  	F                   	R                 	                     	                       	                      	                  	R                           	C                                     	                               	                	F                      	X                        	                     	S                  	                    	L                          	F                       	R                       	C                       	                 	S             	F                  	F                       	F                      	F                  	R                   	C                     	R                   	                         	F                      	                  	S                   	C              	                    	                 	                   	                      	F                      	                           	                     	                      	R                     	                      	W                       	                   	                      	                       	                           	                    	                   	R                    	F                 	                	                	                 	M                      	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  8	H	 3	  40.00	     68.0000	Styzen   	Nannofossils                                 	               	                  	S                   	                  	R                    	                       	                      	                  	R                           	A                                     	                               	                	                       	A                        	                     	                   	R                   	M                          	R                       	R                       	F                       	                 	R             	S                  	S                       	S                      	S                  	R                   	F                     	                    	                         	                       	                  	R                   	R              	                    	                 	                   	                      	R                      	                           	                     	                      	R                     	                      	A                       	                   	R                     	                       	                           	                    	                   	                     	R                 	                	                	                 	R                      	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  8	H	 6	 135.00	     73.4500	Styzen   	Nannofossils                                 	               	                  	S                   	S                 	R                    	                       	                      	                  	                            	F                                     	                               	                	R                      	A                        	                     	S                  	                    	M                          	R                       	                        	F                       	                 	R             	F                  	                        	S                      	R                  	                    	F                     	                    	                         	                       	                  	                    	M              	                    	                 	                   	                      	R                      	                           	                     	                      	R                     	                      	C                       	                   	                      	                       	                           	                    	                   	                     	R                 	R               	                	                 	R                      	R                      	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN12a             	              	135	 834	A	  9	H	 1	  10.00	     74.2000	Styzen   	Nannofossils                                 	               	                  	F                   	R                 	C                    	                       	                      	F                 	                            	L                                     	                               	                	F                      	W                        	R                    	F                  	R                   	C                          	F                       	                        	L                       	                 	              	F                  	S                       	M                      	F                  	S                   	L                     	                    	                         	R                      	                  	                    	F              	                    	                 	                   	                      	S                      	                           	                     	                      	R                     	                      	C                       	                   	                      	R                      	                           	                    	                   	                     	S                 	R               	R               	                 	F                      	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN11              	              	135	 834	A	  9	H	 3	  18.00	     77.2800	Styzen   	Nannofossils                                 	               	                  	S                   	S                 	L                    	                       	                      	F                 	R                           	M                                     	S                              	                	F                      	W                        	                     	R                  	                    	C                          	F                       	                        	F                       	                 	              	M                  	R                       	S                      	M                  	R                   	C                     	                    	                         	                       	                  	                    	F              	                    	                 	                   	                      	F                      	                           	                     	                      	F                     	                      	C                       	                   	                      	R                      	                           	                    	                   	                     	                  	                	R               	R                	                       	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN11              	              	135	 834	A	 10	X	 1	  50.00	     84.1000	Styzen   	Nannofossils                                 	               	                  	L                   	F                 	A                    	                       	                      	L                 	R                           	X                                     	C                              	                	C                      	X                        	R                    	F                  	R                   	A                          	F                       	S                       	C                       	                 	S             	M                  	C                       	M                      	L                  	M                   	L                     	                    	                         	L                      	                  	R                   	W              	                    	                 	R                  	                      	S                      	S                          	                     	                      	S                     	                      	L                       	F                  	                      	                       	                           	                    	F                  	R                    	R                 	R               	                	                 	                       	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN11              	              	135	 834	A	 11	X	 3	 108.00	     97.2800	Styzen   	Nannofossils                                 	               	                  	F                   	                  	A                    	                       	                      	C                 	R                           	V                                     	A                              	                	F                      	X                        	S                    	L                  	                    	A                          	                        	                        	V                       	                 	R             	L                  	R                       	F                      	L                  	                    	A                     	S                   	                         	                       	                  	R                   	               	                    	R                	S                  	S                     	S                      	                           	                     	                      	F                     	S                     	S                       	S                  	R                     	S                      	R                          	S                   	                   	                     	                  	                	                	                 	                       	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN11              	              	135	 834	A	 12	X	 1	 100.00	    103.9000	Styzen   	Nannofossils                                 	               	                  	S                   	S                 	V                    	                       	                      	L                 	R                           	A                                     	M                              	                	C                      	L                        	S                    	A                  	                    	L                          	R                       	                        	V                       	                 	R             	A                  	                        	F                      	M                  	                    	V                     	R                   	R                        	S                      	R                 	S                   	R              	R                   	R                	F                  	F                     	R                      	R                          	R                    	R                     	S                     	S                     	                        	                   	                      	                       	                           	                    	                   	                     	                  	                	                	                 	                       	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

  SR	Pliocene         	                 	CN11              	              	135	 834	A	 16	X	 1	 111.00	    133.0100	Styzen   	Nannofossils                                 	               	                  	F                   	R                 	F                    	L                      	F                     	R                 	R                           	A                                     	F                              	S               	S                      	V                        	S                    	R                  	R                   	L                          	F                       	F                       	M                       	R                	R             	F                  	L                       	F                      	S                  	S                   	C                     	                    	                         	                       	                  	                    	               	                    	                 	                   	                      	                       	                           	                     	                      	                      	                      	                        	                   	                      	                       	                           	                    	                   	                     	                  	                	                	                 	                       	                       	                       	                     	                        	                     	                     	                            	                  	                           	                            	                         	                     	                                	                     	                    	                                    	                                 	                               	                                	                         	                     	                 	from ODP Leg 135 SR chapter 13 Table 2 p 194-195

