Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygospyris productus,Tympanomma binoctonum,Tholospyris mammillaris,Tholospyris anthopora,Stylatractus universus,Orosphaera sp.,Dorcadospyris forcipata,Didymocyrtis violina,Cyrtocapsella cornuta,Cyclampterium leptetrum,Calocycletta virginis,Tholospyris kantiana,Calocycletta costata,Stichocorys wolffii,Liriospyris stauropora,Dorcadospyris dentata,Calocycletta serrata,Lychnocanoma elongata,Cyrtocapsella tetrapera,Carpocanopsis cingulata,Lychnocanoma sp.,Dorcadospyris ateuchus,Didymocyrtis prismatica,Bathropyramis sp.,Otosphaera polymorpha,Liriospyris mutuaria,Liriospyris geniculosa,Heliodiscus asteriscus,Dorcadospyris praeforcipata,Stylodictya aculeata,Lithochytris vespertilio,Hymeniastrum sp.,Dendrospyris damaecornis,Dendrospyris bursa,Stichocorys delmontensis,Liriospyris parkerae,Eucyrtidium diaphanes,Cornutella profunda,Spongopyle sp,Siphostichartus corona,Dictyophimus sp.,Cyrtocapsella japonica,Carpocanopsis bramlettei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 3,  37.00,    501.4700,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,C                    ,F                     ,F             ,F                      ,                    ,F                    ,R                      ,F                    ,F                   ,                    ,F                  ,C                     ,                     ,                    ,                     ,F                      ,                       ,                ,                      ,                       ,                 ,R                    ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 3,  68.00,    501.7800,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,                    ,F                    ,R                      ,F                    ,F                   ,                    ,R                  ,F                     ,R                    ,                    ,                     ,F                      ,                       ,                ,                      ,                       ,                 ,R                    ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,R                 ,                        ,                    ,R                    ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 4,  36.00,    502.9600,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,F                    ,F                     ,F             ,F                      ,R                   ,F                    ,                       ,F                    ,F                   ,                    ,R                  ,F                     ,F                    ,                    ,R                    ,                       ,                       ,                ,                      ,                       ,R                ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,R                  ,             ,F                     ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 4,  52.00,    503.1200,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,F                    ,F                     ,F             ,F                      ,                    ,R                    ,R                      ,F                    ,F                   ,                    ,                   ,R                     ,F                    ,R                   ,F                    ,                       ,                       ,                ,                      ,R                      ,                 ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 4,  79.00,    503.3900,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,F                    ,F                     ,F             ,F                      ,                    ,F                    ,R                      ,F                    ,F                   ,                    ,R                  ,F                     ,                     ,                    ,R                    ,                       ,R                      ,                ,                      ,                       ,                 ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,R                    ,R                  ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 4,  98.00,    503.5800,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,                    ,F                    ,F                      ,F                    ,F                   ,                    ,                   ,F                     ,R                    ,                    ,R                    ,F                      ,R                      ,                ,                      ,                       ,                 ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,F                    ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 4, 117.00,    503.7700,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,                    ,F                    ,F                      ,F                    ,F                   ,                    ,R                  ,F                     ,F                    ,                    ,R                    ,F                      ,                       ,                ,                      ,                       ,R                ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 4, 147.00,    504.0700,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,R                   ,F                    ,F                      ,F                    ,F                   ,                    ,                   ,R                     ,F                    ,                    ,R                    ,                       ,                       ,                ,R                     ,R                      ,R                ,R                    ,F                   ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 5,   0.00,    504.1000,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,                    ,F                    ,F                      ,F                    ,F                   ,                    ,R                  ,F                     ,R                    ,                    ,R                    ,R                      ,                       ,                ,                      ,                       ,R                ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,R                    ,                   ,             ,                      ,                ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,              ,156, 948,C, 10,X, 5,  22.00,    504.3200,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,                    ,R                    ,R                      ,F                    ,F                   ,                    ,R                  ,R                     ,R                    ,                    ,R                    ,F                      ,                       ,R               ,R                     ,                       ,                 ,                     ,                    ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,R                     ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 10,X, 5,  45.00,    504.5500,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,                     ,C                      ,C                    ,F                     ,F             ,R                      ,R                   ,F                    ,F                      ,F                    ,F                   ,C                   ,R                  ,C                     ,R                    ,                    ,R                    ,                       ,R                      ,                ,                      ,R                      ,                 ,                     ,                    ,                      ,F                     ,                           ,F                   ,                        ,R               ,                        ,                  ,R                       ,F                   ,F                    ,                   ,             ,R                     ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 10,X, 5,  57.00,    504.6700,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,C                    ,F                     ,F             ,                       ,R                   ,C                    ,F                      ,F                    ,F                   ,C                   ,                   ,C                     ,R                    ,                    ,R                    ,                       ,R                      ,                ,                      ,                       ,                 ,R                    ,F                   ,F                     ,                      ,                           ,F                   ,                        ,                ,                        ,                  ,F                       ,R                   ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 10,X, 5,  66.00,    504.7600,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,                       ,R                   ,F                    ,                       ,F                    ,F                   ,R                   ,R                  ,C                     ,R                    ,                    ,R                    ,F                      ,R                      ,                ,                      ,                       ,                 ,                     ,F                   ,F                     ,                      ,                           ,R                   ,                        ,                ,                        ,                  ,                        ,F                   ,                     ,                   ,             ,                      ,                ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 10,X, 5,  67.00,    504.7700,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,F                      ,C                    ,                      ,F             ,                       ,R                   ,C                    ,                       ,F                    ,F                   ,F                   ,                   ,C                     ,R                    ,R                   ,R                    ,F                      ,                       ,                ,                      ,R                      ,                 ,R                    ,F                   ,F                     ,                      ,                           ,R                   ,                        ,                ,                        ,                  ,R                       ,R                   ,                     ,R                  ,             ,R                     ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 10,X, 5,  91.00,    505.0100,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,C                    ,                      ,F             ,R                      ,                    ,C                    ,F                      ,F                    ,F                   ,F                   ,                   ,C                     ,R                    ,                    ,R                    ,                       ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,R                       ,R                   ,                     ,                   ,             ,                      ,                ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 10,X,CC,   1.00,    505.0400,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,C                    ,F                     ,F             ,R                      ,R                   ,C                    ,F                      ,F                    ,F                   ,C                   ,                   ,C                     ,R                    ,R                   ,R                    ,F                      ,R                      ,                ,                      ,                       ,                 ,R                    ,F                   ,F                     ,                      ,                           ,R                   ,                        ,R               ,                        ,                  ,                        ,                    ,                     ,R                  ,             ,R                     ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,C. costata (RN4),156, 948,C, 10,X,CC,  16.00,    505.1900,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,                       ,                    ,C                    ,F                      ,F                    ,F                   ,                    ,R                  ,F                     ,F                    ,                    ,R                    ,F                      ,                       ,                ,                      ,R                      ,                 ,R                    ,F                   ,F                     ,                      ,                           ,R                   ,                        ,                ,                        ,                  ,R                       ,R                   ,                     ,R                  ,R            ,                      ,R               ,                      ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,C. costata (RN4),156, 948,C, 10,X,CC,  34.00,    505.3700,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,F                   ,C                    ,F                      ,C                    ,F                   ,                    ,F                  ,F                     ,F                    ,                    ,R                    ,F                      ,                       ,                ,                      ,                       ,                 ,                     ,F                   ,F                     ,                      ,                           ,R                   ,                        ,R               ,                        ,                  ,R                       ,                    ,                     ,R                  ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,S. wolffii (RN3)  ,C. costata (RN4),156, 948,C, 11,X, 1,   2.00,    507.7200,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,F                   ,C                    ,F                      ,C                    ,F                   ,                    ,R                  ,F                     ,F                    ,                    ,F                    ,                       ,                       ,                ,                      ,                       ,                 ,                     ,F                   ,F                     ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 1,   8.00,    507.7800,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,C                      ,C                    ,F                     ,F             ,F                      ,                    ,C                    ,F                      ,F                    ,F                   ,F                   ,F                  ,F                     ,F                    ,                    ,                     ,F                      ,                       ,R               ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,F                   ,F                    ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 1,  13.00,    507.8300,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,F                      ,F                   ,C                    ,F                      ,C                    ,F                   ,F                   ,                   ,F                     ,F                    ,                    ,R                    ,F                      ,                       ,                ,                      ,                       ,                 ,                     ,                    ,                      ,                      ,                           ,R                   ,                        ,                ,                        ,R                 ,                        ,R                   ,F                    ,                   ,R            ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 1,  18.00,    507.8800,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,C                      ,C                    ,F                     ,F             ,R                      ,F                   ,C                    ,                       ,F                    ,                    ,F                   ,F                  ,F                     ,F                    ,                    ,                     ,F                      ,                       ,F               ,                      ,                       ,R                ,                     ,                    ,                      ,                      ,                           ,R                   ,                        ,                ,                        ,                  ,                        ,F                   ,F                    ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 1,  72.00,    508.4200,Steiger  ,Radiolarians                                 ,A              ,G                 ,F                   ,F                    ,F                      ,C                    ,F                     ,F             ,R                      ,R                   ,F                    ,F                      ,F                    ,F                   ,F                   ,                   ,F                     ,F                    ,                    ,R                    ,F                      ,                       ,R               ,                      ,R                      ,                 ,                     ,R                   ,F                     ,                      ,                           ,                    ,                        ,R               ,                        ,R                 ,R                       ,                    ,F                    ,R                  ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 1,  83.00,    508.5300,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,R                      ,R                   ,F                    ,F                      ,F                    ,F                   ,F                   ,F                  ,F                     ,F                    ,                    ,R                    ,F                      ,                       ,                ,                      ,F                      ,                 ,R                    ,F                   ,                      ,                      ,                           ,F                   ,                        ,                ,                        ,                  ,R                       ,R                   ,F                    ,R                  ,             ,                      ,                ,R                     ,R                       ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 1, 146.00,    509.1600,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,R                      ,R                   ,F                    ,F                      ,C                    ,F                   ,C                   ,F                  ,R                     ,R                    ,                    ,R                    ,R                      ,                       ,                ,                      ,F                      ,                 ,R                    ,                    ,F                     ,F                     ,                           ,F                   ,                        ,R               ,R                       ,                  ,R                       ,R                   ,F                    ,                   ,R            ,F                     ,R               ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. costata (RN4)  ,              ,156, 948,C, 11,X, 2,   2.00,    509.2200,Steiger  ,Radiolarians                                 ,A              ,G                 ,C                   ,F                    ,F                      ,C                    ,F                     ,F             ,R                      ,R                   ,F                    ,F                      ,C                    ,F                   ,R                   ,R                  ,F                     ,R                    ,                    ,R                    ,F                      ,                       ,                ,                      ,R                      ,                 ,R                    ,F                   ,F                     ,                      ,                           ,R                   ,                        ,R               ,                        ,                  ,R                       ,R                   ,F                    ,R                  ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,156, 948,C, 11,X, 2,  11.00,    509.3100,Steiger  ,Radiolarians                                 ,A              ,M                 ,C                   ,F                    ,C                      ,C                    ,F                     ,F             ,                       ,                    ,                     ,R                      ,C                    ,                    ,                    ,                   ,                      ,                     ,F                   ,                     ,F                      ,                       ,                ,R                     ,F                      ,                 ,                     ,                    ,                      ,C                     ,                           ,R                   ,                        ,                ,                        ,R                 ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,156, 948,C, 11,X, 2,  16.00,    509.3600,Steiger  ,Radiolarians                                 ,A              ,M                 ,C                   ,F                    ,C                      ,C                    ,                      ,F             ,R                      ,                    ,                     ,F                      ,C                    ,                    ,                    ,                   ,                      ,                     ,F                   ,                     ,R                      ,                       ,R               ,R                     ,F                      ,                 ,                     ,F                   ,F                     ,C                     ,R                          ,R                   ,R                       ,R               ,R                       ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,C. tetrapera (RN1),              ,156, 948,C, 11,X, 2,  63.00,    509.8300,Steiger  ,Radiolarians                                 ,A              ,M                 ,C                   ,F                    ,C                      ,C                    ,                      ,F             ,                       ,                    ,                     ,R                      ,C                    ,                    ,                    ,                   ,                      ,                     ,C                   ,                     ,R                      ,                       ,                ,R                     ,F                      ,R                ,                     ,F                   ,F                     ,R                     ,R                          ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,L. elongata (RP22),              ,156, 948,C, 11,X, 2,  79.00,    509.9900,Steiger  ,Radiolarians                                 ,A              ,M                 ,C                   ,                     ,C                      ,C                    ,F                     ,F             ,                       ,                    ,                     ,R                      ,C                    ,                    ,                    ,                   ,                      ,                     ,                    ,                     ,                       ,                       ,R               ,F                     ,                       ,                 ,F                    ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,                 ,L. elongata (RP22),              ,156, 948,C, 11,X, 2, 101.00,    510.2100,Steiger  ,Radiolarians                                 ,A              ,M                 ,C                   ,                     ,C                      ,C                    ,F                     ,F             ,R                      ,                    ,                     ,                       ,C                    ,                    ,                    ,                   ,                      ,                     ,                    ,R                    ,                       ,                       ,R               ,C                     ,R                      ,R                ,                     ,                    ,                      ,                      ,                           ,                    ,                        ,                ,                        ,                  ,                        ,                    ,                     ,                   ,             ,                      ,                ,                      ,                        ,"From Leg 156SR, Ch 2 Table 1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
