Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina pachyderma (dextral),Neogloboquadrina dutertrei,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia scitula,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis,Globoquadrina conglomerata,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides conglobatus,Globigerinita glutinata,Globigerina rubescens,Globigerina calida calida,Globigerina bulloides,Comment
  IR,Holocene         ,                 ,Z                 ,              ,155, 935,A,  1,H,CC,  14.00,      3.4100,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,F                           ,R                ,-                                    ,F                         ,-                           ,F                  ,F                            ,-                     ,-                   ,F                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,C                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,Age assignment uncertain; from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  2,H,CC,  22.00,     13.0600,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,R                           ,-                ,-                                    ,F                         ,-                           ,R                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,R                                  ,F                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,Age assignment uncertain; from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  3,H,CC,  27.00,     23.0300,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,-                ,-                                    ,A                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,C                     ,-                     ,-                        ,-                         ,R                                ,-                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,C                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  4,H,CC,  51.00,     32.8200,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,-                ,-                                    ,C                         ,-                           ,-                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,A                                ,C                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  5,H,CC,  31.00,     42.1900,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                ,R                                    ,C                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,A                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  6,H,CC,  48.00,     51.8600,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                ,-                                    ,A                         ,-                           ,-                  ,R                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,F                                  ,F                            ,R                           ,R                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A,  7,H,CC,  70.00,     60.9000,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  8,H,CC,  43.00,     69.7300,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                ,-                                    ,F                         ,-                           ,-                  ,R                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,A                                  ,R                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A,  9,H,CC,  38.00,     80.2400,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,R                ,-                                    ,C                         ,-                           ,-                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,A                                  ,F                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 10,H,CC,  34.00,     90.2000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                ,-                                    ,F                         ,-                           ,-                  ,R                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,F                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 11,H,CC,  29.00,     99.1800,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,-                ,-                                    ,R                         ,-                           ,-                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 12,H,CC,   2.00,    104.5200,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                ,-                                    ,R                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,R                                ,R                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 14,X,CC,  14.00,    117.2800,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,-                ,-                                    ,F                         ,-                           ,-                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,R                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 15,X,CC,  29.00,    131.3500,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,-                ,-                                    ,F                         ,-                           ,-                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,R                 ,W             ,155, 935,A, 16,X, 1, 110.00,    133.1000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,-                           ,-                ,-                                    ,-                         ,-                           ,A                  ,-                            ,-                     ,-                   ,C                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,R                 ,W             ,155, 935,A, 16,X,CC,  19.00,    134.5600,Showers  ,Planktonic Foraminifers                      ,               ,G                 ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,R                            ,-                     ,-                   ,R                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A, 17,X,CC,  21.00,    150.6500,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,R                ,-                                    ,C                         ,-                           ,-                  ,C                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,R                        ,-                         ,-                                ,A                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A, 18,X,CC,  14.00,    157.0300,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 20,X, 3,  60.00,    174.0000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,-                           ,-                ,-                                    ,C                         ,-                           ,-                  ,C                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,C                                  ,C                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 20,X, 5,  24.00,    176.6400,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,-                           ,-                ,-                                    ,C                         ,-                           ,-                  ,C                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,C                                  ,C                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,Y                 ,              ,155, 935,A, 20,X,CC,  29.00,    178.7700,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,C                           ,-                ,-                                    ,C                         ,-                           ,-                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,C                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,"P obliq datum level, from Leg 159SR p 290 Table 4"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,X             ,155, 935,A, 21,X, 2,  76.00,    182.2600,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,-                ,-                                    ,C                         ,R                           ,C                  ,R                            ,-                     ,-                   ,C                    ,-                   ,R                     ,-                     ,-                        ,-                         ,C                                ,R                                  ,F                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,W             ,155, 935,A, 21,X,CC,  48.00,    185.5800,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,C                           ,-                ,-                                    ,A                         ,-                           ,-                  ,C                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,R                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,X             ,155, 935,A, 22,X,CC,  29.00,    190.6400,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,C                           ,-                ,-                                    ,C                         ,R                           ,C                  ,F                            ,-                     ,-                   ,R                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,X             ,155, 935,A, 23,X,CC,   4.00,    200.3100,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,C                           ,-                ,-                                    ,C                         ,R                           ,F                  ,F                            ,-                     ,-                   ,R                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,R                 ,W             ,155, 935,A, 24,X,CC,  15.00,    209.6000,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,F                           ,F                ,-                                    ,F                         ,-                           ,C                  ,F                            ,-                     ,-                   ,R                    ,-                   ,-                     ,-                     ,R                        ,-                         ,C                                ,F                                  ,C                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,                  ,              ,155, 935,A, 25,X, 5,  59.00,    225.1900,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,-                ,-                                    ,F                         ,R                           ,C                  ,F                            ,-                     ,-                   ,C                    ,-                   ,-                     ,-                     ,R                        ,-                         ,-                                ,F                                  ,F                            ,F                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,                  ,              ,155, 935,A, 25,X,CC,  19.00,    225.6500,Showers  ,Planktonic Foraminifers                      ,A              ,M                 ,F                           ,-                ,-                                    ,C                         ,R                           ,F                  ,F                            ,-                     ,-                   ,F                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,155, 935,A, 26,X,CC,  44.00,    235.7000,Showers  ,Planktonic Foraminifers                      ,C              ,G                 ,F                           ,-                ,-                                    ,-                         ,-                           ,C                  ,-                            ,-                     ,-                   ,C                    ,-                   ,R                     ,-                     ,R                        ,-                         ,F                                ,R                                  ,C                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,155, 935,A, 27,X,CC,  23.00,    244.3000,Showers  ,Planktonic Foraminifers                      ,R              ,G                 ,F                           ,-                ,-                                    ,-                         ,-                           ,C                  ,R                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,R                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A, 28,X,CC,  25.00,    253.6500,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,155, 935,A, 29,X,CC,  13.00,    265.8500,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,F                           ,-                ,-                                    ,C                         ,-                           ,C                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,                  ,              ,155, 935,A, 30,X,CC,  28.00,    273.5200,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,F                           ,-                ,-                                    ,C                         ,-                           ,C                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,                 ,                  ,              ,155, 935,A, 31,X, 1,  11.00,    276.4100,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,-                           ,-                ,R                                    ,C                         ,-                           ,-                  ,C                            ,-                     ,-                   ,-                    ,R                   ,-                     ,-                     ,R                        ,-                         ,C                                ,-                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,R                        ,R                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,                  ,              ,155, 935,A, 31,X, 3,  30.00,    279.6000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,-                           ,-                ,R                                    ,C                         ,F                           ,C                  ,F                            ,-                     ,-                   ,-                    ,-                   ,R                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,C                            ,-                           ,-                          ,R                      ,-                    ,-                        ,R                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,                  ,              ,155, 935,A, 31,X, 6,  50.00,    283.6700,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,-                ,-                                    ,C                         ,-                           ,C                  ,-                            ,-                     ,-                   ,R                    ,-                   ,R                     ,-                     ,R                        ,-                         ,C                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,R                    ,R                        ,R                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,R                 ,W             ,155, 935,A, 31,X,CC,  41.00,    284.2300,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,-                ,-                                    ,F                         ,R                           ,F                  ,R                            ,-                     ,-                   ,F                    ,-                   ,R                     ,-                     ,-                        ,-                         ,-                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,R                        ,-                    ,Zonal assignments uncertain; from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,                  ,              ,155, 935,A, 32,X,CC,  35.00,    292.5800,Showers  ,Planktonic Foraminifers                      ,F              ,G                 ,-                           ,-                ,R                                    ,C                         ,-                           ,A                  ,R                            ,-                     ,-                   ,-                    ,-                   ,R                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A, 33,X,CC,  11.00,    304.5000,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,R                 ,W             ,155, 935,A, 34,X,CC,  13.00,    311.3300,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,-                ,-                                    ,C                         ,F                           ,A                  ,R                            ,-                     ,-                   ,R                    ,-                   ,-                     ,-                     ,-                        ,-                         ,F                                ,F                                  ,C                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,Zonal assignments uncertain; from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,                  ,              ,155, 935,A, 35,X,CC,  71.00,    322.8900,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,-                           ,-                ,-                                    ,C                         ,-                           ,C                  ,F                            ,-                     ,-                   ,-                    ,-                   ,R                     ,-                     ,-                        ,-                         ,C                                ,F                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,                  ,              ,155, 935,A, 36,X,CC,  25.00,    334.0400,Showers  ,Planktonic Foraminifers                      ,R              ,M                 ,-                           ,-                ,-                                    ,C                         ,R                           ,A                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,-                                  ,F                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A, 37,X,CC,  11.00,    340.8100,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Pleistocene,Late Pleistocene ,R                 ,W             ,155, 935,A, 38,X,CC,  17.00,    349.3900,Showers  ,Planktonic Foraminifers                      ,C              ,M                 ,-                           ,-                ,-                                    ,C                         ,R                           ,C                  ,F                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,C                                ,F                                  ,F                            ,R                           ,-                          ,-                      ,-                    ,-                        ,-                    ,Zonal assignments uncertain; from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 935,A, 40,X,CC,  67.00,    368.9300,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                                    ,-                         ,-                           ,-                  ,-                            ,-                     ,-                   ,-                    ,-                   ,-                     ,-                     ,-                        ,-                         ,-                                ,-                                  ,-                            ,-                           ,-                          ,-                      ,-                    ,-                        ,-                    ,from Leg 159SR p 290 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
