Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus radians,Sphenolithus pseudoradians,Sphenolithus moriformis,Sphenolithus furcatolithoides,Reticulofenestra umbilica,Reticulofenestra samodurovii,Pedinocyclus larvalis,Lanternithus minutus,Holococcolith type A,Helicosphaera reticulata,Helicosphaera compacta,Hayella situliformis,Ericsonia subdisticha,Ericsonia formosa,Discoaster tanii,Discoaster saipanensis,Discoaster nodifer,Discoaster barbadiensis,Dictyococcites scrippsae,Dictyococcites bisectus,Cyclicargolithus floridanus,Cribrocentrum reticulatum,Coronocyclus nitescens,Coccolithus sp.1,Coccolithus pelagicus,Coccolithus eopelagicus,Chiasmolithus titus,Calcidiscus protoannulus,Calcidiscus kingii,Bramletteius serraculoides,Braarudosphaera bigelowii,Pontosphaera segmenta,Isthmolithus recurvus,Hayaster perplexus,Discoaster deflandrei,Ericsonia obruta,Micrantholithus flos,Sphenolithus predistentus,Peritrachelina joidesa,Helicosphaera euphratis,Sphenolithus aff. distentus,Discoaster adamanteus,Micrantholithus altus,Cyclicargolithus abisectus,Sphenolithus distentus,Coccolithus miopelagicus,Triquetrorhabdulus carinatus,Sphenolithus ciperoensis,Sphenolithus aff. ciperoensis,Cruciplacolithus tarquinius,Triquetrorhabdulus milowii,Helicosphaera intermedia,Catinaster umbrellus,Sphenolithus dissimilis,Crassidiscus backmanii,Sphenolithus conicus,Reticulofenestra daviesii,Discoaster asymmetricus,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Clausicoccus fenestratus,Pontosphaera spp.,Sphenolithus delphix,Discoaster undefined 6-ray m.,Sphenolithus calyculus,Helicosphaera spp.,Sphenolithus capricornutus,Reticulofenestrid taxa,Geminilithella rotula,Sphenolithus heteromorphus,Dictyococcites spp.,Coccolithus radiatus,Thoracosphaera spp.,Sphenolithus belemnos,Discoaster druggii,Calcidiscus leptoporus,Triquetrorhabdulus backmanii,Sphenolithus dissimilis/belemnos,Syracosphaera spp.,Helicosphaera ampliaperta,Discoaster undefined 6-ray b.,Discoaster undefined 6-ray,Sphenolithus milanettii,Discoaster moorei,Discoaster signus-tuberi,Scyphosphaera spp.,Calcidiscus premacintyrei,Sphenolith (unspecified taxon or taxa),Triquetrorhabdulus rugosus/rioensis,Helicosphaera sellii,Catinaster spp.,Discoaster kugleri,Discoaster undefined 5-ray,Discoaster neohamatus,Discoaster hamatus,Discoaster prepentaradiatus,Minylitha convallis,Discoaster tamalis,Calcidiscus macintyrei,Umbilicosphaera spp.,Discoaster triradiatus,Discoaster bellus,Discoaster quinqueramus/berggrenii,Discoaster pentaradiatus,Discoaster sp. 2,Rhabdosphaera spp.,Amaurolithus primus,Ceratolithus rugosus,Discoaster variabilis,Discoaster brouweri,Amaurolithus amplificus,Discoaster sp. 1,Discoaster intercalaris,Ceratolithus acutus,Amaurolithus tricorniculatus,Reticulofenestra pseudoumbilicus,Gephyrocapsa oceanica s.l.,Discoaster tristellifer,Pseudoemiliania lacunosa,Discoaster decorus,Ceratolithus armatus,Discoaster surculus,Ceratolithus cristatus,Gephyrocapsa (small),Gephyrocapsa sp. 3,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13a             ,              ,115, 707,A,  2,H, 3, 130.00,     10.9000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,F                    ,                          ,                   ,F                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,F                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,                      ,                    ,                      ,                 ,                                  ,                        ,                ,F                 ,                   ,                    ,                     ,                   ,                       ,                ,                       ,                   ,                            ,                                ,C                         ,                       ,C                       ,                  ,                    ,                   ,R                     ,C                   ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 707,A,  2,H, 4, 130.00,     12.4000,Rio      ,Nannofossils                                 ,C              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,F                 ,                          ,F                     ,F                    ,                          ,                   ,                    ,R                  ,                     ,                  ,C                     ,                            ,                                ,F                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,F                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,F                     ,                    ,                      ,                 ,                                  ,                        ,                ,                  ,                   ,                    ,                     ,R                  ,                       ,                ,                       ,                   ,                            ,                                ,C                         ,                       ,C                       ,                  ,                    ,                   ,                      ,F                   ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 707,A,  2,H, 5,  90.00,     13.5000,Rio      ,Nannofossils                                 ,C              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,F                 ,                          ,F                     ,                     ,                          ,                   ,                    ,                   ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,F                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,                      ,                 ,                                  ,                        ,                ,                  ,                   ,                    ,                     ,R                  ,                       ,                ,                       ,                   ,                            ,                                ,C                         ,                       ,C                       ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 707,A,  2,H, 5, 130.00,     13.9000,Rio      ,Nannofossils                                 ,C              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,C                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,C                 ,                          ,F                     ,F                    ,                          ,                   ,F                   ,F                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,                  ,                         ,                                      ,                                   ,C                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,R                 ,C                     ,                    ,                      ,                 ,                                  ,                        ,                ,                  ,                   ,                    ,                     ,F                  ,                       ,                ,                       ,                   ,                            ,                                ,F                         ,                       ,C                       ,                  ,                    ,                   ,                      ,R                   ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12d             ,              ,115, 707,A,  2,H, 6, 130.00,     15.4000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,C                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,F                    ,                          ,R                  ,F                   ,F                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,F                 ,                         ,                                      ,                                   ,C                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,R                     ,                 ,                                  ,                        ,                ,                  ,                   ,                    ,                     ,                   ,                       ,                ,                       ,                   ,                            ,R                               ,R                         ,                       ,C                       ,                  ,                    ,                   ,R                     ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12c             ,              ,115, 707,A,  2,H,CC,  14.00,     15.7200,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,C                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,F                    ,                          ,R                  ,F                   ,F                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,R                 ,                         ,                                      ,                                   ,C                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,C                     ,                 ,                                  ,                        ,                ,                  ,                   ,                    ,                     ,R                  ,                       ,                ,                       ,                   ,                            ,R                               ,R                         ,                       ,C                       ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12b             ,              ,115, 707,A,  3,H, 1,  90.00,     17.1000,Rio      ,Nannofossils                                 ,A              ,G                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,R                    ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,                 ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,F                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,                             ,                          ,                       ,                 ,                        ,F                 ,                         ,                                      ,                                   ,C                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,                  ,C                     ,                    ,C                     ,                 ,                                  ,R                       ,                ,                  ,                   ,                    ,R                    ,                   ,                       ,                ,R                      ,                   ,                            ,R                               ,F                         ,                       ,C                       ,                  ,                    ,                   ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 707,A,  3,H, 2,  90.00,     18.6000,Rio      ,Nannofossils                                 ,A              ,P                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,R                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,F                  ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,C                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,                                      ,                                   ,F                   ,               ,                  ,F                         ,                     ,                  ,                           ,                   ,C                 ,C                     ,                    ,C                     ,                 ,                                  ,cf                      ,                ,                  ,                   ,                    ,                     ,R                  ,                       ,                ,                       ,                   ,                            ,                                ,F                         ,                       ,C                       ,                  ,                    ,F                  ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN12a             ,              ,115, 707,A,  3,H, 3,  90.00,     20.1000,Rio      ,Nannofossils                                 ,A              ,M                 ,                       ,                    ,                          ,                       ,                             ,                         ,                            ,                     ,                    ,                    ,                        ,                      ,                    ,                     ,                 ,                ,                      ,                  ,                       ,                        ,                       ,                           ,                         ,                      ,                ,                     ,                       ,                   ,                        ,                  ,                          ,                         ,                     ,                     ,                  ,                     ,                ,                    ,                         ,                      ,                       ,                           ,                     ,                     ,                          ,                      ,                        ,                            ,                        ,                             ,                           ,                          ,                        ,                    ,                       ,                      ,                    ,                         ,                       ,                                         ,                                         ,                        ,C                ,                    ,                             ,                      ,C                 ,                          ,C                     ,C                    ,                          ,                   ,R                   ,R                  ,                     ,                  ,C                     ,                            ,                                ,C                 ,                         ,F                            ,C                         ,                       ,                 ,                        ,F                 ,                         ,                                      ,                                   ,F                   ,               ,                  ,                          ,                     ,                  ,                           ,                   ,C                 ,C                     ,                    ,C                     ,                 ,                                  ,R                       ,                ,                  ,                   ,                    ,F                    ,                   ,                       ,                ,                       ,                   ,                            ,R                               ,F                         ,R                      ,F                       ,                  ,                    ,F                  ,                      ,                    ,                  ,from 115 SR. Chapter 15. Table 5. microfiche in back pocket.
