Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Prinsius bisulcus	Ellipsolithus macellus	Ellipsolithus distichus	Cruciplacolithus edwardsii	Sphenolithus primus	Placozygus sigmoides	Ericsonia subpertusa	Cruciplacolithus tenuis	Cruciplacolithus primus (large)	Chiasmolithus danicus	Fasciculithus ulii	Fasciculithus pileatus	Fasciculithus magnicordis	Chiasmolithus bidens	Fasciculithus tympaniformis	Chiasmolithus consuetus	Fasciculithus bitectus	Ericsonia cava	Cruciplacolithus frequens	Bomolithus elegans	Ellipsolithus bollii	Sphenolithus anarrhopus	Heliolithus kleinpellii	Heliolithus cantabriae	Neochiastozygus digitosus	Discoaster mohleri	Fasciculithus clinatus	Discoaster robustus	Fasciculithus richardii	Discoaster multiradiatus	Campylosphaera eodela	Toweius tovae	Toweius eminens	Fasciculithus schaubii	Discoaster salisburgensis	Discoaster falcatus	Toweius pertusus	Fasciculithus involutus	Coccolithus pelagicus	Rhomboaster bramlettei	Tribrachiatus digitalis	Rhomboaster contortus	Discoaster diastypus	Tribrachiatus orthostylus	Zygrhablithus bijugatus	Neococcolithes protenus	Coccolithus eopelagicus	Toweius crassus	Lophodolithus nascens	Discoaster lodoensis	Sphenolithus conspicuus	Sphenolithus pseudoradians	Toweius gammation	Lophodolithus reniformis	Discoaster kuepperi	Campylosphaera dela	Rhabdosphaera inflata	Discoaster sublodoensis	Sphenolithus radians	Pseudotriquetrorhabdulus inversus	Discoaster saipanensis	Chiasmolithus solitus	Chiasmolithus expansus	Reticulofenestra dictyoda	Braarudosphaera discula	Braarudosphaera bigelowii	Sphenolithus stellatus	Nannotetrina quadrata	Nannotetrina fulgens	Lophodolithus acutus	Chiasmolithus gigas	Ericsonia formosa	Helicosphaera lophota	Discoaster barbadiensis	Coronocyclus nitescens	Sphenolithus furcatolithoides	Pedinocyclus larvalis	Ericsonia obruta	Chiasmolithus grandis	Nannotetrina pappii	Discoaster strictus	Prediscosphaera grandis	Sphenolithus furcatolithoides labradorensis	Rhabdosphaera tenuis	Reticulofenestra umbilica	Discoaster tanii ornatus	Blackites spinosus	Sphenolithus spiniger	Discoaster bifax	Sphenolithus moriformis	Ellipsolithus lajollaensis	Micrantholithus pinguis	Markalius inversus	Pemma papillatum	Sphenolithus obtusus	Discoaster tanii	Comment

  IR	                 	Middle Eocene    	                  	CP14a         	171	1050	A	  1	X	 5	  62.00	      6.6200	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	F                    	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	F                  	                     	                       	                    	F                                	R                     	R                    	R                     	A                        	C                      	                         	                      	                     	                    	                    	                   	C                	                     	                       	R                     	F                            	R                    	R               	                     	                   	                   	                       	                                           	                    	F                        	                        	                  	R                    	                	F                      	R                         	                       	                  	                	                    	                	Early Eocene contamination

  IR	                 	Middle Eocene    	                  	CP14b         	171	1050	A	  1	X	CC	  20.00	      6.8600	Mita     	Nannofossils                                 	C              	M                 	                 	                      	R                      	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	R                      	                       	R                      	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	R                                          	                    	R                        	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP14a         	171	1050	A	  2	H	 1	  65.00	     10.7500	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	+                   	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	+                    	                      	                       	                     	                    	                         	+                      	                       	                       	               	                     	r                   	                       	                          	                 	                        	                   	                   	                     	                       	                    	+                                	+                     	                     	+                     	+                        	                       	+                        	                      	                     	                    	                    	                   	                 	                     	                       	+                     	+                            	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	+                    	+               	                       	                          	                       	                  	                	                    	                	       

  IR	                 	                 	                  	CP14b         	171	1050	A	  2	H	CC	  24.00	     20.1800	Mita     	Nannofossils                                 	C              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	R                      	                       	R                      	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	C                                          	                    	R                        	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	                 	                  	              	171	1050	A	  3	H	CC	  23.00	     29.6100	Mita     	Nannofossils                                 	T              	                  	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	R                      	                       	R                      	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	R                                          	R                   	R                        	R                       	R                 	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	                 	                  	              	171	1050	A	  4	H	CC	  34.00	     38.7200	Mita     	Nannofossils                                 	T              	                  	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	R                      	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	R                                          	R                   	R                        	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	  5	H	CC	   0.00	     48.3400	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	+                     	                     	+                     	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	+                      	                      	                             	                     	                	                     	                   	                   	+                      	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP13c

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	  6	H	CC	  42.00	     57.8300	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	+                     	+                    	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	+                      	                      	                             	                     	                	+                    	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13c

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	  7	H	CC	  17.00	     67.5000	Self-Trail	Nannofossils                                 	A              	P                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	+                     	+                    	                      	                         	                       	                         	                      	                     	+                   	                    	                   	                 	                     	+                      	                      	                             	                     	                	+                    	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13c

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	  8	H	CC	   0.00	     76.6600	Self-Trail	Nannofossils                                 	A              	P                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	+                    	                      	                         	                       	                         	                      	                     	+                   	                    	                   	                 	                     	+                      	                      	                             	                     	                	+                    	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13c; Reworked D. lodoensis

  IR	                 	Middle Eocene    	                  	CP13c         	171	1050	A	  9	H	CC	  20.00	     86.3200	Self-Trail	Nannofossils                                 	A              	P                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	+                    	                      	                         	                       	                         	                      	                     	+                   	                    	                   	                 	                     	+                      	                      	                             	                     	                	+                    	R                  	+                  	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13c

  IR	                 	Middle Eocene    	                  	CP13c         	171	1050	A	 10	H	CC	  11.00	     95.9300	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	F                     	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	F                      	                      	                             	                     	                	F                    	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	 11	X	CC	  20.00	    104.4200	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	F                  	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13b, Ch. gigas

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	 12	X	CC	  19.00	    106.5200	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	                    	                    	R                  	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13b, Ch. gigas subzone

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	 13	X	CC	  17.00	    122.4700	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	                     	                      	                         	                       	                         	                      	                     	R                   	                    	F                  	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13b, Ch. gigas present

  IR	                 	Middle Eocene    	                  	CP13b         	171	1050	A	 14	X	 1	  45.00	    124.8500	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	F                    	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	C                                	F                     	F                    	F                     	A                        	C                      	                         	R                     	                     	                    	                    	R                  	                 	                     	                       	                      	F                            	R                    	R               	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1050	A	 14	X	 2	  84.50	    126.7450	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	F                    	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	R                   	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	R                     	F                    	F                     	A                        	                       	C                        	                      	                     	                    	                    	R                  	                 	R                    	F                      	F                     	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1050	A	 14	X	 3	  65.00	    128.0500	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	F                                	R                     	F                    	F                     	A                        	                       	C                        	                      	                     	                    	                    	R                  	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1050	A	 14	X	 4	  66.00	    129.5600	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	F                                	R                     	F                    	R                     	A                        	C                      	                         	                      	R                    	                    	                    	R                  	F                	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13b         	171	1050	A	 14	X	 5	  68.00	    131.0800	Watkins  	Nannofossils                                 	               	                  	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	F                                	                      	F                    	                      	A                        	C                      	                         	F                     	                     	R                   	                    	R                  	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13          	171	1050	A	 14	X	CC	  21.00	    132.7200	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	                    	                                 	                      	F                    	                      	                         	                       	                         	F                     	                     	R                   	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	CP 13a, No Ch. gigas

  IR	                 	Middle Eocene    	                  	CP13a         	171	1050	A	 15	X	 1	  65.00	    134.6500	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	R                    	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	                     	                       	F                   	C                                	                      	F                    	F                     	A                        	                       	C                        	R                     	                     	R                   	R                   	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13a         	171	1050	A	 15	X	 2	  62.00	    136.1200	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	F                   	                       	                          	                 	                        	                   	                   	                     	                       	                    	F                                	                      	R                    	                      	R                        	                       	                         	F                     	A                    	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13a         	171	1050	A	 15	X	 3	  69.50	    137.6950	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	R                   	                       	                          	                 	                        	                   	                   	                     	                       	                    	C                                	F                     	F                    	R                     	A                        	C                      	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP13a         	171	1050	A	 15	X	 5	  66.00	    140.6600	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	F                  	                     	                       	                    	F                                	                      	F                    	F                     	A                        	C                      	R                        	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP12b         	171	1050	A	 15	X	CC	  21.00	    141.8000	Self-Trail	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	R                    	R                      	                    	                                 	                      	F                    	R                     	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

  IR	                 	Middle Eocene    	                  	CP12b         	171	1050	A	 16	X	 1	  55.00	    144.1500	Watkins  	Nannofossils                                 	A              	M                 	                 	                      	                       	                          	                   	                    	                    	                       	                               	                     	                  	                      	                         	                    	                           	                       	                      	              	                         	                  	                    	                       	                       	                      	                         	                  	                      	                   	                       	                        	                     	             	               	                      	                         	                   	                	                       	                     	                      	                       	                     	                    	                         	                       	                       	                       	               	                     	                    	                       	                          	                 	                        	                   	                   	F                    	R                      	                    	                                 	R                     	                     	                      	                         	                       	                         	                      	                     	                    	                    	                   	                 	                     	                       	                      	                             	                     	                	                     	                   	                   	                       	                                           	                    	                         	                        	                  	                     	                	                       	                          	                       	                  	                	                    	                	       

