Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina peregrina,Pyrgo spp.,Nuttallides umbonifera,Melonis pompilioides,Bulimina marginata,Fontbotia wuellerstorfi,Globobulimina affinis,Bulimina aculeata,Pullenia bulloides,Oridorsalis umbonatus,Valvulineria laevigata,Epistominella exigua,Cassidulina carinata,Lagena spp.,Gyroidinoides spp.,Chilostomella oolina,Uvigerina senticosa,Melonis sp.,Comment
  IR,                 ,                 ,                  ,              ,172,1060,A,  8,H,CC,  31.00,     75.3100,Poli     ,Benthic Foraminifers                         ,T              ,                  ,1                  ,          ,                      ,                    ,                  ,                       ,                     ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A,  9,H,CC,  29.00,     85.6600,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,                   ,          ,                      ,6                   ,                  ,2                      ,                     ,                 ,                  ,                     ,                      ,                    ,                    ,           ,2                 ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 10,H,CC,  29.00,     95.1500,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,4                  ,          ,                      ,                    ,                  ,                       ,2                    ,                 ,                  ,                     ,                      ,                    ,                    ,3          ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 11,H,CC,  21.00,    104.6300,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                  ,          ,                      ,                    ,                  ,C                      ,                     ,                 ,                  ,C                    ,                      ,R                   ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 12,H,CC,  38.00,    114.1300,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,3                  ,          ,                      ,                    ,                  ,                       ,                     ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 13,H,CC,   0.00,    123.2500,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                   ,          ,                      ,T                   ,                  ,C                      ,                     ,                 ,                  ,C                    ,T                     ,R                   ,T                   ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 14,H,CC,  21.00,    133.0800,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                  ,          ,                      ,F                   ,                  ,C                      ,                     ,                 ,F                 ,C                    ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 16,H,CC,   0.00,    151.6300,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,C                  ,          ,                      ,R                   ,                  ,                       ,C                    ,T                ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 17,H,CC,  20.00,    160.5400,Poli     ,Benthic Foraminifers                         ,T              ,M                 ,                   ,1         ,                      ,                    ,                  ,1                      ,                     ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1060,A, 18,H,CC,  15.00,    170.1100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,T                  ,R         ,A                     ,R                   ,T                 ,                       ,                     ,                 ,                  ,                     ,                      ,                    ,                    ,           ,                  ,                    ,                   ,           ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
