Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygrhablithus bijugatus,Sphenolithus moriformis,Reticulofenestra umbilica,Reticulofenestra pseudogammation,Reticulofenestra hillae,Neococcolithes dubius,Ericsonia formosa,Discoaster tanii nodifer,Coccolithus pelagicus,Chiasmolithus solitus,Chiasmolithus expansus,Nannotetrina cristata,Discoaster barbadiensis,Coccolithus eopelagicus,Chiasmolithus grandis,Reticulofenestra samodurovii,Reticulofenestra hampdenensis,Reticulofenestra floridana,Reticulofenestra reticulata,Reticulofenestra hesslandii,Lanternithus minutus,Reticulofenestra oamaruensis,Discoaster tanii,Markalius inversus,Discoaster strictus,Blackites tenuis,Pseudotriquetrorhabdulus inversus,Reticulofenestra onusta,Discoaster sp. (overgrown),Discoaster distinctus,Coccolithus formosus,Blackites spinosus,Sphenolithus (all Sphenolithus taxa),Helicosphaerid (all Helicosphaerid taxa),Discoaster (all Discoaster taxa),Chiasmoliths (all Chiasmolith taxa),Reticulofenestra daviesii,Braarudosphaera bigelowii,Pontosphaera sp.,Discoaster saipanensis,Helicosphaera compacta,Chiasmolithus titus,Discoaster binodosus,Chiasmolithus altus,Clausicoccus fenestratus,Chiasmolithus oamaruensis,Scampanella sp.,Pontosphaera versa,Reticulofenestra bisecta,Helicopontosphaera reticulata,Reticulofenestra abisecta,Markalius apertus,Isthmolithus recurvus,Cyclicargolithus floridanus,Clausicoccus subdistichus,Discoaster deflandrei,Cyclicargolithus abisectus,Coccolithus pelagicus floralis,Reticulofenestra gelida,Reticulofenestra pseudoumbilica,Discoaster sp.,Helicosphaera sp.,Calcidiscus leptoporus,Reticulofenestra producta,Reticulofenestra perplexa,Calcidiscus macintyrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  3,H, 3,  58.00,     13.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,V                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,rR                         ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,F                      ,                               ,              ,                 ,                      ,                         ,A                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  3,H, 4,  10.00,     14.2000,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,A                      ,                               ,              ,                 ,                      ,V                        ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  3,H, 5,  58.00,     16.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,V                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,C                      ,                               ,              ,                 ,                      ,V                        ,A                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  3,H, 6,  58.00,     17.6800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,A                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,F                      ,                               ,              ,                 ,                      ,C                        ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  3,H, 7,  58.00,     19.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,V                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,C                      ,                               ,              ,                 ,                      ,F                        ,A                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  4,H, 1,  58.00,     19.6800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,rR                       ,                                ,                       ,                     ,                 ,                        ,V                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,C                      ,                               ,              ,                 ,                      ,V                        ,A                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  4,H, 2,  58.00,     21.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,rR                       ,                                ,                       ,                     ,                 ,                        ,C                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,C                      ,                               ,              ,                 ,                      ,V                        ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  4,H, 3,  58.00,     22.6800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,                       ,                               ,              ,                 ,F                     ,V                        ,V                        ,R                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  4,H, 4,  58.00,     24.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,                       ,                               ,              ,                 ,                      ,V                        ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  4,H, 5,  58.00,     25.6800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,R                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,R                      ,                               ,              ,                 ,                      ,V                        ,V                        ,R                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  4,H, 6,  58.00,     27.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,R                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,R                      ,                               ,              ,                 ,R                     ,V                        ,V                        ,R                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 1,  58.00,     29.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,R                      ,                               ,              ,                 ,R                     ,V                        ,V                        ,F                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 2,  58.00,     30.6800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,rR                 ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,R                      ,                               ,              ,                 ,F                     ,V                        ,V                        ,F                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 3,  58.00,     32.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,R                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,                       ,                               ,              ,                 ,R                     ,A                        ,V                        ,F                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 5,  58.00,     35.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,C                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,                       ,                               ,              ,                 ,                      ,V                        ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 6,  58.00,     36.6800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,                       ,                               ,              ,                 ,R                     ,V                        ,V                        ,R                     ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 7,  10.00,     37.7000,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,                           ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,C                      ,                               ,              ,                 ,                      ,V                        ,V                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,CN11          ,120, 748,B,  5,H, 7,  58.00,     38.1800,Wei      ,Nannofossils                                 ,V              ,M                 ,                       ,                       ,                         ,                                ,                       ,                     ,                 ,                        ,F                    ,                     ,                      ,                     ,                       ,                       ,                     ,                            ,                             ,                          ,                           ,A                          ,                    ,                            ,                ,                  ,                   ,                ,                                 ,                       ,                          ,                     ,                    ,                  ,                                    ,                                        ,                                ,                                   ,                         ,                         ,                ,                      ,                      ,                   ,                    ,                   ,                        ,                         ,               ,                  ,                        ,                             ,                         ,                 ,                     ,                           ,                         ,                     ,                          ,                              ,A                      ,                               ,              ,                 ,                      ,A                        ,A                        ,                      ,from ODP Leg 120 SR Vol 2 Chapter 28 Table 4 p 515
