Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,planktonics miscellaneous,Candeina nitida,Orbulina universa,Neogloboquadrina pachyderma,Globigerinoides quadrilobatus,Globigerinoides immaturus,Globigerinita glutinata,Globigerinella cf. pseudobesa,Globigerina bulloides,Orbulina suturalis,Neogloboquadrina continuosa,Globorotalia scitula,Globigerinoides trilobus,Globigerinella pseudobesa,Globigerina cf. bulloides,Orbulina bilobata,Globigerina woodi,Globigerinoides obliquus,Neogloboquadrina cf. pachyderma,Globigerina quinqueloba,Globorotalia hirsuta,Neogloboquadrina dutertrei,Globorotalia truncatulinoides,Globorotalia inflata,Globigerinoides ruber,Globigerinoides sacculifer,Globigerina cf. quinqueloba,Comment
  IR,Late Pliocene    ,Holocene         ,                  ,              ,174,1072,A, 22,R,CC,   0.00,    130.8000,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,                         ,               ,                 ,                           ,                             ,                         ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,1                   ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=NA Mbenthics=VR quartz=A glauconite=C mica=C pyrite=R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Holocene         ,                  ,              ,174,1072,A, 23,R,CC,   0.00,    135.4500,Olson    ,Planktonic Foraminifers                      ,F              ,                  ,4                        ,               ,                 ,2                          ,                             ,                         ,                       ,                             ,2                    ,                  ,                           ,                    ,                        ,                         ,3                        ,                 ,                 ,                        ,2                              ,2                      ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=65% benthics=R quartz=A mica=A-C Glauconite=R
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Holocene         ,                  ,              ,174,1072,A, 24,R,CC,   0.00,    139.4200,Olson    ,Planktonic Foraminifers                      ,R              ,                  ,6                        ,               ,                 ,1                          ,                             ,                         ,1                      ,                             ,1                    ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=10% benthics=F-C glauconite=F mica=A quartz=A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 31,R,CC,   0.00,    174.7300,Olson    ,Planktonic Foraminifers                      ,T              ,                  ,1                        ,               ,                 ,                           ,                             ,                         ,                       ,                             ,                     ,                  ,                           ,                    ,                        ,                         ,                         ,                 ,                 ,                        ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=100% benthics=R quartz=A mica=AAA pyrite=C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,174,1072,A, 33,R,CC,   0.00,    184.8900,Olson    ,Planktonic Foraminifers                      ,F              ,                  ,9                        ,               ,                 ,2                          ,4                            ,                         ,                       ,                             ,2                    ,1                 ,                           ,                    ,4                       ,                         ,                         ,                 ,                 ,1                       ,                               ,                       ,                    ,                          ,                             ,                    ,                     ,                          ,                           ,P/B=100% benthics=F quartz=A mica=F pyrite=A carbonaceous=F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
