Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia panda,Globorotalia juanai,Globigerinita glutinata,Globigerina woodi,Globigerina bulloides,Globigerina cf. bulloides,Globigerinita uvula,Globigerinella obesa,Globorotalia scitula,Globorotalia cibaoensis,Neogloboquadrina pachyderma,Globigerina cf. woodi,Globigerina eamesi,Orbulina universa,Globigerina quinqueloba,Globorotalia conoidea,Neogloboquadrina cf. continuosa,Globorotalia miozea,Globorotalia sp. (=Menardella),Globorotalia theyeri,Globigerina falconensis,Globigerinita cf. uvula,Globigerina decoraperta,Globigerina clarkei,Globorotalia sphericomiozea,Globorotalia sp. cf. G.pliozea,Globorotalia puncticulata puncticulata,Globorotalia crassula,Globorotalia anfracta,Neogloboquadrina pachyderma (sin.),Globorotalia puncticulata,Neogloboquadrina pachyderma (dex.),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 24,X, 1,  80.00,    214.5000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,                         ,+                  ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,+                      ,                     ,                               ,                   ,                              ,+                   ,                       ,                       ,                       ,                   ,                           ,+                             ,+                                     ,+                    ,+                    ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 24,X, 2,  80.00,    216.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,                 ,+                    ,+                        ,                   ,                    ,                    ,+                      ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,+                   ,                       ,                       ,                       ,                   ,+                          ,+                             ,+                                     ,+                    ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 24,X, 3,  80.00,    217.5000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,                 ,+                    ,                         ,                   ,                    ,                    ,+                      ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,+                   ,                       ,                       ,                       ,                   ,+                          ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 24,X, 4,  80.00,    219.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,                 ,+                    ,                         ,                   ,                    ,                    ,+                      ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,+                   ,                       ,                       ,                       ,                   ,+                          ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 24,X, 5,  20.00,    219.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                 ,+                  ,                       ,                 ,                     ,+                        ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,+                   ,                       ,                       ,                       ,                   ,+                          ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 24,X, 7,  50.00,    223.2000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,+                    ,+                        ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 25,X, 1,  20.00,    223.4000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,                 ,                     ,                         ,                   ,                    ,                    ,+                      ,+                          ,                     ,                  ,                 ,+                      ,                     ,                               ,+                  ,                              ,+                   ,                       ,                       ,                       ,                   ,+                          ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,G. sphericomiozea ,              ,114, 704,B, 25,X, 2,  20.00,    224.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,                 ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,+                   ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 3,  80.00,    227.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,+                    ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,                    ,                       ,                       ,                       ,+                  ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 4,  80.00,    228.5000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                 ,                   ,                       ,                 ,                     ,                         ,                   ,                    ,                    ,+                      ,                           ,+                    ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,+                   ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 5,  50.00,    229.7000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,+                    ,+                        ,                   ,                    ,                    ,                       ,+                          ,+                    ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 6,  20.00,    230.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,                         ,                   ,+                   ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,+                   ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 6,  38.00,    231.0800,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,                         ,                   ,+                   ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,+                      ,+                      ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 6,  80.00,    231.5000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,+                        ,                   ,                    ,                    ,                       ,+                          ,+                    ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 25,X, 7,  51.00,    232.7100,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 26,X, 1,  50.00,    233.2000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,+                        ,                   ,                    ,                    ,                       ,+                          ,                     ,+                 ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 26,X, 2,  50.00,    234.7000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,+                    ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,+                 ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 26,X, 3,  20.00,    235.9000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 26,X, 4,  80.00,    238.0000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,+                    ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 26,X, 5,  50.00,    239.2000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                 ,                   ,                       ,+                ,+                    ,                         ,                   ,+                   ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,+                    ,                               ,+                  ,                              ,                    ,+                      ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 26,X,CC,  20.00,    239.5700,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,+                    ,+                        ,                   ,                    ,+                   ,                       ,+                          ,+                    ,                  ,                 ,                       ,                     ,                               ,+                  ,+                             ,+                   ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 1, 140.00,    243.6000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,                 ,+                    ,+                        ,                   ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 2, 110.00,    244.8000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,+                    ,                         ,                   ,                    ,                    ,                       ,                           ,+                    ,                  ,                 ,                       ,+                    ,                               ,+                  ,+                             ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 3,  86.00,    246.0600,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,+                    ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,+                  ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 3, 110.00,    246.3000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,+                    ,                         ,+                  ,+                   ,                    ,                       ,                           ,+                    ,                  ,                 ,                       ,                     ,+                              ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 4,  50.00,    247.2000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,+                    ,                  ,                 ,                       ,+                    ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 4, 110.00,    247.8000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,                         ,                   ,+                   ,                    ,                       ,+                          ,+                    ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 4, 140.00,    248.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,+                ,+                      ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 5, 110.00,    249.3000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,+                 ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 6, 110.00,    250.8000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,                           ,+                    ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 27,X, 7,  50.00,    251.7000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,+                      ,+                ,                     ,                         ,                   ,                    ,                    ,                       ,+                          ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 1, 140.00,    253.1000,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,                 ,+                    ,                         ,                   ,                    ,                    ,+                      ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 2,  79.00,    253.9900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,+                ,+                    ,                         ,                   ,                    ,                    ,+                      ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 3,  49.00,    255.1900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,+                  ,+                      ,+                ,+                    ,+                        ,                   ,                    ,+                   ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 4,  79.00,    256.9900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,                  ,                   ,                       ,+                ,+                    ,+                        ,+                  ,+                   ,                    ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 5,  49.00,    258.1900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                 ,                   ,                       ,+                ,+                    ,                         ,                   ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 6,  49.00,    259.6900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                 ,                   ,+                      ,+                ,+                    ,+                        ,                   ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,SN10              ,              ,114, 704,B, 28,X, 7,  49.00,    261.1900,Brunner  ,Planktonic Foraminifers                      ,               ,                  ,+                 ,+                  ,+                      ,+                ,+                    ,                         ,                   ,                    ,                    ,                       ,                           ,                     ,                  ,                 ,                       ,                     ,                               ,                   ,                              ,                    ,                       ,                       ,                       ,                   ,                           ,                              ,                                      ,                     ,                     ,                                  ,                         ,                                  ,from ODP Leg 114 SR Chapter 10 Table 4 p.210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
