Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Verrucosisporites spp.	Trilete spores (unspecified taxon or taxa)	Triadispora obscura	Staurosaccites quadrifidus	Samaropollenites speciosus	Monosulcites spp.	Lunatisporites spp.	Enzonalasporites vigens	Deltoidospora spp.	Camerosporis secatus	Bisaccate pollen (unspecified taxon or taxa)	Baltisphaeridium/Veryhachium (unspecified taxon or taxa)	Baculatisporites spp.	Protohaploxypinus spp.	Aratrisporites parvispinosus	Plaesiodictyon mosellanum	Freshwater Algae (undifferentiated)	Camerosporites pseudoverrucatus	Kinutosaccus crenulatus	Foveolatitriletes crassus	Ephedripites spp.	Bartenia communis	Comment
  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 16	R	 1	  18.00	    135.6800	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	+                  	                          	                          	                 	                   	                       	+                 	                    	+                                           	+                                                       	+                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 17	R	 1	  75.00	    145.7500	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	F                         	C                	                   	                       	F                 	R                   	C                                           	F                                                       	F                    	                      	                            	F                        	F                                  	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 18	R	 1	  64.00	    155.1400	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	F                         	F                	                   	R                      	F                 	                    	C                                           	F                                                       	F                    	                      	                            	F                        	F                                  	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 18	R	 2	  52.00	    156.5200	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	R                  	                          	F                         	C                	                   	                       	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	R                        	R                                  	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 19	R	 1	  72.00	    164.7200	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	R                         	F                	                   	                       	F                 	R                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	R                      	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 19	R	 2	  73.00	    166.2300	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	                   	                          	+                         	                 	                   	                       	+                 	+                   	+                                           	+                                                       	+                    	                      	                            	+                        	+                                  	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 19	R	 3	  73.00	    167.7300	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	+                  	                          	+                         	                 	                   	                       	                  	                    	+                                           	+                                                       	                     	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	Norian           	M. cren./S. specios.	              	122	 759	B	 20	R	 1	  60.00	    174.1000	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	R                  	                          	R                         	F                	                   	F                      	C                 	F                   	A                                           	F                                                       	F                    	                      	                            	R                        	R                                  	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 20	R	 2	  60.00	    175.6000	Brenner  	Pollen/Spores                                	               	                  	                      	A                                         	F                  	                          	A                         	F                	R                  	A                      	F                 	                    	C                                           	F                                                       	                     	                      	                            	R                        	R                                  	                               	                       	                         	R                	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 20	R	 3	  60.00	    177.1200	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	                   	                          	+                         	                 	                   	+                      	                  	                    	+                                           	+                                                       	                     	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 20	R	 4	  22.00	    178.2400	Brenner  	Pollen/Spores                                	               	                  	                      	A                                         	                   	                          	C                         	F                	                   	F                      	C                 	                    	C                                           	                                                        	F                    	                      	C                           	R                        	R                                  	                               	F                      	C                        	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 21	R	 1	  74.00	    183.7400	Brenner  	Pollen/Spores                                	               	                  	                      	A                                         	                   	                          	A                         	F                	                   	F                      	F                 	                    	C                                           	                                                        	F                    	                      	C                           	R                        	R                                  	                               	R                      	F                        	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 21	R	 2	  74.00	    185.2400	Brenner  	Pollen/Spores                                	               	                  	                      	A                                         	R                  	                          	F                         	C                	F                  	F                      	F                 	F                   	A                                           	                                                        	F                    	                      	R                           	R                        	R                                  	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 22	R	 1	  72.00	    193.2200	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	F                         	F                	                   	F                      	                  	F                   	A                                           	F                                                       	F                    	                      	R                           	R                        	R                                  	                               	F                      	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 22	R	 2	  72.00	    194.7200	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	R                  	                          	C                         	F                	                   	F                      	                  	F                   	A                                           	F                                                       	F                    	                      	                            	R                        	R                                  	                               	F                      	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 22	R	 3	  72.00	    196.2200	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	                   	+                         	+                         	                 	                   	+                      	                  	                    	+                                           	+                                                       	+                    	                      	                            	                         	                                   	+                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 23	R	 1	  73.00	    202.7300	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	                   	                          	+                         	                 	+                  	                       	                  	                    	+                                           	+                                                       	+                    	                      	                            	                         	                                   	+                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 23	R	 2	  58.00	    204.0800	Brenner  	Pollen/Spores                                	               	                  	                      	+                                         	                   	                          	+                         	                 	+                  	                       	                  	                    	+                                           	+                                                       	+                    	                      	                            	                         	                                   	                               	                       	+                        	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 23	R	 3	  21.00	    205.1100	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	C                         	F                	R                  	C                      	F                 	F                   	C                                           	C                                                       	F                    	                      	                            	                         	                                   	                               	R                      	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 25	R	 1	  77.00	    221.7700	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	R                         	F                	                   	F                      	F                 	F                   	C                                           	C                                                       	F                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 25	R	 2	  71.00	    223.2100	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	R                         	C                	R                  	F                      	F                 	C                   	C                                           	C                                                       	F                    	                      	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 26	R	 1	  65.00	    231.1500	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	                          	R                         	C                	R                  	F                      	F                 	F                   	C                                           	F                                                       	R                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 26	R	 2	  65.00	    232.6500	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	R                         	C                	                   	                       	F                 	F                   	C                                           	F                                                       	F                    	R                     	R                           	R                        	                                   	F                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 27	R	 1	  74.00	    236.2400	Brenner  	Pollen/Spores                                	               	                  	                      	F                                         	                   	                          	F                         	C                	R                  	                       	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 27	R	 2	  59.00	    237.5900	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	                   	R                         	F                         	F                	                   	                       	F                 	F                   	C                                           	F                                                       	R                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 27	R	 3	  59.00	    239.0900	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	F                         	F                	R                  	                       	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 28	R	 1	  74.00	    241.2400	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	F                         	F                	                   	                       	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 28	R	 2	  74.00	    242.7400	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	F                         	F                	                   	                       	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 28	R	 3	  74.00	    244.2400	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	R                         	C                	R                  	                       	F                 	F                   	C                                           	F                                                       	C                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 29	R	 1	  74.00	    246.2400	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	                   	                          	R                         	C                	R                  	                       	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 29	R	 2	  74.00	    247.7400	Brenner  	Pollen/Spores                                	               	                  	F                     	C                                         	                   	                          	F                         	F                	R                  	F                      	R                 	F                   	C                                           	F                                                       	C                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 29	R	 3	  74.00	    249.2400	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	R                         	R                         	C                	                   	                       	R                 	F                   	C                                           	F                                                       	F                    	R                     	                            	R                        	R                                  	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 30	R	 1	  73.00	    251.2300	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	R                         	F                         	C                	R                  	                       	R                 	C                   	C                                           	F                                                       	F                    	R                     	                            	R                        	R                                  	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 30	R	 2	  73.00	    252.7300	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	F                         	C                	                   	R                      	R                 	C                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 31	R	 1	  72.00	    255.7200	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	                   	                          	R                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 31	R	 2	  72.00	    257.2200	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	                   	                          	R                         	F                	                   	F                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 31	R	 3	  72.00	    258.7200	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	R                  	R                         	F                         	F                	F                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 32	R	 1	  74.00	    260.7400	Brenner  	Pollen/Spores                                	               	                  	                      	C                                         	                   	                          	F                         	F                	R                  	                       	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 32	R	 2	  74.00	    262.2400	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	                   	                          	F                         	F                	F                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 32	R	 3	  74.00	    263.7400	Brenner  	Pollen/Spores                                	               	                  	R                     	C                                         	R                  	                          	F                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 33	R	 1	  72.00	    265.7200	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	R                  	                          	F                         	C                	                   	F                      	F                 	F                   	C                                           	F                                                       	R                    	R                     	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 34	R	 1	  74.00	    270.7400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	F                  	                          	C                         	C                	                   	F                      	F                 	F                   	C                                           	F                                                       	R                    	R                     	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 34	R	 2	  74.00	    272.2400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	F                  	R                         	C                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	                     	R                     	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 34	R	 3	  71.00	    273.7100	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	R                         	C                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	R                    	R                     	                            	                         	                                   	R                              	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 35	R	 1	  52.00	    275.0200	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	                   	                          	F                         	C                	                   	C                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 35	R	 2	  72.00	    276.7200	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	R                  	                          	F                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 35	R	 3	  28.00	    277.7800	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	F                  	                          	F                         	F                	R                  	C                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	R                        	R                                  	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 36	R	 1	  74.00	    280.2400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	F                  	                          	R                         	F                	                   	C                      	F                 	C                   	C                                           	F                                                       	R                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 36	R	 2	  74.00	    281.7400	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	F                  	R                         	R                         	F                	R                  	C                      	F                 	C                   	C                                           	F                                                       	F                    	R                     	F                           	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 36	R	 3	  74.00	    283.2400	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	F                  	                          	R                         	F                	R                  	C                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	F                           	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 37	R	 1	  74.00	    284.7400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	F                  	                          	C                         	C                	                   	C                      	R                 	F                   	C                                           	F                                                       	F                    	R                     	R                           	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 37	R	 2	  74.00	    286.2400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	F                  	                          	C                         	F                	                   	C                      	R                 	F                   	C                                           	F                                                       	F                    	R                     	R                           	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 37	R	 3	  74.00	    287.7400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	                          	F                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 38	R	 1	  69.00	    289.6900	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	                   	                          	F                         	F                	R                  	F                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 38	R	 2	  71.00	    291.2100	Brenner  	Pollen/Spores                                	               	                  	F                     	F                                         	                   	R                         	F                         	F                	                   	F                      	F                 	F                   	C                                           	F                                                       	F                    	R                     	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 38	R	 3	  71.00	    292.7100	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	R                         	F                         	F                	                   	F                      	F                 	F                   	C                                           	F                                                       	                     	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 38	R	 4	  68.00	    294.1800	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	F                  	                          	                          	F                	                   	F                      	F                 	F                   	C                                           	F                                                       	R                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 39	R	 1	  71.00	    299.2100	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	                          	                          	F                	R                  	C                      	F                 	C                   	C                                           	F                                                       	R                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 39	R	 2	  74.00	    300.7400	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	R                         	                          	F                	                   	C                      	F                 	C                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 39	R	 3	  73.00	    302.2300	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	R                         	F                         	F                	R                  	C                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 39	R	 4	  72.00	    303.7200	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	                   	                          	F                         	F                	R                  	C                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

  SR	Carnian          	                 	S. speciosus      	              	122	 759	B	 39	R	 5	  71.00	    305.2100	Brenner  	Pollen/Spores                                	               	                  	R                     	F                                         	R                  	R                         	F                         	F                	R                  	C                      	F                 	F                   	C                                           	F                                                       	F                    	                      	                            	                         	                                   	                               	                       	                         	                 	                 	from ODP Leg 122 SR Chapter 23 Table 3 p 416-417

