Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Micula prinsii,Micula murus,Ceratolithoides kamptneri,Ceratolithoides aculeus,Arkhangelskiella cymbiformis,Ellipsolithus macellus,Cruciplacolithus tenuis,Cruciplacolithus primus,Sphenolithus primus,Heliolithus kleinpellii,Fasciculithus tympaniformis,Zygrhablithus bijugatus,Lophodolithus nascens,Discoaster multiradiatus,Chiasmolithus consuetus,Toweius gammation,Toweius crassus,Sphenolithus radians,Sphenolithus editus,Reticulofenestra dictyoda,Discoaster tanii,Discoaster sublodoensis,Discoaster lodoensis,Discoaster barbadiensis,Cruciplacolithus cribellum,Chiasmolithus grandis,Sphenolithus abies,Reticulofenestra pseudoumbilicus,Discoaster variabilis,Discoaster quinqueramus,Discoaster pentaradiatus,Calcidiscus macintyrei,Amaurolithus spp.,Amaurolithus amplificus,Discoaster surculus,Ceratolithus rugosus,Reticulofenestra minutula,Pseudoemiliania lacunosa,Discoaster tamalis,Discoaster brouweri,Discoaster asymmetricus,Gephyrocapsa (small),Gephyrocapsa large,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12a             ,CN12a         ,198,1212,A,  5,H,CC,  30.00,     43.3700,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,C                       ,C                     ,                 ,                       ,C                  ,F                   ,A                        ,F                       ,R                 ,R                  ,F                      ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN10c             ,CN10c         ,198,1212,A,  6,H,CC,  18.00,     49.3800,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,A                               ,                     ,                       ,C                       ,F                     ,                 ,                       ,C                  ,R                   ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN9c              ,CN9c          ,198,1212,A,  7,H,CC,  22.00,     57.3600,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,R                 ,A                               ,C                    ,R                      ,C                       ,F                     ,F                ,R                      ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP12              ,CP12          ,198,1212,A,  8,H,CC,  11.00,     66.4900,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,A                      ,                     ,                        ,F                      ,R                ,F              ,C                   ,C                  ,F                        ,R               ,R                      ,C                   ,C                      ,F                         ,F                    ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP8               ,CP8           ,198,1212,A,  9,H,CC,   6.00,     75.7800,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,                       ,                       ,                   ,                       ,                           ,C                      ,F                    ,A                       ,F                      ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP5               ,CP5           ,198,1212,A, 10,H,CC,  11.00,     85.8800,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,                      ,F                      ,                       ,A                  ,F                      ,F                          ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CP3               ,CP3           ,198,1212,A, 11,H,CC,  15.00,     92.2000,nannos   ,Nannofossils                                 ,A              ,M                 ,              ,            ,                         ,                       ,                            ,F                     ,C                      ,C                      ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,Fasciculiths and Sphenoliths present
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC26              ,CC26          ,198,1212,A, 12,H,CC,  14.00,     99.7900,nannos   ,Nannofossils                                 ,A              ,M                 ,C             ,C           ,F                        ,+                      ,C                           ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CC26              ,CC26          ,198,1212,A, 13,H,CC,   0.00,    106.3300,nannos   ,Nannofossils                                 ,A              ,M                 ,C             ,C           ,C                        ,C                      ,C                           ,                      ,                       ,                       ,                   ,                       ,                           ,                       ,                     ,                        ,                       ,                 ,               ,                    ,                   ,                         ,                ,                       ,                    ,                       ,                          ,                     ,                  ,                                ,                     ,                       ,                        ,                      ,                 ,                       ,                   ,                    ,                         ,                        ,                  ,                   ,                       ,                    ,                  ,questionable L. quadratus here
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
