Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tranolithus phacelosus	Rhagodiscus asper	Rhagodiscus angustus	Prediscosphaera columnata	Hayesites albiensis	Gephyrorhabdus coronadventis	Flabellites oblongus	Eprolithus floralis	Corollithion signum	Chiastozygus platyrhethus	Braarudosphaera stenorhetha	Braarudosphaera africana	Watznaueria britannica	Stoverius achylosus	Eiffellithus turriseiffelii	Cretarhabdus loriei	Cribrosphaerella ehrenbergii	Gartnerago praeobliquum	Nannoconus truitti ssp rectangularis	Braarudosphaera quinquecostata	Nannoconus fragilis	Parhabdolithus achylostaurion	Microstaurus chiastius	Crucicribrum striatum	Radiolithus orbiculatus	Lapideacassis mariae	Rucinolithus irregularis	Radiolithus planus	Nannoconus regularis	Metadoga mercurius	Axopodorhabdus albianus	Gartnerago obliquum	Lithraphidites alatus	Lithraphidites acutum spp. eccentricum	Corollithion kennedyi	Tranolithus exiguus	Prediscosphaera avitus	Gartnerago nanum	Ceratolithoides aculeus	Reinhardtites levis	Quadrum trifidum	Quadrum gothicum	Perchnielsenella stradneri	Lithraphidites praequadratus	Arkhangelskiella cymbiformis	Micula praemurus	Lithraphidites quadratus	Micula murus	Semihololithus priscus	Lithraphidites kennethii	Lithraphidites grossopectinatus	Ceratolithoides kamptneri	Cylindralithus oweinae	Cribrocorona gallica	Pseudomicula quadrata	Micula prinsii	Nephrolithus frequens	Prediscosphaera grandis	Prediscosphaera cretacea	Microrhabdulus decoratus	Biscutum parvulum	Neochiastozygus primitivus	Cyclagelosphaera reinhardtii	Cruciplacolithus tenuis	Cruciplacolithus primus (small)	Cruciplacolithus primus	Chiastozygus ultimus	Prinsius tenuiculum	Prinsius martinii	Prinsius dimorphosus	Neocrepidolithus cruciatus	Chiasmolithus danicus	Neochiastozygus modestus	Neochiastozygus imbriei	Ellipsolithus bollii	Fasciculithus magnus	Chiasmolithus edwardsii	Ellipsolithus macellus	Cruciplacolithus edwardsii	Ericsonia robusta	Octolithus multiplus	Prinsius bisulcus	Thoracosphaera spp.	Placozygus sigmoides	Ericsonia subpertusa	Discoaster barbadiensis	Chiasmolithus solitus	Chiasmolithus grandis	Chiasmolithus gigas	Nannotetrina fulgens	Reticulofenestra umbilica	Chiasmolithus consuetus	Cribrocentrum reticulatum	Bramletteius serraculoides	Lanternithus minutus	Discoaster saipanensis	Comment

  IR	                 	Middle Eocene    	                  	              	171	1052	E	  3	R	 2	  66.00	    158.1600	Watkins  	Nannofossils                                 	A              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	                       	                               	                       	                    	                   	                 	                    	                          	                     	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	+                      	+                    	+                    	+                  	                    	                         	                       	                         	                          	                    	                      	Zone CP13b

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	E	  3	R	CC	  12.00	    159.4600	Watkins  	Nannofossils                                 	C              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	+                    	                        	                       	+                   	                    	                       	                      	+                         	+                	                    	                 	                   	                    	+                   	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	No Sphenoliths or Fasciculiths; Cretaceous reworking

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	E	  4	R	CC	   0.00	    165.7500	Watkins  	Nannofossils                                 	C              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	                     	                        	                       	+                   	                    	                       	                      	+                         	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Slurry-getting Mid Eocene mixed in w/ Danian

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	E	  5	R	 1	   7.00	    175.2700	Watkins  	Nannofossils                                 	C              	P                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	+                	                    	                          	                     	+                       	                       	                    	                    	                       	+                     	+                         	                 	                    	+                	+                  	+                   	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Cretaceous reworking

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	E	  6	R	CC	  20.00	    185.5000	Watkins  	Nannofossils                                 	C              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	                     	+                       	                       	+                   	                    	                       	                      	                          	                 	                    	+                	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Cretaceous reworking

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	E	  7	R	CC	   5.00	    194.4500	Watkins  	Nannofossils                                 	F              	P                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	+                	                    	                          	                     	                        	                       	+                   	                    	                       	                      	                          	+                	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Cretaceous reworking

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	E	  8	R	CC	  14.00	    210.3900	Watkins  	Nannofossils                                 	C              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	                     	                        	                       	+                   	                    	                       	                      	+                         	+                	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Cretaceous reworking

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	E	  9	R	CC	  17.00	    215.9700	Watkins  	Nannofossils                                 	C              	P                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	                     	                        	                       	+                   	                    	                       	                      	                          	                 	+                   	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	E	 10	R	CC	  11.00	    230.9000	Watkins  	Nannofossils                                 	C              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	                     	                        	                       	+                   	                    	                       	                      	                          	+                	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Cretaceous reworking

  IR	                 	Late Paleocene   	                  	CP3           	171	1052	E	 11	R	CC	  16.00	    234.8000	Watkins  	Nannofossils                                 	A              	M                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	                    	                          	                     	+                       	                       	+                   	                    	                       	+                     	+                         	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	Cretaceous reworking

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	E	 12	R	CC	   4.00	    248.1700	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	+                	+                   	                          	+                    	                        	                       	                    	                    	+                      	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	E	 13	R	CC	  20.00	    256.0500	Watkins  	Nannofossils                                 	A              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	                    	                   	                 	+                   	                          	+                    	+                       	+                      	+                   	+                   	+                      	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       

  IR	                 	Early Paleocene  	                  	CP3           	171	1052	E	 15	R	CC	  24.00	    274.1600	Watkins  	Nannofossils                                 	C              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	                          	                            	+                      	                               	+                      	+                   	+                  	                 	                    	                          	                     	+                       	+                      	+                   	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	E. sp. cf. E. bollii

  IR	                 	Early Paleocene  	                  	CP2           	171	1052	E	 16	R	 6	  75.00	    289.1100	Watkins  	Nannofossils                                 	C              	G                 	                      	                 	                    	                         	                   	                            	                    	                   	                   	                         	                           	                        	                      	                   	                           	                   	                            	                       	                                    	                              	                   	                             	                      	                     	                       	                    	                        	                  	                    	                  	                       	                   	                     	                                      	                     	                   	                      	                	                       	                   	                	                	                          	                            	                            	                	                        	            	                      	                        	                               	                         	                      	                    	                     	              	                     	                       	                        	                        	                 	+                         	                            	+                      	                               	+                      	                    	+                  	+                	+                   	+                         	+                    	                        	                       	                    	                    	                       	                      	                          	                 	                    	                 	                   	                    	                    	                       	                     	                     	                   	                    	                         	                       	                         	                          	                    	                      	       
