Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix spp.	Thalassiothrix longissima	Thalassiosira convexa	Thalassiosira antiqua	Rhizosolenia barboi	Hemidiscus cuneiformis	Coscinodiscus marginatus	Neodenticula kamtschatica	Stephanopyxis turris	Neodenticula seminae	Nitzschia marina	Neodenticula cf. N. koizumii	Thalassiosira spp.	Thalassiosira nativa	Thalassiosira eccentrica	Nitzschia reinholdii	Coscinodiscus radiatus	Actinocyclus curvatulus	Paralia sulcata	Cocconeis californica	Denticulopsis hustedtii	Actinocyclus ingens	Stephanopyxis schenckii	Sponge spicules	Simonseniella curvirostris	Denticulopsis hyalina	Actinoptychus senarius	Thalassionema nitzschioides	Diatom fragments (girdle bands)	Diatom fragments	Actinocyclus tsugaruensis	Comment
  IR	Pliocene         	                 	NPD 9             	NPD 10        	167	1016	D	  7	H	CC	  18.00	     65.4600	Maruyama 	Diatoms                                      	R              	P                 	                   	                         	                     	                     	T                  	                      	                        	                         	F                   	R                   	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	T                      	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 9             	NPD 10        	167	1016	D	  8	H	CC	  11.00	     74.7300	Maruyama 	Diatoms                                      	A              	M/G               	A                  	C                        	                     	                     	R                  	                      	R                       	                         	                    	F                   	                	                            	                  	                    	                        	R                   	                      	                       	               	                     	T                      	T                  	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 9             	NPD 10        	167	1016	D	  9	H	CC	  20.00	     84.1200	Maruyama 	Diatoms                                      	A              	P/M               	                   	C                        	                     	                     	R                  	                      	R                       	                         	                    	                    	                	                            	                  	                    	                        	                    	                      	                       	R              	R                    	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 9             	NPD 10        	167	1016	D	 10	H	CC	  20.00	     93.9400	Maruyama 	Diatoms                                      	A              	P/M               	A                  	                         	                     	                     	A                  	                      	F                       	                         	F                   	                    	                	                            	                  	R                   	R                       	R                   	R                     	R                      	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 9             	NPD 10        	167	1016	D	 11	H	CC	  11.00	    103.1600	Maruyama 	Diatoms                                      	A              	M                 	A                  	C                        	                     	                     	A                  	                      	A                       	                         	                    	C                   	                	                            	R                 	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 8             	              	167	1016	D	 12	H	CC	  22.00	    112.2400	Maruyama 	Diatoms                                      	C              	P/M               	                   	                         	R                    	                     	                   	                      	C                       	T                        	                    	C                   	R               	T                           	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 8             	              	167	1016	D	 13	H	CC	  17.00	    122.4600	Maruyama 	Diatoms                                      	C              	P/M               	                   	C                        	F                    	                     	C                  	R                     	C                       	                         	F                   	C                   	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 7A            	NPD 8         	167	1016	D	 14	H	CC	  27.00	    131.7000	Maruyama 	Diatoms                                      	R              	P                 	                   	F                        	R                    	                     	R                  	                      	C                       	R                        	                    	                    	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 7A            	NPD 8         	167	1016	D	 15	H	CC	  27.00	    141.6100	Maruyama 	Diatoms                                      	T              	P                 	                   	R                        	                     	                     	R                  	                      	                        	                         	                    	                    	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

  IR	Pliocene         	                 	NPD 7A            	NPD 8         	167	1016	D	 16	H	CC	  21.00	    150.9300	Maruyama 	Diatoms                                      	A              	M/G               	A                  	C                        	R                    	T                    	F                  	R                     	F                       	                         	                    	                    	                	                            	                  	                    	                        	                    	                      	                       	               	                     	                       	                   	                       	               	                          	                     	                      	                           	                               	                	                         	from IR. Ch 10. Table 7.

