Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Hedbergella planispira	Globotruncana ventricosa	Globotruncana arca	Globotruncanella petaloidea	Heterohelix semicostata	Planoglobulina acervulinoides	Rugoglobigerina hexacamerata	Pseudotextularia nuttalli	Heterohelix dentata	Globotruncana rugosa	Abathomphalus mayaroensis	Rosita walfischensis	Gublerina acuta	Globotruncanella pschadae	Globotruncana rosetta	Planorotalites imitatus	Morozovella albeari	Morozovella kolchidica	Planorotalites planoconicus	Morozovella pseudobulloides	Subbotina triangularis	Truncorotaloides rohri	Pseudohastigerina naguewichiensis	Chiloguembelina midwayensis	Turborotalia increbescens	Subbotina angiporoides	Globigerina ampliapertura	Globigerina gortanii	Globigerina ouachitaensis	Tenuitella postcretacea	Tenuitella munda	Globigerina ciperoensis	Clavatorella sp. aff. C. nicobarensis	Sphaeroidinella dehiscens	Pulleniatina obliquiloculata	Orbulina universa	Neogloboquadrina dutertrei	Globorotalia tumida	Globorotalia menardii	Globorotalia crassaformis	Globoquadrina hexagona	Globoquadrina conglomerata	Globigerinoides tenellus	Globigerinoides sacculifer	Globigerinoides ruber	Globigerinoides conglobatus	Globigerinita glutinata	Globigerinella aequilateralis	Globigerina rubescens	Globigerina falconensis	Globigerina calida	Globigerina bulloides	Globorotalia truncatulinoides (dex.)	Globorotalia scitula	Globorotalia hirsuta	Globigerina digitata	P-D intergrade	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata	Globorotalia truncatulinoides (sin.)	Comment

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  41.00	      0.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.3%                      	12.4%                       	.8%              	19.3%                     	.5%                	6.6%                 	1.0%                     	1.7%                  	2.9%                      	1.9%                    	6.4%                      	21.3%                	2.4%                       	9.9%                   	2.2%                         	                     	                       	2.0%              	7.2%                 	                                    	.2%                 	                    	.2%                 	.8%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  51.00	      0.5100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	13.3%                       	.3%              	21.5%                     	1.6%               	9.8%                 	.8%                      	2.0%                  	2.1%                      	.3%                     	8.1%                      	12.5%                	2.6%                       	10.7%                  	1.8%                         	.3%                  	.3%                    	2.0%              	8.1%                 	                                    	.2%                 	.3%                 	                    	1.1%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  61.00	      0.6100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	11.8%                       	.7%              	19.4%                     	.9%                	11.9%                	.2%                      	2.0%                  	3.3%                      	                        	5.2%                      	17.7%                	1.6%                       	10.0%                  	4.0%                         	1.3%                 	.7%                    	1.1%              	6.7%                 	                                    	                    	.5%                 	.2%                 	.7%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  71.00	      0.7100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	18.8%                       	.4%              	15.3%                     	1.1%               	10.5%                	.6%                      	1.1%                  	6.3%                      	                        	5.2%                      	15.5%                	2.2%                       	3.5%                   	5.0%                         	                     	.2%                    	2.0%              	11.3%                	                                    	                    	                    	.7%                 	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  81.00	      0.8100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	19.6%                       	.7%              	12.9%                     	.3%                	9.4%                 	.9%                      	1.9%                  	4.4%                      	1.3%                    	5.7%                      	17.3%                	1.3%                       	9.7%                   	3.1%                         	.4%                  	.2%                    	2.3%              	7.3%                 	                                    	.2%                 	.3%                 	.4%                 	.6%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	  91.00	      0.9100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	26.9%                       	.9%              	13.6%                     	1.6%               	10.4%                	.9%                      	1.6%                  	3.0%                      	.2%                     	4.6%                      	12.5%                	2.3%                       	7.8%                   	2.1%                         	.4%                  	.2%                    	1.2%              	8.1%                 	                                    	.2%                 	.5%                 	.5%                 	.5%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	 101.00	      1.0100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	18.0%                       	.3%              	11.7%                     	1.2%               	9.9%                 	.5%                      	2.1%                  	3.0%                      	.8%                     	6.4%                      	15.9%                	1.1%                       	14.1%                  	1.4%                         	.8%                  	.2%                    	.9%               	10.9%                	                                    	.6%                 	.2%                 	                    	.2%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	 111.00	      1.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.6%                      	21.3%                       	1.0%             	6.7%                      	1.9%               	18.8%                	                         	1.3%                  	4.1%                      	1.3%                    	3.8%                      	13.1%                	1.3%                       	9.6%                   	3.2%                         	.6%                  	.3%                    	1.3%              	9.2%                 	                                    	                    	.6%                 	                    	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	 121.00	      1.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	20.5%                       	.5%              	15.0%                     	1.2%               	12.1%                	.2%                      	.5%                   	4.5%                      	1.0%                    	5.0%                      	18.8%                	.7%                        	4.1%                   	4.8%                         	.5%                  	.2%                    	2.6%              	5.7%                 	                                    	                    	.5%                 	1.0%                	.7%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	 131.00	      1.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	14.1%                       	.8%              	17.4%                     	.4%                	7.4%                 	.2%                      	2.0%                  	5.6%                      	.4%                     	8.8%                      	22.5%                	1.3%                       	7.9%                   	2.1%                         	.2%                  	.1%                    	1.5%              	5.5%                 	                                    	                    	.6%                 	.5%                 	.2%           	.1%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 1	 141.00	      1.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.2%                      	14.2%                       	.4%              	13.0%                     	1.9%               	9.2%                 	2.5%                     	1.6%                  	5.0%                      	2.3%                    	6.1%                      	14.3%                	2.3%                       	13.5%                  	3.3%                         	.7%                  	.2%                    	2.8%              	5.0%                 	                                    	.2%                 	.3%                 	.4%                 	.7%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	   1.00	      1.5100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	11.9%                       	.5%              	16.7%                     	3.9%               	13.3%                	2.2%                     	.2%                   	3.6%                      	3.6%                    	4.6%                      	10.9%                	                           	15.3%                  	1.5%                         	.7%                  	1.5%                   	.5%               	7.8%                 	                                    	                    	                    	.2%                 	.7%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	  41.00	      1.9100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	1.0%                     	18.6%                       	.3%              	14.1%                     	4.5%               	14.8%                	.7%                      	1.0%                  	8.6%                      	1.0%                    	6.9%                      	10.0%                	1.4%                       	8.3%                   	1.7%                         	.3%                  	                       	1.0%              	5.5%                 	                                    	                    	                    	.3%                 	              	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	  61.00	      2.1100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	13.9%                       	.2%              	12.8%                     	.5%                	11.2%                	.7%                      	1.1%                  	5.8%                      	.5%                     	11.5%                     	15.5%                	.9%                        	10.3%                  	2.7%                         	                     	.5%                    	2.0%              	7.2%                 	                                    	.5%                 	.2%                 	1.1%                	.5%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	  71.00	      2.2100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.5%                      	12.6%                       	1.6%             	8.6%                      	.5%                	10.8%                	1.4%                     	1.1%                  	6.1%                      	.4%                     	9.4%                      	24.1%                	1.8%                       	7.9%                   	5.2%                         	                     	.4%                    	2.3%              	4.2%                 	                                    	                    	.2%                 	.9%                 	.4%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	  81.00	      2.3100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.4%                      	13.0%                       	.5%              	11.3%                     	2.0%               	12.7%                	.7%                      	.7%                   	7.3%                      	.9%                     	7.5%                      	12.3%                	3.4%                       	14.3%                  	2.7%                         	                     	.9%                    	1.3%              	7.5%                 	                                    	                    	.2%                 	.2%                 	.4%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	  91.00	      2.4100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.7%                      	9.5%                        	                 	15.2%                     	1.1%               	12.0%                	3.2%                     	1.4%                  	5.7%                      	.9%                     	12.0%                     	13.0%                	2.3%                       	10.2%                  	3.4%                         	.4%                  	                       	2.1%              	4.8%                 	                                    	.2%                 	.2%                 	.4%                 	1.3%          	.2%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	 101.00	      2.5100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.8%                      	11.0%                       	.5%              	21.7%                     	4.3%               	18.0%                	1.1%                     	.5%                   	6.7%                      	                        	7.8%                      	11.5%                	2.7%                       	1.6%                   	3.2%                         	                     	                       	1.3%              	4.0%                 	                                    	                    	                    	.8%                 	2.4%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	 111.00	      2.6100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	                         	14.6%                       	.5%              	18.0%                     	3.2%               	19.7%                	2.2%                     	.9%                   	2.9%                      	.3%                     	5.6%                      	10.5%                	1.0%                       	11.9%                  	1.5%                         	.3%                  	.2%                    	.9%               	3.4%                 	                                    	                    	                    	.5%                 	1.7%          	.2%                               	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	 121.00	      2.7100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.7%                      	10.2%                       	                 	23.1%                     	1.7%               	11.6%                	.4%                      	1.1%                  	4.4%                      	.9%                     	14.4%                     	7.4%                 	2.8%                       	5.7%                   	2.8%                         	.4%                  	                       	1.1%              	8.9%                 	                                    	.4%                 	                    	                    	2.0%          	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131

  SR	                 	                 	                  	              	121	 758	A	  1	H	 2	 131.00	      2.8100	Chen     	Planktonic Foraminifers                      	               	                  	                      	                        	                  	                           	                       	                             	                            	                         	                   	                    	                         	                    	               	                         	                     	                       	                   	                      	                           	                           	                      	                      	                                 	                           	                         	                      	                         	                    	                         	                       	                	                       	                                     	.1%                      	5.2%                        	.3%              	12.8%                     	.5%                	4.7%                 	.2%                      	3.4%                  	2.6%                      	.3%                     	11.6%                     	28.6%                	1.2%                       	15.2%                  	3.7%                         	.1%                  	.3%                    	2.0%              	6.0%                 	                                    	.1%                 	.2%                 	.1%                 	.6%           	                                  	                    	                                    	from ODP Leg 121 SR Chapter 4 Table 1 p 128-131
