Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies,Reticulofenestra sp. (small),Reticulofenestra pseudoumbilicus,Cyclococcolithus leptoporus,Coccolithus pelagicus,Helicosphaera carteri,Cyclococcolithus macintyrei,Helicosphaera sellii,Gephyrocapsa oceanica,Gephyrocapsa aperta,Rhabdosphaera sp.,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,              ,112, 679,D,  5,H, 1,  85.00,     37.2500,Martini  ,Nannofossils                                 ,               ,M/G               ,                  ,                            ,                                ,R                          ,C                    ,                     ,R                          ,F                   ,R                    ,F                  ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN19              ,              ,112, 679,D,  5,H, 3,  94.00,     40.3400,Martini  ,Nannofossils                                 ,               ,G                 ,                  ,                            ,                                ,                           ,C                    ,                     ,R                          ,                    ,                     ,                   ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D,  8,H, 2, 105.00,     67.4500,Martini  ,Nannofossils                                 ,               ,G                 ,                  ,R                           ,R                               ,                           ,R                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D,  8,H, 4, 108.00,     70.4800,Martini  ,Nannofossils                                 ,               ,G                 ,R                 ,F                           ,F                               ,                           ,R                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D,  8,H,CC,  18.00,     74.0800,Martini  ,Nannofossils                                 ,               ,G                 ,                  ,F                           ,C                               ,                           ,R                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D, 11,H, 2,  98.00,     95.8800,Martini  ,Nannofossils                                 ,               ,G                 ,R                 ,R                           ,F                               ,                           ,R                    ,R                    ,                           ,                    ,                     ,                   ,                 ,                 ,age of sample attributed to zone NN15 or older; from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D, 11,H,CC,  24.00,    102.2400,Martini  ,Nannofossils                                 ,               ,G                 ,R                 ,                            ,                                ,                           ,R                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,age of sample attributed to zone NN15 or older; from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D, 12,H, 1,  61.00,    103.5100,Martini  ,Nannofossils                                 ,               ,G                 ,                  ,                            ,                                ,                           ,F                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,age of sample attributed to zone NN15 or older; from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D, 19,X, 1,  88.00,    162.2800,Martini  ,Nannofossils                                 ,               ,M                 ,                  ,R                           ,R                               ,                           ,R                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,age of sample attributed to zone NN15 or older; from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NN15              ,              ,112, 679,D, 19,X,CC,  20.00,    164.8700,Martini  ,Nannofossils                                 ,               ,G                 ,R                 ,R                           ,F                               ,R                          ,R                    ,                     ,                           ,                    ,                     ,                   ,                 ,                 ,age of sample attributed to zone NN15 or older; from ODP Leg 112 SR Chapter 14 Table 2 p 220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
