Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Gephyrocapsa sp.,Gephyrocapsa (small),Emiliania pujosae,Emiliania huxleyi,Coccolithus pelagicus,Calcidiscus leptoporus,Gephyrocapsa Group 4,Gephyrocapsa Group 1,Gephyrocapsa Group 2,Gephyrocapsa Group 3,Coccolithus streckerii,Coccolithus crassipons,Pontosphaera sp.,Reticulofenestra sp.,Pontosphaera japonica,Braarudosphaera bigelowii,Syracosphaera pulchra,Comment
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  2,H, 2,  88.00,      5.8800,Mao      ,Nannofossils                                 ,C              ,M                 ,                ,                    ,F                ,C                ,C                    ,                      ,R                   ,C                   ,R                   ,                    ,R                     ,                      ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  2,H, 3,  29.00,      6.7900,Mao      ,Nannofossils                                 ,C              ,P                 ,                ,                    ,                 ,                 ,C                    ,                      ,                    ,F                   ,F                   ,                    ,R                     ,R                     ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  2,H, 4,  44.00,      8.4400,Mao      ,Nannofossils                                 ,C              ,P                 ,                ,                    ,                 ,R                ,C                    ,                      ,R                   ,C                   ,F                   ,R                   ,R                     ,                      ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  2,H, 5,  39.00,      9.8900,Mao      ,Nannofossils                                 ,C              ,VP                ,                ,                    ,                 ,F                ,C                    ,                      ,R                   ,C                   ,F                   ,                    ,                      ,                      ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 858,C,  2,H, 6,  68.00,     11.6800,Mao      ,Nannofossils                                 ,F              ,VP                ,                ,                    ,                 ,R                ,F                    ,                      ,R                   ,R                   ,                    ,                    ,                      ,                      ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 SR; Chapter 5; Table 10; p. 71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21B             ,              ,139, 858,C,  2,H,CC,  18.00,     13.1300,Mao      ,Nannofossils                                 ,C              ,P                 ,                ,C                   ,R                ,F                ,F                    ,R                     ,                    ,                    ,                    ,                    ,                      ,                      ,                ,                    ,                     ,                         ,                     ,from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,NN21A             ,              ,139, 858,C,  3,H,CC,   7.00,     22.7700,Mao      ,Nannofossils                                 ,R              ,P                 ,                ,R                   ,                 ,                 ,                     ,                      ,                    ,                    ,                    ,                    ,                      ,                      ,                ,                    ,                     ,                         ,                     ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN21A             ,              ,139, 858,C,  5,H,CC,   8.00,     33.2100,Mao      ,Nannofossils                                 ,R              ,P                 ,R               ,                    ,                 ,                 ,                     ,                      ,                    ,                    ,                    ,                    ,                      ,                      ,                ,                    ,                     ,                         ,                     ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Table 7; p 464-465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
