Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Gephyrocapsa Group 2	Gephyrocapsa Group 1	Coccolithus pelagicus	Gephyrocapsa oceanica	Emiliania huxleyi	Syracosphaera sp.	Coccolithus crassipons	Crenalithus doronicoides	Pontosphaera sp.	Coccolithus streckerii	Gephyrocapsa Group 4	Emiliania pujosae	Calcidiscus leptoporus	Braarudosphaera bigelowii	Pontosphaera japonica	Syracosphaera pulchra	Gephyrocapsa caribbeanica	Gephyrocapsa Group 3	Helicosphaera carteri	Reticulofenestra sp.	Umbilicosphaera mirabilis	Thoracosphaera sp.	Gephyrocapsa sp.	Umbellosphaera tenuis	Rhabdosphaera clavigera	Comment
  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  1	H	 6	  15.00	      9.5500	Mao      	Nannofossils                                 	A              	M                 	                    	A                   	C                    	                     	C                	                 	F                     	                        	                	                      	                    	                 	                      	R                        	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	R                      	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  1	H	 7	   3.00	     10.9300	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	F                    	                     	R                	                 	R                     	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21B             	              	139	 857	A	  1	H	CC	  20.00	     11.5400	Mao      	Nannofossils                                 	C              	P                 	                    	                    	C                    	C                    	C                	                 	                      	                        	                	                      	                    	R                	                      	                         	R                    	R                    	R                        	                    	                     	                    	                         	R                 	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 1	  41.00	     11.8100	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	C                    	                     	C                	                 	F                     	                        	                	                      	                    	F                	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 1	  52.00	     11.9200	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	C                    	                     	C                	                 	F                     	                        	                	                      	                    	                 	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 1	 101.00	     12.4100	Mao      	Nannofossils                                 	C              	P                 	R                   	C                   	C                    	                     	F                	                 	                      	                        	                	R                     	                    	R                	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 2	  13.00	     13.0300	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	F                    	                     	C                	                 	F                     	                        	                	                      	                    	F                	                      	R                        	R                    	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 2	  51.00	     13.4100	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	F                    	                     	C                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 2	 125.00	     14.1500	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	F                    	                     	C                	                 	                      	                        	                	                      	                    	R                	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 3	  41.00	     14.8100	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	F                    	                     	F                	R                	                      	                        	                	                      	                    	R                	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 3	  52.00	     14.9200	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	C                    	                     	C                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 3	 120.00	     15.6000	Mao      	Nannofossils                                 	A              	M                 	                    	A                   	C                    	                     	C                	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 4	   5.00	     15.9500	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	C                    	                     	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21B             	              	139	 857	A	  2	H	 4	  17.00	     16.0700	Mao      	Nannofossils                                 	C              	M                 	                    	                    	F                    	C                    	C                	                 	                      	                        	                	                      	                    	R                	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 4	  61.00	     16.5100	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	C                    	                     	F                	                 	R                     	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 5	  19.00	     17.5900	Mao      	Nannofossils                                 	A              	M                 	                    	C                   	F                    	C                    	C                	                 	                      	R                       	                	                      	R                   	R                	F                     	R                        	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21B             	              	139	 857	A	  2	H	 5	  22.00	     17.6200	Mao      	Nannofossils                                 	A              	M                 	                    	A                   	C                    	C                    	C                	                 	                      	                        	                	                      	                    	                 	F                     	R                        	R                    	                     	                         	                    	                     	                    	                         	                  	F               	F                    	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  2	H	 5	  28.00	     17.6800	Mao      	Nannofossils                                 	A              	M                 	                    	A                   	C                    	C                    	F                	                 	                      	                        	                	                      	                    	                 	F                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	F               	F                    	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  2	H	 5	  31.00	     17.7100	Mao      	Nannofossils                                 	A              	P                 	                    	A                   	C                    	C                    	F                	                 	                      	                        	                	                      	                    	R                	F                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	C               	F                    	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  2	H	 5	  42.00	     17.8200	Mao      	Nannofossils                                 	A              	M                 	                    	                    	C                    	                     	F                	                 	                      	                        	                	                      	                    	                 	R                     	                         	R                    	                     	                         	                    	                     	                    	                         	                  	C               	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  2	H	 5	  59.00	     17.9900	Mao      	Nannofossils                                 	A              	P                 	                    	A                   	C                    	                     	F                	                 	                      	                        	                	                      	                    	                 	F                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	F                    	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  2	H	 5	  62.00	     18.0200	Mao      	Nannofossils                                 	A              	M                 	F                   	A                   	C                    	                     	F                	                 	R                     	                        	                	                      	                    	                 	F                     	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	F                    	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  2	H	 5	  80.00	     18.2000	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	                 	F                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	R                    	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  2	H	 5	 114.00	     18.5400	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  2	H	 6	   4.00	     18.9400	Mao      	Nannofossils                                 	F              	P                 	                    	F                   	F                    	F                    	F                	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  2	H	 6	  52.00	     19.4200	Mao      	Nannofossils                                 	C              	P                 	                    	R                   	C                    	                     	R                	                 	                      	                        	                	R                     	                    	                 	F                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	R                    	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  2	H	 7	  41.00	     20.8100	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	F                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  2	H	CC	  20.00	     21.1700	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	R                    	                     	R                        	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  3	P	CC	   0.00	     20.9000	Mao      	Nannofossils                                 	R              	P                 	                    	                    	                     	R                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 1	  16.00	     22.0600	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	F                    	F                	                 	                      	                        	                	                      	                    	R                	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	F               	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 1	  84.00	     22.7400	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	                     	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  4	H	 1	  99.00	     22.8900	Mao      	Nannofossils                                 	F              	P                 	F                   	F                   	R                    	F                    	F                	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 2	  31.00	     23.7100	Mao      	Nannofossils                                 	F              	M                 	F                   	F                   	                     	F                    	R                	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 2	  96.00	     24.3600	Mao      	Nannofossils                                 	R              	P                 	                    	R                   	                     	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 2	  99.00	     24.3900	Mao      	Nannofossils                                 	F              	P                 	F                   	F                   	                     	F                    	R                	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  4	H	 2	 140.00	     24.8000	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	R                	                 	                      	                        	                	                      	                    	R                	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 3	  41.00	     25.3100	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 3	  93.00	     25.8300	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	R                   	                     	R                   	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  4	H	 3	 110.00	     26.0000	Mao      	Nannofossils                                 	R              	P                 	                    	                    	                     	R                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 4	  32.00	     26.7200	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	F                    	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 4	  94.00	     27.3400	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  4	H	 4	 106.00	     27.4600	Mao      	Nannofossils                                 	C              	P                 	                    	F                   	R                    	F                    	F                	R                	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	F               	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  4	H	 5	  60.00	     28.5000	Mao      	Nannofossils                                 	F              	P                 	                    	                    	R                    	F                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 5	  94.00	     28.8400	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	R                    	                     	F                	                 	                      	R                       	                	                      	                    	R                	R                     	                         	                     	                     	                         	                    	                     	R                   	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 5	 123.00	     29.1300	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	R                	                      	                         	                     	                     	                         	                    	                     	R                   	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 6	  83.00	     30.2300	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	F                    	                     	F                	                 	                      	R                       	                	                      	                    	                 	R                     	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 6	 122.00	     30.6200	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	F                    	                     	F                	                 	R                     	                        	                	R                     	                    	R                	F                     	R                        	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  4	H	 7	  21.00	     31.1100	Mao      	Nannofossils                                 	C              	M                 	F                   	C                   	R                    	                     	F                	                 	                      	                        	                	R                     	                    	R                	                      	                         	R                    	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  4	H	CC	  52.00	     32.1800	Mao      	Nannofossils                                 	A              	M                 	                    	                    	F                    	A                    	F                	                 	                      	                        	                	                      	                    	R                	R                     	R                        	                     	                     	F                        	                    	R                    	                    	R                        	F                 	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 1	  92.00	     32.3200	Mao      	Nannofossils                                 	F              	M                 	F                   	F                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	R                	                      	                         	                     	                     	                         	R                   	                     	R                   	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 2	  68.00	     33.5800	Mao      	Nannofossils                                 	F              	M                 	                    	F                   	R                    	                     	F                	                 	R                     	R                       	                	                      	                    	R                	                      	                         	                     	                     	                         	R                   	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 3	 111.00	     35.5100	Mao      	Nannofossils                                 	C              	M                 	                    	R                   	R                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  5	H	 4	   9.00	     35.9900	Mao      	Nannofossils                                 	F              	M                 	                    	C                   	F                    	R                    	F                	                 	                      	                        	                	                      	                    	R                	R                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 4	 121.00	     37.1100	Mao      	Nannofossils                                 	F              	P                 	F                   	R                   	R                    	                     	R                	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 5	 105.00	     38.4500	Mao      	Nannofossils                                 	R              	P                 	R                   	                    	R                    	                     	                 	                 	                      	                        	                	                      	                    	                 	R                     	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 6	  96.00	     39.8600	Mao      	Nannofossils                                 	F              	VP                	F                   	                    	                     	                     	                 	                 	                      	                        	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  5	H	 7	   4.00	     40.4400	Mao      	Nannofossils                                 	A              	M                 	R                   	A                   	F                    	                     	F                	                 	                      	                        	                	                      	                    	                 	                      	F                        	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  5	H	CC	  25.00	     41.5000	Mao      	Nannofossils                                 	A              	M                 	                    	                    	C                    	A                    	F                	                 	                      	                        	                	                      	                    	F                	                      	C                        	                     	R                    	                         	                    	R                    	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 1	  12.00	     41.0200	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	F                    	                     	R                	                 	                      	                        	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 2	   5.00	     42.4500	Mao      	Nannofossils                                 	A              	P                 	C                   	A                   	F                    	                     	R                	                 	R                     	F                       	                	                      	                    	                 	                      	R                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 3	   7.00	     43.9700	Mao      	Nannofossils                                 	C              	M                 	                    	C                   	F                    	                     	F                	                 	                      	R                       	                	R                     	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 4	   3.00	     45.4300	Mao      	Nannofossils                                 	C              	P                 	F                   	C                   	F                    	                     	R                	                 	                      	R                       	                	R                     	                    	                 	                      	F                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 5	   9.00	     46.9900	Mao      	Nannofossils                                 	C              	P                 	                    	C                   	R                    	                     	                 	                 	                      	R                       	                	                      	                    	                 	                      	                         	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

  IR	Late Pleistocene 	Holocene         	NN21A             	              	139	 857	A	  6	H	 5	  45.00	     47.3500	Mao      	Nannofossils                                 	C              	P                 	                    	                    	R                    	C                    	R                	                 	                      	                        	                	                      	                    	                 	                      	                         	R                    	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	,from ODP Leg 139 IR; Chapter 7; Table 7; pp 324-326

  SR	Late Pleistocene 	                 	NN21              	              	139	 857	A	  6	H	 6	   4.00	     48.4400	Mao      	Nannofossils                                 	A              	P                 	F                   	A                   	F                    	                     	                 	                 	R                     	                        	                	                      	R                   	                 	R                     	F                        	                     	                     	                         	                    	                     	                    	                         	                  	                	                     	                       	from ODP Leg 139 SR; Chapter 5; Table 7; p 66-67

