Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stauroxiphos communis,Prunopyle hayesi,Spongodiscus craticulatus,Eucyrtidium biconicum,Eucyrtidium cienkowskii,Botryopera deflandrei,Actinomma golownini,Cycladophora humerus,Triceraspyris coronata,Gondwanaria hister,Cyrtocapsella japonica,Prunopyle titan,Desmospyris rhodospyroides,Cycladophora spongothorax,Lychnocanium grande,Velicucullus sp.,Theocorys redondoensis,Spongotrochus glacialis,Stylatractus universus,Cycladophora pliocenica,Stichocorys peregrina,Saccospyris praeantarctica,Eucyrtidium teuscheri group,Botryopera triloba,Amphymenium challengerae,Rhizosphaera antarctica,Phorticium clevei,Helotholus praevema,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR10              ,              ,119, 737,B,  6,R, 3,  54.00,    266.7400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                ,R                        ,C                    ,C                      ,R                    ,F                  ,R                   ,                      ,T                 ,T                     ,               ,R                         ,A                        ,R                  ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR10              ,              ,119, 737,B,  6,R, 4,  54.00,    268.2400,Caulet   ,Radiolarians                                 ,A              ,G                 ,                     ,                ,C                        ,C                    ,C                      ,R                    ,A                  ,C                   ,R                     ,R                 ,                      ,?              ,R                         ,A                        ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR11              ,              ,119, 737,B,  6,R,CC,   0.00,    269.4000,Caulet   ,Radiolarians                                 ,R              ,G                 ,                     ,R               ,R                        ,                     ,R                      ,                     ,                   ,R                   ,R                     ,R                 ,R                     ,               ,                          ,                         ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR11              ,              ,119, 737,B,  7,R,CC,   0.00,    273.9800,Caulet   ,Radiolarians                                 ,R              ,G                 ,                     ,R               ,                         ,                     ,R                      ,                     ,R                  ,R                   ,                      ,                  ,                      ,               ,                          ,                         ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR11              ,              ,119, 737,B,  8,R,CC,   8.00,    286.1700,Caulet   ,Radiolarians                                 ,R              ,G                 ,                     ,T               ,T                        ,                     ,C                      ,T                    ,T                  ,                    ,                      ,                  ,                      ,               ,                          ,                         ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR11              ,              ,119, 737,B,  9,R,CC,  12.00,    294.4900,Caulet   ,Radiolarians                                 ,C              ,G                 ,                     ,                ,                         ,                     ,R                      ,R                    ,R                  ,                    ,                      ,                  ,                      ,               ,                          ,                         ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR11              ,              ,119, 737,B, 10,R,CC,   0.00,    307.1900,Caulet   ,Radiolarians                                 ,R              ,M                 ,T                    ,C               ,C                        ,T                    ,                       ,                     ,                   ,                    ,                      ,                  ,                      ,               ,                          ,                         ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Miocene   ,                 ,NR11              ,              ,119, 737,B, 12,R,CC,  10.00,    329.9700,Caulet   ,Radiolarians                                 ,R              ,P                 ,T                    ,R               ,                         ,                     ,                       ,                     ,                   ,                    ,                      ,                  ,                      ,               ,                          ,                         ,                   ,                ,                      ,                       ,                      ,                       ,                     ,                          ,                           ,                  ,                        ,                       ,                 ,                   ,from 119 SR Chapter 28 Table 2 page 517.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
