Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra sp. (small),Calcidiscus leptoporus,Sphenolithus umbrellus,Sphenolithus heteromorphus,Discoaster sp.,Discoaster sanmiguelensis,Discoaster kugleri,Discoaster exilis,Discoaster deflandrei,Discoaster adamanteus,Cyclicargolithus floridanus,Coccolithus miopelagicus,Catinaster mexicanus,Calcidiscus macintyrei,Sphenolithus neoabies,Reticulofenestra pseudoumbilica,Dictyococcites perplexus,Coccolithus pelagicus,Discoaster stellulus,Triquetrorhabdulus rugosus,Pontosphaera multipora,Discoaster variabilis,Discoaster challengeri,Discoaster brouweri,Dictyococcites productus,Sphenolithus moriformis,Sphenolithus abies,Pontosphaera pacifica,Helicosphaera perch-nielseniae,Helicosphaera carteri,Cycolithela rotula,Coccolithus sp.,Pontosphaera distincta,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 794,B,  9,R, 1,  44.00,    376.4400,Rahman   ,Nannofossils                                 ,C              ,M                 ,F                           ,R                     ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,R                          ,                        ,                    ,R                     ,                     ,C                              ,M                       ,M                    ,                    ,                          ,                      ,                     ,                      ,R                  ,C                       ,R                      ,R                 ,                     ,                              ,R                    ,                  ,               ,R                     ,R                        ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 794,B,  9,R,CC,  10.00,    376.9200,Rahman   ,Nannofossils                                 ,M              ,G                 ,F                           ,R                     ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,F                          ,                        ,                    ,                      ,R                    ,M                              ,R                       ,F                    ,                    ,                          ,                      ,                     ,                      ,                   ,F                       ,R                      ,                  ,                     ,                              ,R                    ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 794,B, 10,R, 1,  69.00,    386.2900,Rahman   ,Nannofossils                                 ,A              ,G                 ,                            ,R                     ,R                     ,                          ,              ,                         ,                  ,R                ,                     ,                     ,M                          ,R                       ,R                   ,F                     ,R                    ,C                              ,M                       ,C                    ,                    ,                          ,R                     ,                     ,                      ,R                  ,                        ,R                      ,R                 ,R                    ,R                             ,F                    ,R                 ,R              ,                      ,                         ,Rare reworked taxa; from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN5a              ,              ,127, 794,B, 12,R, 1,  63.00,    405.5300,Rahman   ,Nannofossils                                 ,C              ,M                 ,                            ,                      ,                      ,                          ,F             ,                         ,R                 ,R                ,                     ,                     ,M                          ,R                       ,                    ,R                     ,R                    ,C                              ,F                       ,F                    ,                    ,R                         ,R                     ,R                    ,R                     ,F                  ,R                       ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 794,B, 12,R, 1,  86.00,    405.7600,Rahman   ,Nannofossils                                 ,C              ,M                 ,                            ,F                     ,                      ,R                         ,R             ,R                        ,                  ,                 ,                     ,                     ,R                          ,                        ,R                   ,F                     ,                     ,C                              ,                        ,F                    ,R                   ,                          ,                      ,                     ,                      ,                   ,                        ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 794,B, 12,R,CC,  10.00,    408.3200,Rahman   ,Nannofossils                                 ,R              ,M                 ,                            ,                      ,                      ,R                         ,              ,                         ,                  ,                 ,                     ,                     ,                           ,                        ,                    ,                      ,R                    ,R                              ,R                       ,R                    ,                    ,                          ,                      ,                     ,                      ,                   ,                        ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN4               ,              ,127, 794,B, 13,R,CC,  21.00,    418.6600,Rahman   ,Nannofossils                                 ,R              ,P                 ,                            ,R                     ,R                     ,R                         ,R             ,R                        ,R                 ,R                ,R                    ,R                    ,R                          ,R                       ,R                   ,R                     ,                     ,                               ,                        ,                     ,                    ,                          ,                      ,                     ,                      ,                   ,                        ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,127, 794,B, 23,R,CC,  11.00,    511.7500,Rahman   ,Nannofossils                                 ,R              ,M                 ,R                           ,R                     ,                      ,                          ,              ,                         ,                  ,                 ,                     ,                     ,                           ,                        ,                    ,                      ,                     ,                               ,                        ,                     ,                    ,                          ,                      ,                     ,                      ,                   ,                        ,                       ,                  ,                     ,                              ,                     ,                  ,               ,                      ,                         ,from ODP Legs 127&128 SR Chapter 11 Table 2 p 175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
