Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Spongaster (unspecified taxon or taxa)	Theocorythium trachelium dianae	Lamprocyclas maritalis maritalis	Didymocyrtis tetrathalamus	Axoprunum angelinum	Amphirhopalum ypsilon	Peripyramis circumtexta	Botryostrobus auritus/australis	Stylochlamidium asteriscus	Spongaster tetras tetras	Spongaster tetras irregularis	Lithopera bacca	Carpocanistrum (unspecified taxon or taxa)	Plectopyramis dodecomma	Tetrapyle octacantha	Hexacontium laevigatum	Druppatractus acquilonius	Euchitonia elegans	Spongaster tetras	Comment
  SR	                 	                 	                  	              	126	 790	C	 13	X	CC	   0.00	    198.7300	Aitchison	Radiolarians                                 	C              	G                 	R                                     	F                              	F                               	F                         	                   	F                    	                       	R                              	F                         	                        	                             	R              	                                          	                       	R                   	R                     	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 14	X	CC	  19.00	    207.2900	Aitchison	Radiolarians                                 	C              	M                 	                                      	                               	                                	F                         	                   	                     	                       	R                              	F                         	                        	                             	               	F                                         	R                      	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 15	X	CC	  16.00	    213.5300	Aitchison	Radiolarians                                 	C              	M                 	                                      	                               	F                               	R                         	R                  	R                    	R                      	                               	F                         	F                       	R                            	R              	F                                         	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 16	X	CC	  33.00	    230.8700	Aitchison	Radiolarians                                 	R              	M                 	                                      	                               	                                	F                         	                   	R                    	R                      	R                              	                          	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 17	X	CC	  34.00	    242.1400	Aitchison	Radiolarians                                 	R              	M                 	                                      	                               	R                               	                          	                   	                     	                       	                               	                          	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 18	X	CC	  29.00	    248.4900	Aitchison	Radiolarians                                 	C              	G                 	                                      	R                              	F                               	R                         	F                  	F                    	                       	                               	                          	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 19	X	CC	   0.00	    260.1100	Aitchison	Radiolarians                                 	R              	G                 	R                                     	                               	                                	                          	                   	                     	                       	                               	                          	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

  SR	                 	                 	                  	              	126	 790	C	 20	X	CC	  46.00	    266.6700	Aitchison	Radiolarians                                 	R              	P                 	R                                     	                               	                                	                          	                   	                     	                       	                               	                          	                        	                             	               	                                          	                       	                    	                      	                         	                  	                 	from ODP Leg 126 SR Chapter 21 Table 4 p 324

