Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Uvigerina hispidocostata	Stilostomella spp.	Sphaeroidina bulloides	Pyrgo murrhina	Pullenia sp.	Pullenia bulloides	Oridorsalis umbonatus	Melonis pompilioides	Melonis barleeanus	Lenticulina sp.	Globocassidulina sp.	Fissurina sp.	Eggerella bradyi	Cibicidoides wuellerstorfi	Cibicidoides spp.	Cassidulina sp.	Bolivina pusilla	Uvigerina hispida	Pleurostomella spp.	Bulimina aculeata	Uvigerina senticosa	Sigmoilopsis schlumbergeri	Martinottiella spp.	Hoeglundina elegans	Epistominella exigua	Bulimina striata	Globobulimina affinis	Bulimina barbata	Comment
  SR	                 	                 	                  	              	126	 790	C	 14	X	 2	  61.00	    205.7100	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                  	F                     	C             	            	C                 	                     	C                   	A                 	               	                    	             	                	R                         	F                	               	R               	                 	                   	R                	A                  	                          	C                  	A                  	                    	F               	C                    	C               	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 14	X	CC	  19.00	    207.2900	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                  	                      	A             	R           	C                 	F                    	                    	                  	               	R                   	             	                	                          	R                	               	                	                 	                   	F                	A                  	                          	R                  	A                  	A                   	F               	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 15	X	CC	  16.00	    213.5300	Kaiho    	Benthic Foraminifers                         	               	                  	                        	                  	R                     	R             	            	A                 	                     	C                   	A                 	               	R                   	R            	                	                          	R                	               	                	                 	                   	F                	A                  	                          	                   	R                  	F                   	                	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 17	X	CC	  34.00	    242.1400	Kaiho    	Benthic Foraminifers                         	               	                  	A                       	                  	A                     	              	            	C                 	A                    	F                   	R                 	               	                    	R            	F               	R                         	R                	               	                	R                	                   	                 	                   	                          	                   	                   	                    	                	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 18	X	CC	  29.00	    248.4900	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	A                 	A                     	              	R           	C                 	C                    	C                   	F                 	R              	R                   	F            	R               	C                         	C                	               	R               	                 	C                  	A                	R                  	R                         	C                  	                   	                    	                	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 19	X	CC	   0.00	    260.1100	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	C                 	C                     	R             	F           	                  	A                    	F                   	                  	C              	F                   	F            	F               	A                         	C                	               	F               	F                	R                  	R                	A                  	F                         	                   	                   	                    	                	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 20	X	 2	  36.00	    263.2600	Kaiho    	Benthic Foraminifers                         	               	                  	                        	A                 	C                     	              	            	A                 	A                    	R                   	R                 	               	F                   	A            	                	R                         	F                	R              	R               	R                	F                  	R                	                   	                          	                   	                   	                    	                	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

  SR	                 	                 	                  	              	126	 790	C	 20	X	CC	  46.00	    266.6700	Kaiho    	Benthic Foraminifers                         	               	                  	R                       	C                 	C                     	A             	C           	R                 	F                    	C                   	F                 	R              	A                   	C            	F               	A                         	F                	C              	C               	                 	                   	                 	                   	                          	                   	                   	                    	                	                     	                	from ODP Leg 126 SR Chapter 19 Fig 3 p 292

