Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus rugosus/rioensis	Reticulofenestrid taxa	Reticulofenestra pseudoumbilicus	Discoaster variabilis	Discoaster moorei	Discoaster intercalaris	Discoaster calcaris	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Discoaster asymmetricus	Dictyococcites spp.	Coccolithus pelagicus	Catinaster coalitus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster sp. 1	Discoaster pseudovariabilis	Discoaster hamatus	Catinaster calyculus	Discoaster neohamatus	Discoaster prepentaradiatus	Discoaster musicus	Sphenolith (unspecified taxon or taxa)	Minylitha convallis	Helicosphaera carteri	Discoaster surculus	Discoaster pentaradiatus	Coccolithus radiatus	Discoaster quinqueramus/berggrenii	Coccolithus miopelagicus	Discoaster sp. 2	Discoaster loeblichii	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Discoaster triradiatus	Ceratolithus acutus	Ceratolithus armatus	Scyphosphaera spp.	Ceratolithus rugosus	Amaurolithus tricorniculatus	Geminilithella rotula	Ceratolithus cristatus	Discoaster tristellifer	Discoaster tamalis	Discoaster decorus	Umbilicosphaera spp.	Pseudoemiliania lacunosa	Helicosphaera sellii	Gephyrocapsa oceanica s.l.	Gephyrocapsa (small)	Comment

  SR	                 	                 	CN12a             	              	115	 710	B	  4	H	 1	 130.00	     27.1000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	                                	R                    	                 	                       	                   	A                  	                 	                 	F                      	                   	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	R                      	R                     	                   	                    	                  	F                   	                            	                     	F                     	                       	F                 	F                 	R                   	C                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 710	B	  4	H	 2	  90.00	     28.2000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	R                               	F                    	                 	                       	                   	A                  	                 	                 	R                      	                   	                     	                   	C                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	R                  	                      	                       	R                     	                   	                    	                  	C                   	                            	                     	F                     	                       	R                 	                  	                    	C                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 710	B	  4	H	 2	 130.00	     28.6000	Rio      	Nannofossils                                 	A              	M                 	                                   	F                     	                                	C                    	                 	R                      	                   	A                  	                 	                 	C                      	                   	R                    	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	C                  	C                       	R                   	                                  	                        	                	                     	                   	                      	                       	R                     	                   	                    	                  	R                   	                            	                     	F                     	                       	F                 	F                 	                    	C                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN12a             	              	115	 710	B	  4	H	 3	  60.00	     29.4000	Rio      	Nannofossils                                 	A              	M                 	                                   	F                     	                                	F                    	                 	R                      	                   	C                  	                 	                 	C                      	                   	R                    	                   	C                     	C                     	                	                           	                  	                    	                     	                           	                  	                                      	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	                   	                      	                       	R                     	                   	                    	                  	F                   	                            	                     	F                     	                       	R                 	C                 	                    	F                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 3	  90.00	     29.7000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	F                               	F                    	                 	R                      	                   	C                  	                 	                 	C                      	                   	R                    	                   	C                     	C                     	                	                           	                  	                    	                     	                           	                  	F                                     	                   	                     	F                  	C                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	R                   	                  	C                   	                            	                     	R                     	                       	R                 	R                 	F                   	F                       	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 3	 130.00	     30.1000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	C                               	                     	                 	                       	                   	A                  	                 	                 	F                      	                   	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	F                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	R                     	                   	                    	                  	R                   	                            	                     	R                     	                       	                  	R                 	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 3	 150.00	     30.3000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	F                               	F                    	                 	F                      	                   	A                  	                 	                 	F                      	                   	F                    	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	R                   	                            	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 4	  30.00	     30.6000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	C                               	                     	                 	C                      	                   	A                  	                 	                 	F                      	                   	F                    	                   	C                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	R                  	                      	                       	                      	                   	                    	                  	R                   	                            	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 4	 130.00	     31.6000	Rio      	Nannofossils                                 	A              	M                 	R                                  	F                     	C                               	C                    	                 	                       	                   	A                  	                 	                 	                       	                   	F                    	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	R                     	                   	                    	                  	F                   	                            	                     	R                     	C                      	                  	R                 	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 5	  30.00	     32.1000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	C                               	F                    	                 	F                      	                   	A                  	                 	                 	                       	                   	F                    	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	F                   	                            	                     	R                     	F                      	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 5	 130.00	     33.1000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	C                               	C                    	                 	F                      	                   	A                  	                 	                 	                       	                   	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	cf                  	                  	F                   	                            	                     	R                     	C                      	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 6	  30.00	     33.6000	Rio      	Nannofossils                                 	A              	M                 	                                   	C                     	C                               	F                    	                 	F                      	                   	A                  	                 	                 	                       	                   	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	F                   	                            	                     	R                     	C                      	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 6	 130.00	     34.6000	Rio      	Nannofossils                                 	A              	M                 	                                   	A                     	F                               	R                    	                 	C                      	                   	A                  	                 	                 	R                      	                   	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	R                  	A                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	F                   	                            	                     	R                     	R                      	R                 	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	 6	 150.00	     34.8000	Rio      	Nannofossils                                 	A              	M                 	                                   	A                     	C                               	R                    	                 	F                      	                   	C                  	                 	                 	                       	F                  	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	F                  	C                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	                    	                  	C                   	                            	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN11              	              	115	 710	B	  4	H	CC	   9.00	     35.2000	Rio      	Nannofossils                                 	A              	M                 	                                   	A                     	C                               	C                    	                 	R                      	                   	C                  	                 	                 	R                      	                   	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	                   	cf                  	                  	F                   	                            	                     	R                     	C                      	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 1	  30.00	     35.6000	Rio      	Nannofossils                                 	A              	M                 	                                   	A                     	                                	R                    	                 	R                      	                   	A                  	                 	                 	R                      	C                  	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	R                     	                       	R                     	                   	                    	                  	F                   	R                           	                     	R                     	F                      	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 1	 120.00	     36.5000	Rio      	Nannofossils                                 	A              	M                 	                                   	D                     	F                               	                     	                 	                       	                   	C                  	                 	                 	                       	C                  	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	R                     	                       	                      	R                  	                    	                  	F                   	F                           	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 1	 130.00	     36.6000	Rio      	Nannofossils                                 	A              	M                 	                                   	D                     	C                               	                     	                 	R                      	                   	C                  	                 	                 	                       	C                  	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	                   	                      	                       	                      	R                  	                    	                  	F                   	F                           	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 2	  30.00	     37.1000	Rio      	Nannofossils                                 	A              	G                 	                                   	D                     	C                               	                     	                 	F                      	                   	C                  	                 	                 	                       	                   	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	F                  	C                       	                    	                                  	                        	                	                     	                   	R                     	                       	                      	R                  	                    	                  	R                   	R                           	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 2	  60.00	     37.4000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	C                               	                     	                 	F                      	                   	A                  	                 	                 	R                      	C                  	                     	                   	F                     	F                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	R                  	R                     	                       	                      	R                  	R                   	                  	R                   	R                           	                     	R                     	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 2	 120.00	     38.0000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	                                	                     	                 	R                      	                   	A                  	                 	                 	                       	C                  	                     	                   	                      	                      	                	                           	                  	                    	                     	                           	                  	F                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	R                  	R                     	                       	                      	F                  	R                   	                  	R                   	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 2	 130.00	     38.1000	Rio      	Nannofossils                                 	A              	G                 	R                                  	D                     	C                               	F                    	                 	                       	                   	C                  	                 	                 	                       	A                  	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	A                                     	                   	R                    	F                  	C                       	                    	                                  	                        	                	                     	R                  	R                     	                       	R                     	                   	R                   	                  	R                   	R                           	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 3	  30.00	     38.6000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	F                               	                     	                 	R                      	                   	C                  	                 	                 	                       	A                  	R                    	                   	C                     	F                     	                	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	F                  	C                       	                    	                                  	                        	                	                     	                   	R                     	                       	                      	R                  	                    	                  	F                   	R                           	R                    	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10c             	              	115	 710	B	  5	H	 3	  90.00	     39.2000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	F                               	                     	                 	R                      	                   	C                  	                 	                 	                       	A                  	F                    	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	                   	R                     	                       	                      	R                  	R                   	                  	R                   	R                           	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10b             	              	115	 710	B	  5	H	 3	 120.00	     39.5000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	                                	                     	                 	R                      	                   	C                  	                 	                 	                       	A                  	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	R                  	R                     	                       	                      	F                  	R                   	F                 	cf                  	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10b             	              	115	 710	B	  5	H	 3	 130.00	     39.6000	Rio      	Nannofossils                                 	A              	G                 	                                   	D                     	C                               	F                    	                 	F                      	                   	C                  	                 	                 	                       	A                  	                     	                   	F                     	C                     	                	                           	                  	                    	                     	                           	                  	A                                     	                   	R                    	C                  	C                       	                    	                                  	                        	                	                     	                   	R                     	                       	                      	F                  	R                   	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10b             	              	115	 710	B	  5	H	 4	  30.00	     40.1000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	C                               	C                    	                 	                       	                   	A                  	                 	                 	R                      	C                  	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	F                     	                       	                      	R                  	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10b             	              	115	 710	B	  5	H	 4	  90.00	     40.7000	Rio      	Nannofossils                                 	A              	G                 	                                   	D                     	                                	C                    	                 	C                      	                   	C                  	                 	                 	F                      	C                  	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	R                  	R                     	                       	                      	F                  	R                   	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10b             	              	115	 710	B	  5	H	 4	 130.00	     41.1000	Rio      	Nannofossils                                 	A              	G                 	                                   	A                     	F                               	C                    	                 	F                      	                   	A                  	                 	                 	F                      	C                  	                     	                   	                      	A                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	R                     	                       	R                     	R                  	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10b             	              	115	 710	B	  5	H	 4	 150.00	     41.3000	Rio      	Nannofossils                                 	A              	M                 	                                   	A                     	                                	C                    	                 	C                      	                   	A                  	                 	                 	F                      	C                  	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	                   	R                     	                       	R                     	R                  	R                   	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10a             	              	115	 710	B	  5	H	 5	  90.00	     42.2000	Rio      	Nannofossils                                 	A              	G                 	R                                  	D                     	F                               	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	                     	                   	                      	F                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	                                  	                        	                	                     	R                  	F                     	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10a             	              	115	 710	B	  5	H	 5	 130.00	     42.6000	Rio      	Nannofossils                                 	A              	G                 	R                                  	D                     	F                               	C                    	                 	C                      	                   	C                  	                 	                 	F                      	C                  	                     	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	                                  	                        	                	                     	R                  	F                     	                       	                      	cf                 	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN10a             	              	115	 710	B	  5	H	 6	  30.00	     43.1000	Rio      	Nannofossils                                 	A              	G                 	F                                  	D                     	F                               	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	F                    	                   	                      	C                     	                	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	A                       	                    	R                                 	                        	                	                     	R                  	R                     	R                      	R                     	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  5	H	 6	  90.00	     43.7000	Rio      	Nannofossils                                 	A              	G                 	F                                  	A                     	F                               	C                    	                 	F                      	                   	C                  	                 	                 	F                      	C                  	                     	                   	                      	C                     	F               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	A                       	                    	C                                 	                        	                	                     	R                  	R                     	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  5	H	 6	 130.00	     44.1000	Rio      	Nannofossils                                 	A              	M                 	R                                  	D                     	C                               	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	                     	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	C                                 	                        	                	                     	R                  	R                     	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  5	H	 6	 150.00	     44.3000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	C                               	C                    	                 	C                      	                   	C                  	                 	                 	F                      	C                  	F                    	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	                	                     	F                  	F                     	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  5	H	 7	  15.00	     44.4500	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	A                               	C                    	                 	                       	                   	C                  	                 	                 	F                      	C                  	                     	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	                	                     	F                  	F                     	                       	R                     	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 1	 130.00	     46.2000	Rio      	Nannofossils                                 	A              	M                 	R                                  	A                     	C                               	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	                     	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	A                                     	                   	                     	C                  	C                       	                    	C                                 	                        	                	                     	R                  	R                     	                       	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 2	 130.00	     47.7000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	C                               	C                    	                 	F                      	                   	C                  	                 	                 	                       	F                  	                     	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	                	                     	F                  	F                     	R                      	R                     	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 3	 130.00	     49.2000	Rio      	Nannofossils                                 	A              	M                 	R                                  	C                     	F                               	C                    	                 	F                      	                   	C                  	                 	                 	F                      	F                  	                     	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	                	                     	R                  	R                     	R                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 4	 130.00	     50.7000	Rio      	Nannofossils                                 	A              	M                 	R                                  	A                     	F                               	C                    	                 	F                      	                   	C                  	                 	                 	                       	C                  	C                    	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	                	                     	F                  	R                     	R                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

  SR	                 	                 	CN9b              	              	115	 710	B	  6	H	 5	  30.00	     51.2000	Rio      	Nannofossils                                 	A              	M                 	F                                  	A                     	                                	C                    	                 	C                      	                   	A                  	                 	                 	                       	C                  	C                    	                   	                      	C                     	C               	                           	                  	                    	                     	                           	                  	C                                     	                   	                     	C                  	C                       	                    	A                                 	                        	R               	                     	R                  	R                     	F                      	                      	                   	                    	                  	                    	                            	                     	                      	                       	                  	                  	                    	                        	                    	                          	                    	from 115 SR. Chapter 15. Table 13. microfiche in back pocket.

