Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globorotalia miotumida	Globorotalia mayeri	Globoquadrina dehiscens	Globigerinoides sacculifer	Globigerina praebulloides	Globigerina decoraperta	Globigerina bulloides	Globigerina apertura	Dentoglobigerina altispira	Orbulina universa	Neogloboquadrina mayeri	Globorotalia panda	Globigerinita glutinata	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina continuosa	Globorotalia scitula	Neogloboquadrina humerosa	Globigerina woodi	Sphaeroidinellopsis seminulina	Orbulina bilobata	Neogloboquadrina pachyderma (dextral)	Neogloboquadrina acostaensis	Globorotalia crassula	Globorotalia puncticuloides	Globorotalia crassaformis	Globigerinoides quadrilobatus	Globorotalia puncticulata	Globorotalia menardii	Globigerinoides obliquus	Globigerinita uvula	Globigerina falconensis	Globorotalia pliozea	Globorotalia inflata	Globigerinoides immaturus	Globigerinoides conglobatus	Globigerinella calida	Globorotalia truncatulinoides	Comment
  IR	                 	Pliocene         	                  	              	177	1088	B	  6	H	CC	  13.00	     52.8600	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	                   	                       	                          	                         	F                      	D                    	F                   	                          	F                	                       	                  	A                      	A                      	A                                      	                           	A                   	                         	A                	                              	                 	                                     	F                           	A                    	A                          	A                        	R                            	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Late Miocene     	                  	              	177	1088	B	  7	H	CC	  23.00	     62.4700	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	                   	                       	                          	                         	                       	D                    	F                   	                          	R                	                       	                  	                       	F                      	A                                      	                           	A                   	                         	A                	                              	                 	                                     	F                           	F                    	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Miocene          	                  	              	177	1088	B	  8	H	CC	  10.00	     71.3700	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	                   	                       	                          	                         	                       	D                    	F                   	                          	R                	                       	F                 	F                      	                       	A                                      	                           	A                   	                         	F                	                              	                 	F                                    	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Miocene          	                  	              	177	1088	B	  9	H	CC	   9.00	     80.8300	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	                   	                       	                          	                         	                       	D                    	A                   	                          	F                	                       	F                 	                       	                       	A                                      	                           	A                   	                         	A                	R                             	R                	                                     	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Miocene          	                  	              	177	1088	B	 10	H	CC	  10.00	     91.5000	Andersson	Planktonic Foraminifers                      	A              	P                 	D                     	                   	                       	R                         	                         	                       	D                    	A                   	                          	R                	                       	A                 	A                      	                       	F                                      	                           	                    	                         	                 	                              	                 	                                     	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Miocene          	                  	              	177	1088	B	 11	H	CC	   9.00	     99.1600	Andersson	Planktonic Foraminifers                      	A              	M                 	D                     	                   	                       	                          	                         	                       	D                    	                    	                          	F                	                       	F                 	A                      	A                      	A                                      	                           	                    	F                        	A                	                              	                 	                                     	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	                 	                  	              	177	1088	B	 12	H	CC	   9.00	    110.0100	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	                   	                       	                          	A                        	                       	D                    	                    	                          	F                	F                      	                  	A                      	                       	A                                      	R                          	A                   	                         	                 	                              	                 	                                     	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Miocene          	                  	              	177	1088	B	 13	H	CC	  11.00	    119.0500	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	                   	                       	                          	F                        	                       	D                    	F                   	                          	R                	F                      	F                 	A                      	A                      	                                       	                           	                    	                         	                 	                              	                 	                                     	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

  IR	                 	Miocene          	                  	              	177	1088	B	 14	H	CC	  12.00	    129.1100	Andersson	Planktonic Foraminifers                      	A              	M                 	A                     	A                  	R                      	R                         	A                        	F                      	D                    	A                   	P                         	                 	                       	                  	                       	                       	                                       	                           	                    	                         	                 	                              	                 	                                     	                            	                     	                           	                         	                             	                         	                     	                        	                   	                       	                    	                    	                         	                           	                     	                             	       

