Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Oridorsalis umbonatus	Pullenia salisburyi	Gyroidinoides laevigatus	Gyroidinoides gr  soldanii*	Stilostomella spp.*	Glomospira charoides	Cibicidoides ungerianus	Oridorsalis stellatus	Karreriella bradyi	Dentalina filiformis	Martinottiella communis	Globocassidulina subglobosa	Quinqueloculina spp.	Cibicidoides pseudoungerianus	Eggerella bradyi	Uvigerina spp.*	Cibicides refulgens	Nonion gr.*	Nodosaria spp.*	Fursenkoina squammosa	Dentalina sp.	Pleurostomella alternans	Marginulina subbullata	Elphidium complanatum	Cibicides lobatulus	Brizalina-Bolivina gr.*	Triloculina sp.	Lagena spp.	Globobulimina saubriguensis	Sigmoilina tenuis	Dimorphina tuberosa	Chrysalogonium lanceolum	Astrononion stelligerum	Quadrimorphina allomorphinoides	Uvigerina pygmaea-peregrina	Globocassidulina oblonga	Ortomorphina cf. tenuicostata	Globulina gibba	Comment
  SR	                 	                 	                  	              	161	 974	B	 21	X	 6	 122.00	    193.2200	Iaccarino	Benthic Foraminifers                         	               	                  	9                    	                   	10                      	4                          	                   	                    	                       	24                   	3                 	                    	                       	22                         	1                   	                             	                	               	                   	10         	               	                     	             	                        	                      	                     	3                  	                       	               	           	                           	                 	                   	1                       	                       	19                             	                           	                        	                             	               	total count = 106; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 21	X	 6	 140.00	    193.4000	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	1                       	                           	                   	                    	                       	7                    	4                 	3                   	                       	                           	                    	                             	                	               	                   	2          	               	                     	             	1                       	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 18; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 21	X	 7	  17.00	    193.6700	Iaccarino	Benthic Foraminifers                         	               	                  	4                    	                   	3                       	2                          	                   	                    	                       	8                    	4                 	4                   	                       	4                          	                    	                             	                	               	                   	6          	               	                     	             	                        	1                     	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 36; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 21	X	 7	  35.00	    193.8500	Iaccarino	Benthic Foraminifers                         	               	                  	3                    	                   	3                       	2                          	                   	                    	1                      	2                    	3                 	3                   	                       	6                          	1                   	                             	                	               	                   	2          	               	                     	             	                        	                      	                     	1                  	                       	               	           	                           	                 	                   	                        	                       	2                              	                           	                        	                             	               	1 indeterminate specimen; total count = 30; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	  20.00	    194.3000	Iaccarino	Benthic Foraminifers                         	               	                  	4                    	                   	6                       	1                          	                   	                    	                       	7                    	1                 	1                   	                       	2                          	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	1                          	1                	                   	2                       	1                      	                               	                           	                        	                             	               	1 indeterminate specimen; total count = 28; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	  37.00	    194.4700	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	4                       	1                          	                   	                    	                       	10                   	4                 	5                   	                       	2                          	                    	                             	                	               	                   	3          	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	1                	                   	                        	                       	                               	                           	                        	                             	               	total count = 30; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	  57.00	    194.6700	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	2                       	3                          	                   	                    	                       	15                   	7                 	2                   	                       	2                          	                    	                             	                	               	                   	1          	               	                     	             	                        	                      	                     	                   	                       	               	           	2                          	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 34; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	  80.00	    194.9000	Iaccarino	Benthic Foraminifers                         	               	                  	3                    	                   	3                       	                           	                   	                    	                       	8                    	3                 	7                   	                       	1                          	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	1                      	               	           	                           	1                	1                  	                        	                       	                               	                           	                        	                             	               	total count = 28; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	 100.00	    195.1000	Iaccarino	Benthic Foraminifers                         	               	                  	5                    	                   	                        	1                          	                   	1                   	                       	5                    	4                 	3                   	1                      	2                          	                    	                             	                	               	                   	2          	               	2                    	             	                        	                      	                     	                   	1                      	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 27; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	 120.00	    195.3000	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	5                       	2                          	                   	                    	                       	8                    	6                 	3                   	                       	4                          	1                   	                             	                	               	                   	2          	               	                     	             	1                       	                      	                     	                   	                       	2              	1          	1                          	                 	                   	                        	                       	                               	                           	                        	                             	               	1 indeterminate specimen; total count = 1; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 1	 140.00	    195.5000	Iaccarino	Benthic Foraminifers                         	               	                  	3                    	                   	7                       	2                          	                   	                    	                       	9                    	4                 	                    	                       	1                          	                    	                             	                	               	                   	2          	               	                     	             	1                       	1                     	1                    	1                  	1                      	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 33; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	  10.00	    195.7000	Iaccarino	Benthic Foraminifers                         	               	                  	2                    	                   	4                       	1                          	                   	                    	                       	9                    	8                 	                    	1                      	5                          	                    	                             	                	               	1                  	3          	               	1                    	1            	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 36; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	  34.00	    195.9400	Iaccarino	Benthic Foraminifers                         	               	                  	1                    	                   	5                       	3                          	                   	1                   	                       	7                    	5                 	                    	                       	1                          	                    	                             	                	               	                   	1          	1              	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 25; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	  56.00	    196.1600	Iaccarino	Benthic Foraminifers                         	               	                  	1                    	                   	3                       	1                          	                   	                    	                       	6                    	3                 	                    	                       	                           	                    	                             	                	1              	1                  	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 16; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	  77.00	    196.3700	Iaccarino	Benthic Foraminifers                         	               	                  	1                    	                   	                        	1                          	                   	                    	                       	4                    	2                 	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 8; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	  98.00	    196.5800	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	1                       	2                          	                   	                    	                       	4                    	1                 	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 8; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	 115.00	    196.7500	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	2                       	                           	                   	                    	                       	3                    	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 5; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 2	 136.00	    196.9600	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	3                       	                           	                   	                    	                       	5                    	3                 	                    	                       	                           	                    	                             	1               	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 13; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	  10.00	    197.2000	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	2                       	2                          	                   	                    	                       	6                    	                  	1                   	                       	                           	1                   	1                            	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 13; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	  28.00	    197.3800	Iaccarino	Benthic Foraminifers                         	               	                  	1                    	                   	3                       	2                          	                   	                    	                       	4                    	2                 	                    	2                      	1                          	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 15; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	  42.00	    197.5200	Iaccarino	Benthic Foraminifers                         	               	                  	                     	                   	1                       	                           	                   	                    	                       	7                    	1                 	                    	1                      	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 10; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	  62.00	    197.7200	Iaccarino	Benthic Foraminifers                         	               	                  	8                    	                   	4                       	                           	                   	                    	                       	7                    	6                 	1                   	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 26; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	  81.00	    197.9100	Iaccarino	Benthic Foraminifers                         	               	                  	3                    	                   	                        	                           	                   	                    	                       	4                    	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 7; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	 102.00	    198.1200	Iaccarino	Benthic Foraminifers                         	               	                  	3                    	                   	5                       	7                          	                   	                    	                       	7                    	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 23; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	 115.00	    198.2500	Iaccarino	Benthic Foraminifers                         	               	                  	2                    	                   	3                       	2                          	                   	                    	                       	10                   	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 17; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 3	 130.00	    198.4000	Iaccarino	Benthic Foraminifers                         	               	                  	2                    	                   	6                       	2                          	2                  	2                   	1                      	                     	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 17; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 4	  34.00	    198.9400	Iaccarino	Benthic Foraminifers                         	               	                  	1                    	1                  	1                       	1                          	                   	                    	                       	                     	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 4; from 161SR; Ch. 15; Appendix B

  SR	                 	                 	                  	              	161	 974	B	 22	X	 4	  70.00	    199.3000	Iaccarino	Benthic Foraminifers                         	               	                  	1                    	                   	                        	                           	                   	                    	                       	                     	                  	                    	                       	                           	                    	                             	                	               	                   	           	               	                     	             	                        	                      	                     	                   	                       	               	           	                           	                 	                   	                        	                       	                               	                           	                        	                             	               	total count = 1; from 161SR; Ch. 15; Appendix B

