Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Uvigerina spp.,Unilocular species,Tosaia hanzawai,Siphotextularia catenata,Pullenia zaandamae,Pullenia sp.,Pullenia quinqueloba,Pullenia osloensis,Pleurostomella sp.,Oridorsalis umbonatus,Oridorsalis tenera,Nuttallides umbonifera,Nonionella sp.,Miliolid taxa,Melonis barleeanus,Ioanella tumidula,Gyroidinoides lamarckianus,Gyroidina umbonata,Gyroidina spp.,Gyroidina regularis,Globocassidulina subglobosa,Epistominella sp. A,Epistominella exigua,Cibicidoides mundulus,Cassidulina spp.,Bolivina spp.,Alabaminella weddellensis,Abditodentrix pseudothalmanni,Schackoinella sp.,Gyroidinoides neosoldanii,Gyroidina orbicularis,Cibicidoides wuellerstorfi,Cibicidoides kullenbergi,Cibicides  bradyi,Astrononion echolsi,Anomalinoides globulosus,Pyrgo sp.,Pyrgo murrhina,Cibicidoides robertsonianus,Laticarinina pauperata,Discorbinella bertheloti,Sphaeroidina bulloides,Melonis pompilioides,Uvigerina peregrina,Bulimina alazanensis,Stainforthia fusiformis,Bulimina sp. A,Pullenia bulloides,Uvigerina hispida,Bolivina pacifica,Uvigerina proboscidea,Miliolid taxa (thin-walled),Pseudoparrella sp.,Ehrenbergina sp.,Oridorsalis sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 2,  80.00,      6.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,19                ,1              ,3                       ,                  ,2           ,2                   ,2                 ,                  ,2                    ,                  ,19                    ,              ,9            ,                  ,4                ,                          ,2                 ,              ,3                  ,34                         ,5                  ,19                  ,6                    ,2               ,4            ,32                       ,                             ,3                ,1                        ,                     ,                          ,                        ,                 ,                   ,                        ,1        ,              ,                           ,                      ,5                       ,                      ,                    ,                   ,                    ,                       ,6             ,                  ,1                ,                 ,                     ,3                          ,                  ,                ,               ,other taxa = 14; total count = 245; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 3,  80.00,      7.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,17                ,1              ,2                       ,                  ,12          ,1                   ,5                 ,                  ,3                    ,3                 ,4                     ,              ,3            ,1                 ,3                ,18                        ,                  ,              ,                   ,19                         ,6                  ,27                  ,2                    ,                ,             ,46                       ,                             ,                 ,1                        ,                     ,1                         ,                        ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,1                   ,                   ,                    ,                       ,12            ,                  ,                 ,                 ,                     ,4                          ,                  ,                ,               ,other taxa = 13; total count = 222; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 4,  80.00,      9.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,38                ,1              ,1                       ,                  ,7           ,11                  ,7                 ,                  ,14                   ,2                 ,5                     ,              ,4            ,                  ,1                ,4                         ,                  ,              ,                   ,27                         ,5                  ,125                 ,2                    ,1               ,             ,56                       ,                             ,                 ,2                        ,                     ,                          ,                        ,                 ,                   ,1                       ,3        ,              ,                           ,                      ,                        ,                      ,1                   ,                   ,                    ,2                      ,9             ,1                 ,                 ,                 ,                     ,3                          ,8                 ,                ,               ,other taxa = 6; total count = 348; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 5,  80.00,     10.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,19                ,               ,4                       ,                  ,3           ,2                   ,2                 ,                  ,2                    ,5                 ,8                     ,              ,4            ,                  ,7                ,3                         ,                  ,              ,                   ,13                         ,                   ,4                   ,2                    ,                ,             ,112                      ,                             ,                 ,1                        ,                     ,1                         ,                        ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,2                  ,2                   ,1                      ,11            ,                  ,                 ,                 ,                     ,14                         ,5                 ,                ,               ,other taxa = 5; total count = 232; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 6,  80.00,     12.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,3              ,2                       ,                  ,8           ,6                   ,4                 ,                  ,9                    ,4                 ,13                    ,              ,3            ,                  ,9                ,9                         ,                  ,              ,                   ,16                         ,1                  ,9                   ,3                    ,                ,             ,58                       ,                             ,                 ,                         ,1                    ,2                         ,                        ,                 ,                   ,                        ,1        ,2             ,                           ,                      ,                        ,1                     ,                    ,3                  ,                    ,2                      ,16            ,                  ,                 ,                 ,                     ,2                          ,                  ,                ,               ,other taxa = 13; total count = 214; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  2,H, 7,  20.00,     13.2000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,28                ,               ,                        ,                  ,4           ,16                  ,11                ,                  ,2                    ,8                 ,4                     ,1             ,4            ,                  ,13               ,3                         ,1                 ,2             ,3                  ,34                         ,6                  ,3                   ,7                    ,1               ,8            ,48                       ,                             ,2                ,2                        ,                     ,3                         ,4                       ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,                   ,                    ,                       ,4             ,                  ,                 ,                 ,                     ,3                          ,                  ,                ,               ,other taxa = 10; total count = 237; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  3,H, 1,  80.00,     14.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,5              ,3                       ,1                 ,5           ,5                   ,8                 ,                  ,                     ,13                ,20                    ,              ,5            ,1                 ,7                ,7                         ,                  ,              ,                   ,18                         ,1                  ,8                   ,1                    ,3               ,             ,62                       ,                             ,                 ,                         ,1                    ,3                         ,                        ,                 ,                   ,1                       ,         ,              ,                           ,                      ,                        ,                      ,                    ,2                  ,                    ,1                      ,6             ,                  ,                 ,                 ,                     ,3                          ,                  ,                ,               ,other taxa = 17; total count = 223; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  3,H, 2,  80.00,     15.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,9                 ,               ,1                       ,                  ,3           ,4                   ,2                 ,                  ,9                    ,4                 ,6                     ,              ,             ,                  ,7                ,5                         ,2                 ,              ,                   ,2                          ,12                 ,37                  ,5                    ,1               ,             ,71                       ,                             ,                 ,1                        ,                     ,3                         ,                        ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,4                  ,                    ,                       ,5             ,                  ,                 ,                 ,                     ,1                          ,                  ,                ,               ,other taxa = 6; total count = 200; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  3,H, 3,  80.00,     17.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,30                ,               ,                        ,                  ,8           ,3                   ,10                ,                  ,1                    ,5                 ,6                     ,              ,16           ,1                 ,21               ,                          ,                  ,              ,                   ,52                         ,9                  ,                    ,15                   ,                ,1            ,10                       ,                             ,                 ,1                        ,                     ,2                         ,6                       ,1                ,                   ,                        ,         ,1             ,                           ,                      ,                        ,                      ,                    ,                   ,                    ,1                      ,6             ,                  ,                 ,                 ,                     ,2                          ,                  ,                ,               ,other taxa = 0; total count = 254; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  3,H, 4,  80.00,     18.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,7                 ,1              ,1                       ,                  ,2           ,9                   ,2                 ,                  ,6                    ,2                 ,38                    ,              ,1            ,                  ,9                ,13                        ,3                 ,              ,                   ,14                         ,7                  ,32                  ,                     ,4               ,1            ,59                       ,                             ,                 ,3                        ,                     ,5                         ,                        ,                 ,                   ,1                       ,         ,1             ,                           ,                      ,                        ,                      ,                    ,18                 ,                    ,3                      ,7             ,                  ,                 ,                 ,                     ,1                          ,                  ,                ,               ,other taxa = 6; total count = 348; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  3,H, 5,  80.00,     20.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,16                ,2              ,3                       ,                  ,3           ,14                  ,6                 ,                  ,6                    ,9                 ,19                    ,              ,7            ,                  ,17               ,8                         ,1                 ,              ,                   ,18                         ,12                 ,39                  ,17                   ,3               ,             ,32                       ,                             ,                 ,2                        ,                     ,3                         ,1                       ,                 ,                   ,                        ,         ,2             ,                           ,                      ,                        ,1                     ,                    ,3                  ,                    ,                       ,12            ,                  ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 4; total count = 297; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  3,H, 6,  80.00,     21.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,5                 ,3              ,4                       ,                  ,3           ,8                   ,1                 ,                  ,16                   ,10                ,27                    ,              ,3            ,1                 ,1                ,6                         ,2                 ,              ,                   ,15                         ,2                  ,26                  ,25                   ,1               ,1            ,55                       ,                             ,                 ,2                        ,1                    ,1                         ,                        ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,1                     ,                    ,1                  ,                    ,                       ,7             ,                  ,                 ,1                ,                     ,                           ,                  ,                ,               ,other taxa = 4; total count = 233; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 1,  80.00,     23.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,2              ,5                       ,2                 ,9           ,5                   ,3                 ,                  ,8                    ,6                 ,8                     ,              ,10           ,1                 ,8                ,2                         ,2                 ,1             ,                   ,40                         ,5                  ,27                  ,23                   ,                ,1            ,64                       ,                             ,                 ,3                        ,                     ,1                         ,5                       ,                 ,1                  ,1                       ,1        ,              ,                           ,                      ,                        ,                      ,                    ,6                  ,                    ,                       ,4             ,                  ,                 ,1                ,                     ,                           ,                  ,                ,               ,other taxa = 5; total count = 438; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 2,  80.00,     25.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,17                ,3              ,5                       ,                  ,4           ,8                   ,4                 ,                  ,7                    ,2                 ,40                    ,              ,2            ,1                 ,8                ,10                        ,7                 ,2             ,                   ,6                          ,6                  ,68                  ,4                    ,                ,1            ,45                       ,                             ,                 ,5                        ,                     ,1                         ,6                       ,                 ,                   ,                        ,1        ,2             ,                           ,                      ,                        ,                      ,3                   ,1                  ,                    ,1                      ,              ,                  ,                 ,                 ,                     ,                           ,9                 ,                ,               ,other taxa = 3; total count = 282; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 3,  80.00,     26.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,18                ,               ,2                       ,                  ,5           ,6                   ,5                 ,                  ,7                    ,2                 ,20                    ,              ,3            ,                  ,16               ,4                         ,3                 ,2             ,                   ,7                          ,2                  ,29                  ,4                    ,                ,1            ,50                       ,                             ,1                ,                         ,1                    ,                          ,3                       ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,3                  ,                    ,3                      ,6             ,                  ,                 ,                 ,                     ,2                          ,                  ,1               ,               ,other taxa = 4; total count = 219; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 4,  80.00,     28.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,1              ,3                       ,                  ,3           ,7                   ,7                 ,                  ,18                   ,10                ,6                     ,              ,3            ,                  ,1                ,8                         ,4                 ,2             ,                   ,18                         ,6                  ,3                   ,10                   ,10              ,             ,81                       ,                             ,                 ,                         ,                     ,3                         ,1                       ,                 ,                   ,                        ,         ,3             ,                           ,                      ,                        ,                      ,                    ,                   ,                    ,6                      ,5             ,                  ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 7; total count = 239; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 5,  80.00,     29.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,13                ,               ,                        ,                  ,7           ,4                   ,2                 ,                  ,7                    ,9                 ,2                     ,              ,1            ,                  ,                 ,11                        ,4                 ,              ,                   ,19                         ,8                  ,19                  ,2                    ,9               ,             ,80                       ,                             ,                 ,1                        ,                     ,5                         ,2                       ,                 ,                   ,                        ,1        ,              ,                           ,                      ,                        ,                      ,                    ,5                  ,                    ,1                      ,10            ,2                 ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 7; total count = 232; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 6,  80.00,     31.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,10                ,4              ,2                       ,                  ,2           ,3                   ,                  ,                  ,4                    ,5                 ,4                     ,              ,             ,                  ,9                ,8                         ,3                 ,              ,                   ,31                         ,3                  ,4                   ,6                    ,                ,2            ,64                       ,                             ,                 ,                         ,                     ,2                         ,10                      ,5                ,1                  ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,10                 ,                    ,2                      ,4             ,3                 ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 9; total count = 210; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  4,H, 7,  50.00,     32.5000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,17                ,3              ,                        ,                  ,5           ,                    ,1                 ,                  ,14                   ,1                 ,                      ,1             ,4            ,                  ,2                ,                          ,                  ,              ,                   ,41                         ,5                  ,21                  ,15                   ,3               ,1            ,57                       ,                             ,                 ,2                        ,                     ,1                         ,                        ,                 ,                   ,1                       ,1        ,1             ,                           ,                      ,                        ,1                     ,1                   ,5                  ,                    ,1                      ,5             ,1                 ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 2; total count = 213; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 1,  80.00,     33.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,17                ,1              ,1                       ,1                 ,2           ,7                   ,5                 ,                  ,9                    ,8                 ,10                    ,              ,5            ,                  ,7                ,8                         ,                  ,              ,                   ,53                         ,4                  ,19                  ,8                    ,3               ,             ,59                       ,                             ,2                ,1                        ,                     ,4                         ,9                       ,3                ,1                  ,1                       ,4        ,              ,                           ,1                     ,                        ,                      ,1                   ,3                  ,                    ,1                      ,6             ,1                 ,                 ,                 ,                     ,1                          ,                  ,                ,               ,other taxa = 5; total count = 283; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 2,  80.00,     34.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,8                 ,4              ,2                       ,                  ,4           ,10                  ,6                 ,                  ,10                   ,2                 ,3                     ,1             ,3            ,                  ,12               ,8                         ,1                 ,              ,                   ,30                         ,10                 ,32                  ,8                    ,5               ,1            ,42                       ,                             ,                 ,1                        ,                     ,                          ,                        ,                 ,1                  ,                        ,         ,3             ,                           ,                      ,                        ,                      ,                    ,10                 ,                    ,                       ,              ,2                 ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 5; total count = 224; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 3,  80.00,     36.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,14                ,4              ,1                       ,                  ,1           ,3                   ,5                 ,                  ,10                   ,4                 ,                      ,              ,1            ,1                 ,2                ,8                         ,1                 ,              ,                   ,30                         ,6                  ,33                  ,8                    ,13              ,             ,69                       ,                             ,1                ,                         ,                     ,5                         ,                        ,                 ,                   ,                        ,1        ,1             ,                           ,                      ,                        ,                      ,1                   ,2                  ,                    ,2                      ,10            ,                  ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 6; total count = 243; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 4,  80.00,     37.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,8                 ,6              ,2                       ,2                 ,4           ,6                   ,10                ,                  ,7                    ,7                 ,7                     ,              ,             ,                  ,19               ,                          ,3                 ,              ,                   ,20                         ,15                 ,26                  ,22                   ,13              ,             ,42                       ,1                            ,                 ,                         ,                     ,1                         ,                        ,                 ,6                  ,1                       ,         ,              ,2                          ,                      ,                        ,                      ,                    ,                   ,                    ,                       ,4             ,                  ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 3; total count = 238; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 5,  80.00,     39.3000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,15                ,               ,1                       ,1                 ,6           ,3                   ,8                 ,2                 ,3                    ,7                 ,                      ,3             ,2            ,                  ,22               ,3                         ,                  ,              ,                   ,48                         ,2                  ,14                  ,12                   ,29              ,             ,17                       ,                             ,1                ,1                        ,                     ,                          ,                        ,                 ,5                  ,                        ,1        ,              ,                           ,                      ,                        ,                      ,                    ,                   ,1                   ,                       ,14            ,1                 ,1                ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 4; total count = 252; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 6,  80.00,     40.8000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,4                 ,3              ,1                       ,                  ,            ,4                   ,7                 ,                  ,5                    ,4                 ,6                     ,1             ,             ,                  ,6                ,3                         ,                  ,              ,                   ,32                         ,                   ,47                  ,4                    ,9               ,2            ,48                       ,                             ,                 ,1                        ,                     ,2                         ,                        ,                 ,                   ,                        ,         ,              ,                           ,                      ,                        ,                      ,                    ,3                  ,                    ,                       ,              ,                  ,                 ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 8; total count = 202; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,154, 926,A,  5,H, 7,  50.00,     42.0000,Yasuda   ,Benthic Foraminifers                         ,               ,                  ,              ,8                 ,1              ,3                       ,4                 ,4           ,13                  ,11                ,                  ,18                   ,4                 ,4                     ,              ,1            ,2                 ,6                ,2                         ,4                 ,1             ,                   ,49                         ,5                  ,7                   ,3                    ,17              ,             ,34                       ,                             ,                 ,2                        ,1                    ,8                         ,                        ,                 ,4                  ,                        ,         ,              ,                           ,                      ,1                       ,                      ,                    ,1                  ,                    ,                       ,9             ,                  ,16               ,                 ,                     ,                           ,                  ,                ,               ,other taxa = 8; total count = 346; from Leg 154SR Ch 27 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
