Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Globorotalia crassaformis,Globigerina bulloides,Neogloboquadrina pachyderma (dextral),Globorotalia inflata,Globigerina cf. bulloides,Globorotalia scitula,Truncorotalia truncatulinoides,Orbulina universa,Neogloboquadrina dutertrei,Globorotalia hexagonus,Globigerina apertura,Beella digitata,Comment
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  1,H, 2, 131.00,      2.8100,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,C                                      ,R                        ,                     ,F                                    ,                    ,R                        ,R                   ,                              ,                 ,                          ,                      ,                    ,               ,different colors; from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  1,H, 4,  31.00,      4.8100,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,F                                      ,                         ,                     ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  1,H,CC,  27.00,      5.3500,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,                                       ,                         ,                     ,R                                    ,R                   ,R                        ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  2,H, 1,  42.00,      5.8200,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,C                                      ,                         ,                     ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,different colors; from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  2,H, 1,  95.00,      6.3500,Spiegler ,Planktonic Foraminifers                      ,               ,G                 ,R                                      ,                         ,                     ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  2,H, 4, 103.00,     10.9300,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,F                                      ,                         ,                     ,R                                    ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,different colors; from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  2,H, 6, 111.00,     14.0100,Spiegler ,Planktonic Foraminifers                      ,               ,P                 ,R                                      ,                         ,                     ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  3,H, 1,  38.00,     15.2800,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,                                       ,                         ,                     ,R                                    ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  3,H, 2,  60.00,     17.0000,Spiegler ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                         ,                     ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N. pachyderma (sin.),              ,141, 862,A,  3,H,CC,   0.00,     20.5700,Spiegler ,Planktonic Foraminifers                      ,               ,M                 ,R                                      ,R                        ,R                    ,                                     ,                    ,                         ,                    ,                              ,                 ,                          ,                      ,                    ,               ,from ODP Leg 141 SR; Chapter 14; Table 9; p. 207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
