Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ventilabrella multicamerata,Rugotruncana subcircumnodifer,Pseudotextularia nuttalli,Pseudoguembelina excolata,Pseudoguembelina costulata,Heterohelix rajagopalani,Globotruncanita stuartiformis,Globotruncanita stuarti,Globotruncanella havanensis,Globotruncana orientalis,Globotruncana mariei,Globotruncana linneiana,Globotruncana bulloides,Globotruncana arca,Globigerinelloides messinae,Gansserina wiedenmayeri,Gansserina gansseri,Contusotruncana walfischensis,Contusotruncana fornicata,Contusotruncana contusa,Rugoglobigerina rugosa,Rugoglobigerina hexacamerata,Heterohelix dentata,Globigerinelloides subcarinatus,Contusotruncana patelliformis,Heterohelix punctulata,Globotruncanita conica,Pseudotextularia elegans,Abathomphalus intermedius,Pseudoguembelina hariaensis,Globotruncanella petaloidea,Abathomphalus mayaroensis,Racemiguembelina fructicosa,Schackoina cenomana,Hedbergella monmouthensis,Hedbergella holmdelensis,Guembelitria cretacea,Woodringina hornerstownensis,Woodringina claytonensis,Praemurica pseudoinconstans,Parasubbotina pseudobulloides,Globanomalina planocompressa,Eoglobigerina eobulloides,Chiloguembelina morsei,Subbotina cancellata,Praemurica uncinata,Praemurica inconstans,Parasubbotina varianta,Morozovella conicotruncata,Morozovella acuta,Igorina pusilla,Morozovella velascoensis,Morozovella praeangulata,Morozovella pasionensis,Morozovella occlusa,Morozovella formosa,Morozovella angulata,Morozovella aequa,Igorina albeari,Acarinina soldadoensis,Acarinina mckannai,Acarinina nitida,Subbotina velascoensis,Morozovella subbotinae,Morozovella aragonensis,Morozovella caucasica,Globigerinatheka senni,Acarinina quetra,Acarinina pentacamerata,Igorina broedermanni,Globigerinatheka subconglobata,Catapsydrax dissimilis,Hantkenina sp.,Guembelitrioides higginsi,Globigerinatheka index,Acarinina bullbrooki,Turborotalia pomeroli,Subbotina gortanii,Globigerinatheka mexicana,Hantkenina alabamensis,Globigerina euapertura,Paragloborotalia pseudokugleri,Globorotaloides suteri,Globigerina angustiumbilicata,Catapsydrax unicavus,Sphaeroidinellopsis disjuncta,Praeorbulina sicana,Globorotalia zealandica,Globoquadrina venezuelana,Globoquadrina dehiscens,Globoquadrina binaiensis,Globigerinoides mitra,Sphaeroidinellopsis seminulina,Paragloborotalia mayeri,Orbulina universa,Globoturborotalita woodi,Globoturborotalita nepenthes,Globorotalia praemenardii,Globorotalia panda,Globorotalia miozea,Globorotalia menardii,Globorotalia lenguaensis,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globorotalia conoidea,Globigerinoides obliquus,Globigerinoides conglobatus,Globigerina bulloides,Dentoglobigerina altispira,Sphaeroidinella dehiscens s.l.,Globorotalia plesiotumida,Globorotalia merotumida,Globoconella conomiozea,Globorotalia tumida,Globorotalia conomiozea,Globigerinoides extremus,Globorotalia margaritae,Globigerinella aequilateralis,Truncorotalia crassaformis,Neogloboquadrina dutertrei,Globorotalia inflata,Globorotalia crassula,Truncorotalia truncatulinoides,Truncorotalia tosaensis,Pulleniatina obliquiloculata,Neogloboquadrina pachyderma (dextral),Globorotalia scitula,Pulleniatina primalis,Neogloboquadrina humerosa,Globorotalia hirsuta,Candeina nitida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Paleocene   ,Late Pliocene    ,N21               ,N21           ,198,1209,B,  5,H,CC,  15.00,     43.5400,planks   ,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,R                             ,                       ,F                ,                        ,                            ,                         ,                  ,                   ,F                    ,                        ,F                       ,F                         ,F                    ,                     ,R                       ,                           ,F                    ,                          ,F                             ,                         ,                       ,                       ,F                  ,                       ,                        ,                       ,R                            ,F                         ,F                         ,F                   ,F                    ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,N19-N20           ,N19-N20       ,198,1209,B,  6,H,CC,  29.00,     53.1800,planks   ,Planktonic Foraminifers                      ,C              ,P                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,F                             ,                       ,R                ,                        ,                            ,                         ,                  ,                   ,                     ,                        ,                        ,F                         ,F                    ,F                    ,P                       ,                           ,                     ,                          ,                              ,+                        ,                       ,F                      ,F                  ,                       ,+                       ,P                      ,R                            ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,"rads, spicules"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Paleocene  ,N19-N20           ,N19-N20       ,198,1209,B,  7,H,CC,  29.00,     62.6100,planks   ,Planktonic Foraminifers                      ,C              ,P                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,F                             ,                       ,F                ,                        ,                            ,                         ,                  ,                   ,                     ,                        ,                        ,                          ,                     ,F                    ,                        ,F                          ,                     ,                          ,R                             ,                         ,                       ,F                      ,F                  ,F                      ,R                       ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Paleocene  ,N19-N20           ,N19-N20       ,198,1209,B,  8,H,CC,  32.00,     72.1900,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,+                        ,P                      ,                        ,                     ,F                             ,                       ,F                ,                        ,F                           ,                         ,                  ,                   ,                     ,                        ,                        ,                          ,                     ,                     ,                        ,                           ,                     ,                          ,R                             ,F                        ,F                      ,R                      ,                   ,                       ,                        ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N17b              ,N17b          ,198,1209,B,  9,H,CC,  23.00,     81.5400,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,F                        ,                       ,                        ,                     ,A                             ,                       ,F                ,F                       ,A                           ,                         ,                  ,F                  ,                     ,                        ,                        ,+                         ,+                    ,F                    ,                        ,+                          ,+                    ,F                         ,                              ,                         ,                       ,                       ,                   ,                       ,                        ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N17b              ,N17b          ,198,1209,B, 10,H,CC,  30.00,     90.9300,planks   ,Planktonic Foraminifers                      ,F              ,M                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,                             ,                   ,                       ,F                        ,F                      ,                        ,                     ,A                             ,                       ,F                ,                        ,A                           ,+                        ,+                 ,+                  ,+                    ,+                       ,                        ,R                         ,R                    ,F                    ,R                       ,R                          ,R                    ,                          ,                              ,                         ,                       ,                       ,                   ,                       ,                        ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Miocene     ,Late Miocene     ,N14               ,N14           ,198,1209,B, 11,H,CC,  19.00,    100.5500,planks   ,Planktonic Foraminifers                      ,F              ,M                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,F                            ,                   ,                       ,F                        ,F                      ,                        ,                     ,A                             ,F                      ,F                ,F                       ,R                           ,F                        ,F                 ,F                  ,F                    ,R                       ,R                       ,F                         ,F                    ,                     ,                        ,                           ,                     ,                          ,                              ,                         ,                       ,                       ,                   ,                       ,                        ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Miocene    ,Early Miocene    ,N7                ,N7            ,198,1209,B, 12,H,CC,  41.00,    110.0700,planks   ,Planktonic Foraminifers                      ,F              ,M                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,                      ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,                      ,                              ,                      ,                             ,                    ,F                            ,P                  ,R                      ,F                        ,F                      ,R                       ,R                    ,                              ,                       ,                 ,                        ,                            ,                         ,                  ,                   ,                     ,                        ,                        ,                          ,                     ,                     ,                        ,                           ,                     ,                          ,                              ,                         ,                       ,                       ,                   ,                       ,                        ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Oligocene   ,Late Oligocene   ,P22               ,P22           ,198,1209,B, 13,H,CC,   0.00,    119.4400,planks   ,Planktonic Foraminifers                      ,F              ,P                 ,                           ,                             ,                         ,                         ,                          ,                        ,                             ,                       ,                           ,                        ,                    ,                       ,                       ,                  ,                           ,                       ,                   ,                             ,                         ,                       ,                      ,                            ,                   ,                               ,                             ,                      ,                      ,                        ,                         ,                           ,                           ,                         ,                           ,                   ,                         ,                        ,                     ,                            ,                        ,                           ,                             ,                            ,                         ,                      ,                    ,                   ,                     ,                      ,                          ,                 ,               ,                        ,                        ,                       ,                   ,                   ,                    ,                 ,               ,                      ,                  ,                ,                      ,                      ,                       ,                     ,                      ,                ,                       ,                    ,                              ,F                     ,              ,                         ,                      ,                    ,                     ,                  ,                         ,                      ,F                     ,P                             ,R                     ,F                            ,R                   ,                             ,                   ,                       ,                         ,                       ,                        ,                     ,                              ,                       ,                 ,                        ,                            ,                         ,                  ,                   ,                     ,                        ,                        ,                          ,                     ,                     ,                        ,                           ,                     ,                          ,                              ,                         ,                       ,                       ,                   ,                       ,                        ,                       ,                             ,                          ,                          ,                    ,                     ,                              ,                       ,                            ,                                     ,                    ,                     ,                         ,                    ,               ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
