Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Globigerina officinalis	Globigerina labiacrassata	Catapsydrax unicavus	Catapsydrax dissimilis	Tenuitellinata angustiumbilicata	Subbotina angiporoides	Chiloguembelina cubensis	Globorotaloides suteri	Globigerina praebulloides	Paragloborotalia nana	Globigerinita glutinata	Globigerina eamesi	Tenuitella gemma	Tenuitella munda	Globoturborotalita brazieri	Globigerinella obesa	Dentoglobigerina praedehiscens	Globoquadrina dehiscens	Globigerina quinqueloba	Globigerina ciperoensis	Turborotalia euapertura	Globoturborotalita woodi	Globoturborotalita connecta	Globigerina bulloides	Tenuitella minutissima	Globorotalia zealandica	Globorotalia praescitula	Globorotalia miozea	Globigerinoides trilobus	Praeorbulina curva	Paragloborotalia mayeri	Orbulina universa	Globorotalia scitula	Globorotalia peripheroronda	Globorotalia panda	Globigerina falconensis	Dentoglobigerina venezuelana	Paragloborotalia nympha	Paragloborotalia continuosa	Globoturborotalita decoraperta	Globorotalia conoidea	Globoturborotalita apertura	Globorotalia miotumida	Globorotalia juanai	Globigerinita uvula	Globorotalia inflata	Globorotalia explicationis	Globoturborotalita nepenthes	Globorotalia challengeri	Neogloboquadrina pachyderma (sinistral)	Globorotalia sphericomiozea	Neogloboquadrina pachyderma	Globorotalia pliozea	Globorotalia conomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globorotalia crassaformis	Globorotalia triangula	Globigerinella aequilateralis	Neogloboquadrina humerosa	Globorotalia crassaconica	Globorotalia crassacarina	Globorotalia truncatulinoides	Globorotalia tosaensis	Globorotalia hirsuta	Globigerina umbilicata	Comment

  IR	                 	                 	                  	SN13          	189	1170	A	  5	H	CC	   8.00	     39.4000	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	+                   	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	+                     	+                            	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN13          	189	1170	A	  6	H	CC	   8.00	     49.0300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	+                   	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN13          	189	1170	A	  7	H	CC	  10.00	     58.2500	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	+                   	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	  8	H	CC	  16.00	     68.0700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	  9	H	CC	  15.00	     77.8600	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	 10	H	CC	  12.00	     87.4800	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	                    	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	 11	H	CC	  12.00	     96.8800	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	                    	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	 12	H	CC	  10.00	    106.4500	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	                 	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	 13	H	CC	  12.00	    115.2400	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12b         	189	1170	A	 14	H	CC	  11.00	    123.7300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	+                  	                    	                          	                            	                        	+                                      	                           	                           	                    	                       	+                          	+                        	+                        	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN12a         	189	1170	A	 15	H	CC	  12.00	    133.9400	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	+                   	                           	                  	+                      	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	+                          	+                          	+                   	                       	+                          	+                        	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN11          	189	1170	A	 16	H	CC	  12.00	    143.7500	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	+                     	+                  	                   	                    	                          	                            	                        	+                                      	+                          	+                          	+                   	+                      	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN11          	189	1170	A	 17	H	CC	  21.00	    153.5700	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	                    	                           	+                 	                       	                            	                       	                           	                              	+                    	                           	+                     	                   	                   	                    	                          	                            	                        	+                                      	+                          	+                          	+                   	+                      	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN11          	189	1170	A	 18	H	CC	  23.00	    163.7000	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	                    	                           	+                 	                       	                            	                       	                           	+                             	+                    	                           	+                     	                   	                   	                    	                          	                            	                        	+                                      	+                          	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	Dissolution effects strong

  IR	                 	                 	                  	SN9           	189	1170	A	 19	X	CC	   3.00	    167.1300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	                       	+                	                    	                           	                  	                       	                            	                       	+                          	+                             	+                    	+                          	+                     	+                  	                   	                    	                          	+                           	+                       	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN8           	189	1170	A	 20	X	CC	  21.00	    174.5400	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	+                  	                        	                  	                       	+                	                    	                           	+                 	                       	                            	+                      	+                          	+                             	+                    	+                          	+                     	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN8           	189	1170	A	 21	X	CC	  11.00	    180.9100	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	+                  	                        	                  	                       	+                	                    	                           	+                 	                       	                            	+                      	+                          	+                             	+                    	+                          	+                     	                   	                   	                    	+                         	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 22	X	CC	  12.00	    192.0500	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	+                   	                              	                       	+                      	                       	                       	+                       	                           	+                    	                      	                       	                        	+                  	                        	                  	+                      	+                	                    	                           	+                 	                       	                            	+                      	+                          	+                             	+                    	+                          	+                     	                   	                   	+                   	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	Downhole contamination (Gr. inflata)

  IR	                 	                 	                  	SN7           	189	1170	A	 23	X	CC	  12.00	    201.1300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	                         	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	+                      	+                	                    	                           	+                 	                       	                            	+                      	+                          	+                             	+                    	+                          	+                     	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 24	X	CC	  16.00	    210.3100	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	+                      	+                	                    	                           	+                 	                       	                            	                       	                           	+                             	+                    	+                          	+                     	+                  	+                  	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 25	X	CC	  20.00	    220.3400	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	+                    	+                      	                  	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	+                    	                      	                       	                        	+                  	                        	                  	+                      	+                	                    	+                          	+                 	                       	                            	+                      	+                          	+                             	+                    	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 26	X	CC	  10.00	    227.5500	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	+                    	                       	                  	                	                	                           	                    	                              	                       	                       	                       	                       	                        	                           	+                    	                      	                       	                        	                   	                        	                  	+                      	+                	                    	+                          	+                 	                       	                            	+                      	+                          	+                             	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 27	X	CC	  12.00	    239.3800	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	+                    	                       	                  	                	                	                           	                    	                              	+                      	                       	                       	                       	                        	                           	+                    	                      	                       	                        	+                  	                        	                  	+                      	+                	                    	+                          	                  	                       	                            	+                      	+                          	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 28	X	CC	  20.00	    250.7000	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	+                   	                              	                       	+                      	                       	                       	                        	                           	+                    	                      	                       	                        	+                  	                        	                  	+                      	                 	+                   	+                          	                  	+                      	+                           	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN7           	189	1170	A	 29	X	CC	  10.00	    259.4400	forams   	Planktonic Foraminifers                      	C              	VG                	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	+                       	                           	+                    	                      	                       	                        	+                  	                        	                  	+                      	+                	+                   	+                          	+                 	+                      	+                           	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN5           	189	1170	A	 30	X	CC	   9.00	    270.2200	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	+                   	                              	                       	+                      	                       	                       	+                       	                           	+                    	                      	+                      	+                       	+                  	                        	+                 	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN4           	189	1170	A	 31	X	CC	  12.00	    281.7400	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	+                       	+                          	+                    	                      	+                      	+                       	+                  	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN4           	189	1170	A	 32	X	CC	  15.00	    290.8900	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	+                       	+                          	+                    	+                     	                       	+                       	+                  	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN4           	189	1170	A	 33	X	CC	  11.00	    299.6000	forams   	Planktonic Foraminifers                      	A              	M                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	+                       	+                          	+                    	+                     	+                      	+                       	+                  	+                       	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN4           	189	1170	A	 34	X	CC	  21.00	    310.3900	forams   	Planktonic Foraminifers                      	A              	M                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	                              	                       	+                      	                       	                       	+                       	+                          	+                    	+                     	+                      	+                       	+                  	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN4           	189	1170	A	 35	X	CC	  19.00	    318.4300	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	                      	                                	                      	                        	                      	+                        	                     	+                      	                  	                	                	+                          	                    	                              	                       	+                      	                       	                       	+                       	                           	+                    	+                     	+                      	+                       	+                  	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN4           	189	1170	A	 36	X	CC	  16.00	    327.5200	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	+                     	+                               	                      	                        	                      	+                        	                     	+                      	                  	                	                	                           	                    	+                             	+                      	+                      	                       	                       	+                       	                           	+                    	+                     	+                      	+                       	+                  	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN3           	189	1170	A	 37	X	CC	  16.00	    338.8000	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	+                     	+                               	                      	                        	                      	+                        	+                    	+                      	                  	                	                	                           	                    	                              	+                      	+                      	                       	                       	+                       	+                          	+                    	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN2           	189	1170	A	 38	X	CC	  13.00	    347.1800	forams   	Planktonic Foraminifers                      	A              	G                 	                       	                         	                    	+                     	+                               	                      	                        	                      	+                        	+                    	+                      	                  	                	                	                           	                    	                              	+                      	+                      	                       	                       	+                       	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN1           	189	1170	A	 39	X	CC	  19.00	    356.5300	forams   	Planktonic Foraminifers                      	A              	VG                	                       	+                        	+                   	+                     	+                               	                      	                        	                      	+                        	                     	+                      	+                 	                	                	                           	                    	                              	+                      	+                      	                       	+                      	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN1           	189	1170	A	 40	X	CC	  25.00	    367.0300	forams   	Planktonic Foraminifers                      	A              	G                 	                       	+                        	+                   	+                     	+                               	                      	                        	                      	+                        	                     	+                      	+                 	                	                	                           	                    	                              	+                      	+                      	                       	+                      	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SN1           	189	1170	A	 41	X	CC	  29.00	    376.5300	forams   	Planktonic Foraminifers                      	C              	G                 	                       	                         	+                   	+                     	+                               	                      	                        	+                     	+                        	                     	+                      	+                 	                	                	+                          	                    	                              	+                      	+                      	+                      	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP14b         	189	1170	A	 42	X	CC	  29.00	    387.1700	forams   	Planktonic Foraminifers                      	C              	M                 	                       	+                        	+                   	+                     	                                	                      	                        	+                     	+                        	                     	                       	+                 	                	                	+                          	+                   	+                             	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

  IR	                 	                 	                  	SP14b         	189	1170	A	 43	X	CC	  14.00	    396.6300	forams   	Planktonic Foraminifers                      	C              	M                 	                       	                         	+                   	+                     	+                               	                      	                        	+                     	+                        	                     	+                      	+                 	                	                	+                          	                    	                              	                       	                       	                       	                       	                        	                           	                     	                      	                       	                        	                   	                        	                  	                       	                 	                    	                           	                  	                       	                            	                       	                           	                              	                     	                           	                      	                   	                   	                    	                          	                            	                        	                                       	                           	                           	                    	                       	                           	                         	                         	                      	                             	                         	                         	                         	                             	                      	                    	                      	       

