Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Gephyrocapsa Group 1,Braarudosphaera bigelowii,Gephyrocapsa Group 3,Gephyrocapsa oceanica,Helicosphaera wallichii,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Emiliania pujosae,Emiliania huxleyi,Reticulofenestra sp.,Gephyrocapsa Group 2,Crenalithus doronicoides,Syracosphaera sp.,Umbellosphaera tenuis,Gephyrocapsa Group 4,Calcidiscus leptoporus,Pontosphaera japonica,Coccolithus crassipons,Comment
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 856,A,  2,H, 2,  50.00,      4.7000,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,C                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,C                ,                    ,R                   ,                        ,                 ,                     ,                    ,C                     ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 856,A,  2,H, 4,  65.00,      7.8500,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,C                   ,                         ,                    ,                     ,                       ,                     ,                         ,F                ,C                ,                    ,                    ,                        ,                 ,                     ,                    ,F                     ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 856,A,  2,H, 5,  39.00,      9.0900,Mao      ,Nannofossils                                 ,F              ,P                 ,                     ,F                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,R                ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 856,A,  2,H,CC,   0.00,     12.5900,Brunner  ,Nannofossils                                 ,R              ,M                 ,                     ,                    ,                         ,                    ,                     ,                       ,                     ,R                        ,R                ,R                ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 IR; Ch 6; Tables 4 & 7; pp. 181 & 188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 856,A,  3,H, 1, 103.00,     13.2300,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,F                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,F                ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21B             ,              ,139, 856,A,  3,H, 2,  73.00,     14.4300,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,C                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,C                ,                    ,                    ,F                       ,                 ,                     ,                    ,F                     ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  3,H, 5,  74.00,     18.9400,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,F                   ,                         ,                    ,                     ,F                      ,                     ,                         ,                 ,F                ,                    ,                    ,                        ,                 ,F                    ,F                   ,F                     ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  3,H, 6, 105.00,     20.7500,Mao      ,Nannofossils                                 ,A              ,M                 ,F                    ,A                   ,R                        ,F                   ,                     ,R                      ,                     ,                         ,R                ,F                ,                    ,C                   ,R                       ,R                ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  3,H, 7,  34.00,     21.5400,Mao      ,Nannofossils                                 ,C              ,M                 ,F                    ,C                   ,R                        ,R                   ,                     ,                       ,                     ,                         ,                 ,R                ,                    ,F                   ,R                       ,                 ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 856,A,  3,H,CC,  45.00,     22.3000,Brunner  ,Nannofossils                                 ,A              ,P                 ,                     ,                    ,                         ,                    ,A                    ,                       ,R                    ,R                        ,R                ,R                ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 IR; Ch 6; Tables 4 & 7; pp. 181 & 188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 1,  57.00,     22.2700,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,F                   ,                         ,R                   ,                     ,                       ,                     ,                         ,                 ,                 ,R                   ,R                   ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 2,  72.00,     23.9200,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,F                   ,R                        ,R                   ,                     ,R                      ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 3,  25.00,     24.9500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,R                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 4,  28.00,     26.4800,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,R                   ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 5,  53.00,     28.2300,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,R                   ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 6,  45.00,     29.6500,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,F                   ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  4,H, 7,   7.00,     30.7700,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,R                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pleistocene ,Holocene         ,NN21              ,              ,139, 856,A,  4,H,CC,  37.00,     31.8600,Brunner  ,Nannofossils                                 ,R              ,P                 ,R                    ,                    ,                         ,                    ,R                    ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,from ODP Leg 139 IR; Ch 6; Tables 4 & 7; pp. 181 & 188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  5,H, 2,  35.00,     31.9300,Mao      ,Nannofossils                                 ,C              ,VP                ,C                    ,                    ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  5,H, 3,  38.00,     33.4600,Mao      ,Nannofossils                                 ,C              ,VP                ,C                    ,                    ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  5,H, 4,  37.00,     34.9500,Mao      ,Nannofossils                                 ,R              ,P                 ,R                    ,R                   ,                         ,R                   ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  5,H, 5,  35.00,     36.4300,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,R                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  5,H, 6,  35.00,     37.9300,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,R                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  5,H, 7,  33.00,     39.4100,Mao      ,Nannofossils                                 ,F              ,P                 ,F                    ,R                   ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  6,H, 1,  44.00,     41.1400,Mao      ,Nannofossils                                 ,F              ,P                 ,R                    ,F                   ,R                        ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  6,H, 2,  59.00,     42.7900,Mao      ,Nannofossils                                 ,F              ,VP                ,F                    ,                    ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  6,H, 3,  54.00,     44.2400,Mao      ,Nannofossils                                 ,F              ,VP                ,F                    ,                    ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  6,H, 4,  55.00,     45.7500,Mao      ,Nannofossils                                 ,F              ,VP                ,F                    ,                    ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  6,H, 7,   6.00,     49.7600,Mao      ,Nannofossils                                 ,R              ,VP                ,R                    ,                    ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  7,H, 1,  52.00,     50.7200,Mao      ,Nannofossils                                 ,F              ,VP                ,F                    ,                    ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,139, 856,A,  7,H, 2,  18.00,     51.8800,Mao      ,Nannofossils                                 ,R              ,VP                ,R                    ,                    ,                         ,                    ,                     ,                       ,                     ,                         ,                 ,                 ,                    ,                    ,                        ,                 ,                     ,                    ,                      ,                     ,                      ,zone and age assignments uncertain; from ODP Leg 139 SR; Chapter 5; Table 6; p 65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
