Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Discoaster exilis	Discoaster bollii	Sphenolithus spp.	Minylitha convallis	Coccolithus pelagicus	Calcidiscus leptoporus	Calcidiscus macintyrei (>11 um)	Amaurolithus spp.	Helicosphaera carteri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster surculus	Pseudoemiliania lacunosa	Discoaster tamalis	Discoaster asymmetricus	Helicosphaera sellii	Gephyrocapsa (small)	Gephyrocapsa oceanica s.l.	Comment
  IR	                 	                 	CN12a             	              	167	1021	B	 10	H	CC	  25.00	     94.0000	Fornaciari	Nannofossils                                 	A              	G                 	                                	                 	                 	                 	                   	                     	R                     	C                              	                 	                     	+                       	                   	+                  	+                       	F/C               	R                      	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12a             	              	167	1021	B	 11	H	CC	   0.00	    103.0800	Fornaciari	Nannofossils                                 	A              	G                 	                                	                 	                 	                 	                   	F                    	C                     	C                              	                 	                     	F                       	R                  	F                  	                        	F                 	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN12a             	              	167	1021	B	 12	H	CC	  20.00	    112.9900	Fornaciari	Nannofossils                                 	C              	M/G               	                                	                 	                 	                 	                   	                     	F/C                   	                               	                 	                     	                        	R                  	F                  	R                       	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN11              	              	167	1021	B	 14	H	CC	   0.00	    131.8200	Fornaciari	Nannofossils                                 	F              	P                 	R/F                             	                 	                 	                 	                   	F                    	F                     	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN11              	              	167	1021	B	 15	H	CC	  18.00	    141.5100	Fornaciari	Nannofossils                                 	R              	P                 	R                               	                 	                 	                 	                   	                     	R                     	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	questionable zonal assignment. from IR. Ch 15. Table 4.

  IR	                 	                 	CN11              	              	167	1021	B	 16	H	CC	  21.00	    150.9600	Fornaciari	Nannofossils                                 	R              	P                 	                                	                 	                 	                 	                   	R                    	R                     	                               	                 	                     	R                       	                   	R                  	                        	                  	                       	                    	                    	                          	questionable zonal assignment. from IR. Ch 15. Table 4.

  IR	                 	                 	                  	              	167	1021	B	 17	H	CC	  24.00	    160.5400	Fornaciari	Nannofossils                                 	F              	P                 	F                               	                 	                 	                 	                   	                     	                      	                               	                 	                     	R                       	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	                  	              	167	1021	B	 18	H	CC	  12.00	    169.8400	Fornaciari	Nannofossils                                 	R              	P                 	R                               	                 	                 	                 	                   	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN9               	CN10a         	167	1021	B	 19	X	CC	  15.00	    176.8900	Fornaciari	Nannofossils                                 	A              	M                 	C                               	                 	                 	+                	                   	R                    	                      	                               	R                	R                    	F/C                     	+                  	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN9               	CN10a         	167	1021	B	 20	X	CC	  19.00	    177.4600	Fornaciari	Nannofossils                                 	C/A            	P/M               	C                               	                 	                 	+                	                   	                     	R                     	+                              	                 	R                    	R                       	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN9               	CN10a         	167	1021	B	 21	X	CC	  10.00	    194.6700	Fornaciari	Nannofossils                                 	A              	M                 	C                               	                 	                 	                 	                   	                     	                      	R                              	R                	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN8               	CN9a          	167	1021	B	 24	X	CC	  13.00	    223.7000	Fornaciari	Nannofossils                                 	A              	M                 	C                               	                 	                 	                 	R/F                	F                    	R                     	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN8               	CN9a          	167	1021	B	 25	X	CC	  27.00	    231.9900	Fornaciari	Nannofossils                                 	F/C            	M                 	+                               	                 	                 	                 	R                  	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN8               	CN9a          	167	1021	B	 26	X	 7	  30.00	    242.5000	Fornaciari	Nannofossils                                 	R              	P                 	R                               	                 	                 	                 	RR                 	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN8               	CN9a          	167	1021	B	 27	X	CC	  14.00	    252.4800	Fornaciari	Nannofossils                                 	A              	M                 	C                               	                 	                 	                 	F                  	+                    	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN5b              	CN7           	167	1021	B	 29	X	CC	  24.00	    271.8400	Fornaciari	Nannofossils                                 	A              	M                 	C/A                             	+                	                 	R                	                   	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN5b              	CN7           	167	1021	B	 32	X	CC	  26.00	    300.7300	Fornaciari	Nannofossils                                 	F              	P                 	+                               	+                	+                	                 	                   	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

  IR	                 	                 	CN5b              	CN7           	167	1021	B	 33	X	CC	  13.00	    310.0900	Fornaciari	Nannofossils                                 	R              	P                 	+                               	+                	+                	                 	                   	                     	                      	                               	                 	                     	                        	                   	                   	                        	                  	                       	                    	                    	                          	from IR. Ch 15. Table 4.

