Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paranesidea sp.,Legitimocythere acanthoderma,Henryhowella melobesioides,Buntonia cf. rosenfeldi,Argillocea? sp.,gen. 1 sp.,Parakrithe sp.,Bradleya dictyon,Poseidonamicus major,Krithe sp.,Buntonia mackenziei,Agrenocythere hazelae,Xestoleberis abyssoris,Agrenocythere? sp.,Pseudobosquetina mucronalatum,Cytherella serratula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN10              ,              ,159, 960,C,  7,H, 3,  69.00,     57.3900,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,+                           ,+                         ,                       ,               ,          ,              ,                ,                    ,+         ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 5. Total valves = 5. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN9               ,              ,159, 960,C,  8,H, 3,  70.00,     66.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,+                           ,                          ,                       ,               ,          ,              ,                ,                    ,+         ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 9. Total valves = 9. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN8               ,              ,159, 960,C,  9,H, 3,  69.00,     76.3900,Guernet  ,Ostracodes                                   ,               ,                  ,               ,                            ,                          ,                       ,               ,          ,              ,                ,+                   ,+         ,                   ,+                    ,                      ,                  ,                             ,                    ,Identified valves = 13. Total valves = 13. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN8               ,              ,159, 960,C, 10,H, 3,  69.00,     85.8900,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,                            ,+                         ,                       ,               ,          ,              ,+               ,+                   ,+         ,+                  ,                     ,                      ,                  ,                             ,                    ,Identified valves = 34. Total valves = 35. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN3               ,              ,159, 960,C, 11,H, 3,  69.00,     95.3900,Guernet  ,Ostracodes                                   ,               ,                  ,               ,                            ,                          ,                       ,               ,+         ,+             ,+               ,                    ,          ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 4. Total valves = 4. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN3               ,              ,159, 960,C, 12,H, 3,  70.00,    104.9000,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,+                           ,+                         ,+                      ,+              ,          ,              ,                ,                    ,          ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 6. Total valves = 6. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Miocene          ,                 ,CN1               ,              ,159, 960,C, 13,H, 3,  70.00,    114.4000,Guernet  ,Ostracodes                                   ,               ,                  ,+              ,                            ,                          ,                       ,               ,          ,              ,                ,                    ,          ,                   ,                     ,                      ,                  ,                             ,                    ,Identified valves = 1. Total valves = 1. From Leg 159SR Ch 38 Table 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
