Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Sphaeroidinellopsis subdehiscens,Sphaeroidinellopsis seminulina,Paragloborotalia siakensis,Paragloborotalia mayeri,Orbulina universa,Globorotaloides hexagonus,Globorotalia scitula,Globorotalia praescitula,Globorotalia praemenardii,Globorotalia birnageae,Globorotalia archeomenardii,Globoquadrina dehiscens,Globigerinoides trilobus,Globigerinoides ruber,Globigerinoides obliquus,Globigerinella obesa,Globigerina venezuelana,Globigerina falconensis,Fohsella praefohsi,Fohsella peripheroacuta,Fohsella fohsi,Dentoglobigerina larmeui,Dentoglobigerina baroemoenensis,Dentoglobigerina altispira,Globigerinoides sacculifer,Globorotalia lenguaensis,G. bulbosa,Fohsella fohsi lobata,Globigerina bulloides,Fohsella fohsi robusta,Sphaeroidinellopsis kochi,Cassigerinella chipolensis,Neogloboquadrina pachyderma,Zeaglobigerina nepenthes,Zeaglobigerina decoraperta,Streptochilus spp.,Globorotalia menardii,Pulleniatina primalis,Polyperibola  christiani,Globorotalia sphericomiozea,Neogloboquadrina acostaensis (sinistral),Globigerinella siphonifera,Neogloboquadrina humerosa,Neogloboquadrina acostaensis (dextral),Globorotalia merotumida,Triserial heterohelicids,Globorotalia plesiotumida,Globigerinoides extremus,Globorotalia mediterranea,Globorotalia suterae,Candeina nitida,Globorotalia cibaoensis,Globorotalia juanai,Globorotalia conomiozea,Globorotalia margaritae,Zeaglobigerina microstoma,Globigerinoides conglobatus,Neogloboquadrina humerosa/N. dutertrei,Globigerinoides seigliei,Sphaeroidinellopsis subdehiscens/S. dehiscens,Globorotalia plesiotumida/G. tumida,Globorotalia tumida,Globorotalia aemiliana,Globorotalia pseudopima,Globigerina sp. A,Globorotalia crassaformis,Neogloboquadrina dutertrei,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 36,X, 5,  81.00,    328.3100,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,R                    ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,-                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,-                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,-                ,-                        ,+                         ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 36,X, 6,  81.00,    329.8100,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,+                    ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,-                    ,-                    ,-                       ,+                          ,+                                       ,-                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,                   ,-                      ,+                      ,-                        ,+                          ,+                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,-                ,+                        ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 37,X, 1,  85.00,    331.4500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,-                    ,-                    ,-                       ,-                          ,-                                       ,-                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,-                   ,R              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,-                ,+                        ,                          ,Rare B. tenuis. from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 37,X, 2,  85.00,    332.9500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,R                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,VR                   ,-                     ,+                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,-                ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 37,X, 3,  85.00,    334.4500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,R                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,-                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,-                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,-                      ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,-                ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 37,X, 4,  85.00,    335.9500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,-                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,+                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,VR                   ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,R                 ,+                    ,+                    ,-                       ,-                          ,-                                       ,+                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,R                   ,VR             ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,-                ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 37,X, 5,  85.00,    337.4500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,-                    ,+                       ,-                   ,+                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,VR                   ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,-                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,VR             ,-                      ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,-                ,                         ,                          ,Rare reworked specimens. from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 37,X, 6,  85.00,    338.9500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,+                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,R                    ,-                     ,-                        ,-                         ,+                          ,+                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,-                                       ,+                         ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,VR                  ,-              ,-                      ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,cf                 ,-                     ,-                      ,-                ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 1,  85.00,    340.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,-                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,+         ,-                    ,VR                   ,-                     ,-                        ,-                         ,+                          ,-                       ,+                         ,-                 ,+                    ,-                    ,-                       ,-                          ,-                                       ,+                         ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,R                   ,-              ,-                      ,-                  ,-                      ,VR                     ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,+                ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 1, 135.00,    341.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,R                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,A                    ,+                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,-                      ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 2,  35.00,    341.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,-                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,-                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,-                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 2,  85.00,    342.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,+                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,VR        ,-                    ,R                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,-                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,R                   ,-              ,R                      ,-                  ,-                      ,-                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,Age = 4.6 Ma. LO G.cibaoensis. from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 3,  85.00,    343.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,-                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,-                         ,+                         ,-                       ,-         ,-                    ,VR                   ,-                     ,-                        ,-                         ,-                          ,+                       ,-                         ,-                 ,+                    ,cf                   ,-                       ,-                          ,+                                       ,+                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,+                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,+                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 3, 135.00,    344.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,-                    ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,+                         ,-                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 4,  35.00,    344.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,-                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,+                      ,+                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,-                       ,-                         ,-                 ,+                    ,-                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,-              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 4,  85.00,    345.1500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,-                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,-                    ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,-                         ,+                         ,-                       ,-         ,-                    ,+                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,R                 ,+                    ,cf                   ,-                       ,-                          ,+                                       ,VR                        ,+                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,-                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,+                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 4, 135.00,    345.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,+                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,-                   ,-                       ,-                        ,-                     ,-                          ,-                      ,+                       ,VR                   ,+                       ,-                   ,-                      ,+                      ,-                 ,-                      ,-             ,-                       ,+                              ,+                         ,+                         ,-                       ,-         ,-                    ,R                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,-                 ,+                    ,+                    ,-                       ,-                          ,+                                       ,+                         ,+                        ,-                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,+                   ,+              ,-                      ,-                  ,-                      ,+                      ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,+                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,N19               ,              ,166,1006,A, 38,X, 5,  85.00,    346.6500,Wright   ,Planktonic Foraminifers                      ,               ,G                 ,-                   ,+                               ,+                             ,-                         ,-                      ,+                ,-                        ,+                   ,-                       ,-                        ,-                     ,-                          ,-                      ,-                       ,VR                   ,+                       ,-                   ,+                      ,-                      ,-                 ,-                      ,-             ,-                       ,-                              ,+                         ,+                         ,-                       ,-         ,-                    ,-                    ,-                     ,-                        ,-                         ,-                          ,+                       ,+                         ,+                 ,+                    ,-                    ,-                       ,-                          ,-                                       ,-                         ,-                        ,+                                     ,-                      ,-                       ,-                        ,-                       ,-                        ,R                   ,+              ,+                      ,-                  ,-                      ,VR                     ,-                        ,+                          ,-                                     ,-                       ,-                                            ,-                                  ,-                  ,-                     ,-                      ,                 ,                         ,                          ,from 166SR.Ch 15.Table 1
