Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stylatractus universus var. transparum,Stylatractus universus,Stylatractus santaeannae,Siphonosphaera magnisphaera,Rhopalastrum spp.,Prunopyle hayesi,Lampromitra coronata,Eucyrtidium pseudoinflatum,Eucyrtidium cienkowskii,Eucyrtidium calvertense,Desmospyris rhodospyroides,Antarctissa deflandrei,Acrosphaera murrayana,Acrosphaera mercurius,Prunopyle titan,Lychnocanium grande,Lithomelissa stigi,Cycladophora spongothorax,Actinomma golownini,Spongotrochus glacialis,Antarctissa strelkovi,Antarctissa cylindrica,Triceraspyris coronata,Cycladophora pliocenica,Antarctissa denticulata,Helotholus vema,Desmospyris spongiosa,Cycladophora davisiana,Triceraspyris antarctica,Pterocanium korotnevi,Pterocanium charybdeum trilobum,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,mid. Upsilon      ,              ,120, 748,A,  1,H, 5,  45.00,      6.4500,Lazarus  ,Radiolarians                                 ,C              ,M-G               ,                                      ,                      ,                        ,                           ,                 ,                ,                    ,                          ,                       ,                       ,                          ,                      ,                     ,                     ,               ,                   ,                  ,                         ,                   ,                       ,C                    ,C                     ,                      ,R                      ,A                      ,F              ,R                    ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. Upsilon      ,              ,120, 748,A,  1,H,CC,  14.00,     10.0800,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                                      ,                      ,                        ,                           ,F                ,                ,                    ,                          ,                       ,F                      ,                          ,                      ,                     ,                     ,F              ,+                  ,                  ,                         ,                   ,                       ,                     ,F                     ,                      ,F                      ,A                      ,C              ,C                    ,+                     ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,low. Upsilon      ,              ,120, 748,A,  2,H, 2,  45.00,     11.4500,Lazarus  ,Radiolarians                                 ,C              ,G                 ,                                      ,                      ,                        ,                           ,                 ,                ,+                   ,                          ,                       ,F                      ,                          ,                      ,                     ,                     ,+              ,                   ,                  ,                         ,                   ,                       ,                     ,C                     ,                      ,F                      ,C                      ,C              ,C                    ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,Tau               ,              ,120, 748,A,  2,H, 3,  45.00,     12.9500,Lazarus  ,Radiolarians                                 ,A              ,M                 ,                                      ,R                     ,                        ,F                          ,                 ,                ,+                   ,C                         ,                       ,F                      ,                          ,                      ,                     ,                     ,R              ,R                  ,                  ,+                        ,R                  ,                       ,A                    ,C                     ,F                     ,F                      ,F                      ,               ,                     ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. australais     ,              ,120, 748,A,  2,H, 4,  45.00,     14.4500,Lazarus  ,Radiolarians                                 ,A              ,G                 ,                                      ,                      ,R                       ,F                          ,C                ,+               ,                    ,C                         ,                       ,                       ,                          ,R                     ,F                    ,F                    ,R              ,R                  ,R                 ,                         ,R                  ,R                      ,C                    ,C                     ,                      ,                       ,                       ,               ,                     ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. australais     ,              ,120, 748,A,  2,H, 5,   0.00,     15.5000,Lazarus  ,Radiolarians                                 ,A              ,G                 ,R                                     ,R                     ,C                       ,C                          ,F                ,+               ,                    ,C                         ,F                      ,F                      ,C                         ,C                     ,                     ,C                    ,R              ,+                  ,R                 ,+                        ,+                  ,                       ,                     ,                      ,                      ,                       ,                       ,               ,                     ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,A. australais     ,              ,120, 748,A,  2,H,CC,  13.00,     18.6300,Lazarus  ,Radiolarians                                 ,A              ,G                 ,R                                     ,F                     ,+                       ,C                          ,C                ,F               ,R                   ,F                         ,F                      ,F                      ,F                         ,C                     ,F                    ,C                    ,               ,                   ,                  ,                         ,                   ,                       ,                     ,                      ,                      ,                       ,                       ,               ,                     ,                      ,                        ,                     ,                               ,from ODP Leg 120 SR Vol 2 Chapter 41 Table 5 microfiche back pocket & Fig 6 p 791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
