Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera sibogae var. foliosa	Syracosphaera spp.	Rhabdosphaera clavigera	Reticulofenestra producta	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Pontosphaera japonica	Helicosphaera carteri	Gephyrocapsa spp. medium	Gephyrocapsa spp. (small)	Gephyrocapsa oceanica ss	Florisphaera profunda	Discoaster brouweri	Ceratolithus cristatus	Calciosolenia murrayi	Calcidiscus leptoporus	Pontosphaera discopora	Helicosphaera pavimentum	Gephyrocapsa caribbeanica	Coccolithus pelagicus	Eiffellithus turriseiffelii	Prediscosphaera cretacea	Oolithotus fragilis	Neosphaera coccolithomorpha	Gephyrocapsa margerelii/muellerae	Cyclicargolithus floridanus	Watznaueria barnesae	Schyphosphaera sp.	Umbellosphaera tenuis	Helicosphaera inversa	Emiliania huxleyi	Pontosphaera multipora	Comment
  IR	Late Pleistocene 	                 	CN15              	              	164	 996	E	  2	H	 4	  39.00	      8.9900	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	C                 	R                      	F                        	                         	C                      	                       	                        	R                    	F                    	A                       	A                        	C                       	A                    	                   	                      	F                    	F                     	R                     	                        	F                        	F                    	                           	                        	                   	                           	C                                	                           	                    	                  	R                    	R                    	F                	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14b             	              	164	 996	E	  2	H	CC	   0.00	     12.5900	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	C                 	R                      	C                        	                         	A                      	                       	                        	R                    	F                    	A                       	A                        	C                       	A                    	                   	                      	F                    	C                     	R                     	                        	A                        	F                    	                           	                        	                   	R                          	A                                	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14a             	              	164	 996	E	  4	H	 1	  39.00	     23.5900	Okada    	Nannofossils                                 	A              	M                 	F                                   	F                                   	C                 	R                      	F                        	                         	A                      	                       	C                       	R                    	F                    	C                       	A                        	A                       	A                    	                   	R                     	F                    	F                     	R                     	                        	C                        	                     	                           	                        	R                  	R                          	                                 	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14a             	              	164	 996	E	  4	H	 4	  39.00	     27.2900	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	C                 	R                      	F                        	                         	A                      	                       	C                       	R                    	F                    	C                       	A                        	C                       	A                    	                   	R                     	F                    	F                     	R                     	R                       	F                        	                     	                           	                        	                   	R                          	F                                	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14a             	              	164	 996	E	  4	H	CC	  23.00	     29.9600	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	R                      	F                        	                         	A                      	                       	C                       	R                    	F                    	C                       	A                        	A                       	A                    	                   	R                     	R                    	C                     	R                     	R                       	                         	                     	                           	                        	R                  	R                          	F                                	                           	rR                  	R                 	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14a             	              	164	 996	E	  5	H	 2	  39.00	     33.4200	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	F                      	C                        	                         	A                      	                       	C                       	R                    	F                    	A                       	A                        	C                       	A                    	                   	                      	F                    	C                     	R                     	                        	C                        	                     	                           	rR                      	R                  	R                          	A                                	rR                         	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14a             	              	164	 996	E	  5	H	 4	  39.00	     35.8800	Okada    	Nannofossils                                 	A              	G                 	F                                   	R                                   	C                 	R                      	C                        	                         	A                      	                       	C                       	                     	F                    	C                       	D                        	F                       	A                    	                   	                      	R                    	F                     	R                     	                        	                         	R                    	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Late Pleistocene 	                 	CN14a             	              	164	 996	E	  5	H	CC	   0.00	     39.8600	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	R                      	F                        	                         	A                      	R                      	A                       	R                    	F                    	A                       	A                        	C                       	A                    	                   	R                     	F                    	F                     	R                     	                        	F                        	                     	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Early Pleistocene	                 	CN14a             	              	164	 996	E	  6	X	 2	  39.00	     43.9000	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	R                      	F                        	                         	A                      	F                      	C                       	R                    	F                    	A                       	A                        	C                       	A                    	                   	                      	R                    	F                     	R                     	                        	C                        	                     	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Early Pleistocene	                 	CN13b             	              	164	 996	E	  6	X	 5	  39.00	     48.3000	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	F                      	F                        	                         	A                      	F                      	C                       	R                    	R                    	R                       	D                        	                        	A                    	                   	R                     	F                    	F                     	R                     	                        	                         	                     	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Early Pleistocene	                 	CN13b             	              	164	 996	E	  6	X	CC	  25.00	     51.6600	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	F                      	                         	F                        	A                      	C                      	C                       	R                    	F                    	R                       	D                        	                        	A                    	                   	                      	R                    	F                     	                      	                        	                         	                     	rR                         	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Early Pleistocene	                 	CN14a             	              	164	 996	E	  7	H	 2	  39.00	     53.0500	Okada    	Nannofossils                                 	A              	M                 	F                                   	R                                   	C                 	F                      	                         	C                        	A                      	F                      	C                       	F                    	F                    	A                       	A                        	A                       	A                    	                   	                      	R                    	F                     	                      	                        	F                        	R                    	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	zonal assignment uncertain. from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Early Pleistocene	                 	CN14a             	              	164	 996	E	  7	H	 4	  55.00	     54.9000	Okada    	Nannofossils                                 	A              	M                 	R                                   	F                                   	F                 	R                      	                         	                         	A                      	F                      	F                       	R                    	F                    	A                       	A                        	A                       	A                    	                   	                      	R                    	F                     	R                     	R                       	                         	                     	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	zonal assignment uncertain. from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

  IR	Early Pleistocene	                 	CN14a             	              	164	 996	E	  7	H	CC	   0.00	     58.6300	Okada    	Nannofossils                                 	A              	G                 	F                                   	F                                   	F                 	R                      	F                        	F                        	C                      	F                      	C                       	F                    	F                    	C                       	D                        	F                       	A                    	rR                 	R                     	R                    	F                     	                      	                        	                         	                     	                           	                        	                   	                           	                                 	                           	                    	                  	                     	                     	                 	                      	zonal assignment uncertain. from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data996E

