Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trachyneis aspera	Thalassiothrix longissima	Thalassiothrix frauenfeldii	Thalassiosira lineata	Thalassiosira leptopus	Thalassionema nitzschioides	Stephanopyxis turris	Rhaphoneis amphiceros	Pseudopodosira spp.	Paralia sulcata	Melosira westii	Melosira spp.	Freshwater species	Diploneis spp.	Delphineis angustata	Cyclotella sp.	Coscinodiscus obscurus	Coscinodiscus marginatus	Chaetoceros spp. (resting spores)	Biddulphia spp.	Azpeitia nodulifera	Actinoptychus senarius	Actinocyclus octonarius	Neodelphineis pelagica	Denticulopsis hustedtii	Coscinodiscus radiatus	Hemidiscus cuneiformis	Thalassiosira eccentrica	Cymatosira immunis	Triceratium spp.	Rhaphoneis paralis	Grammatophora spp.	Stephanopyxis spp.	Melosira architecturalis	Thalassiosira zabellinae	Goniothecium sp.	Thalassiosira spp.	Thalassionema nitzschioides  var. parva	Neodenticula kamtschatica	Thalassiosira tetraoestrupii	Thalassiosira sp. A	Rhaphoneis spp.	Plagiogramma sp.	Lyrella hennedyii	Koizumia adaroi	Thalassiosira manifesta	Thalassiosira cf. T. deicipiens	Delphineis surirella	Thalassiothrix robusta	Thalassionema schraderi	Thalassiosira nidulus	Thalassiosira plicata	Thalassionema bacillaris	Nitzschia fossilis	Cyclotella striata	Coscinodiscus perforatus	Coscinodiscus oculus-iridis	Cavitatus jouseanus	Bacteriastrum spp.	Thalassiosira symbolophora	Actinocyclus curvatulus	Thalassiosira sp. B	Thalassionema hirosakiensis	Nitzschia cylindrica	Coscinodiscus nitidus	Synedra ulna	Nitzschia reinholdii	Nitzschia miocenica	Nitzschia bicapitata	Hyalodiscus sp. A	Synedra indica	Nitzschia marina	Thalassiothrix acuta	Actinoptychus splendens	Thalassiosira pacifica	Thalassiosira ferelineata	Thalassiosira anguste-lineata	Proboscia alata	Planktoniella  sol	Koizumia tatsunokuchiensis	Denticulopsis dimorpha	Thalassiosira trifulta	Hemidiscus ovalis	Thalassiosira convexa	Actinocyclus ingens	Thalassiosira miocenica	Thalassionema sp.	Roperia tesselata	Rhizosolenia hebetata	Nitzschia spp.	Glyphodesmis acus	Coscinodiscus spp.	Thalassiosira praeoestrupii	Pseudotriceratium wallichii	Cymatosira sp.	Thalassiosira symmetrica	Thalassiosira oestrupii	Thalassiosira jouseae	Porosira pseudodenticulata	Coscinodiscus denarius	Rhizosolenia styliformis	Stictodiscus spp.	Odontella sp.	Rhizosolenia setigera	Trigonium alternans	Actinoptychus vulgaris	Pleurosigma spp.	Comment

  SR	                 	                 	                  	              	164	 997	B	  8	X	 2	  28.00	    444.7800	Okada    	Diatoms                                      	               	                  	                 	                         	                           	2                    	                      	10                         	11                  	                     	4                  	63             	17             	             	0                 	1             	                    	1             	                      	                        	27                               	3              	1                  	2                     	1                      	1                     	                       	                      	                      	                        	1                 	                	3                 	1                 	                  	                        	                        	                	                  	                                       	                         	                            	                   	               	                	                 	1              	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	                    	1                	              	                	                    	                       	                      	                         	                             	               	2                 	1                         	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 125; Age Est 5.12Ma; Abundance 76.2 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	  8	X	 6	  28.00	    450.6800	Okada    	Diatoms                                      	               	                  	                 	2                        	                           	                     	                      	8                          	4                   	1                    	2                  	54             	10             	             	2                 	5             	                    	              	                      	3                       	18                               	               	3                  	8                     	7                      	                      	1                      	                      	                      	4                       	1                 	                	5                 	                  	                  	2                       	1                       	                	                  	                                       	                         	                            	                   	3              	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	                  	                  	                        	                           	                   	                  	                          	                       	                   	                           	                    	1                    	            	                    	                   	                    	1                	              	                	                    	                       	                      	                         	                             	               	                  	1                         	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	3                      	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 129; Age Est 5.14Ma; Abundance 76.7 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 11	X	 1	  30.00	    463.5000	Okada    	Diatoms                                      	               	                  	1                	2                        	1                          	2                    	                      	42                         	3                   	2                    	2                  	70             	12             	             	2                 	5             	                    	              	                      	3                       	52                               	1              	4                  	18                    	11                     	                      	                       	1                     	                      	10                      	                  	                	6                 	                  	                  	                        	                        	                	                  	                                       	                         	                            	                   	2              	                	                 	1              	                       	                               	                    	                      	                       	                     	                     	1                       	                  	                  	                        	1                          	                   	1                 	                          	                       	                   	                           	1                   	                     	            	                    	                   	                    	                 	              	1               	                    	2                      	2                     	                         	2                            	               	                  	5                         	                      	                      	2                	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	1                  	1                     	                	Total Diatom Count 217; Age Est 5.2Ma; Abundance 441 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 11	X	 3	  30.00	    466.5000	Okada    	Diatoms                                      	               	                  	                 	2                        	                           	1                    	                      	24                         	4                   	2                    	1                  	112            	18             	             	4                 	2             	                    	1             	1                     	                        	36                               	               	4                  	4                     	2                      	1                     	                       	                      	                      	1                       	                  	                	2                 	2                 	                  	1                       	                        	                	1                 	                                       	                         	1                           	                   	               	                	                 	               	                       	                               	1                   	                      	                       	                     	                     	1                       	                  	                  	                        	2                          	                   	                  	                          	                       	2                  	                           	                    	                     	            	                    	1                  	                    	4                	1             	                	                    	                       	                      	                         	                             	               	                  	1                         	1                     	                      	                 	                     	1                  	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	1                      	                     	                          	                      	1                       	                 	             	                     	3                  	                      	                	Total Diatom Count 208; Age Est 5.21Ma; Abundance 182 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 12	X	 3	  30.00	    474.4100	Okada    	Diatoms                                      	               	                  	1                	1                        	2                          	3                    	                      	36                         	6                   	                     	3                  	74             	18             	             	1                 	5             	                    	              	1                     	6                       	39                               	               	7                  	3                     	6                      	2                     	                       	                      	1                     	                        	2                 	                	4                 	3                 	                  	                        	                        	1               	4                 	1                                      	                         	2                           	                   	               	                	                 	               	                       	                               	                    	8                     	                       	                     	                     	2                       	3                 	                  	                        	1                          	                   	                  	                          	                       	                   	                           	                    	                     	1           	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	1                         	                      	                      	                 	                     	                   	                       	                 	                 	1                    	              	                 	1                 	                           	                           	              	                        	                       	                     	                          	                      	                        	1                	             	1                    	                   	                      	                	Total Diatom Count 210; Age Est 5.25Ma; Abundance 530 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 13	X	 1	  30.00	    481.8000	Okada    	Diatoms                                      	               	                  	1                	3                        	                           	                     	                      	38                         	6                   	                     	1                  	84             	13             	             	3                 	5             	                    	              	                      	2                       	36                               	               	5                  	3                     	9                      	2                     	                       	1                     	                      	4                       	4                 	                	3                 	                  	                  	                        	1                       	                	                  	                                       	                         	                            	                   	               	1               	                 	               	                       	                               	                    	2                     	                       	                     	                     	                        	2                 	                  	                        	2                          	                   	                  	                          	1                      	                   	                           	                    	                     	            	                    	                   	1                   	                 	              	                	                    	                       	                      	                         	1                            	               	1                 	                          	                      	                      	                 	                     	                   	                       	                 	                 	2                    	              	                 	                  	                           	                           	              	                        	1                      	                     	                          	                      	2                       	1                	1            	                     	                   	                      	                	Total Diatom Count 202; Age Est 5.28Ma; Abundance 414 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 14	X	 1	  30.00	    491.4000	Okada    	Diatoms                                      	               	                  	1                	5                        	                           	1                    	                      	69                         	6                   	2                    	2                  	37             	10             	             	2                 	3             	                    	              	                      	                        	69                               	1              	11                 	1                     	8                      	3                     	                       	8                     	                      	5                       	2                 	                	6                 	                  	                  	1                       	                        	                	2                 	                                       	                         	1                           	                   	2              	                	                 	               	                       	                               	                    	2                     	                       	                     	                     	                        	                  	                  	                        	1                          	                   	                  	                          	                       	2                  	                           	                    	                     	            	                    	                   	                    	4                	1             	2               	                    	                       	                      	                         	                             	               	1                 	1                         	                      	1                     	3                	1                    	1                  	1                      	                 	                 	                     	1             	                 	                  	3                          	                           	              	                        	2                      	                     	                          	                      	                        	1                	             	                     	                   	                      	                	Total Diatom Count 216; Age Est 5.32Ma; Abundance 358 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 14	X	CC	  23.00	    496.2400	Okada    	Diatoms                                      	               	                  	                 	5                        	2                          	2                    	                      	58                         	6                   	                     	2                  	37             	3              	1            	0                 	7             	                    	2             	1                     	6                       	40                               	               	22                 	4                     	5                      	3                     	                       	4                     	                      	22                      	1                 	1               	3                 	                  	                  	                        	                        	                	1                 	                                       	                         	2                           	                   	2              	                	                 	               	                       	                               	1                   	                      	                       	                     	                     	1                       	1                 	                  	                        	2                          	                   	                  	                          	1                      	6                  	                           	                    	                     	            	                    	                   	                    	                 	              	                	                    	2                      	                      	                         	2                            	               	                  	4                         	1                     	                      	3                	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	2                       	1                      	                     	                          	                      	1                       	                 	             	                     	                   	                      	                	Total Diatom Count 226; Age Est 5.35Ma; Abundance 685 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 16	X	 2	  29.00	    503.5900	Okada    	Diatoms                                      	               	                  	                 	2                        	1                          	5                    	                      	71                         	5                   	1                    	                   	30             	12             	             	1                 	3             	                    	              	                      	1                       	60                               	               	13                 	10                    	11                     	1                     	                       	1                     	                      	3                       	                  	                	4                 	1                 	2                 	1                       	                        	1               	2                 	                                       	                         	1                           	1                  	2              	                	                 	               	                       	                               	                    	2                     	                       	                     	                     	                        	3                 	                  	                        	1                          	                   	                  	                          	                       	                   	                           	                    	                     	            	                    	                   	1                   	1                	1             	1               	                    	                       	2                     	                         	1                            	               	                  	4                         	                      	                      	                 	                     	                   	                       	                 	                 	2                    	1             	                 	                  	1                          	                           	              	1                       	1                      	2                    	1                         	1                     	                        	                 	             	                     	                   	                      	                	Total Diatom Count 208; Age Est 5.38Ma; Abundance 371 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 16	X	 7	  30.00	    511.1000	Okada    	Diatoms                                      	               	                  	                 	1                        	1                          	6                    	                      	40                         	8                   	1                    	2                  	61             	13             	             	2                 	4             	                    	              	1                     	1                       	46                               	               	10                 	1                     	6                      	                      	                       	2                     	                      	11                      	1                 	                	2                 	3                 	                  	1                       	1                       	1               	1                 	                                       	1                        	2                           	                   	               	                	                 	               	                       	                               	1                   	                      	                       	                     	                     	                        	2                 	                  	                        	                           	                   	                  	                          	1                      	3                  	                           	                    	                     	            	                    	2                  	                    	1                	              	                	                    	                       	                      	1                        	                             	               	1                 	                          	                      	                      	1                	                     	                   	                       	                 	                 	                     	              	                 	                  	5                          	1                          	1             	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 202; Age Est 5.41Ma; Abundance 206 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 18	X	 1	  30.00	    520.3000	Okada    	Diatoms                                      	               	                  	1                	2                        	                           	2                    	                      	33                         	1                   	1                    	1                  	86             	22             	             	1                 	8             	                    	              	                      	3                       	35                               	               	10                 	6                     	4                      	                      	                       	1                     	                      	6                       	1                 	                	4                 	                  	2                 	                        	                        	1               	2                 	                                       	                         	                            	                   	               	                	                 	               	                       	                               	                    	1                     	                       	                     	                     	                        	                  	                  	                        	                           	6                  	                  	                          	                       	4                  	2                          	                    	                     	            	                    	1                  	                    	1                	              	1               	1                   	2                      	                      	                         	1                            	               	1                 	                          	                      	                      	                 	                     	                   	1                      	                 	                 	1                    	              	                 	                  	2                          	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 218; Age Est 5.45Ma; Abundance 265 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 18	X	 5	  30.00	    526.3000	Okada    	Diatoms                                      	               	                  	                 	1                        	3                          	8                    	                      	45                         	9                   	1                    	                   	35             	18             	             	0                 	10            	                    	              	                      	3                       	44                               	3              	17                 	13                    	12                     	                      	                       	4                     	                      	14                      	1                 	                	6                 	                  	1                 	                        	                        	2               	2                 	                                       	                         	                            	1                  	               	                	                 	               	                       	                               	1                   	4                     	                       	                     	                     	2                       	3                 	2                 	                        	                           	4                  	1                 	                          	3                      	2                  	                           	2                   	                     	            	                    	                   	1                   	1                	1             	1               	                    	1                      	2                     	1                        	                             	               	                  	4                         	                      	                      	1                	                     	                   	1                      	3                	1                	1                    	2             	1                	1                 	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 252; Age Est 5.48Ma; Abundance 778 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 19	X	 4	  30.00	    534.4000	Okada    	Diatoms                                      	               	                  	                 	                         	                           	1                    	                      	43                         	7                   	                     	                   	48             	22             	             	0                 	2             	                    	1             	                      	8                       	38                               	               	17                 	                      	11                     	                      	                       	2                     	                      	9                       	                  	                	15                	                  	1                 	                        	                        	1               	                  	                                       	                         	1                           	                   	               	                	                 	               	                       	                               	                    	                      	                       	                     	                     	                        	1                 	                  	1                       	                           	2                  	1                 	                          	                       	                   	1                          	                    	                     	            	                    	                   	2                   	                 	              	                	                    	                       	1                     	                         	                             	               	                  	1                         	                      	                      	                 	1                    	1                  	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 200; Age Est 5.52Ma; Abundance 606 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 20	X	 2	  30.00	    541.0000	Okada    	Diatoms                                      	               	                  	1                	1                        	2                          	4                    	                      	44                         	14                  	2                    	                   	37             	6              	             	1                 	3             	                    	1             	1                     	                        	83                               	1              	6                  	9                     	3                      	                      	                       	6                     	                      	22                      	1                 	                	5                 	1                 	1                 	                        	                        	2               	1                 	                                       	                         	5                           	                   	1              	                	                 	               	                       	                               	                    	4                     	                       	                     	                     	                        	                  	                  	                        	                           	3                  	                  	                          	                       	3                  	1                          	2                   	                     	            	                    	                   	2                   	                 	              	                	                    	3                      	3                     	2                        	                             	               	2                 	3                         	                      	1                     	2                	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 208; Age Est 5.55Ma; Abundance 386 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 22	X	 2	  28.00	    551.5800	Okada    	Diatoms                                      	               	                  	                 	1                        	                           	1                    	                      	27                         	1                   	2                    	1                  	34             	18             	1            	2                 	5             	                    	              	                      	                        	17                               	               	3                  	7                     	9                      	                      	                       	5                     	                      	3                       	                  	                	3                 	1                 	                  	                        	                        	1               	                  	                                       	                         	                            	                   	               	                	                 	               	                       	                               	2                   	                      	                       	                     	                     	                        	                  	                  	                        	                           	1                  	                  	                          	                       	4                  	                           	                    	1                    	            	                    	                   	                    	1                	              	                	                    	                       	1                     	4                        	                             	               	                  	1                         	                      	2                     	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 140; Age Est 5.59Ma; Abundance 84.3 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 22	X	 5	  30.00	    556.1000	Okada    	Diatoms                                      	               	                  	                 	5                        	                           	7                    	                      	63                         	10                  	1                    	                   	23             	14             	             	3                 	5             	3                   	              	                      	1                       	36                               	               	9                  	5                     	5                      	                      	                       	10                    	1                     	13                      	2                 	                	1                 	1                 	                  	                        	                        	1               	2                 	                                       	1                        	                            	2                  	               	                	                 	               	                       	                               	3                   	                      	                       	                     	                     	4                       	4                 	2                 	                        	                           	2                  	                  	                          	                       	1                  	                           	                    	                     	            	                    	5                  	2                   	                 	              	2               	                    	                       	3                     	1                        	1                            	1              	1                 	13                        	2                     	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 232; Age Est 5.63Ma; Abundance 720 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 23	X	 5	  30.00	    564.7000	Okada    	Diatoms                                      	               	                  	                 	2                        	1                          	1                    	                      	36                         	2                   	2                    	2                  	36             	11             	             	2                 	4             	2                   	1             	                      	                        	25                               	               	23                 	13                    	17                     	                      	                       	2                     	                      	9                       	3                 	                	1                 	                  	                  	                        	                        	                	4                 	                                       	2                        	1                           	2                  	               	                	                 	               	                       	                               	                    	3                     	                       	                     	                     	2                       	10                	1                 	                        	1                          	3                  	                  	                          	                       	                   	                           	2                   	1                    	            	                    	                   	                    	2                	              	1               	1                   	1                      	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 201; Age Est 5.72Ma; Abundance 190 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 24	X	 3	  30.00	    571.3000	Okada    	Diatoms                                      	               	                  	                 	1                        	3                          	2                    	                      	42                         	1                   	                     	1                  	48             	18             	2            	2                 	8             	                    	              	                      	                        	23                               	2              	5                  	6                     	11                     	2                     	                       	2                     	                      	11                      	2                 	                	1                 	2                 	                  	                        	                        	3               	2                 	2                                      	                         	3                           	1                  	6              	                	3                	               	1                      	                               	1                   	2                     	                       	                     	1                    	3                       	2                 	1                 	                        	                           	3                  	1                 	2                         	                       	1                  	1                          	2                   	                     	            	                    	1                  	3                   	1                	1             	2               	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 218; Age Est 5.79Ma; Abundance 331 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 26	X	 1	  30.00	    578.9000	Okada    	Diatoms                                      	               	                  	1                	                         	5                          	5                    	                      	56                         	2                   	4                    	                   	32             	15             	             	0                 	7             	1                   	              	                      	                        	32                               	               	5                  	9                     	9                      	2                     	                       	1                     	1                     	13                      	                  	                	1                 	                  	2                 	                        	                        	2               	1                 	2                                      	                         	2                           	6                  	               	                	                 	2              	                       	1                              	4                   	5                     	                       	                     	                     	                        	5                 	1                 	                        	                           	5                  	                  	                          	                       	                   	                           	2                   	                     	1           	2                   	1                  	1                   	1                	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 211; Age Est 5.86Ma; Abundance 653 10^4/g; from 164SR.Ch 35.Table 1.

  SR	                 	                 	                  	              	164	 997	B	 27	X	 1	  30.00	    587.6000	Okada    	Diatoms                                      	               	                  	1                	4                        	2                          	7                    	                      	28                         	5                   	                     	                   	41             	23             	             	2                 	6             	                    	              	1                     	1                       	33                               	1              	4                  	14                    	22                     	                      	                       	3                     	                      	7                       	2                 	                	1                 	1                 	                  	                        	                        	3               	1                 	4                                      	                         	4                           	6                  	2              	                	                 	               	1                      	                               	2                   	2                     	                       	                     	                     	                        	4                 	1                 	                        	                           	1                  	                  	1                         	                       	2                  	1                          	1                   	1                    	            	                    	                   	                    	                 	              	                	                    	                       	                      	                         	                             	               	                  	                          	                      	                      	                 	                     	                   	                       	                 	                 	                     	              	                 	                  	                           	                           	              	                        	                       	                     	                          	                      	                        	                 	             	                     	                   	                      	                	Total Diatom Count 209; Age Est 5.92Ma; Abundance 214 10^4/g; from 164SR.Ch 35.Table 1.

