Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella roberti	Ticinella praeticinensis	Schackoina cenomana	Rotalipora ticinensis	Rotalipora subticinensis	Hedbergella simplex	Hedbergella delrioensis	Biticinella breggiensis	Guembelitria cenomana	Praeglobotruncana delrioensis	Ticinella raynaudi	Rotalipora appenninica	Costellagerina libyca	Rotalipora greenhornensis	Rotalipora gandolfii	Rotalipora brotzeni	Praeglobotruncana stephani	Praeglobotruncana gibba	Whiteinella baltica	Rotalipora turonica	Rotalipora deeckei	Rotalipora cushmani	Heterohelix moremani	Whiteinella paradubia	Heterohelix reussi	Helvetoglobotruncana praehelvetica	Helvetoglobotruncana helvetica	Dicarinella imbricata	Dicarinella algeriana	Marginotruncana marianosi	Heterohelix globulosa	Globotruncanita stuartiformis	Globotruncanita atlantica	Globotruncana orientalis	Globotruncana linneiana	Globotruncana arca	Contusotruncana patelliformis	Contusotruncana fornicata	Pseudotextularia nuttalli	Planoglobulina multicamerata	Planoglobulina acervulinoides	Globotruncanella petaloidea	Globotruncanella havanensis	Globotruncana falsostuarti	Favusella washitensis	Racemiguembelina fructicosa	Heterohelix navarroensis	Globotruncanita stuarti	Contusotruncana walfischensis	Pseudotextularia elegans	Pseudoguembelina palpebra	Globotruncana dupeublei	Contusotruncana contusa	Abathomphalus mayaroensis	Trinitella scotti	Rugoglobigerina rugosa	Rugoglobigerina rotundata	Rugoglobigerina hexacamerata	Globotruncana rosetta	Globotruncana esnehensis	Globotruncana aegyptiaca	Abathomphalus intermedius	Parvularugoglobigerina eugubina	Parvularugoglobigerina alabamensis	Hedbergella monmouthensis	Globigerinelloides prairiehillensis	Globanomalina archeocompressa	Woodringina hornerstownensis	Woodringina claytonensis	Praemurica taurica	Guembelitria cretacea	Chiloguembelina midwayensis	Subbotina triloculinoides	Parvularogoglobigerina fringa	Parasubbotina pseudobulloides	Praemurica inconstans	Morozovella trinidadensis	Morozovella praecursoria	Globanomalina compressa	Parasubbotina variospira	Parasubbotina varianta	Morozovella conicotruncata	Morozovella angulata	Igorina pusilla	Chiloguembelina subtriangularis	Comment

  IR	Early Paleocene  	Late Paleocene   	P1c               	P3a           	171	1050	C	  6	R	CC	  14.00	    375.3200	Bellier  	Planktonic Foraminifers                      	F              	P                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	R                        	                             	R                            	                     	                         	                        	P                      	                        	                      	                          	                    	               	                               	       

  IR	                 	Early Paleocene  	                  	P1c           	171	1050	C	  7	R	 4	  66.00	    380.3600	Bellier  	Planktonic Foraminifers                      	F              	M                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	P                        	                             	F                            	F                    	F                        	F                       	R                      	                        	                      	                          	                    	               	                               	       

  IR	                 	Early Paleocene  	                  	P1c           	171	1050	C	  8	R	CC	   9.00	    389.6800	Bellier  	Planktonic Foraminifers                      	R              	P                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	R                        	                             	R                            	P                    	R                        	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Early Paleocene  	                  	P1b           	171	1050	C	  9	R	CC	   4.00	    401.3700	Bellier  	Planktonic Foraminifers                      	R              	P                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	P                        	R                            	R                            	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Early Paleocene  	                  	P1a           	171	1050	C	 10	R	 1	   0.00	    404.1000	Bellier  	Planktonic Foraminifers                      	A              	VG                	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	F                                 	P                        	                                   	                             	R                           	P                       	P                 	A                    	F                          	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	>38 micron sieve

  IR	                 	Early Paleocene  	                  	Pa            	171	1050	C	 10	R	 2	  32.00	    405.9200	Bellier  	Planktonic Foraminifers                      	C              	VG                	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	P                    	                             	                         	                        	                       	P                 	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	R                       	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	P                       	                        	                         	A                              	R                                 	P                        	P                                  	R                            	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	>38 micron sieve; radiolarians present

  IR	                 	Maestrichtian    	                  	A. mayaroensis	171	1050	C	 11	R	CC	  11.00	    412.9600	Bellier  	Planktonic Foraminifers                      	C              	M                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	F                            	                         	                        	                       	R                 	                             	                         	                         	                            	                             	                           	                           	P                         	                     	F                          	                        	R                      	                             	F                       	                         	P                      	R                      	                         	P                	R                     	R                        	P                           	R                    	                        	P                       	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Maestrichtian    	                  	A. mayaroensis	171	1050	C	 12	R	 1	  18.00	    413.8800	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	F                            	                         	                        	                       	R                 	                             	                         	                         	                            	                             	                           	                           	P                         	                     	F                          	                        	R                      	                             	F                       	                         	P                      	R                      	                         	P                	R                     	R                        	P                           	R                    	P                       	P                       	P                        	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Maestrichtian    	                  	A. mayaroensis	171	1050	C	 13	R	CC	  21.00	    433.2000	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	F                          	                        	                       	                             	R                       	R                        	R                      	R                      	P                        	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Maestrichtian    	                  	R. fructicosa 	171	1050	C	 15	R	CC	  22.00	    452.5200	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	F                            	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	R                          	                        	F                      	R                            	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Maestrichtian    	                  	R. fructicosa 	171	1050	C	 16	R	 3	 109.00	    456.2900	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	R                            	                         	                        	                       	                  	                             	R                        	R                        	                            	                             	                           	                           	                          	                     	R                          	A                       	R                      	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	Inoceramus prisms present

  IR	Campanian        	Maestrichtian    	G. falsostuarti   	G. gansseri   	171	1050	C	 17	R	CC	  19.00	    470.7000	Bellier  	Planktonic Foraminifers                      	A              	M                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	R                    	F                            	                         	R                       	                       	F                 	R                            	F                        	                         	                            	                             	                           	                           	R                         	F                    	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	Campanian        	Maestrichtian    	G. falsostuarti   	G. gansseri   	171	1050	C	 18	R	CC	   0.00	    478.8600	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	F                    	R                            	                         	R                       	R                      	A                 	                             	F                        	R                        	R                           	P                            	R                          	R                          	R                         	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Campanian        	G. ventricosa     	R. calcarata  	171	1050	C	 19	R	CC	  15.00	    484.5600	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	R                    	R                            	R                        	R                       	F                      	F                 	R                            	F                        	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Turonian         	                  	H. helvetica  	171	1050	C	 20	R	 5	  41.00	    496.9600	Bellier  	Planktonic Foraminifers                      	C              	M                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	F                         	F                      	                   	                   	                  	                   	                    	R                    	                  	                                  	R                             	F                    	                     	P                        	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Turonian         	                  	H. helvetica  	171	1050	C	 21	R	 1	   0.00	    500.2000	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	                         	                    	                   	                          	F                      	R                  	                   	                  	                   	R                   	F                    	F                 	R                                 	R                             	F                    	P                    	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. cushmani   	171	1050	C	 21	R	 1	 110.00	    501.3000	Bellier  	Planktonic Foraminifers                      	C              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	F                            	                  	                      	                     	F                        	                    	F                  	R                         	P                      	                   	                   	P                 	R                  	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. cushmani   	171	1050	C	 21	R	 7	   0.00	    508.3000	Bellier  	Planktonic Foraminifers                      	C              	M                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	                             	                  	                      	                     	R                        	                    	                   	R                         	R                      	                   	                   	                  	R                  	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. cushmani   	171	1050	C	 21	R	CC	   0.00	    509.8300	Bellier  	Planktonic Foraminifers                      	A              	                  	                 	                        	                   	                     	                        	                   	                       	                       	                     	R                            	                  	R                     	                     	F                        	                    	R                  	F                         	R                      	                   	                   	P                 	R                  	R                   	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. cushmani   	171	1050	C	 21	R	CC	  30.00	    510.1300	Bellier  	Planktonic Foraminifers                      	C              	M                 	                 	                        	                   	                     	                        	                   	P                      	                       	                     	                             	                  	R                     	                     	F                        	                    	R                  	R                         	R                      	                   	R                  	                  	F                  	R                   	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. cushmani   	171	1050	C	 22	R	 1	  50.00	    510.3000	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	                       	                       	                     	R                            	                  	R                     	                     	R                        	                    	F                  	A                         	A                      	R                  	R                  	R                 	F                  	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. greenhornensis	171	1050	C	 23	R	CC	  18.00	    529.2500	Bellier  	Planktonic Foraminifers                      	C              	                  	                 	                        	                   	                     	                        	                   	P                      	                       	                     	F                            	                  	R                     	                     	F                        	P                   	F                  	F                         	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. greenhornensis	171	1050	C	 24	R	 3	  69.00	    532.1500	Bellier  	Planktonic Foraminifers                      	A              	                  	                 	                        	                   	                     	                        	R                  	R                      	                       	                     	R                            	                  	R                     	                     	F                        	P                   	F                  	R                         	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. greenhornensis	171	1050	C	 25	R	CC	  21.00	    544.0800	Bellier  	Planktonic Foraminifers                      	C              	G                 	                 	                        	                   	                     	                        	                   	R                      	                       	                     	R                            	                  	P                     	                     	F                        	P                   	F                  	F                         	R                      	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Cenomanian       	                  	R. greenhornensis	171	1050	C	 26	R	CC	  12.00	    555.6000	Bellier  	Planktonic Foraminifers                      	A              	G                 	                 	                        	                   	                     	                        	                   	R                      	                       	                     	R                            	                  	P                     	F                    	F                        	P                   	F                  	R                         	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	       

  IR	                 	Albian           	                  	R. appenninica	171	1050	C	 27	R	CC	  23.00	    567.6500	Bellier  	Planktonic Foraminifers                      	A              	VG                	R                	                        	                   	F                    	                        	R                  	                       	F                      	R                    	                             	F                 	F                     	R                    	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	High diversity of well-preserved hedbergellids

  IR	                 	Albian           	                  	R. ticinensis 	171	1050	C	 28	R	CC	  15.00	    577.3600	Bellier  	Planktonic Foraminifers                      	A              	G                 	R                	F                       	P                  	F                    	F                       	R                  	                       	F                      	R                    	R                            	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	High diversity of well-preserved hedbergellids; same preservation as 1052E-42R-CC

  IR	                 	Albian           	                  	R. ticinensis 	171	1050	C	 29	R	CC	   6.00	    586.6900	Bellier  	Planktonic Foraminifers                      	A              	G                 	F                	                        	                   	F                    	F                       	R                  	F                      	R                      	F                    	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	High diversity of well-preserved hedbergellids; same preservation as 1052E-42R-CC

  IR	                 	Albian           	                  	R. ticinensis 	171	1050	C	 30	R	CC	  20.00	    595.8100	Bellier  	Planktonic Foraminifers                      	A              	VG                	R                	R                       	P                  	F                    	F                       	P                  	F                      	R                      	P                    	                             	                  	                      	                     	                         	                    	                   	                          	                       	                   	                   	                  	                   	                    	                     	                  	                                  	                              	                     	                     	                         	                     	                             	                         	                        	                       	                  	                             	                         	                         	                            	                             	                           	                           	                          	                     	                           	                        	                       	                             	                        	                         	                       	                       	                         	                 	                      	                         	                            	                     	                        	                        	                         	                               	                                  	                         	                                   	                             	                            	                        	                  	                     	                           	                         	                             	                             	                     	                         	                        	                       	                        	                      	                          	                    	               	                               	High diversity of well-preserved hedbergellids

