Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Heterohelix planata	Heterohelix globulosa	Hedbergella monmouthensis	Globigerinelloides multispinus	Archaeoglobigerina australis	Hedbergella sliteri	Heterohelix dentata	Globotruncanella? sp.	Archaeoglobigerina mateola	Abathomphalus mayaroensis	Rugotruncana circumnodifer	Rugoglobigerina rugosa	Globigerinelloides subcarinatus	Globigerinelloides impensus	Zeauvigerina teuria	Pseudotextularia elegans	Hedbergella sp.	Guembelitria cretacea	Gublerina robusta	Globotruncanella petaloidea	Globotruncanella citae	Abathomphalus intermedius	Chiloguembelina sp.	Schackoina multispinata	Eoglobigerina fringa	Eoglobigerina eobulloides	Chiloguembelina crinita	Eoglobigerina? sp.	Bifarina alabamensis	Chiloguembelina waiparensis	Globoconusa daubjergensis	Eoglobigerina simplicissima	Subbotina pseudobulloides	Subbotina trivialis	Subbotina triloculinoides	Chiloguembelina morsei	Planorotalites compressus	Eoglobigerina quadrilocula	Morozovella inconstans	Subbotina triangularis	Guembelitrioides sp.	Planorotalites cf. P. appressus	Subbotina varianta	Planorotalites imitatus	Chiloguembelina wilcoxensis	Igorina spiralis	Acarinina? sp.	Acarinina praeangulata	Acarinina mckannai	Acarinina esnaensis	Acarinina praepentacamerata	Acarinina praecursoria	Acarinina apanthesma	Acarinina soldadoensis	Acarinina acarinata	Acarinina chascanona	Planorotalites reissi	Igorina pusilla	Acarinina cf. A. mckannai	Planorotalites planoconicus	Subbotina velascoensis	Planorotalites australiformis	Acarinina pseudotopilensis	Acarinina intermedia	Planorotalites chapmani	Acarinina triplex	Pseudohastigerina wilcoxensis	Morozovella subbotinae	Morozovella gracilis	Subbotina cf. S. hornibrooki	Planorotalites sp. 2	Acarinina wilcoxensis	Acarinina strabocella	Acarinina coalingensis	Acarinina nitida	Subbotina patagonica	Muricoglobigerina senni	Acarinina pentacamerata	Subbotina hardingae	Acarinina interposita	Subbotina pseudoeocaena	Acarinina primitiva	Acarinina broedermanni	Acarinina cuneicamerata	Cassigerinelloita amekiensis	Acarinina cf. A. collactea	Comment

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  4	R	 1	  90.00	    216.8000	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	R                     	                   	                    	R                    	               	                         	                           	C                     	C                            	                          	                    	F                      	                 	                             	                      	                    	F                           	                    	F                    	                     	                      	                	A                   	                       	F                      	                   	                     	                       	F                  	R                     	C                      	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  4	R	 2	  85.00	    218.2500	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	F                     	                   	                    	F                    	               	                         	                           	                      	F                            	                          	F                   	R                      	                 	                             	                      	                    	F                           	                    	A                    	                     	                      	                	                    	                       	C                      	F                  	                     	C                      	F                  	                      	R                      	R                           	F                         	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  4	R	 3	  90.00	    219.8000	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	R                      	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	F                     	                   	                    	                     	               	                         	                           	A                     	F                            	                          	F                   	R                      	                 	                             	                      	                    	R                           	                    	C                    	                     	                      	                	A                   	                       	F                      	                   	                     	                       	F                  	                      	R                      	R                           	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Middle Eocene    	                 	AP7               	              	119	 738	C	  4	R	CC	   0.00	    219.9800	Huber    	Planktonic Foraminifers                      	C              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	R                      	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	                    	                     	               	                         	                           	F                     	F                            	                          	                    	R                      	                 	                             	                      	                    	                            	                    	C                    	                     	                      	                	C                   	                       	F                      	F                  	                     	C                      	R                  	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP7               	              	119	 738	C	  5	R	 2	  73.00	    227.8300	Huber    	Planktonic Foraminifers                      	C              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	R                      	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	                    	                     	               	                         	                           	A                     	F                            	                          	                    	R                      	                 	                             	                      	                    	F                           	                    	C                    	                     	                      	                	                    	                       	R                      	R                  	                     	F                      	F                  	                      	                       	R                           	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP7               	              	119	 738	C	  5	R	CC	   0.00	    227.8800	Huber    	Planktonic Foraminifers                      	F              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	R                     	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	                    	                     	               	                         	                           	C                     	C                            	                          	                    	F                      	                 	                             	                      	                    	                            	                    	F                    	                     	                      	                	                    	                       	C                      	F                  	                     	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP7               	              	119	 738	C	  6	R	 1	  84.00	    236.0400	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	R                      	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	R                     	                   	R                   	F                    	               	                         	                           	A                     	C                            	                          	                    	R                      	                 	                             	                      	                    	R                           	                    	F                    	                     	                      	                	                    	F                      	R                      	F                  	                     	F                      	C                  	                      	R                      	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP7               	              	119	 738	C	  6	R	CC	   0.00	    236.3500	Huber    	Planktonic Foraminifers                      	C              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	R                     	                         	                          	                      	                      	                    	                               	                  	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	R                   	F                    	               	                         	                           	C                     	C                            	                          	                    	F                      	                 	                             	                      	                    	                            	                    	C                    	                     	                      	                	                    	F                      	                       	R                  	                     	C                      	R                  	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP7               	              	119	 738	C	  7	R	 1	  88.00	    245.6800	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	R                     	                         	                          	                      	                      	                    	                               	C                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	F                     	                   	R                   	F                    	               	                         	                           	R                     	F                            	                          	C                   	R                      	R                	R                            	                      	                    	F                           	                    	F                    	                     	                      	R               	                    	R                      	F                      	                   	F                    	R                      	R                  	F                     	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP6b              	              	119	 738	C	  7	R	 3	  23.00	    248.0300	Huber    	Planktonic Foraminifers                      	A              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	A                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	R                     	                   	R                   	                     	               	                         	                           	R                     	F                            	                          	                    	F                      	                 	                             	                      	                    	R                           	                    	F                    	R                    	C                     	                	                    	F                      	F                      	F                  	F                    	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP6b              	              	119	 738	C	  7	R	CC	  11.00	    248.4000	Huber    	Planktonic Foraminifers                      	A              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	C                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	R                     	                   	F                   	                     	               	                         	F                          	R                     	C                            	                          	                    	                       	                 	R                            	                      	                    	F                           	                    	C                    	                     	                      	R               	                    	                       	                       	                   	                     	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP6b              	              	119	 738	C	  8	R	 1	  90.00	    255.3000	Huber    	Planktonic Foraminifers                      	A              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	F                 	                       	                           	                	              	                      	                  	                   	                           	                      	                    	C                     	                   	F                   	R                    	               	                         	F                          	R                     	                             	R                         	F                   	F                      	F                	R                            	                      	                    	F                           	                    	C                    	                     	                      	                	C                   	                       	R                      	                   	                     	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP6a              	              	119	 738	C	  8	R	CC	   0.00	    255.7300	Huber    	Planktonic Foraminifers                      	F              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	                  	                       	                           	                	              	                      	                  	                   	                           	                      	                    	                      	                   	F                   	F                    	               	                         	C                          	R                     	                             	                          	                    	F                      	                 	F                            	                      	                    	F                           	                    	F                    	                     	R                     	                	C                   	                       	                       	                   	                     	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP6a              	              	119	 738	C	  9	R	 1	  25.00	    264.3500	Huber    	Planktonic Foraminifers                      	A              	G                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	R                      	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	C                 	                       	R                          	                	              	                      	                  	                   	                           	                      	                    	F                     	                   	R                   	?                    	               	                         	C                          	C                     	R                            	F                         	C                   	F                      	                 	                             	R                     	                    	                            	A                   	C                    	                     	R                     	C               	                    	                       	                       	                   	                     	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.

  SR	Early Eocene     	                 	AP6a              	              	119	 738	C	  9	R	CC	   0.00	    264.9700	Huber    	Planktonic Foraminifers                      	R              	M                 	                   	                     	                         	                              	                            	                   	                   	                     	                          	                         	                          	                      	                               	                           	                   	                        	               	                     	                 	                           	                      	                         	                   	                       	                    	                         	                       	                  	                    	                           	                         	                           	                         	                   	                         	                      	                         	                          	                      	                      	                    	                               	                  	                       	                           	                	              	                      	                  	                   	                           	                      	                    	C                     	                   	                    	F                    	               	                         	F                          	F                     	C                            	                          	                    	F                      	                 	                             	                      	                    	                            	R                   	F                    	                     	R                     	                	C                   	F                      	                       	                   	                     	                       	                   	                      	                       	                            	                          	from 119 SR.Chapter 24.Table 2.page 430.
