Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus heteromorphus	Helicosphaera carteri	Coccolithus miopelagicus	Cyclicargolithus floridanus	Reticulofenestra pseudoumbilicus	Sphenolithus spp.	Discoaster kugleri	Discoaster bollii	Discoaster hamatus	Catinaster calyculus	Discoaster bellus	Reticulofenestra spp.	Minylitha convallis	Discoaster triradiatus	Discoaster brouweri	Discoaster quinqueramus/berggrenii	Amaurolithus spp.	Triquetrorhabdulus rugosus	Discoaster pentaradiatus	Discoaster tamalis	Discoaster surculus	Coccolithus pelagicus	Calcidiscus leptoporus	Amaurolithus delicatus/tricorniculatus	Pseudoemiliania lacunosa	Calcidiscus macintyrei (>11 um)	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Gephyrocapsa (small)	Comment
  IR	                 	                 	                  	              	167	1010	C	  8	H	CC	  23.00	     72.3200	Fornaciari	Nannofossils                                 	F              	P                 	                          	                     	                        	                           	C                               	                 	                  	                 	                  	                    	                 	C                    	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN9               	              	167	1010	C	  9	H	 2	  82.00	     74.3200	Fornaciari	Nannofossils                                 	C              	M                 	                          	                     	                        	                           	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	R                	R                         	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN9               	              	167	1010	C	  9	H	 3	   6.00	     75.0600	Fornaciari	Nannofossils                                 	A              	M                 	                          	                     	                        	                           	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	RR                                	C                	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN9               	              	167	1010	C	  9	H	 4	  59.00	     77.0900	Fornaciari	Nannofossils                                 	C              	M                 	                          	                     	                        	                           	                                	                 	                  	                 	                  	                    	+                	                     	                   	                      	C                  	R                                 	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	                  	              	167	1010	C	 10	H	 6	  50.00	     89.5000	Fornaciari	Nannofossils                                 	A              	G                 	                          	                     	                        	                           	C                               	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN8               	CN9a          	167	1010	C	 10	H	CC	  19.00	     91.2800	Fornaciari	Nannofossils                                 	R              	G                 	                          	                     	                        	                           	F                               	                 	                  	                 	                  	                    	                 	R/F                  	R                  	RR                    	C                  	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN7               	              	167	1010	C	 12	H	CC	  17.00	    110.2900	Fornaciari	Nannofossils                                 	A              	G                 	                          	                     	                        	                           	                                	                 	                  	F                	R                 	F                   	F                	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN7               	              	167	1010	C	 13	H	CC	  15.00	    119.5300	Fornaciari	Nannofossils                                 	C              	M                 	                          	                     	                        	                           	C                               	                 	                  	                 	RR                	+                   	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5               	CN6           	167	1010	C	 14	H	CC	  11.00	    129.2900	Fornaciari	Nannofossils                                 	F              	P                 	                          	                     	                        	                           	C                               	                 	                  	F/C              	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5b              	CN6           	167	1010	C	 15	H	CC	  24.00	    139.0300	Fornaciari	Nannofossils                                 	C              	P                 	                          	RR                   	                        	                           	C                               	F/C              	RR                	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5               	              	167	1010	C	 16	H	CC	  12.00	    148.2900	Fornaciari	Nannofossils                                 	C/A            	M                 	                          	                     	+                       	F/C                        	C                               	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	C	 17	H	CC	  19.00	    157.8700	Fornaciari	Nannofossils                                 	A              	G                 	                          	R                    	F/C                     	C                          	C                               	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	questionable zonal assignment. from IR. Ch.4 Table 3.

  IR	                 	                 	CN5               	              	167	1010	C	 18	X	CC	  26.00	    166.8900	Fornaciari	Nannofossils                                 	A              	M                 	                          	                     	                        	F/C                        	C                               	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	C	 19	X	CC	  23.00	    174.8500	Fornaciari	Nannofossils                                 	A              	G                 	                          	                     	C                       	C                          	R/F                             	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	C	 20	X	CC	  28.00	    180.9100	Fornaciari	Nannofossils                                 	A              	G                 	                          	F                    	C                       	A                          	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN5a              	              	167	1010	C	 21	X	 1	   2.00	    184.6200	Fornaciari	Nannofossils                                 	A              	G                 	                          	                     	                        	A                          	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN4               	              	167	1010	C	 21	X	 1	  16.00	    184.7600	Fornaciari	Nannofossils                                 	A              	G                 	F                         	                     	                        	A                          	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN4               	              	167	1010	C	 21	X	 1	  26.00	    184.8600	Fornaciari	Nannofossils                                 	A              	G                 	C                         	                     	                        	A                          	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN4               	              	167	1010	C	 21	X	 1	  31.00	    184.9100	Fornaciari	Nannofossils                                 	A              	G                 	C                         	                     	                        	A                          	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

  IR	                 	                 	CN4               	              	167	1010	C	 22	X	 1	   0.00	    194.2000	Fornaciari	Nannofossils                                 	F/C            	M                 	R                         	C                    	C                       	                           	                                	                 	                  	                 	                  	                    	                 	                     	                   	                      	                   	                                  	                 	                          	                        	                  	                   	                     	                      	                                      	                        	                               	                          	                  	                    	from IR. Ch.4 Table 3.

