Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Biscutum constans,Watznaueria barnesae,Parhabdolithus embergeri,Manivitella pemmatoidea,Eiffellithus turriseiffelii,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Rucinolithus terebrodentarius,Rucinolithus irregularis,Prediscosphaera sp.,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus (small taxa),Discorhabdus rotatorius,Cyclagelosphaera margerelii,Cruciellipsis chiastia,Cribrosphaerella ehrenbergii,Cretarhabdus surirellus,Cretarhabdus spp.,Chiastozygus litterarius,Axopodorhabdus albianus,Watznaueria supracretacea,Vekshinella sp.,Prediscosphaera columnata,Parhabdolithus pseudoangustus,Diazomatolithus lehmanii,Biscutum blackii,Tegumentum stradneri,Prediscosphaera cretacea,Cretarhabdus striatus,Zygodiscus (small taxa),Tranolithus orionatus,Markalius circumradiatus,Lithraphidites alatus,Cretarhabdus conicus,Watznaueria britannica,Tranolithus gabalus,Stoverius achylosus,Eiffellithus sp.,Prediscosphaera spinosa,Parhabdolithus swinnertonii,Cretarhabdus angustiforatus,Reinhardtites fenestratus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 16,R, 1,   6.00,    145.6600,Covington,Nannofossils                                 ,A              ,M                 ,F                ,A                   ,R                       ,                       ,F                          ,                   ,F                 ,R                 ,R                      ,                     ,                ,                             ,                        ,                   ,                    ,                       ,F                            ,               ,                           ,R                    ,                    ,                         ,R                      ,                           ,R                     ,R                           ,C                      ,                 ,F                       ,R                      ,                         ,               ,R                        ,                             ,                        ,F               ,R                   ,                        ,                     ,                       ,                     ,                        ,                     ,R                   ,                      ,                   ,R                  ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 16,R, 1,   7.00,    145.6700,Covington,Nannofossils                                 ,F              ,P                 ,R                ,C                   ,                        ,R                      ,R                          ,                   ,                  ,R                 ,R                      ,                     ,                ,                             ,                        ,                   ,                    ,R                      ,                             ,               ,                           ,                     ,                    ,R                        ,                       ,                           ,                      ,                            ,C                      ,                 ,                        ,                       ,R                        ,               ,R                        ,                             ,                        ,                ,                    ,R                       ,                     ,R                      ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,R                          ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 16,R, 1,  20.00,    145.8000,Erba     ,Nannofossils                                 ,               ,                  ,24.7%            ,18.4%               ,.0%                     ,1.3%                   ,3.2%                       ,.0%                ,29.3%             ,.3%               ,2.1%                   ,.0%                  ,.3%             ,.0%                          ,.0%                     ,4.0%               ,.3%                 ,.0%                    ,1.9%                         ,.0%            ,.3%                        ,.0%                  ,.3%                 ,4.9%                     ,1.6%                   ,.0%                        ,.3%                   ,.5%                         ,C                      ,6.2%             ,.0%                     ,R                      ,                         ,               ,F                        ,                             ,                        ,R               ,R                   ,                        ,                     ,                       ,R                    ,                        ,R                    ,                    ,                      ,                   ,                   ,                ,R                      ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 9 Table 2 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 16,R, 1,  98.00,    146.5800,Covington,Nannofossils                                 ,A              ,M                 ,F                ,A                   ,R                       ,F                      ,C                          ,                   ,R                 ,R                 ,R                      ,                     ,                ,R                            ,                        ,                   ,                    ,                       ,F                            ,               ,                           ,R                    ,R                   ,F                        ,F                      ,R                          ,R                     ,R                           ,F                      ,                 ,R                       ,                       ,                         ,               ,F                        ,                             ,R                       ,R               ,R                   ,                        ,                     ,                       ,R                    ,                        ,                     ,                    ,                      ,                   ,                   ,                ,R                      ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 16,R, 1,  99.00,    146.5900,Covington,Nannofossils                                 ,F              ,P                 ,F                ,C                   ,R                       ,R                      ,F                          ,                   ,                  ,                  ,                       ,                     ,                ,                             ,                        ,                   ,                    ,R                      ,                             ,               ,                           ,                     ,                    ,                         ,                       ,                           ,                      ,R                           ,C                      ,                 ,                        ,                       ,R                        ,               ,R                        ,R                            ,                        ,                ,                    ,R                       ,                     ,                       ,R                    ,                        ,                     ,R                   ,                      ,                   ,                   ,R               ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 16,R,CC,   7.00,    147.1700,Covington,Nannofossils                                 ,R              ,P                 ,                 ,F                   ,                        ,                       ,                           ,                   ,                  ,                  ,                       ,                     ,                ,                             ,                        ,                   ,                    ,                       ,                             ,               ,                           ,                     ,                    ,                         ,                       ,                           ,                      ,                            ,                       ,                 ,                        ,                       ,                         ,               ,                         ,                             ,                        ,                ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 17,R, 1,   0.00,    155.2000,Covington,Nannofossils                                 ,C/A            ,P                 ,F                ,A                   ,                        ,R                      ,F                          ,R                  ,                  ,                  ,                       ,                     ,                ,                             ,                        ,                   ,R                   ,R                      ,R                            ,               ,                           ,R                    ,R                   ,F                        ,F                      ,R                          ,R                     ,                            ,C                      ,                 ,                        ,                       ,R                        ,               ,F                        ,R                            ,R                       ,                ,R                   ,                        ,                     ,F                      ,F                    ,                        ,                     ,                    ,R                     ,R                  ,R                  ,R               ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 17,R, 1,   2.00,    155.2200,Covington,Nannofossils                                 ,               ,                  ,23.6%            ,17.5%               ,.0%                     ,1.0%                   ,2.2%                       ,.8%                ,30.0%             ,2.8%              ,1.0%                   ,.0%                  ,.0%             ,.0%                          ,.0%                     ,2.8%               ,.8%                 ,2.2%                   ,1.9%                         ,.0%            ,.0%                        ,.0%                  ,.0%                 ,3.0%                     ,1.5%                   ,.0%                        ,.3%                   ,.0%                         ,C                      ,8.0%             ,.0%                     ,R                      ,                         ,               ,F                        ,                             ,                        ,                ,R                   ,                        ,                     ,R                      ,R                    ,R                       ,R                    ,R                   ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 9 Table 2 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 17,R, 1,  44.00,    155.6400,Covington,Nannofossils                                 ,A              ,P                 ,F                ,A                   ,                        ,R                      ,R                          ,                   ,                  ,R                 ,R                      ,                     ,                ,                             ,R                       ,                   ,                    ,R                      ,                             ,               ,                           ,R                    ,                    ,R                        ,                       ,                           ,R                     ,                            ,F                      ,                 ,                        ,                       ,                         ,               ,R                        ,                             ,                        ,                ,R                   ,R                       ,R                    ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 18,R, 1,  46.00,    165.4600,Covington,Nannofossils                                 ,RR             ,P                 ,                 ,R                   ,                        ,                       ,R                          ,                   ,                  ,                  ,                       ,                     ,                ,                             ,                        ,                   ,                    ,                       ,                             ,               ,                           ,                     ,                    ,                         ,                       ,                           ,                      ,                            ,R                      ,                 ,                        ,                       ,                         ,               ,                         ,                             ,                        ,                ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 19,R, 1,  32.00,    175.0200,Covington,Nannofossils                                 ,F/C            ,P                 ,F                ,C                   ,                        ,F                      ,C                          ,                   ,                  ,R                 ,                       ,                     ,                ,R                            ,R                       ,                   ,R                   ,R                      ,                             ,               ,                           ,                     ,R                   ,F                        ,R                      ,                           ,                      ,R                           ,C                      ,                 ,                        ,                       ,R                        ,R              ,R                        ,R                            ,R                       ,R               ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 19,R, 1,  43.00,    175.1300,Covington,Nannofossils                                 ,               ,                  ,25.7%            ,26.0%               ,.0%                     ,1.8%                   ,2.6%                       ,.3%                ,14.2%             ,.5%               ,2.9%                   ,.0%                  ,.0%             ,.0%                          ,.0%                     ,2.0%               ,.8%                 ,1.0%                   ,.0%                          ,.0%            ,.3%                        ,.0%                  ,.5%                 ,1.8%                     ,8.7%                   ,.0%                        ,.0%                   ,.0%                         ,R                      ,9.5%             ,1.0%                    ,R                      ,                         ,               ,                         ,                             ,                        ,                ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 9 Table 2 p 192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,Cenomanian       ,CC9               ,              ,129, 801,A, 19,R,CC,  17.00,    175.9300,Covington,Nannofossils                                 ,F/C            ,P                 ,                 ,A                   ,R                       ,F                      ,F                          ,                   ,                  ,                  ,                       ,                     ,                ,                             ,                        ,                   ,                    ,                       ,                             ,               ,                           ,                     ,                    ,                         ,                       ,                           ,                      ,                            ,                       ,                 ,                        ,                       ,                         ,               ,                         ,                             ,                        ,                ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Albian           ,                 ,CC8               ,              ,129, 801,A, 20,R,CC,   0.00,    184.8400,Covington,Nannofossils                                 ,RR             ,                  ,R                ,                    ,                        ,                       ,                           ,                   ,                  ,                  ,                       ,                     ,                ,                             ,                        ,                   ,                    ,                       ,                             ,               ,                           ,                     ,                    ,                         ,                       ,                           ,                      ,                            ,                       ,                 ,                        ,                       ,                         ,               ,                         ,                             ,                        ,                ,                    ,                        ,                     ,                       ,                     ,                        ,                     ,                    ,                      ,                   ,                   ,                ,                       ,                           ,                           ,                         ,from ODP Leg 129 SR Chapter 8 Table 3 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
