file,top,bottom,top depth,bottom depth,depth,interval,7,8,9,,
LIMS/Micropal_CSV_4/323_U1339B_diatoms.csv,Top [cm],Bottom [cm],depth CSF-A,,,"Core, Section, Interval",,,,,
LIMS/Micropal_CSV_4/323_U1340B_benthic_forams.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344A_diatoms.csv,Top [cm],Bottom [cm],depth Top CSF-A (m),depth Bottom CSF-A (m),,interval (cm),,,,,
LIMS/Micropal_CSV_4/323_U1342_ebridians.csv,,,depth CSF-A Top (m),depth CSF-A Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1345AB_planktic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1343A_diatoms.csv,Top [cm],Bottom [cm],depth Top CSF-A (m),depth Bottom CSF-A (m),,"Core, section, interval",,,,,
LIMS/Micropal_CSV_4/323_U1340A_benthic_forams.csv,top (cm),bottom (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1340A_dinoflagellates.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1341B_ebridians.csv,,,depth Top (m),depth Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1333_planktic_forams.csv,Top [cm],Bottom [cm],Depth CSF (m),,,interval (cm),,,,,
LIMS/Micropal_CSV_4/323_U1345_palynology.csv,Top interval (cm),Bottom interval (cm),Top Depth (m) CSF-A,Bottom Depth (m) CSF-A,,,,,,,
LIMS/Micropal_CSV_4/323_U1341_dinoflagellates.csv,,,Top Depth CSF-A (m),Bottom Depth CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1341A_benthic_forams.csv,top interval (cm),bottom interval (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1342_dinoflagellates.csv,,,Top Depth CSF-A (m),Bottom Depth CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1332_benthic_forams.csv,Top [cm],Bottom [cm],Depth CSF-A (m),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/317_U1351_benthic_forams.csv,,,Top depth CSF (m),Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1342_palynology.csv,,,Top Depth CSF-A (m),Bottom Depth CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1343_dinoflagellates.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1334C_106_T09_planktic forams.csv,,,Depth CSF (m),,,,,,,,
LIMS/Micropal_CSV_4/323_U1345D_diatoms.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1337A_109_T06_rads.csv,,,top depth,bottom depth,,,,,,,
LIMS/Micropal_CSV_4/323_U1342D_diatoms.csv,,,depth Top (m CSF-A),depth Bottom (m CSF-A),,,,,,,
LIMS/Micropal_CSV_4/317_U1354_nannofossils.csv,Top [cm],Bottom [cm],Top depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1339A_nannofossils.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1339_silicoflagellates.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1341A_diatoms.csv,,,Top (m CSF-A),Bottom (m CSF-A),,,,,,,
LIMS/Micropal_CSV_4/372_U1517C_nannofossils.csv,,,Top depth CSF-B (m),Bottom depth CSF-B (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1341B_silicoflagellates.csv,,,depth Top (m),depth Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1345_radiolarians.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1345C_diatoms.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1342C_diatoms.csv,,,depth Top (m CSF-A),depth Bottom (m CSF-A),,,,,,,
LIMS/Micropal_CSV_4/318_U1361A_nannofossils.csv,Interval Top (cm) on SHLF,Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),,,Depth Method,Original Top Depth (m),Original Bottom Depth (m),Top Offset (cm) on Parent Sample,Bottom Offset (cm) on Parent Sample
LIMS/Micropal_CSV_4/323_U1345C_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1339A_benthic_forams.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1339_dinoflagellates.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/317_U1351_diatoms.csv,Top [cm],Bottom [cm],Top Depth [CFS m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/317_U1353_nannofossils.csv,Top [cm],Bottom [cm],Top depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/320_U1333_benthic_forams.csv,Top [cm],Bottom [cm],Depth (csf),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/323_U1343AB_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/317_U1354_diatoms.csv,,,Top Depth [CFS m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1343C_diatoms.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/317_U1353_benthic_forams.csv,,,Top Depth [CFS m],,,,,,,,
LIMS/Micropal_CSV_4/321-U1337C_109_T08_rads.csv,,,top depth,bottom depth,,,,,,,
LIMS/Micropal_CSV_4/323_U1343_silicoflagellates.csv,,,depth Top CSF-A (m),depth Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1339B_benthic_forams.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1342_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1341A_ostracods.csv,top interval (cm),bottom interval (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1340A_diatoms.csv,,,depth CSF-A Top (m),depth CSF-A Bottom (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1340A_palynology.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/320_U1334A_106_T06_planktic forams.csv,,,Depth CSF (m),,,,,,,,
LIMS/Micropal_CSV_4/323_U1340C_benthic_forams.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1341C_benthic_forams.csv,top interval (cm),bottom interval (cm),Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344_Radiolarians.csv,,,Depth top CSF-A (m),Depth bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1343CD_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1345E_diatoms.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1343E_ostracods.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344A_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/320_U1336A_planktic_forams.csv,Top [cm],Bottom [cm],Depth CSF (m),,,interval (cm),,,,,
LIMS/Micropal_CSV_4/317_U1352_nannofossils.csv,,,Top depth [CSF m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1339D_benthic_forams.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1343E_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1343_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1342A_ostracods.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344E_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/318_U1356A_nannofossils.csv,Interval Top (cm) on SHLF,Interval Bot (cm) on SHLF,Top Depth (m),Bottom Depth (m),,,mean depth (mbsf),,,,
LIMS/Micropal_CSV_4/323_U1339C_diatoms.csv,Top [cm],Bottom [cm],depth CSF-A (m),,,"Core, Section, Interval",,,,,
LIMS/Micropal_CSV_4/321_U1337A_nannofossils.csv,Top [cm],Bottom [cm],Depth CSF (m),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/320_U1335_benthic_forams.csv,Top [cm],Bottom [cm],Depth m (m csf),,,"Core, section, interval (cm)",,,,,
LIMS/Micropal_CSV_4/323_U1344E_diatoms.csv,,,Top CSF-A (m),Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/321_U1338_nannofossils.csv,,,Depth (m) CSF-A,,,,,,,,
LIMS/Micropal_CSV_4/317_U1352_diatoms.csv,,,Top Depth [CFS m],,,,,,,,
LIMS/Micropal_CSV_4/323_U1343E_diatoms.csv,,,depth Top CSF-A (m),depth Bottom CSF-A (m),,,,,,,
LIMS/Micropal_CSV_4/323_U1344E_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1345CD_planktic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1344BC_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1342_benthic_forams.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1339D_nannofossils.csv,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,,,,,,
LIMS/Micropal_CSV_4/323_U1345AB_nannofossils.csv,Interval (top),Interval (bottom),Top Depth [CFS m],Bottom Depth [CFS m],,,,,,,
LIMS/Micropal_CSV_4/323_U1341B_diatoms.csv,,,Top (m CSF-A),Bottom (m CSF-A),,,,,,,
LIMS/Micropal_CSV_4/372_U1517C_benthic_forams.csv,Top [cm],Bottom [cm],Top depth CSF-B (m):,Bottom depth CSF-B (m):,,,,,,,
