Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Vozzhennikovia spp.,Thalassiphora pelagica,Spiniferites ramosus,Pyxidinopsis waipawaensis,Phthanoperidinium spp.,Operculodinium sp. B,Operculodinium sp. A,Operculodinium centrocarpum,Octodinium askiniae,Lejeunecysta spp.,Enneadocysta partridgei,Enneadocysta harrisii,Deflandrea phosphoritica group,Cordosphaeridium fibrospinosum,Areosphaeridium diktyoplokus,Arachnodinium antarcticum,Alterbidinium spp.,Impagidinium sp. a,Tectatodinium pellitum,Selenopemphix nephroides,Achilleodinium biformoides,Wilsonidinium ornatum,Spinidinium macmurdoense,Odontochitina operculata,Impagidinium sp.,Elytrocysta spp.,Circulodinium distinctum,Wetzeliella spp. (pars.),Pyxidinopsis sp.,Cassiculosphaeridium sp.,Cordosphaeridium minimum,Pentadinium goniferum,Hystrichosphaeridium tubiferum,Cerebrocysta bartonensis,Impagidinium victorianum,Impagidinium dispertitum,Hystrichostrogylon spp.,Spiniferites membranaceus,Corrudinium sp.,Hemiplacophora semilunifera,Glaphyrocysta exuberans,Fibrocysta axialis,Alterbidinium distinctum,Dapsilidinium pseudocolligerum,Turbiosphaera filosa,Systematophora placacantha,Samlandia chlamydophora,Enneadocysta pectiniformis,Stoveracysta kakanuiensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 10,R,CC,  10.00,    506.4100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,2                  ,                      ,                    ,                         ,                      ,                    ,1                   ,                           ,7                  ,                 ,2                      ,                     ,2000                          ,                              ,                            ,                         ,1                 ,                  ,                      ,                        ,                          ,                     ,1                       ,                        ,                ,1               ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 11,R,CC,  16.00,    518.3100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,G                 ,8                  ,8                     ,1                   ,                         ,1                     ,                    ,3                   ,                           ,1                  ,2                ,32                     ,                     ,16                            ,1                             ,                            ,                         ,3                 ,                  ,3                     ,1                       ,                          ,                     ,                        ,                        ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,1              ,                           ,                       ,                  ,                        ,1                             ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 12,R,CC,  16.00,    524.5900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,8                  ,1                     ,10                  ,                         ,4                     ,6                   ,11                  ,2                          ,2                  ,1                ,120                    ,5                    ,62                            ,1                             ,1                           ,3                        ,3                 ,                  ,                      ,1                       ,                          ,                     ,                        ,                        ,2               ,1               ,1                       ,                        ,                ,2                       ,                        ,                     ,                              ,1                       ,                        ,                        ,                       ,2                        ,1              ,1                          ,2                      ,1                 ,2                       ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 13,R,CC,  16.00,    534.8300,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,76                 ,1                     ,18                  ,1                        ,                      ,                    ,10                  ,1                          ,1                  ,5                ,18                     ,                     ,51                            ,                              ,                            ,1                        ,15                ,1                 ,                      ,1                       ,                          ,                     ,9                       ,                        ,1               ,                ,                        ,                        ,2               ,2                       ,                        ,1                    ,2                             ,                        ,1                       ,1                       ,1                      ,2                        ,2              ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 14,R,CC,   0.00,    548.3600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,18                 ,12                    ,3                   ,                         ,                      ,                    ,5                   ,+                          ,                   ,                 ,19                     ,                     ,180                           ,                              ,                            ,1                        ,1                 ,                  ,1                     ,2                       ,                          ,                     ,2                       ,                        ,                ,                ,                        ,                        ,                ,                        ,+                       ,                     ,+                             ,                        ,2                       ,                        ,1                      ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 15,R,CC,   6.00,    558.4900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,37                 ,3                     ,12                  ,5                        ,                      ,1                   ,3                   ,7                          ,4                  ,                 ,21                     ,                     ,85                            ,                              ,                            ,1                        ,10                ,1                 ,                      ,                        ,                          ,                     ,10                      ,                        ,                ,                ,                        ,                        ,4               ,                        ,1                       ,                     ,1                             ,                        ,2                       ,1                       ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 16,R,CC,  20.00,    567.2900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,40                 ,25                    ,11                  ,1                        ,5                     ,1                   ,6                   ,1                          ,1                  ,3                ,39                     ,                     ,82                            ,                              ,1                           ,2                        ,                  ,1                 ,                      ,1                       ,                          ,                     ,1                       ,                        ,                ,                ,                        ,                        ,                ,                        ,1                       ,                     ,                              ,1                       ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 17,R,CC,  17.00,    577.7700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,3                  ,1                     ,2                   ,1                        ,2                     ,1                   ,4                   ,                           ,                   ,2                ,102                    ,3                    ,82                            ,                              ,1                           ,                         ,1                 ,                  ,                      ,1                       ,                          ,                     ,2                       ,                        ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,1                             ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 18,R,CC,   0.00,    585.1000,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,1                     ,1                   ,1                        ,                      ,1                   ,                    ,                           ,                   ,                 ,175                    ,5                    ,8                             ,                              ,1                           ,                         ,1                 ,1                 ,                      ,2                       ,                          ,                     ,                        ,                        ,1               ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 19,R,CC,  15.00,    596.9700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,9                  ,3                     ,2                   ,                         ,                      ,                    ,7                   ,                           ,2                  ,1                ,165                    ,4                    ,60                            ,                              ,1                           ,2                        ,4                 ,                  ,                      ,                        ,                          ,                     ,1                       ,                        ,                ,1               ,                        ,                        ,                ,                        ,                        ,                     ,1                             ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 20,R,CC,  12.00,    606.5500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,7                  ,1                     ,1                   ,                         ,                      ,1                   ,1                   ,                           ,                   ,                 ,150                    ,3                    ,42                            ,                              ,1                           ,                         ,                  ,1                 ,                      ,                        ,                          ,                     ,                        ,                        ,                ,1               ,                        ,                        ,                ,                        ,                        ,                     ,1                             ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 21,R,CC,   0.00,    615.1700,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,8                  ,1                     ,15                  ,1                        ,                      ,                    ,5                   ,2                          ,1                  ,                 ,30                     ,                     ,160                           ,                              ,                            ,1                        ,4                 ,1                 ,                      ,                        ,                          ,                     ,1                       ,                        ,                ,2               ,                        ,                        ,                ,                        ,                        ,1                    ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 22,R,CC,  18.00,    625.9200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,1                     ,15                  ,                         ,                      ,1                   ,1                   ,1                          ,2                  ,                 ,55                     ,1                    ,120                           ,                              ,                            ,1                        ,1                 ,1                 ,                      ,                        ,                          ,                     ,                        ,                        ,1               ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 23,R,CC,  10.00,    635.2200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,6                  ,2                     ,2                   ,                         ,                      ,                    ,1                   ,1                          ,1                  ,                 ,120                    ,4                    ,61                            ,1                             ,1                           ,2                        ,4                 ,                  ,                      ,                        ,                          ,                     ,2                       ,                        ,                ,1               ,                        ,                        ,                ,                        ,                        ,1                    ,1                             ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 24,R,CC,  11.00,    645.0200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,6                  ,40                    ,6                   ,1                        ,                      ,1                   ,                    ,1                          ,1                  ,1                ,65                     ,                     ,135                           ,                              ,                            ,12                       ,3                 ,1                 ,                      ,                        ,                          ,                     ,                        ,                        ,                ,2               ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 25,R,CC,  15.00,    654.6600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,8                  ,1                     ,1                   ,                         ,                      ,10                  ,2                   ,1                          ,1                  ,                 ,150                    ,5                    ,55                            ,                              ,1                           ,2                        ,1                 ,4                 ,                      ,                        ,                          ,                     ,                        ,                        ,                ,6               ,                        ,                        ,                ,                        ,1                       ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 26,R,CC,   8.00,    664.3200,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,5                     ,1                   ,1                        ,                      ,10                  ,2                   ,2                          ,3                  ,                 ,175                    ,5                    ,90                            ,                              ,1                           ,2                        ,                  ,                  ,                      ,                        ,                          ,                     ,                        ,                        ,                ,1               ,                        ,                        ,1               ,1                       ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 27,R,CC,  11.00,    671.4600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,4                  ,1                     ,                    ,1                        ,                      ,2                   ,                    ,                           ,1                  ,1                ,190                    ,5                    ,10                            ,                              ,1                           ,1                        ,1                 ,                  ,                      ,1                       ,                          ,                     ,                        ,                        ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 28,R,CC,   9.00,    681.9600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,1                  ,1                     ,3                   ,                         ,                      ,1                   ,                    ,1                          ,1                  ,1                ,170                    ,6                    ,50                            ,                              ,1                           ,1                        ,1                 ,                  ,1                     ,1                       ,                          ,                     ,                        ,                        ,                ,1               ,                        ,1                       ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 30,R,CC,  17.00,    701.4100,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,M                 ,5                  ,15                    ,8                   ,10                       ,                      ,2                   ,1                   ,                           ,2                  ,6                ,34                     ,1                    ,100                           ,3                             ,                            ,2                        ,7                 ,4                 ,                      ,4                       ,                          ,                     ,1                       ,                        ,1               ,1               ,1                       ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 32,R,CC,  18.00,    722.1500,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,C              ,M                 ,45                 ,9                     ,9                   ,4                        ,                      ,2                   ,                    ,                           ,                   ,3                ,10                     ,                     ,45                            ,2                             ,                            ,                         ,15                ,                  ,                      ,1                       ,                          ,2                    ,2                       ,1                       ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 34,R,CC,  21.00,    741.4800,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,12                 ,10                    ,1                   ,5                        ,1                     ,1                   ,                    ,1                          ,                   ,1                ,117                    ,3                    ,90                            ,2                             ,1                           ,1                        ,3                 ,1                 ,1                     ,1                       ,1                         ,                     ,                        ,                        ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 36,R,CC,  19.00,    760.5600,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,7                  ,2                     ,6                   ,1                        ,1                     ,3                   ,                    ,1                          ,1                  ,1                ,110                    ,3                    ,70                            ,1                             ,1                           ,1                        ,3                 ,2                 ,                      ,                        ,                          ,                     ,                        ,                        ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1170,D, 38,R,CC,  25.00,    779.6900,dinos    ,Dinoflagellates/Acritarchs/Prasinophytes     ,A              ,G                 ,8                  ,2                     ,1                   ,1                        ,11                    ,3                   ,1                   ,1                          ,1                  ,3                ,62                     ,1                    ,95                            ,3                             ,1                           ,5                        ,5                 ,                  ,                      ,                        ,                          ,                     ,                        ,                        ,                ,                ,                        ,                        ,                ,                        ,                        ,                     ,                              ,                        ,                        ,                        ,                       ,                         ,               ,                           ,                       ,                  ,                        ,                              ,                    ,                          ,                       ,                          ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
