Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pullenia bulloides,Uvigerina peregrina,Melonis pompilioides,Globobulimina affinis,Epistominella exigua,Bulimina marginata,Pyrgo spp.,Nuttallides umbonifera,Globocassidulina subglobosa,Fontbotia wuellerstorfi,Eggerella bradyi,Bolivina pseudopunctata,Melonis sp.,Melonis barleeanus,Lagena spp.,Gyroidinoides spp.,Valvulineria laevigata,Nonionella atlantica,Oridorsalis umbonatus,Nodosaria spp.,Chilostomella oolina,Stilostomella spp.,Cibicidoides kullenbergi,Cassidulina carinata,Uvigerina auberiana,Comment
  IR,                 ,                 ,                  ,              ,172,1061,C,  6,H,CC,  13.00,     53.6600,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,C                  ,F                   ,T                    ,                    ,                  ,R         ,C                     ,                           ,                       ,                ,                       ,           ,                  ,R          ,                  ,                      ,                    ,T                    ,R             ,T                   ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  7,H,CC,  11.00,     63.1100,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,R                 ,C                  ,F                   ,                     ,                    ,                  ,          ,F                     ,                           ,                       ,                ,T                      ,           ,                  ,           ,T                 ,T                     ,T                   ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  8,H,CC,  25.00,     72.9200,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,F                  ,F                   ,T                    ,                    ,R                 ,          ,A                     ,                           ,                       ,                ,R                      ,           ,                  ,           ,R                 ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C,  9,H,CC,  14.00,     82.3400,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,C                  ,R                   ,T                    ,                    ,                  ,          ,C                     ,                           ,                       ,                ,                       ,R          ,R                 ,F          ,                  ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C, 11,H,CC,   8.00,    101.0600,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,+                 ,                   ,+                   ,                     ,                    ,                  ,          ,+                     ,                           ,                       ,                ,                       ,           ,                  ,           ,                  ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C, 13,H,CC,  23.00,    120.3000,Poli     ,Benthic Foraminifers                         ,F              ,M                 ,                  ,T                  ,R                   ,                     ,                    ,                  ,F         ,F                     ,T                          ,R                      ,R               ,T                      ,           ,                  ,           ,                  ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C, 14,H,CC,  17.00,    129.8000,Poli     ,Benthic Foraminifers                         ,T              ,P                 ,                  ,+                  ,+                   ,+                    ,+                   ,+                 ,          ,                      ,                           ,                       ,                ,                       ,           ,                  ,           ,                  ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,172,1061,C, 15,H,CC,  24.00,    139.5600,Poli     ,Benthic Foraminifers                         ,R              ,P                 ,+                 ,                   ,                    ,                     ,                    ,                  ,          ,                      ,                           ,                       ,                ,                       ,           ,                  ,           ,                  ,                      ,                    ,                     ,              ,                    ,                  ,                        ,                    ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
