Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Toweius pertusus,Toweius eminens,Sphenolithus primus,Sphenolithus anarrhopus,Neochiastozygus digitosus,Markalius inversus,Fasciculithus involutus,Ellipsolithus macellus,Ellipsolithus distichus,Cruciplacolithus tenuis,Chiasmolithus danicus,Chiasmolithus consuetus,Fasciculithus tympaniformis,Fasciculithus lillianae,Discoaster multiradiatus,Coccolithus pelagicus,Campylosphaera eodela,Lophodolithus nascens,Heliolithus kleinpellii,Discoaster diastypus,Neochiastozygus junctus,Tribrachiatus bramlettei,Discoaster salisburgensis,Discoaster barbadiensis,Cruciplacolithus frequens,Tribrachiatus orthostylus,Toweius crassus,Sphenolithus radians,Chiasmolithus expansus,Campylosphaera dela,Coccolithus eopelagicus,Discoaster lodoensis,Chiasmolithus solitus,Ericsonia formosa,Discoaster sublodoensis,Discoaster kuepperi,Chiasmolithus grandis,Rhabdosphaera inflata,Discoaster saipanensis,Nannotetrina fulgens,Sphenolithus stellatus,Chiasmolithus gigas,Nannotetrina cristata,Discoaster strictus,Zygrhablithus bijugatus,Nannotetrina pappii,Sphenolithus furcatolithoides,Reticulofenestra umbilica,Bramletteius serraculoides,Pseudotriquetrorhabdulus inversus,Discoaster tanii,Sphenolithus orphanknollensis,Rhabdosphaera morionum,Cyclicargolithus gammation,Reticulofenestra dictyoda,Pemma papillatum,Neococcolithes minutus,Cribrocentrum reticulatum,Sphenolithus predistentus,Chiasmolithus titus,Dictyococcites bisectus,Sphenolithus obtusus,Discoaster nodifer,Chiasmolithus oamaruensis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  5,H,CC,  22.00,     43.3200,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,+                         ,                                 ,                ,                             ,                      ,                          ,                         ,                ,+                     ,+                        ,+                        ,                   ,+                      ,+                   ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  6,H,CC,  25.00,     52.5700,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,+                     ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,+                        ,+                        ,                   ,+                      ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  7,H,CC,  44.00,     62.6300,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,+                        ,                         ,                   ,+                      ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  8,H,CC,  16.00,     71.5500,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,+                        ,                         ,                   ,+                      ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B,  9,H,CC,  23.00,     81.3300,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,+                        ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B, 10,H,CC,  15.00,     90.6800,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,+                                ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,+                  ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14b         ,171,1051,B, 11,H,CC,   8.00,     96.4000,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,+                  ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,+                     ,                          ,                         ,                ,                      ,+                        ,                         ,+                  ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 12,H,CC,  24.00,    106.1500,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,+               ,                      ,+                        ,+                        ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 13,H,CC,   6.00,    115.9200,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,R                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,R                    ,                 ,                       ,                   ,                     ,                     ,R                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,F                            ,F                        ,                          ,F                                ,                ,                             ,                      ,                          ,                         ,                ,                      ,R                        ,R                        ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 14,H,CC,  18.00,    125.5400,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,+               ,                      ,+                        ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 15,H,CC,  29.00,    134.7400,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,+                            ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,+                        ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 16,X,CC,  13.00,    143.9300,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,+               ,                      ,+                        ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 17,X,CC,  19.00,    152.9100,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,+                            ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,+                     ,+                        ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 18,X,CC,  27.00,    162.6600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,+               ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,171,1051,B, 19,X,CC,  22.00,    168.6800,Watkins  ,Nannofossils                                 ,               ,                  ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,+               ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP14a         ,171,1051,B, 20,X,CC,  16.00,    181.6600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,+                        ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,+               ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 21,X,CC,  22.00,    190.4600,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,+                        ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 22,X,CC,  28.00,    200.9700,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,F                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,R                    ,                 ,                       ,                   ,                     ,                     ,R                     ,                    ,                      ,                   ,                     ,R                  ,                       ,                   ,F                            ,                         ,                          ,                                 ,                ,R                            ,R                     ,R                         ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,Reworked Ch. gigas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 23,X,CC,  26.00,    210.5200,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,                     ,                     ,+                     ,                    ,                      ,                   ,                     ,+                  ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,No Ch. gigas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 24,X,CC,  26.00,    220.1900,Watkins  ,Nannofossils                                 ,A              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,F                      ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,                     ,                 ,                       ,                   ,                     ,                     ,F                     ,                    ,                      ,                   ,R                    ,                   ,                       ,                   ,F                            ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,Ch. gigas reworked
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 25,X,CC,  36.00,    229.9000,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,+                     ,                    ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 26,X,CC,  34.00,    239.4900,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,                      ,+                   ,                      ,                   ,                     ,                   ,                       ,                   ,                             ,                         ,                          ,                                 ,+               ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13c         ,171,1051,B, 27,X,CC,  37.00,    246.4900,Watkins  ,Nannofossils                                 ,A              ,G                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,+                      ,                         ,                         ,               ,                    ,                      ,                   ,+                      ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,                      ,+                   ,                      ,                   ,                     ,                   ,                       ,                   ,+                            ,                         ,                          ,+                                ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,CP13b         ,171,1051,B, 28,X,CC,  32.00,    258.7900,Watkins  ,Nannofossils                                 ,C              ,M                 ,                ,               ,                   ,                       ,                         ,                  ,                       ,                      ,                       ,                       ,                     ,                       ,                           ,                       ,                        ,                     ,                     ,                     ,                       ,                    ,                       ,                        ,                         ,                       ,                         ,                         ,               ,                    ,                      ,                   ,                       ,                    ,+                    ,                 ,                       ,                   ,+                    ,                     ,                      ,+                   ,                      ,+                  ,+                    ,+                  ,                       ,+                  ,+                            ,                         ,+                         ,                                 ,                ,                             ,                      ,                          ,                         ,                ,                      ,                         ,                         ,                   ,                       ,                    ,                  ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
