Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	siphocampid taxa	Eucyrtidium (?) sp.	Botryostrobus joides group	Lophocyrtis norvegiensis	Calocyclas talwanii	Siphocampe minuta	Spongurus spp. C	Prunopyle(?) sp.	Lithelid gen. et sp. indet	Botryocampe sp.	Tetrapyle(?) sp. A	Spongurus(?) spp. A  group	Siphocampe sp. cf. S. minuta	Periryramis magnifica	Lophophaena macrencephala	Heterosestrum sexispinatum rotundum	Corythospyris palmipodiscus	Sphaerostylus cristatus group	Lophophaena clevei	Lophocyrtis litos group	Cornutella sp. aff. californica	Cornutella sp.	Stylatractus sp. A	Siphocampe stathmeporoides	Siphocampe acephala	Stylodictya targaeformis	Artostrobus quadriporus	Actinomma sp. A	Siphocampe sp. B	Siphocampe sp. A	Siphocampe imbricata group	Peripyramis sp. aff. P. magnifica	Actinomma (?) spp. B group	Artostrobus (?) sp.	Lophocyrtis semipolita group	Porodiscus sp.	Cornutella profunda	Ceratocyrtis sp. cf. cucullaris	Stylatractus sp. B	Botryopera (?) pseudoantarctissa	Lophocyrtis sp.	Siphocampe elizabethae	Lophocyrtis andriashevi	Hexacontium hexactis (?) 	Botryostrobus sp. aff. kerguelensis	Siphocampe septata	Siphocampe sp. aff. stathmeporoides	Pseudodictyophimus sp. A	Actinomma sp. cf. A.holtedahli	Pseudodictyophimus platycephalus	Nassellaria gen. et sp. indet.	Actinomma sp. D	Spongocore sp.	Stylodictya aculeata	Stylodictya validispina	Siphocampe arachnea	Cornutella clathrata	Antarctissa robusta	Comment

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 24	R	 2	  87.00	    464.3700	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	A                         	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	R                         	C                  	                        	                       	               	R               	                	R                         	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	R                                  	                        	                              	                                	                              	               	F             	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 24	R	 2	 120.00	    464.7000	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	F                         	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	R                              	              	                  	R                         	F                  	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	R                                  	                        	                              	                                	                              	               	R             	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 24	R	 3	 108.00	    466.0800	Hull     	Radiolarians                                 	               	M                 	VA              	                   	                          	                        	                   	                 	                	R               	VA                        	               	T                 	                          	                            	                     	                         	                                   	                           	                             	                  	                       	T                              	              	T                 	F                         	R                  	                        	                       	T              	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	F                                  	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 24	R	 4	  69.00	    467.1900	Hull     	Radiolarians                                 	               	G                 	A               	                   	T                         	                        	                   	                 	                	                	A                         	               	T                 	R                         	                            	T                    	                         	                                   	R                          	                             	                  	                       	F                              	              	                  	F                         	F                  	C                       	R                      	               	R               	                	                          	                                 	T                         	T                  	                            	              	R                  	                               	                  	                                	               	                      	                       	                         	                                   	                  	C                                  	C                       	                              	R                               	R                             	R              	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Late Eocene      	Early Oligocene  	                  	              	151	 913	B	 24	R	 5	  39.00	    468.3900	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	A                         	               	                  	                          	T                           	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	F                         	A                  	R                       	                       	F              	                	                	                          	                                 	C                         	R                  	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	R                 	R                                  	R                       	R                             	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 1	  26.00	    471.8600	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	C                         	               	                  	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	T                              	              	                  	F                         	F                  	R                       	                       	T              	                	                	                          	                                 	R                         	                   	                            	              	                   	                               	T                 	                                	               	R                     	                       	                         	T                                  	T                 	T                                  	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 2	 105.00	    474.1500	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	A                         	               	R                 	                          	                            	                     	                         	                                   	T                          	                             	                  	                       	T                              	              	                  	                          	                   	                        	C                      	               	                	                	                          	                                 	R                         	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 2	 130.00	    474.4000	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	A                         	               	T                 	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	R                         	                   	R                       	A                      	T              	                	                	                          	                                 	C                         	                   	R                           	              	T                  	                               	T                 	                                	               	T                     	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 3	  62.00	    475.2200	Hull     	Radiolarians                                 	               	P                 	A               	                   	                          	                        	                   	                 	                	                	A                         	               	T                 	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	                          	T                  	                        	R                      	               	                	                	                          	                                 	R                         	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 4	  85.00	    476.9500	Hull     	Radiolarians                                 	               	M                 	A               	                   	C                         	                        	                   	                 	                	                	A                         	               	F                 	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	                          	                   	T                       	R                      	T              	                	                	                          	                                 	R                         	                   	                            	              	T                  	                               	                  	                                	               	                      	T                      	                         	                                   	T                 	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 5	  44.00	    478.0400	Hull     	Radiolarians                                 	               	M                 	A               	                   	F                         	                        	                   	                 	                	                	A                         	               	R                 	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	                          	F                  	R                       	C                      	T              	                	                	T                         	                                 	A                         	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	T                                  	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 6	  46.00	    479.5600	Hull     	Radiolarians                                 	               	M                 	A               	                   	C                         	                        	                   	                 	                	                	A                         	R              	                  	                          	                            	                     	                         	                                   	T                          	                             	                  	                       	R                              	              	                  	T                         	T                  	                        	A                      	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	T                        	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 6	  89.00	    479.9900	Hull     	Radiolarians                                 	               	M                 	A               	                   	                          	                        	                   	                 	T               	                	C                         	T              	                  	T                         	                            	T                    	                         	                                   	C                          	                             	                  	                       	                               	              	                  	                          	C                  	R                       	R                      	               	                	                	                          	                                 	A                         	                   	T                           	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	 7	   5.00	    480.6500	Hull     	Radiolarians                                 	               	M                 	A               	                   	                          	                        	                   	                 	T               	                	R                         	               	                  	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	T                              	              	R                 	R                         	C                  	                        	                       	               	R               	                	T                         	                                 	R                         	                   	T                           	              	                   	                               	                  	T                               	               	T                     	T                      	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 25	R	CC	  13.00	    481.4400	Hull     	Radiolarians                                 	               	M                 	A               	                   	                          	                        	                   	                 	                	                	F                         	               	                  	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	F                         	R                  	                        	R                      	               	R               	                	A                         	                                 	                          	                   	                            	              	T                  	                               	                  	                                	T              	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 1	  81.00	    481.9100	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	R               	                	A                         	T              	R                 	                          	                            	                     	                         	                                   	C                          	T                            	T                 	                       	                               	              	F                 	C                         	C                  	T                       	                       	T              	R               	                	A                         	                                 	                          	R                  	                            	              	T                  	T                              	R                 	R                               	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 1	  90.00	    482.0000	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	A                         	R              	T                 	                          	                            	                     	                         	                                   	A                          	                             	R                 	                       	                               	              	C                 	F                         	F                  	F                       	                       	               	T               	                	A                         	                                 	                          	R                  	R                           	              	R                  	                               	T                 	R                               	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 2	  15.00	    482.7500	Hull     	Radiolarians                                 	               	M                 	A               	                   	                          	                        	                   	                 	                	                	                          	R              	T                 	                          	                            	T                    	                         	                                   	A                          	                             	                  	                       	R                              	              	R                 	F                         	F                  	T                       	                       	T              	                	                	A                         	                                 	F                         	T                  	                            	T             	T                  	T                              	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 2	 118.00	    483.7800	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	                	                	F                         	F              	                  	R                         	                            	                     	                         	                                   	A                          	                             	                  	                       	                               	              	R                 	C                         	F                  	                        	                       	               	                	                	T                         	                                 	                          	T                  	R                           	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 3	  10.00	    484.2000	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	                 	R               	                	F                         	F              	                  	T                         	                            	                     	                         	                                   	A                          	                             	                  	                       	                               	              	C                 	C                         	C                  	F                       	R                      	               	                	                	R                         	                                 	                          	R                  	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 4	  68.00	    486.2800	Hull     	Radiolarians                                 	               	M                 	A               	                   	T                         	                        	                   	                 	R               	                	C                         	C              	                  	                          	                            	                     	                         	                                   	A                          	                             	                  	                       	                               	              	                  	C                         	F                  	F                       	                       	F              	                	                	R                         	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 5	  56.00	    487.6600	Hull     	Radiolarians                                 	               	P                 	R               	                   	                          	                        	                   	                 	T               	R               	R                         	               	                  	T                         	                            	                     	                         	                                   	F                          	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	R              	                	                	                          	                                 	C                         	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 26	R	 6	  96.00	    489.5600	Hull     	Radiolarians                                 	               	P                 	C               	                   	                          	                        	                   	T                	T               	                	F                         	               	T                 	                          	                            	                     	                         	                                   	R                          	                             	                  	                       	                               	              	                  	R                         	F                  	T                       	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 1	  91.00	    491.6100	Hull     	Radiolarians                                 	               	G                 	C               	                   	                          	                        	                   	T                	F               	F               	A                         	               	R                 	R                         	F                           	R                    	                         	                                   	A                          	                             	                  	R                      	                               	              	                  	T                         	R                  	T                       	                       	T              	R               	T               	R                         	T                                	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 2	  72.00	    492.9200	Hull     	Radiolarians                                 	               	M                 	C               	                   	                          	                        	                   	T                	F               	                	F                         	R              	C                 	T                         	                            	                     	                         	                                   	A                          	                             	                  	T                      	                               	              	                  	                          	                   	F                       	aff.                   	F              	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 2	  97.00	    493.1700	Hull     	Radiolarians                                 	               	P                 	A               	                   	                          	                        	                   	                 	R               	                	T                         	               	R                 	R                         	                            	T                    	                         	                                   	R                          	                             	                  	                       	                               	              	                  	R                         	                   	T                       	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 3	  25.00	    493.9500	Hull     	Radiolarians                                 	               	G                 	A               	                   	                          	                        	                   	T                	F               	F               	R                         	T              	                  	C                         	F                           	R                    	R                        	                                   	F                          	                             	R                 	                       	R                              	R             	aff.              	R                         	F                  	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 3	  71.00	    494.4100	Hull     	Radiolarians                                 	               	P                 	A               	                   	F                         	                        	                   	T                	R               	T               	T                         	R              	                  	F                         	F                           	T                    	R                        	                                   	F                          	                             	T                 	T                      	T                              	T             	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 4	  34.00	    495.5400	Hull     	Radiolarians                                 	               	P                 	F               	                   	R                         	                        	                   	F                	                	T               	R                         	               	                  	T                         	                            	                     	                         	                                   	                           	R                            	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 4	 126.00	    496.4600	Hull     	Radiolarians                                 	               	P                 	F               	                   	T                         	                        	                   	F                	                	                	F                         	R              	T                 	R                         	T                           	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 5	   5.00	    496.7500	Hull     	Radiolarians                                 	               	P                 	F               	                   	T                         	                        	                   	C                	R               	                	T                         	               	R                 	T                         	T                           	T                    	T                        	C                                  	R                          	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 27	R	 5	  71.00	    497.4100	Hull     	Radiolarians                                 	               	P                 	F               	                   	                          	                        	                   	F                	T               	F               	C                         	F              	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	                 	                 	                  	              	151	 913	B	 29	R	 4	 126.00	    515.6600	Hull     	Radiolarians                                 	               	P                 	F               	                   	                          	                        	                   	R                	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	Late Eocene      	                  	              	151	 913	B	 30	R	CC	  15.00	    526.6700	Hull     	Radiolarians                                 	               	P                 	F               	                   	                          	R                       	                   	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	                 	                  	              	151	 913	B	 31	R	CC	   0.00	    531.8100	Hull     	Radiolarians                                 	               	P                 	F               	                   	                          	R                       	R                  	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	                 	                  	              	151	 913	B	 32	R	 1	 116.00	    539.9600	Hull     	Radiolarians                                 	               	P                 	F               	                   	                          	R                       	R                  	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	                 	                  	              	151	 913	B	 32	R	 2	  65.00	    540.9500	Hull     	Radiolarians                                 	               	P                 	F               	                   	                          	R                       	                   	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

  SR	Middle Eocene    	                 	                  	              	151	 913	B	 32	R	 3	  70.00	    542.5300	Hull     	Radiolarians                                 	               	P                 	F               	T                  	T                         	                        	                   	                 	                	                	                          	               	                  	                          	                            	                     	                         	                                   	                           	                             	                  	                       	                               	              	                  	                          	                   	                        	                       	               	                	                	                          	                                 	                          	                   	                            	              	                   	                               	                  	                                	               	                      	                       	                         	                                   	                  	                                   	                        	                              	                                	                              	               	              	                    	                       	                   	                    	                   	From Leg 151SR; Ch 7; Table 2; p. 128

