Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera angelina	Stichocorys sp. P	Stichocorys delmontensis	Lipmanella redondoensis	Axoprunum acquilonius	Sphaeropyle robusta	Diplocyclas cornutoides	Cornutella profunda	Sphaeropyle langii	Eucyrtidium cienkowskii	Botryostrobus aquilonaris	Androcyclas neoheteroporos	Lithocarpium titan	Lithocarpium polyacantha	Eucyrtidium calvertense	Botryostrobus auritus/australis	Diplocyclas davisiana	Comment
  SR	Late Pliocene    	                 	A. acquilonius    	              	145	 883	C	 16	H	CC	   9.00	    145.7300	Shilov   	Radiolarians                                 	R              	G                 	                     	                 	                        	                       	                     	                   	                       	                   	                  	                       	R                        	                          	                  	                        	                       	R                              	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 17	H	CC	   8.00	    155.3400	Shilov   	Radiolarians                                 	R              	G                 	R                    	                 	                        	                       	R                    	R                  	R                      	R                  	R                 	                       	                         	                          	                  	                        	                       	                               	                     	S. langii is recorded as R?;  from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 18	H	CC	  15.00	    164.5900	Shilov   	Radiolarians                                 	R              	M                 	                     	                 	                        	                       	R                    	                   	R                      	                   	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 19	H	CC	  15.00	    173.1900	Shilov   	Radiolarians                                 	R              	G                 	                     	                 	                        	                       	R                    	                   	                       	R                  	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 20	H	CC	  18.00	    183.7400	Shilov   	Radiolarians                                 	R              	G                 	R                    	                 	                        	                       	                     	                   	                       	R                  	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 21	H	CC	  11.00	    193.4900	Shilov   	Radiolarians                                 	R              	M                 	                     	                 	                        	                       	                     	                   	                       	                   	                  	                       	                         	                          	                  	                        	R                      	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 22	H	CC	  18.00	    203.0500	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	                     	                   	                       	                   	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 23	H	CC	  23.00	    212.6100	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                	                        	                       	R                    	                   	R                      	R                  	                  	                       	                         	                          	                  	                        	                       	R                              	                     	Stichocorys sp. P is recorded as R?;  from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 24	H	CC	  20.00	    222.0000	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	                     	                   	                       	                   	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 25	H	CC	  23.00	    231.5300	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	R                    	                   	                       	                   	                  	                       	                         	                          	                  	                        	                       	R                              	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 26	H	CC	  19.00	    240.8500	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	R                    	                   	R                      	                   	                  	                       	                         	                          	                  	                        	                       	R                              	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 27	H	CC	  22.00	    250.5600	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	R                    	R                  	R                      	                   	                  	                       	                         	                          	                  	R                       	                       	R                              	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 28	X	CC	   0.00	    250.0000	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	                     	                   	                       	R                  	                  	                       	                         	                          	                  	R                       	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 29	X	CC	   9.00	    267.4800	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	R                    	                   	                       	                   	                  	                       	                         	                          	                  	R                       	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 30	X	CC	  16.00	    278.4600	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                	                        	                       	R                    	R                  	                       	                   	                  	                       	                         	                          	                  	R                       	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 883	C	 31	X	CC	  11.00	    288.0100	Shilov   	Radiolarians                                 	F              	M                 	R                    	                 	                        	                       	R                    	                   	F                      	R                  	                  	R                      	                         	R                         	R                 	                        	R                      	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 883	C	 32	X	CC	  14.00	    297.7200	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	                       	R                    	                   	R                      	R                  	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 883	C	 33	X	CC	  27.00	    301.6100	Shilov   	Radiolarians                                 	R              	G                 	R                    	R                	                        	                       	R                    	                   	R                      	R                  	                  	R                      	                         	                          	R                 	R                       	R                      	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A. acquilonius    	              	145	 883	C	 34	X	CC	  24.00	    314.1600	Shilov   	Radiolarians                                 	R              	G                 	R                    	                 	                        	                       	R                    	R                  	R                      	R                  	R                 	R                      	R                        	R                         	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 883	C	 35	H	CC	  28.00	    326.5500	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                	                        	R                      	R                    	R                  	R                      	                   	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 883	C	 36	H	CC	  20.00	    336.5400	Shilov   	Radiolarians                                 	R              	M                 	R                    	                 	                        	F                      	C                    	R                  	R                      	C                  	                  	                       	                         	                          	                  	                        	                       	                               	                     	A. acquilonius is recorded as F-C;  from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 883	C	 37	H	CC	   6.00	    345.2800	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                	R                       	R                      	R                    	R                  	                       	                   	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 883	C	 38	H	CC	  20.00	    355.4600	Shilov   	Radiolarians                                 	R              	M                 	R                    	R                	R                       	R                      	R                    	                   	                       	                   	                  	                       	                         	                          	                  	                        	                       	                               	                     	from Leg 145 SR; Ch 5; Table 4; p 101

