Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsa spp. (small),Pontosphaera spp.,Gephyrocapsa caribbeanica,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Reticulofenestra minutula,Reticulofenestra asanoi,Braarudosphaera bigelowii,Syracosphaera pulchra,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  5,R,CC,   7.00,    124.9300,Su       ,Nannofossils                                 ,R              ,M-G               ,T                    ,                      ,+                     ,T                       ,                    ,                     ,C                        ,                 ,A                        ,F                     ,T                    ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  6,R, 1,  22.00,    132.9200,Su       ,Nannofossils                                 ,R              ,M-G               ,T                    ,                      ,                      ,T                       ,                    ,                     ,A                        ,                 ,C                        ,F                     ,T                    ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  6,R,CC,   3.00,    133.1800,Su       ,Nannofossils                                 ,R              ,M-G               ,R                    ,                      ,                      ,                        ,                    ,                     ,A                        ,                 ,C                        ,F                     ,T                    ,T                        ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  8,R,CC,   4.00,    153.1400,Su       ,Nannofossils                                 ,A              ,G                 ,R                    ,                      ,                      ,R                       ,                    ,                     ,A                        ,                 ,C                        ,C                     ,F                    ,                         ,                       ,+                        ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C,  9,R,CC,  10.00,    164.1000,Su       ,Nannofossils                                 ,A              ,G                 ,                     ,                      ,                      ,F                       ,                    ,                     ,A                        ,                 ,C                        ,                      ,                     ,C                        ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 10,R, 1,  80.00,    172.0000,Su       ,Nannofossils                                 ,P              ,G                 ,                     ,                      ,                      ,                        ,                    ,                     ,A                        ,                 ,A                        ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 10,R, 3, 136.00,    175.5600,Su       ,Nannofossils                                 ,A              ,M-G               ,+                    ,                      ,                      ,F                       ,                    ,                     ,D                        ,                 ,T                        ,T                     ,R                    ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 10,R, 5,  80.00,    178.0000,Su       ,Nannofossils                                 ,A              ,M                 ,F                    ,                      ,                      ,R                       ,                    ,                     ,D                        ,                 ,                         ,T                     ,                     ,                         ,                       ,                         ,R                    ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 10,R, 6,  25.00,    178.9500,Su       ,Nannofossils                                 ,A              ,M                 ,R                    ,                      ,                      ,F                       ,                    ,                     ,D                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,R                    ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 11,R, 1,   9.00,    180.8900,Su       ,Nannofossils                                 ,A              ,G                 ,F                    ,                      ,                      ,R                       ,                    ,                     ,D                        ,                 ,C                        ,R                     ,T                    ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 12,R, 1,  84.00,    191.3400,Su       ,Nannofossils                                 ,T              ,G                 ,F                    ,                      ,                      ,C                       ,                    ,                     ,D                        ,                 ,                         ,                      ,                     ,                         ,                       ,+                        ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 12,R, 2,  68.00,    192.6800,Su       ,Nannofossils                                 ,A              ,M                 ,C                    ,                      ,                      ,F                       ,                    ,                     ,D                        ,                 ,F                        ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 13,R, 2, 120.00,    202.8000,Su       ,Nannofossils                                 ,A              ,M-G               ,C                    ,                      ,                      ,F                       ,                    ,                     ,D                        ,R                ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 13,R, 3, 146.00,    204.5600,Su       ,Nannofossils                                 ,A              ,M-G               ,R                    ,                      ,                      ,F                       ,                    ,                     ,D                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 13,R, 4,  53.00,    205.1300,Su       ,Nannofossils                                 ,C              ,M                 ,F                    ,F                     ,R                     ,F                       ,                    ,                     ,D                        ,                 ,                         ,                      ,                     ,                         ,                       ,+                        ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 13,R, 5,  35.00,    206.4500,Su       ,Nannofossils                                 ,C              ,M-G               ,C                    ,                      ,C                     ,C                       ,                    ,T                    ,F                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 13,R,CC,  26.00,    208.1400,Su       ,Nannofossils                                 ,C              ,G                 ,F                    ,                      ,                      ,C                       ,                    ,                     ,D                        ,                 ,                         ,T                     ,R                    ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 1,  13.00,    209.8300,Su       ,Nannofossils                                 ,A              ,M-G               ,R                    ,                      ,T                     ,F                       ,                    ,                     ,D                        ,+                ,                         ,                      ,                     ,                         ,                       ,+                        ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 1, 132.00,    211.0200,Su       ,Nannofossils                                 ,F              ,M-G               ,F                    ,R                     ,R                     ,C                       ,                    ,                     ,A                        ,                 ,                         ,                      ,                     ,                         ,R                      ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 2,  65.00,    211.8500,Su       ,Nannofossils                                 ,R              ,M                 ,F                    ,                      ,                      ,C                       ,                    ,                     ,A                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 3,  21.00,    212.9100,Su       ,Nannofossils                                 ,R              ,M-G               ,                     ,                      ,R                     ,A                       ,                    ,                     ,F                        ,                 ,                         ,                      ,                     ,                         ,R                      ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 3,  90.00,    213.6000,Su       ,Nannofossils                                 ,T              ,M                 ,F                    ,                      ,                      ,F                       ,                    ,                     ,A                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 4,  40.00,    214.6000,Su       ,Nannofossils                                 ,P              ,G                 ,                     ,                      ,                      ,D                       ,                    ,                     ,                         ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 5, 114.00,    216.8400,Su       ,Nannofossils                                 ,C              ,M-G               ,F                    ,                      ,F                     ,A                       ,                    ,                     ,F                        ,R                ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 5, 137.00,    217.0700,Su       ,Nannofossils                                 ,C              ,M-G               ,C                    ,                      ,                      ,A                       ,                    ,                     ,C                        ,R                ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R, 6,  27.00,    217.4700,Su       ,Nannofossils                                 ,C              ,G                 ,F                    ,                      ,R                     ,A                       ,                    ,                     ,C                        ,                 ,                         ,                      ,                     ,                         ,+                      ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 14,R,CC,  13.00,    217.6500,Su       ,Nannofossils                                 ,C              ,M-G               ,F                    ,                      ,                      ,C                       ,                    ,                     ,R                        ,T                ,                         ,                      ,                     ,F                        ,C                      ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 1, 117.00,    220.4700,Su       ,Nannofossils                                 ,F              ,M                 ,C                    ,                      ,C                     ,C                       ,                    ,                     ,F                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 2, 108.00,    221.8800,Su       ,Nannofossils                                 ,R              ,M-G               ,+                    ,T                     ,R                     ,A                       ,                    ,                     ,                         ,                 ,                         ,                      ,                     ,R                        ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 4,  40.00,    224.2000,Su       ,Nannofossils                                 ,A              ,M                 ,F                    ,R                     ,R                     ,F                       ,                    ,                     ,F                        ,                 ,C                        ,                      ,T                    ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 4,  96.00,    224.7600,Su       ,Nannofossils                                 ,C              ,G                 ,R                    ,                      ,F                     ,C                       ,                    ,                     ,R                        ,+                ,C                        ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 5,  34.00,    225.6400,Su       ,Nannofossils                                 ,A              ,M                 ,R                    ,                      ,R                     ,F                       ,                    ,R                    ,C                        ,                 ,A                        ,T                     ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 6,  33.00,    227.1300,Su       ,Nannofossils                                 ,A              ,M-G               ,F                    ,R                     ,F                     ,R                       ,                    ,                     ,A                        ,                 ,A                        ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 6, 150.00,    228.3000,Su       ,Nannofossils                                 ,C              ,M-G               ,C                    ,                      ,R                     ,C                       ,F                   ,T                    ,F                        ,+                ,F                        ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R, 7,   3.00,    228.3300,Su       ,Nannofossils                                 ,               ,M-G               ,C                    ,                      ,R                     ,C                       ,F                   ,T                    ,A                        ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Quaternary       ,                 ,                  ,              ,168,1026,C, 15,R,CC,  14.00,    229.0700,Su       ,Nannofossils                                 ,C              ,M                 ,A                    ,F                     ,C                     ,                        ,                    ,                     ,                         ,                 ,                         ,                      ,                     ,                         ,                       ,                         ,                     ,                 ,from unpublished FOSSILLIST files provided by Su (4506) in 2002.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
