Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra pseudoumbilicus	Pseudoemiliania lacunosa	Discoaster surculus	Discoaster pentaradiatus	Calcidiscus macintyrei (>11 um)	Discoaster triradiatus	Ceratolithus spp.	Calcidiscus leptoporus	Ceratolithus rugosus	Helicosphaera carteri	Coccolithus pelagicus	Helicosphaera sellii	Discoaster brouweri	Gephyrocapsa (small)	Ceratolithus telesmus	Gephyrocapsa oceanica s.l.	Gephyrocapsa large	Sphenolithus spp.	Sphenolithus heteromorphus	Gephyrocapsa sp. 3	Cyclicargolithus floridanus	Emiliania huxleyi	Comment
  IR	                 	                 	CN13b             	              	167	1014	B	  8	H	CC	  46.00	     70.2000	Fornaciari	Nannofossils                                 	A              	G                 	                                	+                       	                   	                        	                               	                      	                 	R                     	                    	R                    	                     	                    	                   	D                   	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	B	  9	H	CC	  18.00	     79.5800	Fornaciari	Nannofossils                                 	C              	M                 	                                	C                       	                   	                        	                               	                      	                 	C                     	                    	                     	                     	                    	                   	A                   	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	B	 10	H	CC	  18.00	     89.2600	Fornaciari	Nannofossils                                 	F              	P                 	                                	+                       	                   	                        	                               	                      	                 	+                     	                    	                     	+                    	                    	                   	+                   	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	B	 11	H	CC	  20.00	     98.7700	Fornaciari	Nannofossils                                 	C/A            	M                 	                                	C                       	                   	                        	                               	                      	                 	R                     	                    	                     	C                    	R                   	                   	                    	                     	                          	C                 	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	B	 12	H	CC	  19.00	    105.2800	Fornaciari	Nannofossils                                 	A              	M/G               	                                	C                       	                   	                        	                               	                      	R                	+                     	                    	F                    	C                    	                    	                   	+                   	                     	+                         	RR                	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13b             	              	167	1014	B	 13	H	CC	  40.00	    110.8800	Fornaciari	Nannofossils                                 	F              	P                 	                                	                        	                   	                        	                               	                      	                 	+                     	                    	                     	                     	                    	                   	                    	                     	+                         	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	B	 15	X	CC	  20.00	    129.5200	Fornaciari	Nannofossils                                 	R/F            	P                 	                                	+                       	                   	                        	                               	                      	                 	+                     	                    	                     	                     	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN13a             	              	167	1014	B	 16	X	CC	  26.00	    139.2000	Fornaciari	Nannofossils                                 	F              	P                 	                                	C                       	                   	                        	C                              	                      	                 	                      	                    	                     	                     	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	questionable zonal assignment. from IR. Ch 8. Table 5.

  IR	                 	                 	CN12d             	              	167	1014	B	 17	X	CC	  21.00	    148.7100	Fornaciari	Nannofossils                                 	A              	G                 	                                	C                       	                   	                        	+                              	RR                    	                 	+                     	                    	                     	                     	+                   	RR                 	A                   	R                    	                          	                  	                 	                          	                  	                           	                 	questionable zonal assignment. from IR. Ch 8. Table 5.

  IR	                 	                 	CN12              	              	167	1014	B	 18	X	CC	  64.00	    156.3900	Fornaciari	Nannofossils                                 	A              	M                 	                                	+                       	                   	                        	+                              	                      	                 	+                     	                    	+                    	                     	R                   	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12              	              	167	1014	B	 19	X	CC	  16.00	    165.8500	Fornaciari	Nannofossils                                 	A              	P/M               	                                	+                       	                   	                        	                               	                      	                 	                      	                    	R                    	C                    	C                   	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	B	 20	X	CC	  30.00	    176.8200	Fornaciari	Nannofossils                                 	R              	P                 	                                	                        	                   	                        	+                              	                      	                 	                      	                    	                     	+                    	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12              	              	167	1014	B	 21	X	CC	  27.00	    185.3900	Fornaciari	Nannofossils                                 	C              	P/M               	                                	                        	                   	                        	C                              	                      	                 	+                     	                    	                     	C                    	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	                  	              	167	1014	B	 22	X	CC	  20.00	    192.8800	Fornaciari	Nannofossils                                 	F              	P                 	                                	+                       	                   	                        	+                              	                      	                 	                      	                    	                     	                     	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12c             	              	167	1014	B	 23	X	CC	  32.00	    206.5200	Fornaciari	Nannofossils                                 	A              	G                 	                                	+                       	                   	F                       	                               	                      	                 	                      	                    	C                    	                     	C                   	R                  	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	B	 24	X	CC	  23.00	    216.2400	Fornaciari	Nannofossils                                 	C/A            	M/G               	                                	+                       	R                  	                        	+                              	                      	                 	                      	                    	+                    	C                    	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	B	 25	X	CC	  36.00	    223.9500	Fornaciari	Nannofossils                                 	A              	G                 	                                	                        	C                  	C                       	                               	R                     	                 	                      	+                   	                     	                     	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	B	 26	X	CC	  27.00	    231.3600	Fornaciari	Nannofossils                                 	C/A            	P                 	                                	+                       	+                  	R                       	                               	+                     	+                	R                     	                    	                     	                     	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

  IR	                 	                 	CN12b             	              	167	1014	B	 27	X	CC	  20.00	    239.8600	Fornaciari	Nannofossils                                 	A              	M                 	RR                              	R                       	C                  	+                       	+                              	                      	                 	                      	                    	                     	                     	                    	                   	                    	                     	                          	                  	                 	                          	                  	                           	                 	from IR. Ch 8. Table 5.

