Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus verensis	Sphenolithus moriformis	Sphenolithus heteromorphus	Reticulofenestra "small"	Helicosphaera carteri	Helicosphaera ampliaperta	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus miopelagicus	Calcidiscus leptoporus	Reticulofenestra pseudoumbilicus	Coronocyclus nitescens	Pontosphaera discopora	Calcidiscus macintyrei	Discoaster variabilis	Discoaster exilis	Discoaster kugleri	Discoaster berggrenii	Triquetrorhabdulus farnsworthii	Helicosphaera sellii	Discoaster surculus	Sphenolithus abies	Discoaster quinqueramus	Pseudoemiliania lacunosa	Gephyrocapsa oceanica	Gephyrocapsa caribbeanica	Ceratolithus telesmus	Gephyrocapsa sinuosa	Coccolithus pelagicus	Discoaster intercalaris	Gephyrocapsa aperta	Discoaster pentaradiatus	Helicosphaera scissura	Comment
  IR	                 	                 	                  	              	170	1040	C	  9	R	CC	  22.00	    246.0500	Muza     	Nannofossils                                 	R              	P                 	                     	                       	                          	R                       	                     	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	F                  	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 11	R	CC	  44.00	    264.3500	Muza     	Nannofossils                                 	C              	P                 	                     	                       	                          	C                       	R                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	rR                  	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 12	R	CC	  13.00	    272.1400	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	R                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 13	R	CC	  10.00	    282.7000	Muza     	Nannofossils                                 	C              	P                 	                     	                       	                          	C                       	R                    	                         	                     	                           	                        	F                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 14	R	CC	   8.00	    291.9500	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	R                    	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 16	R	CC	  14.00	    306.8400	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	A                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 17	R	CC	  25.00	    317.5800	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	R                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 18	R	CC	  19.00	    327.1100	Muza     	Nannofossils                                 	R              	P                 	                     	                       	                          	                        	                     	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	R                    	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 19	R	CC	  51.00	    338.3300	Muza     	Nannofossils                                 	R              	P                 	                     	                       	                          	                        	                     	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	R                    	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 20	R	CC	  16.00	    350.7800	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	F                       	                     	                         	                     	                           	rR                      	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	R                      	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 21	R	CC	  13.00	    361.6400	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	R                       	                     	                         	                     	                           	rR                      	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	rF                	                       	                        	                     	                         	                     	                    	                     	F                      	                   	                        	                      	       

  IR	                 	                 	                  	              	170	1040	C	 22	R	CC	  17.00	    371.2100	Muza     	Nannofossils                                 	C              	P                 	                     	                       	                          	                        	F                    	                         	                     	                           	                        	                      	                                	                      	R                     	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	C                        	                     	C                   	R                    	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1040	C	 23	R	CC	   0.00	    376.2000	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	                        	                     	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	F                    	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1040	C	 24	R	CC	  16.00	    385.6000	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	                        	                     	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	F                    	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	NN21              	NN20          	170	1040	C	 25	R	CC	  18.00	    397.8800	Muza     	Nannofossils                                 	R              	P                 	                     	                       	                          	                        	R                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	R                    	R                        	R                    	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	                  	NN19          	170	1040	C	 26	R	CC	  22.00	    405.7400	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	                        	                     	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	R                       	F                    	F                        	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	                  	NN19          	170	1040	C	 27	R	CC	  14.00	    417.3700	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	                        	R                    	                         	                     	                           	                        	R                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	rR                  	                   	                  	                       	                        	C                    	F                        	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	                  	NN19          	170	1040	C	 28	R	CC	  20.00	    425.3000	Muza     	Nannofossils                                 	F              	P                 	                     	                       	                          	                        	F                    	                         	                     	                           	                        	F                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	                  	NN19          	170	1040	C	 29	R	 3	  97.00	    432.5700	Muza     	Nannofossils                                 	F              	M                 	                     	                       	                          	F                       	F                    	                         	                     	                           	                        	                      	                                	                      	R                     	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	R                       	F                    	F                        	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Pleistocene      	                  	NN19          	170	1040	C	 30	R	CC	  23.00	    446.7300	Muza     	Nannofossils                                 	F              	M                 	                     	                       	                          	F                       	F                    	                         	                     	                           	                        	                      	                                	                      	R                     	                      	                     	                 	                  	                     	                               	F                   	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Late Pliocene    	                  	NN18          	170	1040	C	 31	R	CC	  37.00	    454.1700	Muza     	Nannofossils                                 	C              	P                 	                     	                       	                          	C                       	                     	                         	                     	                           	                        	F                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Early Pliocene   	                  	NN15          	170	1040	C	 33	R	CC	  18.00	    476.8900	Muza     	Nannofossils                                 	C              	M                 	                     	                       	                          	                        	                     	                         	                     	                           	                        	F                     	F                               	                      	                      	                      	R                    	                 	                  	                     	                               	                    	F                  	R                 	R                      	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Late Miocene     	                  	NN11          	170	1040	C	 34	R	CC	  23.00	    483.4600	Muza     	Nannofossils                                 	C              	M                 	                     	                       	                          	                        	R                    	                         	                     	                           	                        	                      	                                	                      	                      	                      	                     	                 	                  	C                    	R                              	R                   	F                  	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Late Miocene     	                  	NN11          	170	1040	C	 35	R	 4	  90.00	    491.7900	Muza     	Nannofossils                                 	F              	M                 	                     	                       	                          	F                       	                     	                         	                     	                           	F                       	                      	R                               	                      	                      	                      	                     	                 	                  	R                    	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Late Miocene     	                  	NN8           	170	1040	C	 36	R	CC	   8.00	    502.3300	Muza     	Nannofossils                                 	C              	M                 	                     	F                      	                          	                        	                     	                         	                     	                           	C                       	                      	                                	                      	                      	                      	C                    	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN7           	170	1040	C	 37	R	CC	   0.00	    511.7600	Muza     	Nannofossils                                 	C              	P                 	                     	C                      	                          	F                       	                     	                         	                     	                           	C                       	F                     	                                	                      	                      	                      	                     	                 	F                 	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN7           	170	1040	C	 38	R	 6	  33.00	    523.1300	Muza     	Nannofossils                                 	C              	M                 	                     	C                      	                          	F                       	                     	                         	                     	                           	C                       	F                     	                                	                      	                      	                      	                     	                 	F                 	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1040	C	 39	R	 5	  41.00	    531.3100	Muza     	Nannofossils                                 	C              	M                 	                     	F                      	                          	                        	F                    	                         	                     	                           	C                       	                      	                                	F                     	                      	                      	R                    	F                	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN6           	170	1040	C	 40	R	CC	  14.00	    544.3100	Muza     	Nannofossils                                 	F              	M                 	                     	F                      	                          	                        	F                    	                         	                     	                           	F                       	                      	                                	F                     	                      	                      	R                    	F                	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 41	R	CC	  16.00	    553.9400	Muza     	Nannofossils                                 	A              	M                 	                     	C                      	C                         	A                       	F                    	                         	                     	F                          	                        	                      	C                               	F                     	                      	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 42	R	CC	  12.00	    563.4600	Muza     	Nannofossils                                 	C              	M                 	                     	C                      	C                         	C                       	F                    	                         	                     	F                          	C                       	                      	                                	F                     	F                     	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 43	R	CC	  19.00	    568.5100	Muza     	Nannofossils                                 	A              	M                 	                     	C                      	C                         	C                       	F                    	                         	                     	F                          	C                       	                      	C                               	F                     	F                     	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 44	R	CC	  21.00	    579.3100	Muza     	Nannofossils                                 	A              	M                 	C                    	C                      	C                         	C                       	F                    	                         	                     	F                          	C                       	F                     	C                               	F                     	F                     	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 45	R	CC	  39.00	    590.0200	Muza     	Nannofossils                                 	A              	M                 	C                    	C                      	F                         	C                       	C                    	                         	                     	F                          	C                       	F                     	C                               	F                     	F                     	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 46	R	CC	  13.00	    598.8600	Muza     	Nannofossils                                 	A              	M                 	F                    	C                      	F                         	C                       	                     	                         	                     	F                          	C                       	F                     	C                               	F                     	R                     	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	                 	Middle Miocene   	                  	NN5           	170	1040	C	 47	R	CC	  19.00	    611.7800	Muza     	Nannofossils                                 	A              	M                 	F                    	C                      	F                         	C                       	F                    	                         	                     	F                          	C                       	F                     	C                               	F                     	R                     	F                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	Middle Miocene   	Early Miocene    	                  	NN5           	170	1040	C	 48	R	CC	  13.00	    621.4500	Muza     	Nannofossils                                 	A              	M                 	F                    	C                      	F                         	C                       	F                    	                         	                     	R                          	F                       	R                     	C                               	F                     	R                     	R                     	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	Middle Miocene   	Early Miocene    	                  	NN4           	170	1040	C	 49	R	 6	 129.00	    629.9900	Muza     	Nannofossils                                 	A              	M                 	F                    	C                      	F                         	                        	F                    	F                        	F                    	R                          	F                       	F                     	A                               	F                     	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	Middle Miocene   	Early Miocene    	                  	NN4           	170	1040	C	 50	R	 6	  18.00	    638.4800	Muza     	Nannofossils                                 	A              	M                 	                     	F                      	F                         	C                       	F                    	F                        	F                    	F                          	C                       	F                     	F                               	F                     	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

  IR	Middle Miocene   	Early Miocene    	                  	NN4           	170	1040	C	 51	R	CC	  25.00	    646.5500	Muza     	Nannofossils                                 	A              	P                 	F                    	C                      	F                         	C                       	F                    	F                        	F                    	F                          	C                       	F                     	                                	                      	                      	                      	                     	                 	                  	                     	                               	                    	                   	                  	                       	                        	                     	                         	                     	                    	                     	                       	                   	                        	                      	       

