Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Neogloboquadrina continuosa,Neogloboquadrina atlantica (dextral),Globigerina bulloides,Neogloboquadrina atlantica (sinistral),Neogloboquadrina acostaensis,Globigerinita glutinata,Globigerina falconensis,Globigerina quinqueloba,Orbulina universa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  3,H, 4,  28.00,     17.9800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  3,H, 6,  28.00,     20.9800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  3,H,CC,  13.00,     23.0000,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  4,H, 2,  53.00,     25.1300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  4,H, 4,  53.00,     28.1300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  4,H, 6,  53.00,     31.1300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,C                                    ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  4,H,CC,   1.00,     32.8700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  5,H, 2,  67.00,     35.0700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  5,H, 4,  67.00,     38.0700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,C,  5,H, 6,  67.00,     41.0700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,104, 642,C,  7,H, 4,  74.00,     56.1400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C,  8,H,CC,  14.00,     60.8100,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,C                    ,C                                     ,                            ,R                      ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C,  9,H, 2,  73.00,     62.9300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,R                                    ,                           ,                                    ,C                    ,                                      ,                            ,                       ,R                      ,R                      ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C, 10,H, 1,  77.00,     64.2700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C, 10,H, 3,  77.00,     67.2700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,F                    ,C                                     ,                            ,R                      ,C                      ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C, 10,H, 5,  77.00,     70.2700,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,C                    ,R                                     ,                            ,R                      ,R                      ,R                      ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C, 10,H,CC,   9.00,     72.9000,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,                                     ,                           ,                                    ,C                    ,                                      ,                            ,                       ,C                      ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C, 11,H, 2,  74.00,     75.2400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,                                     ,                           ,                                    ,C                    ,R                                     ,                            ,                       ,C                      ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF4             ,              ,104, 642,C, 11,H, 4,  74.00,     78.2400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,C                    ,R                                     ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 11,H, 6,  74.00,     81.2400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,C                          ,R                                   ,F                    ,F                                     ,                            ,                       ,R                      ,                       ,R                ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 12,H, 1,  73.00,     83.2300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,C                    ,R                                     ,                            ,R                      ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 12,H, 3,  73.00,     86.2300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,                                     ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 14,H, 3,  73.00,    105.2300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,                                     ,                           ,                                    ,R                    ,R                                     ,R                           ,R                      ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 14,H, 5,  73.00,    108.2300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,C                                    ,                           ,                                    ,C                    ,                                      ,                            ,                       ,R                      ,R                      ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 14,H,CC,  24.00,    111.2300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,R                                    ,C                          ,                                    ,F                    ,R                                     ,R                           ,R                      ,R                      ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 15,H, 6,  74.00,    119.2400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                                       ,R                                    ,                           ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 16,H, 2,  74.00,    122.7400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,F                                    ,C                          ,C                                   ,R                    ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 16,H, 4,  74.00,    125.7400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                                       ,F                                    ,C                          ,C                                   ,C                    ,                                      ,C                           ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 17,H, 3,  72.00,    133.7200,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,F                                      ,F                                    ,C                          ,C                                   ,C                    ,C                                     ,R                           ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 17,H, 6,  72.00,    137.0400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,C                                    ,C                          ,C                                   ,F                    ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 18,H, 1,  78.00,    140.2800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,R                                    ,C                          ,R                                   ,R                    ,R                                     ,R                           ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 18,H, 3,  78.00,    143.2800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,                                       ,                                     ,R                          ,                                    ,                     ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 18,H, 5,  78.00,    146.2800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,C                                    ,F                          ,R                                   ,                     ,R                                     ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 18,H,CC,  10.00,    148.0100,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,C                                    ,F                          ,R                                   ,                     ,                                      ,                            ,                       ,R                      ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 19,H, 2,  68.00,    151.1800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,R                                    ,C                          ,                                    ,R                    ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 19,H, 4,  68.00,    154.1800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,C                                    ,F                          ,R                                   ,F                    ,                                      ,                            ,R                      ,R                      ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 19,H, 6,  68.00,    157.1800,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,C                                      ,C                                    ,F                          ,R                                   ,C                    ,R                                     ,R                           ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF3             ,              ,104, 642,C, 19,H,CC,  46.00,    159.0300,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,R                                      ,R                                    ,F                          ,R                                   ,R                    ,                                      ,                            ,                       ,                       ,                       ,                 ,from ODP 104 IR Chapter 4 Talbe 13 p 125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
